name,date,PX_LAST
BE1 N:02_0_R Index,1993-11-02,1677.27686
BE1 N:02_0_R Index,1993-11-03,1683.77106
BE1 N:02_0_R Index,1993-11-04,1685.6419
BE1 N:02_0_R Index,1993-11-05,1660.24455
BE1 N:02_0_R Index,1993-11-08,1644.11855
BE1 N:02_0_R Index,1993-11-09,1646.11977
BE1 N:02_0_R Index,1993-11-10,1643.90357
BE1 N:02_0_R Index,1993-11-12,1658.18936
BE1 N:02_0_R Index,1993-11-15,1662.22904
BE1 N:02_0_R Index,1993-11-16,1662.8042
BE1 N:02_0_R Index,1993-11-17,1691.38719
BE1 N:02_0_R Index,1993-11-18,1699.54544
BE1 N:02_0_R Index,1993-11-19,1688.98586
BE1 N:02_0_R Index,1993-11-22,1660.48202
BE1 N:02_0_R Index,1993-11-23,1660.27849
BE1 N:02_0_R Index,1993-11-24,1650.23233
BE1 N:02_0_R Index,1993-11-25,1658.17736
BE1 N:02_0_R Index,1993-11-26,1675.83976
BE1 N:02_0_R Index,1993-11-29,1660.82204
BE1 N:02_0_R Index,1993-11-30,1665.8719
BE1 N:02_0_R Index,1993-12-01,1689.96472
BE1 N:02_0_R Index,1993-12-02,1691.30977
BE1 N:02_0_R Index,1993-12-03,1698.77103
BE1 N:02_0_R Index,1993-12-06,1725.51186
BE1 N:02_0_R Index,1993-12-07,1703.98186
BE1 N:02_0_R Index,1993-12-08,1716.40659
BE1 N:02_0_R Index,1993-12-09,1708.77014
BE1 N:02_0_R Index,1993-12-10,1702.53678
BE1 N:02_0_R Index,1993-12-13,1695.18804
BE1 N:02_0_R Index,1993-12-14,1678.22039
BE1 N:02_0_R Index,1993-12-15,1698.92512
BE1 N:02_0_R Index,1993-12-16,1694.53021
BE1 N:02_0_R Index,1993-12-17,1686.2065
BE1 N:02_0_R Index,1993-12-20,1697.0295
BE1 N:02_0_R Index,1993-12-21,1704.37825
BE1 N:02_0_R Index,1993-12-22,1696.72178
BE1 N:02_0_R Index,1993-12-23,1704.7988
BE1 N:02_0_R Index,1993-12-24,1713.2273
BE1 N:02_0_R Index,1993-12-28,1730.13713
BE1 N:02_0_R Index,1993-12-29,1732.08392
BE1 N:02_0_R Index,1993-12-30,1752.3543
BE1 N:02_0_R Index,1994-01-03,1763.50383
BE1 N:02_0_R Index,1994-01-04,1753.36585
BE1 N:02_0_R Index,1994-01-05,1752.9666
BE1 N:02_0_R Index,1994-01-06,1763.13582
BE1 N:02_0_R Index,1994-01-07,1764.01312
BE1 N:02_0_R Index,1994-01-10,1748.15532
BE1 N:02_0_R Index,1994-01-11,1756.26674
BE1 N:02_0_R Index,1994-01-12,1737.61836
BE1 N:02_0_R Index,1994-01-13,1718.99495
BE1 N:02_0_R Index,1994-01-14,1715.59078
BE1 N:02_0_R Index,1994-01-17,1722.57302
BE1 N:02_0_R Index,1994-01-18,1718.09252
BE1 N:02_0_R Index,1994-01-19,1743.20039
BE1 N:02_0_R Index,1994-01-20,1742.60752
BE1 N:02_0_R Index,1994-01-21,1726.03207
BE1 N:02_0_R Index,1994-01-24,1732.3147
BE1 N:02_0_R Index,1994-01-25,1759.32244
BE1 N:02_0_R Index,1994-01-26,1769.28557
BE1 N:02_0_R Index,1994-01-27,1786.49956
BE1 N:02_0_R Index,1994-01-28,1796.00265
BE1 N:02_0_R Index,1994-01-31,1790.94444
BE1 N:02_0_R Index,1994-02-01,1779.98377
BE1 N:02_0_R Index,1994-02-02,1779.38998
BE1 N:02_0_R Index,1994-02-03,1766.41142
BE1 N:02_0_R Index,1994-02-04,1774.91364
BE1 N:02_0_R Index,1994-02-07,1761.70123
BE1 N:02_0_R Index,1994-02-08,1797.10825
BE1 N:02_0_R Index,1994-02-09,1785.17902
BE1 N:02_0_R Index,1994-02-10,1796.93202
BE1 N:02_0_R Index,1994-02-11,1785.77954
BE1 N:02_0_R Index,1994-02-14,1788.89356
BE1 N:02_0_R Index,1994-02-15,1784.37362
BE1 N:02_0_R Index,1994-02-16,1787.28683
BE1 N:02_0_R Index,1994-02-17,1795.80718
BE1 N:02_0_R Index,1994-02-18,1779.89865
BE1 N:02_0_R Index,1994-02-21,1762.76031
BE1 N:02_0_R Index,1994-02-22,1752.3245
BE1 N:02_0_R Index,1994-02-23,1763.72315
BE1 N:02_0_R Index,1994-02-24,1727.44048
BE1 N:02_0_R Index,1994-02-25,1729.20903
BE1 N:02_0_R Index,1994-02-28,1751.89017
BE1 N:02_0_R Index,1994-03-01,1770.67139
BE1 N:02_0_R Index,1994-03-02,1721.36591
BE1 N:02_0_R Index,1994-03-03,1728.49245
BE1 N:02_0_R Index,1994-03-04,1734.75793
BE1 N:02_0_R Index,1994-03-07,1751.98384
BE1 N:02_0_R Index,1994-03-08,1750.49198
BE1 N:02_0_R Index,1994-03-09,1764.8912
BE1 N:02_0_R Index,1994-03-10,1761.9129
BE1 N:02_0_R Index,1994-03-11,1756.44719
BE1 N:02_0_R Index,1994-03-14,1777.60825
BE1 N:02_0_R Index,1994-03-15,1775.2252
BE1 N:02_0_R Index,1994-03-16,1771.60059
BE1 N:02_0_R Index,1994-03-17,1779.24617
BE1 N:02_0_R Index,1994-03-18,1768.99304
BE1 N:02_0_R Index,1994-03-21,1754.38235
BE1 N:02_0_R Index,1994-03-22,1752.90272
BE1 N:02_0_R Index,1994-03-23,1754.76813
BE1 N:02_0_R Index,1994-03-24,1736.58899
BE1 N:02_0_R Index,1994-03-25,1728.5088
BE1 N:02_0_R Index,1994-03-28,1734.76676
BE1 N:02_0_R Index,1994-03-29,1731.48744
BE1 N:02_0_R Index,1994-03-30,1683.80061
