name,date,PX_LAST
BZ1 N:02_0_R Index,1995-07-21,118835.28196
BZ1 N:02_0_R Index,1995-08-01,116226.26676
BZ1 N:02_0_R Index,1995-08-02,119004.94011
BZ1 N:02_0_R Index,1995-08-03,119127.87982
BZ1 N:02_0_R Index,1995-08-04,125639.92366
BZ1 N:02_0_R Index,1995-08-07,131987.70014
BZ1 N:02_0_R Index,1995-08-08,128709.8636
BZ1 N:02_0_R Index,1995-08-09,129413.44724
BZ1 N:02_0_R Index,1995-08-11,129028.12684
BZ1 N:02_0_R Index,1995-08-14,123131.31586
BZ1 N:02_0_R Index,1995-08-15,129115.7044
BZ1 N:02_0_R Index,1995-08-16,131956.66634
BZ1 N:02_0_R Index,1995-08-17,130515.74706
BZ1 N:02_0_R Index,1995-08-18,130559.58044
BZ1 N:02_0_R Index,1995-08-21,131053.83693
BZ1 N:02_0_R Index,1995-08-22,132352.89182
BZ1 N:02_0_R Index,1995-08-23,137010.79435
BZ1 N:02_0_R Index,1995-08-24,133894.25106
BZ1 N:02_0_R Index,1995-08-25,133073.48994
BZ1 N:02_0_R Index,1995-08-28,133555.13617
BZ1 N:02_0_R Index,1995-08-29,130011.64338
BZ1 N:02_0_R Index,1995-08-30,126488.93028
BZ1 N:02_0_R Index,1995-08-31,129885.55003
BZ1 N:02_0_R Index,1995-09-01,133043.62314
BZ1 N:02_0_R Index,1995-09-04,136216.96335
BZ1 N:02_0_R Index,1995-09-05,137491.83246
BZ1 N:02_0_R Index,1995-09-06,137805.87042
BZ1 N:02_0_R Index,1995-09-08,136206.62031
BZ1 N:02_0_R Index,1995-09-11,140433.1589
BZ1 N:02_0_R Index,1995-09-12,141285.25664
BZ1 N:02_0_R Index,1995-09-13,142812.47789
BZ1 N:02_0_R Index,1995-09-14,144387.19337
BZ1 N:02_0_R Index,1995-09-15,143573.45115
BZ1 N:02_0_R Index,1995-09-18,144117.36462
BZ1 N:02_0_R Index,1995-09-19,144421.12846
BZ1 N:02_0_R Index,1995-09-20,137056.13725
BZ1 N:02_0_R Index,1995-09-21,130818.50929
BZ1 N:02_0_R Index,1995-09-22,132345.02047
BZ1 N:02_0_R Index,1995-09-25,129539.26329
BZ1 N:02_0_R Index,1995-09-26,129286.8734
BZ1 N:02_0_R Index,1995-09-27,128086.92039
BZ1 N:02_0_R Index,1995-09-28,128915.38319
BZ1 N:02_0_R Index,1995-09-29,133794.7687
BZ1 N:02_0_R Index,1995-10-02,127662.99052
BZ1 N:02_0_R Index,1995-10-03,127810.06202
BZ1 N:02_0_R Index,1995-10-04,123812.58316
BZ1 N:02_0_R Index,1995-10-05,125750.11712
BZ1 N:02_0_R Index,1995-10-06,125450.04337
BZ1 N:02_0_R Index,1995-10-09,123633.90559
BZ1 N:02_0_R Index,1995-10-10,122347.50969
BZ1 N:02_0_R Index,1995-10-11,126995.06707
BZ1 N:02_0_R Index,1995-10-13,126487.39134
BZ1 N:02_0_R Index,1995-10-16,127073.77203
BZ1 N:02_0_R Index,1995-10-17,129404.21716
BZ1 N:02_0_R Index,1995-10-18,127847.53298
BZ1 N:02_0_R Index,1995-10-19,126568.36656
BZ1 N:02_0_R Index,1995-10-20,128247.04571
BZ1 N:02_0_R Index,1995-10-23,121837.23205
BZ1 N:02_0_R Index,1995-10-24,122722.35061
BZ1 N:02_0_R Index,1995-10-25,115820.96736
BZ1 N:02_0_R Index,1995-10-26,107747.27549
BZ1 N:02_0_R Index,1995-10-27,111403.81344
BZ1 N:02_0_R Index,1995-10-30,107301.18642
BZ1 N:02_0_R Index,1995-10-31,110698.99962
BZ1 N:02_0_R Index,1995-11-01,108419.88788
BZ1 N:02_0_R Index,1995-11-03,111132.70952
BZ1 N:02_0_R Index,1995-11-06,108111.03815
BZ1 N:02_0_R Index,1995-11-07,111232.41081
BZ1 N:02_0_R Index,1995-11-08,109747.01203
BZ1 N:02_0_R Index,1995-11-09,109439.48769
BZ1 N:02_0_R Index,1995-11-10,104681.38625
BZ1 N:02_0_R Index,1995-11-13,101339.13019
BZ1 N:02_0_R Index,1995-11-14,101674.86743
BZ1 N:02_0_R Index,1995-11-16,106200.8255
BZ1 N:02_0_R Index,1995-11-17,107772.89632
BZ1 N:02_0_R Index,1995-11-20,103587.51066
BZ1 N:02_0_R Index,1995-11-21,107952.57889
BZ1 N:02_0_R Index,1995-11-22,108904.83025
BZ1 N:02_0_R Index,1995-11-23,111423.54006
BZ1 N:02_0_R Index,1995-11-24,107461.8175
BZ1 N:02_0_R Index,1995-11-27,111942.42487
BZ1 N:02_0_R Index,1995-11-28,108012.4461
BZ1 N:02_0_R Index,1995-11-29,113548.75539
