name,date,PX_LAST
CT1 N:02_0_R Comdty,1971-01-04,5.47034
CT1 N:02_0_R Comdty,1971-01-05,5.45617
CT1 N:02_0_R Comdty,1971-01-06,5.42675
CT1 N:02_0_R Comdty,1971-01-07,5.43581
CT1 N:02_0_R Comdty,1971-01-08,5.44483
CT1 N:02_0_R Comdty,1971-01-11,5.45014
CT1 N:02_0_R Comdty,1971-01-12,5.45182
CT1 N:02_0_R Comdty,1971-01-13,5.4699
CT1 N:02_0_R Comdty,1971-01-14,5.48434
CT1 N:02_0_R Comdty,1971-01-15,5.47986
CT1 N:02_0_R Comdty,1971-01-18,5.49037
CT1 N:02_0_R Comdty,1971-01-19,5.46478
CT1 N:02_0_R Comdty,1971-01-20,5.50031
CT1 N:02_0_R Comdty,1971-01-21,5.55271
CT1 N:02_0_R Comdty,1971-01-22,5.50881
CT1 N:02_0_R Comdty,1971-01-25,5.50997
CT1 N:02_0_R Comdty,1971-01-26,5.57355
CT1 N:02_0_R Comdty,1971-01-27,5.52233
CT1 N:02_0_R Comdty,1971-01-28,5.48798
CT1 N:02_0_R Comdty,1971-01-29,5.48812
CT1 N:02_0_R Comdty,1971-02-01,5.5114
CT1 N:02_0_R Comdty,1971-02-02,5.4786
CT1 N:02_0_R Comdty,1971-02-03,5.48015
CT1 N:02_0_R Comdty,1971-02-04,5.46587
CT1 N:02_0_R Comdty,1971-02-05,5.4786
CT1 N:02_0_R Comdty,1971-02-08,5.49017
CT1 N:02_0_R Comdty,1971-02-09,5.50536
CT1 N:02_0_R Comdty,1971-02-10,5.49545
CT1 N:02_0_R Comdty,1971-02-11,5.51539
CT1 N:02_0_R Comdty,1971-02-16,5.45583
CT1 N:02_0_R Comdty,1971-02-17,5.43937
CT1 N:02_0_R Comdty,1971-02-18,5.45365
CT1 N:02_0_R Comdty,1971-02-19,5.54574
CT1 N:02_0_R Comdty,1971-02-22,5.54574
CT1 N:02_0_R Comdty,1971-02-23,5.55573
CT1 N:02_0_R Comdty,1971-02-24,5.52675
CT1 N:02_0_R Comdty,1971-02-25,5.5545
CT1 N:02_0_R Comdty,1971-02-26,5.5947
CT1 N:02_0_R Comdty,1971-03-01,5.62147
CT1 N:02_0_R Comdty,1971-03-02,5.58248
CT1 N:02_0_R Comdty,1971-03-03,5.55214
CT1 N:02_0_R Comdty,1971-03-04,5.55994
CT1 N:02_0_R Comdty,1971-03-05,5.6165
CT1 N:02_0_R Comdty,1971-03-08,5.63888
CT1 N:02_0_R Comdty,1971-03-09,5.60527
CT1 N:02_0_R Comdty,1971-03-10,5.55633
CT1 N:02_0_R Comdty,1971-03-11,5.5365
CT1 N:02_0_R Comdty,1971-03-12,5.53624
CT1 N:02_0_R Comdty,1971-03-15,5.43822
CT1 N:02_0_R Comdty,1971-03-16,5.45012
CT1 N:02_0_R Comdty,1971-03-17,5.47354
CT1 N:02_0_R Comdty,1971-03-18,5.46796
CT1 N:02_0_R Comdty,1971-03-19,5.47061
CT1 N:02_0_R Comdty,1971-03-22,5.49883
CT1 N:02_0_R Comdty,1971-03-23,5.48681
CT1 N:02_0_R Comdty,1971-03-24,5.46605
CT1 N:02_0_R Comdty,1971-03-25,5.48643
CT1 N:02_0_R Comdty,1971-03-26,5.49527
CT1 N:02_0_R Comdty,1971-03-29,5.49212
CT1 N:02_0_R Comdty,1971-03-30,5.45466
CT1 N:02_0_R Comdty,1971-03-31,5.47642
CT1 N:02_0_R Comdty,1971-04-01,5.53119
CT1 N:02_0_R Comdty,1971-04-02,5.54432
CT1 N:02_0_R Comdty,1971-04-05,5.56362
CT1 N:02_0_R Comdty,1971-04-06,5.52756
CT1 N:02_0_R Comdty,1971-04-07,5.52576
CT1 N:02_0_R Comdty,1971-04-08,5.51471
CT1 N:02_0_R Comdty,1971-04-12,5.5836
CT1 N:02_0_R Comdty,1971-04-13,5.62456
CT1 N:02_0_R Comdty,1971-04-14,5.56643
CT1 N:02_0_R Comdty,1971-04-15,5.53393
CT1 N:02_0_R Comdty,1971-04-16,5.50497
CT1 N:02_0_R Comdty,1971-04-19,5.54976
CT1 N:02_0_R Comdty,1971-04-20,5.52578
CT1 N:02_0_R Comdty,1971-04-21,5.51775
CT1 N:02_0_R Comdty,1971-04-22,5.56672
CT1 N:02_0_R Comdty,1971-04-23,5.59088
CT1 N:02_0_R Comdty,1971-04-26,5.59088
CT1 N:02_0_R Comdty,1971-04-27,5.53179
CT1 N:02_0_R Comdty,1971-04-28,5.53146
CT1 N:02_0_R Comdty,1971-04-29,5.58621
CT1 N:02_0_R Comdty,1971-04-30,5.59233
CT1 N:02_0_R Comdty,1971-05-03,5.56835
CT1 N:02_0_R Comdty,1971-05-04,5.60511
CT1 N:02_0_R Comdty,1971-05-05,5.45441
CT1 N:02_0_R Comdty,1971-05-06,5.37673
CT1 N:02_0_R Comdty,1971-05-07,5.37847
CT1 N:02_0_R Comdty,1971-05-10,5.36029
CT1 N:02_0_R Comdty,1971-05-11,5.45047
CT1 N:02_0_R Comdty,1971-05-12,5.47126
CT1 N:02_0_R Comdty,1971-05-13,5.4445
CT1 N:02_0_R Comdty,1971-05-14,5.43518
CT1 N:02_0_R Comdty,1971-05-17,5.53469
CT1 N:02_0_R Comdty,1971-05-18,5.69272
CT1 N:02_0_R Comdty,1971-05-20,5.6644
CT1 N:02_0_R Comdty,1971-05-21,5.63257
CT1 N:02_0_R Comdty,1971-05-24,5.75845
CT1 N:02_0_R Comdty,1971-05-25,5.74797
CT1 N:02_0_R Comdty,1971-05-26,5.61968
CT1 N:02_0_R Comdty,1971-05-27,5.39119
CT1 N:02_0_R Comdty,1971-05-28,5.46634
CT1 N:02_0_R Comdty,1971-06-01,5.12073
CT1 N:02_0_R Comdty,1971-06-02,5.01012
CT1 N:02_0_R Comdty,1971-06-03,5.02805
CT1 N:02_0_R Comdty,1971-06-04,5.09657
CT1 N:02_0_R Comdty,1971-06-07,5.05176
CT1 N:02_0_R Comdty,1971-06-08,5.09854
CT1 N:02_0_R Comdty,1971-06-09,5.25098
CT1 N:02_0_R Comdty,1971-06-10,5.21565
CT1 N:02_0_R Comdty,1971-06-11,5.20882
CT1 N:02_0_R Comdty,1971-06-14,5.11033
CT1 N:02_0_R Comdty,1971-06-15,5.08452
CT1 N:02_0_R Comdty,1971-06-16,5.14832
