name,date,PX_LAST
EO1 N:02_0_R Index,1989-01-03,167.55317
EO1 N:02_0_R Index,1989-01-04,168.79665
EO1 N:02_0_R Index,1989-01-05,169.60958
EO1 N:02_0_R Index,1989-01-06,169.76029
EO1 N:02_0_R Index,1989-01-09,168.53183
EO1 N:02_0_R Index,1989-01-10,167.66942
EO1 N:02_0_R Index,1989-01-11,167.00455
EO1 N:02_0_R Index,1989-01-12,169.36255
EO1 N:02_0_R Index,1989-01-13,171.24486
EO1 N:02_0_R Index,1989-01-16,171.24152
EO1 N:02_0_R Index,1989-01-17,169.31876
EO1 N:02_0_R Index,1989-01-18,168.49124
EO1 N:02_0_R Index,1989-01-19,170.85881
EO1 N:02_0_R Index,1989-01-20,171.40604
EO1 N:02_0_R Index,1989-01-23,171.93163
EO1 N:02_0_R Index,1989-01-24,170.83753
EO1 N:02_0_R Index,1989-01-25,172.5688
EO1 N:02_0_R Index,1989-01-26,172.49861
EO1 N:02_0_R Index,1989-01-27,174.54008
EO1 N:02_0_R Index,1989-01-30,172.65496
EO1 N:02_0_R Index,1989-01-31,171.57722
EO1 N:02_0_R Index,1989-02-01,169.73095
EO1 N:02_0_R Index,1989-02-02,171.24473
EO1 N:02_0_R Index,1989-02-03,173.17171
EO1 N:02_0_R Index,1989-02-06,172.26914
EO1 N:02_0_R Index,1989-02-07,173.48865
EO1 N:02_0_R Index,1989-02-08,175.23948
EO1 N:02_0_R Index,1989-02-09,174.66039
EO1 N:02_0_R Index,1989-02-10,173.8615
EO1 N:02_0_R Index,1989-02-13,171.65972
EO1 N:02_0_R Index,1989-02-14,171.99869
EO1 N:02_0_R Index,1989-02-15,170.28258
EO1 N:02_0_R Index,1989-02-16,171.54826
EO1 N:02_0_R Index,1989-02-17,173.12152
EO1 N:02_0_R Index,1989-02-20,175.24983
EO1 N:02_0_R Index,1989-02-21,174.6888
EO1 N:02_0_R Index,1989-02-22,173.18126
EO1 N:02_0_R Index,1989-02-23,171.72588
EO1 N:02_0_R Index,1989-02-24,171.47687
EO1 N:02_0_R Index,1989-02-27,169.62166
EO1 N:02_0_R Index,1989-02-28,169.66937
EO1 N:02_0_R Index,1989-03-01,171.46785
EO1 N:02_0_R Index,1989-03-02,171.18648
EO1 N:02_0_R Index,1989-03-03,172.54305
EO1 N:02_0_R Index,1989-03-06,174.35578
EO1 N:02_0_R Index,1989-03-07,175.16849
EO1 N:02_0_R Index,1989-03-08,174.54223
EO1 N:02_0_R Index,1989-03-09,175.25927
EO1 N:02_0_R Index,1989-03-10,174.28617
EO1 N:02_0_R Index,1989-03-13,175.5072
EO1 N:02_0_R Index,1989-03-14,177.08376
EO1 N:02_0_R Index,1989-03-15,179.30813
EO1 N:02_0_R Index,1989-03-16,179.7142
EO1 N:02_0_R Index,1989-03-17,177.35551
EO1 N:02_0_R Index,1989-03-20,176.43101
EO1 N:02_0_R Index,1989-03-21,179.64509
EO1 N:02_0_R Index,1989-03-22,180.38534
EO1 N:02_0_R Index,1989-03-23,181.10116
EO1 N:02_0_R Index,1989-03-28,182.63649
EO1 N:02_0_R Index,1989-03-29,181.98697
EO1 N:02_0_R Index,1989-03-30,184.03559
EO1 N:02_0_R Index,1989-03-31,184.99004
EO1 N:02_0_R Index,1989-04-03,186.82528
EO1 N:02_0_R Index,1989-04-04,185.70071
EO1 N:02_0_R Index,1989-04-05,187.73707
EO1 N:02_0_R Index,1989-04-06,186.97399
EO1 N:02_0_R Index,1989-04-07,188.52277
