name,date,PX_LAST
ES1 N:02_0_R Index,1997-09-10,1628.49688
ES1 N:02_0_R Index,1997-09-11,1610.80366
ES1 N:02_0_R Index,1997-09-12,1630.06039
ES1 N:02_0_R Index,1997-09-15,1600.58813
ES1 N:02_0_R Index,1997-09-16,1651.09964
ES1 N:02_0_R Index,1997-09-17,1665.8975
ES1 N:02_0_R Index,1997-09-18,1672.36814
ES1 N:02_0_R Index,1997-09-19,1671.29203
ES1 N:02_0_R Index,1997-09-22,1696.87456
ES1 N:02_0_R Index,1997-09-23,1686.4328
ES1 N:02_0_R Index,1997-09-24,1657.82839
ES1 N:02_0_R Index,1997-09-25,1641.22878
ES1 N:02_0_R Index,1997-09-26,1650.66322
ES1 N:02_0_R Index,1997-09-29,1664.00779
ES1 N:02_0_R Index,1997-09-30,1648.509
ES1 N:02_0_R Index,1997-10-01,1675.29565
ES1 N:02_0_R Index,1997-10-02,1679.8976
ES1 N:02_0_R Index,1997-10-03,1681.87414
ES1 N:02_0_R Index,1997-10-06,1692.98161
ES1 N:02_0_R Index,1997-10-07,1704.36229
ES1 N:02_0_R Index,1997-10-08,1693.51191
ES1 N:02_0_R Index,1997-10-09,1694.21942
ES1 N:02_0_R Index,1997-10-10,1693.44961
ES1 N:02_0_R Index,1997-10-13,1699.67342
ES1 N:02_0_R Index,1997-10-14,1699.75469
ES1 N:02_0_R Index,1997-10-15,1695.00152
ES1 N:02_0_R Index,1997-10-16,1664.66136
ES1 N:02_0_R Index,1997-10-17,1666.9328
ES1 N:02_0_R Index,1997-10-20,1687.78766
ES1 N:02_0_R Index,1997-10-21,1737.40439
ES1 N:02_0_R Index,1997-10-22,1716.25984
ES1 N:02_0_R Index,1997-10-23,1666.39146
ES1 N:02_0_R Index,1997-10-24,1647.45947
ES1 N:02_0_R Index,1997-10-27,1512.39197
ES1 N:02_0_R Index,1997-10-28,1563.67254
ES1 N:02_0_R Index,1997-10-29,1559.06783
ES1 N:02_0_R Index,1997-10-30,1509.35239
ES1 N:02_0_R Index,1997-10-31,1538.84261
ES1 N:02_0_R Index,1997-11-03,1587.90282
ES1 N:02_0_R Index,1997-11-04,1574.76469
ES1 N:02_0_R Index,1997-11-05,1588.76121
ES1 N:02_0_R Index,1997-11-06,1580.23128
ES1 N:02_0_R Index,1997-11-07,1545.70537
ES1 N:02_0_R Index,1997-11-10,1531.56105
ES1 N:02_0_R Index,1997-11-11,1536.9387
ES1 N:02_0_R Index,1997-11-12,1512.39605
ES1 N:02_0_R Index,1997-11-13,1528.52391
ES1 N:02_0_R Index,1997-11-14,1558.32814
ES1 N:02_0_R Index,1997-11-17,1594.13359
ES1 N:02_0_R Index,1997-11-18,1574.81499
ES1 N:02_0_R Index,1997-11-19,1585.39273
ES1 N:02_0_R Index,1997-11-20,1618.24132
ES1 N:02_0_R Index,1997-11-21,1635.39763
ES1 N:02_0_R Index,1997-11-24,1589.98226
ES1 N:02_0_R Index,1997-11-25,1594.23707
ES1 N:02_0_R Index,1997-11-26,1612.4166
ES1 N:02_0_R Index,1997-11-28,1621.39973
ES1 N:02_0_R Index,1997-12-01,1670.46003
ES1 N:02_0_R Index,1997-12-02,1663.13391
ES1 N:02_0_R Index,1997-12-03,1660.29859
ES1 N:02_0_R Index,1997-12-04,1665.73116
ES1 N:02_0_R Index,1997-12-05,1689.44566
ES1 N:02_0_R Index,1997-12-08,1706.76902
ES1 N:02_0_R Index,1997-12-09,1700.14821
ES1 N:02_0_R Index,1997-12-10,1667.39279
ES1 N:02_0_R Index,1997-12-11,1621.23274
ES1 N:02_0_R Index,1997-12-12,1630.66763
ES1 N:02_0_R Index,1997-12-15,1641.8294
ES1 N:02_0_R Index,1997-12-16,1665.18041
ES1 N:02_0_R Index,1997-12-17,1646.9268
ES1 N:02_0_R Index,1997-12-18,1636.81178
ES1 N:02_0_R Index,1997-12-19,1614.17027
ES1 N:02_0_R Index,1997-12-22,1629.935
ES1 N:02_0_R Index,1997-12-23,1594.5439
ES1 N:02_0_R Index,1997-12-24,1589.72527
ES1 N:02_0_R Index,1997-12-26,1595.89712
ES1 N:02_0_R Index,1997-12-29,1647.63476
ES1 N:02_0_R Index,1997-12-30,1676.31588
ES1 N:02_0_R Index,1997-12-31,1685.22402
ES1 N:02_0_R Index,1998-01-02,1701.61442
ES1 N:02_0_R Index,1998-01-05,1727.34839
ES1 N:02_0_R Index,1998-01-06,1692.25904
ES1 N:02_0_R Index,1998-01-07,1694.3913
ES1 N:02_0_R Index,1998-01-08,1665.42088
ES1 N:02_0_R Index,1998-01-09,1615.66495
ES1 N:02_0_R Index,1998-01-12,1644.70077
ES1 N:02_0_R Index,1998-01-13,1667.92417
ES1 N:02_0_R Index,1998-01-14,1681.24727
ES1 N:02_0_R Index,1998-01-15,1681.46434
ES1 N:02_0_R Index,1998-01-16,1708.19836
ES1 N:02_0_R Index,1998-01-19,1713.20993
ES1 N:02_0_R Index,1998-01-20,1738.20527
ES1 N:02_0_R Index,1998-01-21,1697.80467
ES1 N:02_0_R Index,1998-01-22,1671.35344
ES1 N:02_0_R Index,1998-01-23,1638.91608
ES1 N:02_0_R Index,1998-01-26,1650.82912
ES1 N:02_0_R Index,1998-01-27,1664.264
ES1 N:02_0_R Index,1998-01-28,1689.11639
ES1 N:02_0_R Index,1998-01-29,1710.26664
ES1 N:02_0_R Index,1998-01-30,1720.28803
ES1 N:02_0_R Index,1998-02-02,1741.96999
ES1 N:02_0_R Index,1998-02-03,1744.28056
ES1 N:02_0_R Index,1998-02-04,1726.50592
ES1 N:02_0_R Index,1998-02-05,1714.65101
ES1 N:02_0_R Index,1998-02-06,1749.52008
ES1 N:02_0_R Index,1998-02-09,1752.92939
ES1 N:02_0_R Index,1998-02-10,1765.5279
ES1 N:02_0_R Index,1998-02-11,1763.34022
ES1 N:02_0_R Index,1998-02-12,1757.38635
ES1 N:02_0_R Index,1998-02-13,1759.9141
ES1 N:02_0_R Index,1998-02-16,1750.95972
ES1 N:02_0_R Index,1998-02-17,1782.50125
ES1 N:02_0_R Index,1998-02-18,1792.04565
ES1 N:02_0_R Index,1998-02-19,1786.56174
ES1 N:02_0_R Index,1998-02-20,1795.94046
ES1 N:02_0_R Index,1998-02-23,1773.86848
ES1 N:02_0_R Index,1998-02-24,1769.61097
ES1 N:02_0_R Index,1998-02-25,1808.18851
ES1 N:02_0_R Index,1998-02-26,1814.22833
ES1 N:02_0_R Index,1998-02-27,1814.36242
ES1 N:02_0_R Index,1998-03-02,1812.38628
ES1 N:02_0_R Index,1998-03-03,1824.48934
ES1 N:02_0_R Index,1998-03-04,1824.11036
ES1 N:02_0_R Index,1998-03-05,1818.08985
ES1 N:02_0_R Index,1998-03-06,1856.08402
ES1 N:02_0_R Index,1998-03-09,1848.94823
ES1 N:02_0_R Index,1998-03-10,1871.12852
ES1 N:02_0_R Index,1998-03-11,1874.51022
ES1 N:02_0_R Index,1998-03-12,1875.08788
ES1 N:02_0_R Index,1998-03-13,1854.73304
ES1 N:02_0_R Index,1998-03-16,1884.00438
ES1 N:02_0_R Index,1998-03-17,1888.6204
ES1 N:02_0_R Index,1998-03-18,1906.94564
ES1 N:02_0_R Index,1998-03-19,1916.97326
ES1 N:02_0_R Index,1998-03-20,1937.64346
ES1 N:02_0_R Index,1998-03-23,1923.24985
ES1 N:02_0_R Index,1998-03-24,1938.69468
ES1 N:02_0_R Index,1998-03-25,1939.40878
ES1 N:02_0_R Index,1998-03-26,1923.96674
ES1 N:02_0_R Index,1998-03-27,1931.87852
ES1 N:02_0_R Index,1998-03-30,1957.7969
ES1 N:02_0_R Index,1998-03-31,1971.12097
ES1 N:02_0_R Index,1998-04-01,1996.20586
ES1 N:02_0_R Index,1998-04-02,2016.33208
ES1 N:02_0_R Index,1998-04-03,2021.74507
ES1 N:02_0_R Index,1998-04-06,2003.42661
ES1 N:02_0_R Index,1998-04-07,1992.72349
ES1 N:02_0_R Index,1998-04-08,1951.33171
ES1 N:02_0_R Index,1998-04-09,1973.4079
ES1 N:02_0_R Index,1998-04-13,1964.88823
ES1 N:02_0_R Index,1998-04-14,1956.11673
ES1 N:02_0_R Index,1998-04-15,1965.9719
ES1 N:02_0_R Index,1998-04-16,1955.31576
ES1 N:02_0_R Index,1998-04-17,1974.36835
ES1 N:02_0_R Index,1998-04-20,1966.48997
ES1 N:02_0_R Index,1998-04-21,1954.93685
ES1 N:02_0_R Index,1998-04-22,1963.27554
ES1 N:02_0_R Index,1998-04-23,1956.49489
ES1 N:02_0_R Index,1998-04-24,1931.49296
ES1 N:02_0_R Index,1998-04-27,1891.97323
ES1 N:02_0_R Index,1998-04-28,1897.63375
ES1 N:02_0_R Index,1998-04-29,1913.50978
ES1 N:02_0_R Index,1998-04-30,1957.4577
ES1 N:02_0_R Index,1998-05-01,1959.45431
ES1 N:02_0_R Index,1998-05-04,1956.47306
ES1 N:02_0_R Index,1998-05-05,1937.11975
ES1 N:02_0_R Index,1998-05-06,1899.89764
ES1 N:02_0_R Index,1998-05-07,1881.72532
ES1 N:02_0_R Index,1998-05-08,1924.13472
ES1 N:02_0_R Index,1998-05-11,1925.26977
ES1 N:02_0_R Index,1998-05-12,1933.00106
ES1 N:02_0_R Index,1998-05-13,1937.88643
ES1 N:02_0_R Index,1998-05-14,1931.04051
ES1 N:02_0_R Index,1998-05-15,1926.99798
ES1 N:02_0_R Index,1998-05-18,1919.24926
ES1 N:02_0_R Index,1998-05-19,1927.12845
ES1 N:02_0_R Index,1998-05-20,1932.25836
ES1 N:02_0_R Index,1998-05-21,1906.35707
ES1 N:02_0_R Index,1998-05-22,1898.85236
ES1 N:02_0_R Index,1998-05-25,1913.77467
ES1 N:02_0_R Index,1998-05-26,1875.20778
ES1 N:02_0_R Index,1998-05-27,1882.44769
ES1 N:02_0_R Index,1998-05-28,1892.80221
ES1 N:02_0_R Index,1998-05-29,1882.8464
ES1 N:02_0_R Index,1998-06-01,1882.45188
ES1 N:02_0_R Index,1998-06-02,1888.03229
ES1 N:02_0_R Index,1998-06-03,1852.35437
ES1 N:02_0_R Index,1998-06-04,1873.71023
ES1 N:02_0_R Index,1998-06-05,1921.08427
ES1 N:02_0_R Index,1998-06-08,1921.91564
ES1 N:02_0_R Index,1998-06-09,1924.78318
ES1 N:02_0_R Index,1998-06-10,1927.99365
ES1 N:02_0_R Index,1998-06-11,1898.86447
ES1 N:02_0_R Index,1998-06-12,1916.72058
ES1 N:02_0_R Index,1998-06-15,1887.38526
ES1 N:02_0_R Index,1998-06-16,1898.62366
ES1 N:02_0_R Index,1998-06-17,1927.39251
ES1 N:02_0_R Index,1998-06-18,1929.1525
ES1 N:02_0_R Index,1998-06-19,1912.81347
ES1 N:02_0_R Index,1998-06-22,1928.02503
ES1 N:02_0_R Index,1998-06-23,1960.27558
ES1 N:02_0_R Index,1998-06-24,1989.14422
ES1 N:02_0_R Index,1998-06-25,1992.91822
ES1 N:02_0_R Index,1998-06-26,2019.98758
ES1 N:02_0_R Index,1998-06-29,2026.10014
ES1 N:02_0_R Index,1998-06-30,1996.26139
ES1 N:02_0_R Index,1998-07-01,2036.89671
ES1 N:02_0_R Index,1998-07-02,2045.54313
ES1 N:02_0_R Index,1998-07-03,2041.54011
ES1 N:02_0_R Index,1998-07-06,2055.88507
ES1 N:02_0_R Index,1998-07-07,2052.06425
ES1 N:02_0_R Index,1998-07-08,2068.80305
ES1 N:02_0_R Index,1998-07-09,2074.56646
ES1 N:02_0_R Index,1998-07-10,2080.61391
ES1 N:02_0_R Index,1998-07-13,2051.04858
ES1 N:02_0_R Index,1998-07-14,2075.84345
ES1 N:02_0_R Index,1998-07-15,2063.99487
ES1 N:02_0_R Index,1998-07-16,2066.66672
ES1 N:02_0_R Index,1998-07-17,2071.91276
ES1 N:02_0_R Index,1998-07-20,2070.70771
ES1 N:02_0_R Index,1998-07-21,2043.8958
ES1 N:02_0_R Index,1998-07-22,2039.72265
ES1 N:02_0_R Index,1998-07-23,1993.93943
ES1 N:02_0_R Index,1998-07-24,1974.76694
ES1 N:02_0_R Index,1998-07-27,1991.97105
ES1 N:02_0_R Index,1998-07-28,1947.31644
ES1 N:02_0_R Index,1998-07-29,1934.25149
ES1 N:02_0_R Index,1998-07-30,1966.90349
ES1 N:02_0_R Index,1998-07-31,1930.66314
ES1 N:02_0_R Index,1998-08-03,1935.24317
ES1 N:02_0_R Index,1998-08-04,1845.18473
