name,date,PX_LAST
GC1 N:02_0_R Comdty,1975-01-03,4709.47494
GC1 N:02_0_R Comdty,1975-01-06,4708.44795
GC1 N:02_0_R Comdty,1975-01-07,4681.44997
GC1 N:02_0_R Comdty,1975-01-08,4870.89756
GC1 N:02_0_R Comdty,1975-01-09,4865.59672
GC1 N:02_0_R Comdty,1975-01-10,4948.62206
GC1 N:02_0_R Comdty,1975-01-13,4869.97795
GC1 N:02_0_R Comdty,1975-01-14,4901.37261
GC1 N:02_0_R Comdty,1975-01-15,4854.36318
GC1 N:02_0_R Comdty,1975-01-16,4783.12258
GC1 N:02_0_R Comdty,1975-01-17,4695.12261
GC1 N:02_0_R Comdty,1975-01-20,4729.45038
GC1 N:02_0_R Comdty,1975-01-21,4642.54654
GC1 N:02_0_R Comdty,1975-01-22,4694.97815
GC1 N:02_0_R Comdty,1975-01-23,4698.17291
GC1 N:02_0_R Comdty,1975-01-24,4727.57537
GC1 N:02_0_R Comdty,1975-01-27,4544.01744
GC1 N:02_0_R Comdty,1975-01-28,4629.58171
GC1 N:02_0_R Comdty,1975-01-29,4788.01923
GC1 N:02_0_R Comdty,1975-01-30,4669.21669
GC1 N:02_0_R Comdty,1975-01-31,4664.72498
GC1 N:02_0_R Comdty,1975-02-03,4718.6462
GC1 N:02_0_R Comdty,1975-02-04,4743.56804
GC1 N:02_0_R Comdty,1975-02-05,4714.3411
GC1 N:02_0_R Comdty,1975-02-06,4679.787
GC1 N:02_0_R Comdty,1975-02-07,4693.29865
GC1 N:02_0_R Comdty,1975-02-10,4615.65965
GC1 N:02_0_R Comdty,1975-02-11,4653.14279
GC1 N:02_0_R Comdty,1975-02-13,4823.47883
GC1 N:02_0_R Comdty,1975-02-14,4791.76526
GC1 N:02_0_R Comdty,1975-02-18,4803.55484
GC1 N:02_0_R Comdty,1975-02-19,4833.87861
GC1 N:02_0_R Comdty,1975-02-20,4831.01793
GC1 N:02_0_R Comdty,1975-02-21,4783.74763
GC1 N:02_0_R Comdty,1975-02-24,4770.58598
GC1 N:02_0_R Comdty,1975-02-25,4695.34929
GC1 N:02_0_R Comdty,1975-02-26,4681.68579
GC1 N:02_0_R Comdty,1975-02-27,4590.24342
GC1 N:02_0_R Comdty,1975-02-28,4618.38508
GC1 N:02_0_R Comdty,1975-03-03,4605.98927
GC1 N:02_0_R Comdty,1975-03-04,4540.00869
GC1 N:02_0_R Comdty,1975-03-05,4572.35411
GC1 N:02_0_R Comdty,1975-03-06,4632.34785
GC1 N:02_0_R Comdty,1975-03-07,4624.3507
GC1 N:02_0_R Comdty,1975-03-10,4597.98477
GC1 N:02_0_R Comdty,1975-03-11,4669.50504
GC1 N:02_0_R Comdty,1975-03-12,4649.95248
GC1 N:02_0_R Comdty,1975-03-13,4694.7983
GC1 N:02_0_R Comdty,1975-03-14,4668.05716
GC1 N:02_0_R Comdty,1975-03-17,4679.27728
GC1 N:02_0_R Comdty,1975-03-18,4630.74855
GC1 N:02_0_R Comdty,1975-03-19,4631.4393
GC1 N:02_0_R Comdty,1975-03-20,4567.32654
GC1 N:02_0_R Comdty,1975-03-21,4596.11349
