name,date,PX_LAST
HI1 N:02_0_R Index,1992-04-02,690.36198
HI1 N:02_0_R Index,1992-04-03,681.89823
HI1 N:02_0_R Index,1992-04-06,680.78602
HI1 N:02_0_R Index,1992-04-07,687.79779
HI1 N:02_0_R Index,1992-04-08,674.51811
HI1 N:02_0_R Index,1992-04-09,656.38359
HI1 N:02_0_R Index,1992-04-10,694.78706
HI1 N:02_0_R Index,1992-04-13,695.23894
HI1 N:02_0_R Index,1992-04-14,693.55994
HI1 N:02_0_R Index,1992-04-15,716.45613
HI1 N:02_0_R Index,1992-04-16,734.25043
HI1 N:02_0_R Index,1992-04-21,734.31011
HI1 N:02_0_R Index,1992-04-22,752.58961
HI1 N:02_0_R Index,1992-04-23,763.34566
HI1 N:02_0_R Index,1992-04-24,760.17733
HI1 N:02_0_R Index,1992-04-27,771.91522
HI1 N:02_0_R Index,1992-04-28,755.31406
HI1 N:02_0_R Index,1992-04-29,755.39462
HI1 N:02_0_R Index,1992-04-30,754.62927
HI1 N:02_0_R Index,1992-05-01,769.24249
HI1 N:02_0_R Index,1992-05-04,787.59019
HI1 N:02_0_R Index,1992-05-05,789.09689
HI1 N:02_0_R Index,1992-05-06,783.46838
HI1 N:02_0_R Index,1992-05-07,798.99489
HI1 N:02_0_R Index,1992-05-08,800.32711
HI1 N:02_0_R Index,1992-05-11,799.80368
HI1 N:02_0_R Index,1992-05-12,803.4548
HI1 N:02_0_R Index,1992-05-13,805.62595
HI1 N:02_0_R Index,1992-05-14,798.10426
HI1 N:02_0_R Index,1992-05-15,796.56572
HI1 N:02_0_R Index,1992-05-18,778.26708
HI1 N:02_0_R Index,1992-05-19,774.66692
HI1 N:02_0_R Index,1992-05-20,800.01899
HI1 N:02_0_R Index,1992-05-21,819.03659
HI1 N:02_0_R Index,1992-05-22,817.75026
HI1 N:02_0_R Index,1992-05-25,832.6229
HI1 N:02_0_R Index,1992-05-26,828.56262
HI1 N:02_0_R Index,1992-05-27,837.17243
HI1 N:02_0_R Index,1992-05-28,826.86023
HI1 N:02_0_R Index,1992-05-29,829.47012
HI1 N:02_0_R Index,1992-06-01,827.11163
HI1 N:02_0_R Index,1992-06-02,827.91639
HI1 N:02_0_R Index,1992-06-03,827.26474
HI1 N:02_0_R Index,1992-06-04,825.48506
HI1 N:02_0_R Index,1992-06-08,809.9498
HI1 N:02_0_R Index,1992-06-09,801.70915
HI1 N:02_0_R Index,1992-06-10,790.31113
HI1 N:02_0_R Index,1992-06-11,781.59087
HI1 N:02_0_R Index,1992-06-12,767.55804
HI1 N:02_0_R Index,1992-06-16,766.07748
HI1 N:02_0_R Index,1992-06-17,767.31333
HI1 N:02_0_R Index,1992-06-18,757.79015
HI1 N:02_0_R Index,1992-06-19,762.70837
HI1 N:02_0_R Index,1992-06-22,754.5328
HI1 N:02_0_R Index,1992-06-23,775.58314
HI1 N:02_0_R Index,1992-06-24,773.18399
HI1 N:02_0_R Index,1992-06-25,785.55652
HI1 N:02_0_R Index,1992-06-26,779.33171
HI1 N:02_0_R Index,1992-06-29,765.05789
