name,date,PX_LAST
KC1 N:02_0_R Comdty,1972-08-17,29.4462
KC1 N:02_0_R Comdty,1972-08-18,29.44076
KC1 N:02_0_R Comdty,1972-08-21,29.46874
KC1 N:02_0_R Comdty,1972-08-22,29.39568
KC1 N:02_0_R Comdty,1972-08-23,29.37392
KC1 N:02_0_R Comdty,1972-08-24,28.6971
KC1 N:02_0_R Comdty,1972-08-25,28.80526
KC1 N:02_0_R Comdty,1972-08-28,28.63083
KC1 N:02_0_R Comdty,1972-08-29,28.79964
KC1 N:02_0_R Comdty,1972-08-30,29.23314
KC1 N:02_0_R Comdty,1972-08-31,29.5288
KC1 N:02_0_R Comdty,1972-09-01,29.91537
KC1 N:02_0_R Comdty,1972-09-05,30.72323
KC1 N:02_0_R Comdty,1972-09-06,30.63385
KC1 N:02_0_R Comdty,1972-09-07,30.30702
KC1 N:02_0_R Comdty,1972-09-08,30.12717
KC1 N:02_0_R Comdty,1972-09-11,29.35228
KC1 N:02_0_R Comdty,1972-09-12,29.65563
KC1 N:02_0_R Comdty,1972-09-13,29.50928
KC1 N:02_0_R Comdty,1972-09-14,29.92231
KC1 N:02_0_R Comdty,1972-09-15,30.1479
KC1 N:02_0_R Comdty,1972-09-18,30.36743
KC1 N:02_0_R Comdty,1972-09-19,30.30191
KC1 N:02_0_R Comdty,1972-09-20,30.03039
KC1 N:02_0_R Comdty,1972-09-21,30.06626
KC1 N:02_0_R Comdty,1972-09-22,30.29871
KC1 N:02_0_R Comdty,1972-09-25,30.34587
KC1 N:02_0_R Comdty,1972-09-26,30.07317
KC1 N:02_0_R Comdty,1972-09-27,30.20356
KC1 N:02_0_R Comdty,1972-09-28,30.42108
KC1 N:02_0_R Comdty,1972-09-29,30.50599
KC1 N:02_0_R Comdty,1972-10-02,30.67684
KC1 N:02_0_R Comdty,1972-10-03,30.79618
KC1 N:02_0_R Comdty,1972-10-04,30.56825
KC1 N:02_0_R Comdty,1972-10-05,30.71851
KC1 N:02_0_R Comdty,1972-10-06,30.73753
KC1 N:02_0_R Comdty,1972-10-09,30.73753
KC1 N:02_0_R Comdty,1972-10-10,30.83244
KC1 N:02_0_R Comdty,1972-10-11,30.8614
KC1 N:02_0_R Comdty,1972-10-12,30.72768
KC1 N:02_0_R Comdty,1972-10-13,30.70046
KC1 N:02_0_R Comdty,1972-10-16,30.7732
KC1 N:02_0_R Comdty,1972-10-17,30.74275
KC1 N:02_0_R Comdty,1972-10-18,30.45625
KC1 N:02_0_R Comdty,1972-10-19,30.4394
KC1 N:02_0_R Comdty,1972-10-20,30.5499
KC1 N:02_0_R Comdty,1972-10-23,30.5499
