name,date,PX_LAST
LC1 N:02_0_R Comdty,1971-01-04,1.49591
LC1 N:02_0_R Comdty,1971-01-05,1.48987
LC1 N:02_0_R Comdty,1971-01-06,1.48458
LC1 N:02_0_R Comdty,1971-01-07,1.47522
LC1 N:02_0_R Comdty,1971-01-08,1.48058
LC1 N:02_0_R Comdty,1971-01-11,1.48291
LC1 N:02_0_R Comdty,1971-01-12,1.5034
LC1 N:02_0_R Comdty,1971-01-13,1.51742
LC1 N:02_0_R Comdty,1971-01-14,1.5393
LC1 N:02_0_R Comdty,1971-01-15,1.5309
LC1 N:02_0_R Comdty,1971-01-18,1.56007
LC1 N:02_0_R Comdty,1971-01-19,1.60805
LC1 N:02_0_R Comdty,1971-01-20,1.59278
LC1 N:02_0_R Comdty,1971-01-21,1.59304
LC1 N:02_0_R Comdty,1971-01-22,1.58584
LC1 N:02_0_R Comdty,1971-01-25,1.62856
LC1 N:02_0_R Comdty,1971-01-26,1.63301
LC1 N:02_0_R Comdty,1971-01-27,1.6235
LC1 N:02_0_R Comdty,1971-01-28,1.64037
LC1 N:02_0_R Comdty,1971-01-29,1.66546
LC1 N:02_0_R Comdty,1971-02-01,1.71827
LC1 N:02_0_R Comdty,1971-02-02,1.71831
LC1 N:02_0_R Comdty,1971-02-03,1.70788
LC1 N:02_0_R Comdty,1971-02-04,1.70664
LC1 N:02_0_R Comdty,1971-02-05,1.69264
LC1 N:02_0_R Comdty,1971-02-08,1.69264
LC1 N:02_0_R Comdty,1971-02-09,1.72124
LC1 N:02_0_R Comdty,1971-02-10,1.72795
LC1 N:02_0_R Comdty,1971-02-11,1.73302
LC1 N:02_0_R Comdty,1971-02-12,1.74225
LC1 N:02_0_R Comdty,1971-02-16,1.72648
LC1 N:02_0_R Comdty,1971-02-17,1.70671
LC1 N:02_0_R Comdty,1971-02-18,1.69085
LC1 N:02_0_R Comdty,1971-02-19,1.69201
LC1 N:02_0_R Comdty,1971-02-22,1.72344
LC1 N:02_0_R Comdty,1971-02-23,1.70495
LC1 N:02_0_R Comdty,1971-02-24,1.67031
LC1 N:02_0_R Comdty,1971-02-25,1.65935
LC1 N:02_0_R Comdty,1971-02-26,1.6566
LC1 N:02_0_R Comdty,1971-03-01,1.6686
LC1 N:02_0_R Comdty,1971-03-02,1.68635
LC1 N:02_0_R Comdty,1971-03-03,1.67388
LC1 N:02_0_R Comdty,1971-03-04,1.67765
LC1 N:02_0_R Comdty,1971-03-05,1.67758
LC1 N:02_0_R Comdty,1971-03-08,1.66919
LC1 N:02_0_R Comdty,1971-03-09,1.67411
LC1 N:02_0_R Comdty,1971-03-10,1.67392
LC1 N:02_0_R Comdty,1971-03-11,1.67415
LC1 N:02_0_R Comdty,1971-03-12,1.67276
LC1 N:02_0_R Comdty,1971-03-15,1.70682
LC1 N:02_0_R Comdty,1971-03-16,1.70278
LC1 N:02_0_R Comdty,1971-03-17,1.69195
LC1 N:02_0_R Comdty,1971-03-18,1.70598
LC1 N:02_0_R Comdty,1971-03-19,1.70818
