name,date,PX_LAST
LMAHDS03 LME N:02_0_R Comdty,1987-06-01,2321.05
LMAHDS03 LME N:02_0_R Comdty,1987-06-02,2278.128
LMAHDS03 LME N:02_0_R Comdty,1987-06-03,2298.9582
LMAHDS03 LME N:02_0_R Comdty,1987-06-04,2307.8725
LMAHDS03 LME N:02_0_R Comdty,1987-06-05,2346.24
LMAHDS03 LME N:02_0_R Comdty,1987-06-08,2391.8895
LMAHDS03 LME N:02_0_R Comdty,1987-06-09,2336.1975
LMAHDS03 LME N:02_0_R Comdty,1987-06-10,2355.408
LMAHDS03 LME N:02_0_R Comdty,1987-06-11,2320.976
LMAHDS03 LME N:02_0_R Comdty,1987-06-12,2383.5
LMAHDS03 LME N:02_0_R Comdty,1987-06-15,2388.2375
LMAHDS03 LME N:02_0_R Comdty,1987-06-16,2398.617
LMAHDS03 LME N:02_0_R Comdty,1987-06-17,2391.48
LMAHDS03 LME N:02_0_R Comdty,1987-06-18,2392.248
LMAHDS03 LME N:02_0_R Comdty,1987-06-19,2406.282
LMAHDS03 LME N:02_0_R Comdty,1987-06-22,2411.973
LMAHDS03 LME N:02_0_R Comdty,1987-06-23,2372.678
LMAHDS03 LME N:02_0_R Comdty,1987-06-24,2371.5435
LMAHDS03 LME N:02_0_R Comdty,1987-06-25,2362.045
LMAHDS03 LME N:02_0_R Comdty,1987-06-26,2342.9315
LMAHDS03 LME N:02_0_R Comdty,1987-06-29,2357.578
LMAHDS03 LME N:02_0_R Comdty,1987-06-30,2371.7575
LMAHDS03 LME N:02_0_R Comdty,1987-07-01,2408.4075
LMAHDS03 LME N:02_0_R Comdty,1987-07-02,2412.37
LMAHDS03 LME N:02_0_R Comdty,1987-07-03,2423.0981
LMAHDS03 LME N:02_0_R Comdty,1987-07-06,2450.5965
LMAHDS03 LME N:02_0_R Comdty,1987-07-07,2493.5625
LMAHDS03 LME N:02_0_R Comdty,1987-07-08,2460.0548
LMAHDS03 LME N:02_0_R Comdty,1987-07-09,2439.115
LMAHDS03 LME N:02_0_R Comdty,1987-07-10,2495.61
LMAHDS03 LME N:02_0_R Comdty,1987-07-13,2466.885
LMAHDS03 LME N:02_0_R Comdty,1987-07-14,2480.205
LMAHDS03 LME N:02_0_R Comdty,1987-07-15,2429.185
LMAHDS03 LME N:02_0_R Comdty,1987-07-16,2484.95
LMAHDS03 LME N:02_0_R Comdty,1987-07-17,2499.2125
LMAHDS03 LME N:02_0_R Comdty,1987-07-20,2519.5625
LMAHDS03 LME N:02_0_R Comdty,1987-07-21,2492.28
LMAHDS03 LME N:02_0_R Comdty,1987-07-22,2542.841
LMAHDS03 LME N:02_0_R Comdty,1987-07-23,2528.365
LMAHDS03 LME N:02_0_R Comdty,1987-07-24,2526.72
LMAHDS03 LME N:02_0_R Comdty,1987-07-27,2526.7096
LMAHDS03 LME N:02_0_R Comdty,1987-07-28,2534.0742
LMAHDS03 LME N:02_0_R Comdty,1987-07-29,2561.8515
LMAHDS03 LME N:02_0_R Comdty,1987-08-03,2623.256
LMAHDS03 LME N:02_0_R Comdty,1987-08-04,2642.08
LMAHDS03 LME N:02_0_R Comdty,1987-08-05,2624.3875
LMAHDS03 LME N:02_0_R Comdty,1987-08-06,2614.788
LMAHDS03 LME N:02_0_R Comdty,1987-08-07,2594.625
LMAHDS03 LME N:02_0_R Comdty,1987-08-10,2685.9645
LMAHDS03 LME N:02_0_R Comdty,1987-08-11,2712.784
LMAHDS03 LME N:02_0_R Comdty,1987-08-12,2697.1805
LMAHDS03 LME N:02_0_R Comdty,1987-08-13,2677.86
LMAHDS03 LME N:02_0_R Comdty,1987-08-14,2664.18
LMAHDS03 LME N:02_0_R Comdty,1987-08-17,2716.4544
LMAHDS03 LME N:02_0_R Comdty,1987-08-18,2638.656
LMAHDS03 LME N:02_0_R Comdty,1987-08-19,2628.633
LMAHDS03 LME N:02_0_R Comdty,1987-08-20,2650.375
LMAHDS03 LME N:02_0_R Comdty,1987-08-21,2663.319
LMAHDS03 LME N:02_0_R Comdty,1987-08-24,2552.385
LMAHDS03 LME N:02_0_R Comdty,1987-08-25,2622.735
LMAHDS03 LME N:02_0_R Comdty,1987-08-26,2541.76
LMAHDS03 LME N:02_0_R Comdty,1987-08-27,2567.96
LMAHDS03 LME N:02_0_R Comdty,1987-08-28,2480.0364
LMAHDS03 LME N:02_0_R Comdty,1987-09-01,2500.825
LMAHDS03 LME N:02_0_R Comdty,1987-09-02,2322.84
LMAHDS03 LME N:02_0_R Comdty,1987-09-03,2355.004
LMAHDS03 LME N:02_0_R Comdty,1987-09-04,2408.94
LMAHDS03 LME N:02_0_R Comdty,1987-09-07,2443.141
LMAHDS03 LME N:02_0_R Comdty,1987-09-08,2458.0008
LMAHDS03 LME N:02_0_R Comdty,1987-09-09,2453.55
LMAHDS03 LME N:02_0_R Comdty,1987-09-10,2432.496
LMAHDS03 LME N:02_0_R Comdty,1987-09-11,2466.7775
LMAHDS03 LME N:02_0_R Comdty,1987-09-14,2556.06
LMAHDS03 LME N:02_0_R Comdty,1987-09-15,2558.16
LMAHDS03 LME N:02_0_R Comdty,1987-09-16,2567.73
LMAHDS03 LME N:02_0_R Comdty,1987-09-17,2584.505
LMAHDS03 LME N:02_0_R Comdty,1987-09-18,2626.7085
LMAHDS03 LME N:02_0_R Comdty,1987-09-21,2702.0135
LMAHDS03 LME N:02_0_R Comdty,1987-09-22,2631.46
LMAHDS03 LME N:02_0_R Comdty,1987-09-23,2637.8
LMAHDS03 LME N:02_0_R Comdty,1987-09-24,2734.729
LMAHDS03 LME N:02_0_R Comdty,1987-09-25,2743.0095
LMAHDS03 LME N:02_0_R Comdty,1987-09-28,2770.62
LMAHDS03 LME N:02_0_R Comdty,1987-09-29,2790.06
LMAHDS03 LME N:02_0_R Comdty,1987-09-30,2768.148
LMAHDS03 LME N:02_0_R Comdty,1987-10-01,2799.55
LMAHDS03 LME N:02_0_R Comdty,1987-10-02,2794.064
LMAHDS03 LME N:02_0_R Comdty,1987-10-05,2871.385
LMAHDS03 LME N:02_0_R Comdty,1987-10-06,2885.3695
LMAHDS03 LME N:02_0_R Comdty,1987-10-07,2819.4
LMAHDS03 LME N:02_0_R Comdty,1987-10-08,2839.969
LMAHDS03 LME N:02_0_R Comdty,1987-10-09,2882.19
LMAHDS03 LME N:02_0_R Comdty,1987-10-12,2844.465
LMAHDS03 LME N:02_0_R Comdty,1987-10-13,2936.172
LMAHDS03 LME N:02_0_R Comdty,1987-10-14,2927.925
LMAHDS03 LME N:02_0_R Comdty,1987-10-15,2950.2
