name,date,PX_LAST
MES1 N:02_0_R Index,2009-09-09,845.14064
MES1 N:02_0_R Index,2009-09-10,856.13264
MES1 N:02_0_R Index,2009-09-11,851.23042
MES1 N:02_0_R Index,2009-09-14,852.96683
MES1 N:02_0_R Index,2009-09-15,859.28656
MES1 N:02_0_R Index,2009-09-16,879.02086
MES1 N:02_0_R Index,2009-09-17,867.96807
MES1 N:02_0_R Index,2009-09-18,868.57853
MES1 N:02_0_R Index,2009-09-21,865.90263
MES1 N:02_0_R Index,2009-09-22,873.19561
MES1 N:02_0_R Index,2009-09-23,862.58301
MES1 N:02_0_R Index,2009-09-24,845.35624
MES1 N:02_0_R Index,2009-09-25,849.80465
MES1 N:02_0_R Index,2009-09-28,865.8402
MES1 N:02_0_R Index,2009-09-29,868.86563
MES1 N:02_0_R Index,2009-09-30,875.25935
MES1 N:02_0_R Index,2009-10-01,855.97327
MES1 N:02_0_R Index,2009-10-02,849.08148
MES1 N:02_0_R Index,2009-10-05,870.65227
MES1 N:02_0_R Index,2009-10-06,878.86562
MES1 N:02_0_R Index,2009-10-07,884.68353
MES1 N:02_0_R Index,2009-10-08,889.52229
MES1 N:02_0_R Index,2009-10-09,898.73783
MES1 N:02_0_R Index,2009-10-12,897.03314
MES1 N:02_0_R Index,2009-10-13,895.08424
MES1 N:02_0_R Index,2009-10-14,920.16972
MES1 N:02_0_R Index,2009-10-15,912.39084
MES1 N:02_0_R Index,2009-10-16,903.7245
MES1 N:02_0_R Index,2009-10-19,916.00392
MES1 N:02_0_R Index,2009-10-20,904.2695
MES1 N:02_0_R Index,2009-10-21,889.96313
MES1 N:02_0_R Index,2009-10-22,899.78589
MES1 N:02_0_R Index,2009-10-23,892.146
MES1 N:02_0_R Index,2009-10-26,893.88741
MES1 N:02_0_R Index,2009-10-27,881.3727
MES1 N:02_0_R Index,2009-10-28,847.92944
MES1 N:02_0_R Index,2009-10-29,875.99611
MES1 N:02_0_R Index,2009-10-30,841.01142
MES1 N:02_0_R Index,2009-11-02,852.48038
MES1 N:02_0_R Index,2009-11-03,856.89573
MES1 N:02_0_R Index,2009-11-04,868.72046
MES1 N:02_0_R Index,2009-11-05,879.07138
MES1 N:02_0_R Index,2009-11-06,880.9284
MES1 N:02_0_R Index,2009-11-09,902.90575
MES1 N:02_0_R Index,2009-11-10,900.82449
MES1 N:02_0_R Index,2009-11-11,905.81303
MES1 N:02_0_R Index,2009-11-12,893.04474
MES1 N:02_0_R Index,2009-11-13,899.2793
MES1 N:02_0_R Index,2009-11-16,921.06898
MES1 N:02_0_R Index,2009-11-17,926.20333
MES1 N:02_0_R Index,2009-11-18,911.23742
MES1 N:02_0_R Index,2009-11-19,900.2798
MES1 N:02_0_R Index,2009-11-20,902.58669
MES1 N:02_0_R Index,2009-11-23,913.58175
MES1 N:02_0_R Index,2009-11-24,904.85391
MES1 N:02_0_R Index,2009-11-25,906.43512
MES1 N:02_0_R Index,2009-11-27,876.64907
MES1 N:02_0_R Index,2009-11-30,882.93659
MES1 N:02_0_R Index,2009-12-01,901.60264
MES1 N:02_0_R Index,2009-12-02,908.80568
MES1 N:02_0_R Index,2009-12-03,899.1325
MES1 N:02_0_R Index,2009-12-04,918.48228
MES1 N:02_0_R Index,2009-12-07,914.36001
MES1 N:02_0_R Index,2009-12-08,908.19796
MES1 N:02_0_R Index,2009-12-09,915.51374
MES1 N:02_0_R Index,2009-12-10,915.4902
MES1 N:02_0_R Index,2009-12-11,926.93874
MES1 N:02_0_R Index,2009-12-14,930.45614
MES1 N:02_0_R Index,2009-12-15,930.78846
MES1 N:02_0_R Index,2009-12-16,929.10964
MES1 N:02_0_R Index,2009-12-17,916.14582
MES1 N:02_0_R Index,2009-12-18,907.23317
MES1 N:02_0_R Index,2009-12-21,907.2251
MES1 N:02_0_R Index,2009-12-22,916.5748
MES1 N:02_0_R Index,2009-12-23,918.07353
MES1 N:02_0_R Index,2009-12-24,926.87873
MES1 N:02_0_R Index,2009-12-28,933.12449
MES1 N:02_0_R Index,2009-12-29,930.62131
MES1 N:02_0_R Index,2009-12-30,931.53599
MES1 N:02_0_R Index,2009-12-31,933.49329
MES1 N:02_0_R Index,2010-01-04,958.5141
MES1 N:02_0_R Index,2010-01-05,965.3483
MES1 N:02_0_R Index,2010-01-06,967.59952
MES1 N:02_0_R Index,2010-01-07,965.15651
MES1 N:02_0_R Index,2010-01-08,965.24932
MES1 N:02_0_R Index,2010-01-11,957.0556
MES1 N:02_0_R Index,2010-01-12,944.83796
MES1 N:02_0_R Index,2010-01-13,947.89957
MES1 N:02_0_R Index,2010-01-14,947.53013
MES1 N:02_0_R Index,2010-01-15,939.19169
MES1 N:02_0_R Index,2010-01-19,968.91959
MES1 N:02_0_R Index,2010-01-20,949.40836
MES1 N:02_0_R Index,2010-01-21,921.5029
MES1 N:02_0_R Index,2010-01-22,898.06096
MES1 N:02_0_R Index,2010-01-25,905.82996
MES1 N:02_0_R Index,2010-01-26,890.02878
MES1 N:02_0_R Index,2010-01-27,892.03301
MES1 N:02_0_R Index,2010-01-28,890.5844
MES1 N:02_0_R Index,2010-01-29,888.1256
MES1 N:02_0_R Index,2010-02-01,910.22838
MES1 N:02_0_R Index,2010-02-02,910.20056
MES1 N:02_0_R Index,2010-02-03,915.37956
MES1 N:02_0_R Index,2010-02-04,878.00046
MES1 N:02_0_R Index,2010-02-05,880.35641
MES1 N:02_0_R Index,2010-02-08,865.23532
MES1 N:02_0_R Index,2010-02-09,887.18212
MES1 N:02_0_R Index,2010-02-10,888.12882
MES1 N:02_0_R Index,2010-02-11,913.95679
MES1 N:02_0_R Index,2010-02-12,908.98669
MES1 N:02_0_R Index,2010-02-16,920.88639
MES1 N:02_0_R Index,2010-02-17,935.65772
MES1 N:02_0_R Index,2010-02-18,941.74281
MES1 N:02_0_R Index,2010-02-19,932.3254
MES1 N:02_0_R Index,2010-02-22,932.89249
MES1 N:02_0_R Index,2010-02-23,918.16666
MES1 N:02_0_R Index,2010-02-24,922.84993
MES1 N:02_0_R Index,2010-02-25,917.06672
MES1 N:02_0_R Index,2010-02-26,919.87813
MES1 N:02_0_R Index,2010-03-01,940.31681
MES1 N:02_0_R Index,2010-03-02,947.25195
MES1 N:02_0_R Index,2010-03-03,938.28906
MES1 N:02_0_R Index,2010-03-04,945.58528
MES1 N:02_0_R Index,2010-03-05,967.3148
MES1 N:02_0_R Index,2010-03-08,970.78221
MES1 N:02_0_R Index,2010-03-09,973.84204
MES1 N:02_0_R Index,2010-03-10,976.47404
MES1 N:02_0_R Index,2010-03-11,974.13911
MES1 N:02_0_R Index,2010-03-12,962.31305
MES1 N:02_0_R Index,2010-03-15,958.56104
MES1 N:02_0_R Index,2010-03-16,964.5106
MES1 N:02_0_R Index,2010-03-17,968.09342
MES1 N:02_0_R Index,2010-03-18,962.91676
MES1 N:02_0_R Index,2010-03-19,959.63417
MES1 N:02_0_R Index,2010-03-22,959.04626
MES1 N:02_0_R Index,2010-03-23,965.24909
MES1 N:02_0_R Index,2010-03-24,962.63173
MES1 N:02_0_R Index,2010-03-25,961.38338
MES1 N:02_0_R Index,2010-03-26,959.64062
MES1 N:02_0_R Index,2010-03-29,976.68936
MES1 N:02_0_R Index,2010-03-30,980.74699
MES1 N:02_0_R Index,2010-03-31,967.23145
MES1 N:02_0_R Index,2010-04-01,997.05163
MES1 N:02_0_R Index,2010-04-05,1012.79602
MES1 N:02_0_R Index,2010-04-06,1027.02508
MES1 N:02_0_R Index,2010-04-07,1017.9871
MES1 N:02_0_R Index,2010-04-08,1021.29786
MES1 N:02_0_R Index,2010-04-09,1020.07507
MES1 N:02_0_R Index,2010-04-12,1006.21009
MES1 N:02_0_R Index,2010-04-13,999.16945
MES1 N:02_0_R Index,2010-04-14,1010.61786
MES1 N:02_0_R Index,2010-04-15,1009.64649
MES1 N:02_0_R Index,2010-04-16,988.62212
MES1 N:02_0_R Index,2010-04-19,985.3145
MES1 N:02_0_R Index,2010-04-20,1000.08489
MES1 N:02_0_R Index,2010-04-21,994.59787
MES1 N:02_0_R Index,2010-04-22,1003.22629
MES1 N:02_0_R Index,2010-04-23,1008.85312
MES1 N:02_0_R Index,2010-04-26,1012.51208
MES1 N:02_0_R Index,2010-04-27,983.00469
MES1 N:02_0_R Index,2010-04-28,988.45271
MES1 N:02_0_R Index,2010-04-29,1006.5616
MES1 N:02_0_R Index,2010-04-30,992.2809
MES1 N:02_0_R Index,2010-05-03,1004.62671
MES1 N:02_0_R Index,2010-05-04,973.61038
MES1 N:02_0_R Index,2010-05-05,964.90466
MES1 N:02_0_R Index,2010-05-06,921.77471
MES1 N:02_0_R Index,2010-05-07,925.75301
MES1 N:02_0_R Index,2010-05-10,988.5865
MES1 N:02_0_R Index,2010-05-11,967.86153
MES1 N:02_0_R Index,2010-05-12,984.49565
MES1 N:02_0_R Index,2010-05-13,980.38347
MES1 N:02_0_R Index,2010-05-14,974.71946
MES1 N:02_0_R Index,2010-05-17,976.72047
MES1 N:02_0_R Index,2010-05-18,955.58697
MES1 N:02_0_R Index,2010-05-19,959.48507
MES1 N:02_0_R Index,2010-05-20,911.49429
MES1 N:02_0_R Index,2010-05-21,931.69093
MES1 N:02_0_R Index,2010-05-24,930.17853
MES1 N:02_0_R Index,2010-05-25,922.4174
MES1 N:02_0_R Index,2010-05-26,917.23897
MES1 N:02_0_R Index,2010-05-27,969.21213
MES1 N:02_0_R Index,2010-05-28,957.53203
MES1 N:02_0_R Index,2010-05-31,965.18285
MES1 N:02_0_R Index,2010-06-01,939.96138
MES1 N:02_0_R Index,2010-06-02,970.41017
MES1 N:02_0_R Index,2010-06-03,970.8276
MES1 N:02_0_R Index,2010-06-04,941.89689
MES1 N:02_0_R Index,2010-06-07,928.55959
MES1 N:02_0_R Index,2010-06-08,936.94762
MES1 N:02_0_R Index,2010-06-09,931.24061
MES1 N:02_0_R Index,2010-06-10,960.00561
MES1 N:02_0_R Index,2010-06-11,971.69029
MES1 N:02_0_R Index,2010-06-14,962.56758
MES1 N:02_0_R Index,2010-06-15,981.9956
MES1 N:02_0_R Index,2010-06-16,979.07207
MES1 N:02_0_R Index,2010-06-17,964.76431
MES1 N:02_0_R Index,2010-06-18,961.8337
MES1 N:02_0_R Index,2010-06-21,981.83665
MES1 N:02_0_R Index,2010-06-22,959.25915
MES1 N:02_0_R Index,2010-06-23,965.92615
MES1 N:02_0_R Index,2010-06-24,944.28849
MES1 N:02_0_R Index,2010-06-25,951.11617
MES1 N:02_0_R Index,2010-06-28,939.2971
MES1 N:02_0_R Index,2010-06-29,893.72898
MES1 N:02_0_R Index,2010-06-30,883.21061
MES1 N:02_0_R Index,2010-07-01,884.66404
MES1 N:02_0_R Index,2010-07-02,885.27272
MES1 N:02_0_R Index,2010-07-06,895.02501
MES1 N:02_0_R Index,2010-07-07,909.3079
MES1 N:02_0_R Index,2010-07-08,912.49562
MES1 N:02_0_R Index,2010-07-09,929.89363
MES1 N:02_0_R Index,2010-07-12,925.21349
MES1 N:02_0_R Index,2010-07-13,928.80237
MES1 N:02_0_R Index,2010-07-14,928.40923
MES1 N:02_0_R Index,2010-07-15,914.15954
MES1 N:02_0_R Index,2010-07-16,897.30597
MES1 N:02_0_R Index,2010-07-19,906.76264
MES1 N:02_0_R Index,2010-07-20,924.79772
MES1 N:02_0_R Index,2010-07-21,917.93235
MES1 N:02_0_R Index,2010-07-22,935.92749
MES1 N:02_0_R Index,2010-07-23,953.07782
MES1 N:02_0_R Index,2010-07-26,953.4632
MES1 N:02_0_R Index,2010-07-27,963.91741
MES1 N:02_0_R Index,2010-07-28,955.77261
MES1 N:02_0_R Index,2010-07-29,939.66684
MES1 N:02_0_R Index,2010-07-30,943.61486
MES1 N:02_0_R Index,2010-08-02,968.24727
MES1 N:02_0_R Index,2010-08-03,963.52175
MES1 N:02_0_R Index,2010-08-04,977.92804
MES1 N:02_0_R Index,2010-08-05,970.79421
MES1 N:02_0_R Index,2010-08-06,959.18768
MES1 N:02_0_R Index,2010-08-09,975.37323
MES1 N:02_0_R Index,2010-08-10,966.58727
MES1 N:02_0_R Index,2010-08-11,939.50612
MES1 N:02_0_R Index,2010-08-12,936.29727
MES1 N:02_0_R Index,2010-08-13,939.92154
MES1 N:02_0_R Index,2010-08-16,937.35897
MES1 N:02_0_R Index,2010-08-17,952.36049
