name,date,PX_LAST
OT1 N:02_0_R Index,1995-10-31,774.39805
OT1 N:02_0_R Index,1995-11-02,777.17075
OT1 N:02_0_R Index,1995-11-03,782.82967
OT1 N:02_0_R Index,1995-11-06,792.0076
OT1 N:02_0_R Index,1995-11-07,783.84192
OT1 N:02_0_R Index,1995-11-08,775.63738
OT1 N:02_0_R Index,1995-11-09,776.45073
OT1 N:02_0_R Index,1995-11-10,764.34444
OT1 N:02_0_R Index,1995-11-13,764.72334
OT1 N:02_0_R Index,1995-11-14,744.51489
OT1 N:02_0_R Index,1995-11-15,748.22175
OT1 N:02_0_R Index,1995-11-16,739.04232
OT1 N:02_0_R Index,1995-11-17,737.75732
OT1 N:02_0_R Index,1995-11-20,738.11629
OT1 N:02_0_R Index,1995-11-21,740.35403
OT1 N:02_0_R Index,1995-11-22,727.23297
OT1 N:02_0_R Index,1995-11-23,740.06326
OT1 N:02_0_R Index,1995-11-24,754.76511
OT1 N:02_0_R Index,1995-11-27,762.0404
OT1 N:02_0_R Index,1995-11-28,764.71361
OT1 N:02_0_R Index,1995-11-29,782.38024
OT1 N:02_0_R Index,1995-11-30,784.07772
OT1 N:02_0_R Index,1995-12-01,791.83523
OT1 N:02_0_R Index,1995-12-04,774.07211
OT1 N:02_0_R Index,1995-12-05,775.41502
OT1 N:02_0_R Index,1995-12-07,768.25154
OT1 N:02_0_R Index,1995-12-08,763.60401
OT1 N:02_0_R Index,1995-12-11,770.55313
OT1 N:02_0_R Index,1995-12-12,766.65979
OT1 N:02_0_R Index,1995-12-13,750.62852
OT1 N:02_0_R Index,1995-12-14,733.61059
OT1 N:02_0_R Index,1995-12-15,684.82412
OT1 N:02_0_R Index,1995-12-18,676.49906
OT1 N:02_0_R Index,1995-12-19,655.31568
OT1 N:02_0_R Index,1995-12-20,677.3912
OT1 N:02_0_R Index,1995-12-21,692.1112
OT1 N:02_0_R Index,1995-12-22,708.89994
OT1 N:02_0_R Index,1997-04-24,1214.47314
OT1 N:02_0_R Index,1997-04-25,1197.71471
