name,date,PX_LAST
PT1 N:02_0_R Index,1999-09-08,371.49923
PT1 N:02_0_R Index,1999-09-09,378.39595
PT1 N:02_0_R Index,1999-09-10,389.50018
PT1 N:02_0_R Index,1999-09-13,387.86265
PT1 N:02_0_R Index,1999-09-14,388.52154
PT1 N:02_0_R Index,1999-09-15,382.41543
PT1 N:02_0_R Index,1999-09-16,379.60189
PT1 N:02_0_R Index,1999-09-17,384.89611
PT1 N:02_0_R Index,1999-09-20,382.77503
PT1 N:02_0_R Index,1999-09-21,370.05399
PT1 N:02_0_R Index,1999-09-22,372.09059
PT1 N:02_0_R Index,1999-09-23,366.4495
PT1 N:02_0_R Index,1999-09-24,361.50667
PT1 N:02_0_R Index,1999-09-27,370.36865
PT1 N:02_0_R Index,1999-09-28,368.39486
PT1 N:02_0_R Index,1999-09-29,363.98857
PT1 N:02_0_R Index,1999-09-30,367.90096
PT1 N:02_0_R Index,1999-10-01,360.12856
PT1 N:02_0_R Index,1999-10-04,370.87101
PT1 N:02_0_R Index,1999-10-05,369.14912
PT1 N:02_0_R Index,1999-10-06,371.66367
PT1 N:02_0_R Index,1999-10-07,372.69497
PT1 N:02_0_R Index,1999-10-08,378.53074
PT1 N:02_0_R Index,1999-10-12,378.03617
PT1 N:02_0_R Index,1999-10-13,362.72665
PT1 N:02_0_R Index,1999-10-14,361.13219
PT1 N:02_0_R Index,1999-10-15,351.95738
PT1 N:02_0_R Index,1999-10-18,349.70154
PT1 N:02_0_R Index,1999-10-19,350.92078
PT1 N:02_0_R Index,1999-10-20,358.64824
PT1 N:02_0_R Index,1999-10-21,359.32676
PT1 N:02_0_R Index,1999-10-22,374.02015
PT1 N:02_0_R Index,1999-10-25,372.6242
PT1 N:02_0_R Index,1999-10-26,376.75107
PT1 N:02_0_R Index,1999-10-27,376.77184
PT1 N:02_0_R Index,1999-10-28,386.49894
PT1 N:02_0_R Index,1999-10-29,392.53716
PT1 N:02_0_R Index,1999-11-01,397.51743
PT1 N:02_0_R Index,1999-11-02,392.18615
PT1 N:02_0_R Index,1999-11-03,395.31746
PT1 N:02_0_R Index,1999-11-04,404.79698
PT1 N:02_0_R Index,1999-11-05,404.71992
PT1 N:02_0_R Index,1999-11-08,403.4688
PT1 N:02_0_R Index,1999-11-09,401.64031
PT1 N:02_0_R Index,1999-11-10,403.70363
PT1 N:02_0_R Index,1999-11-11,415.26973
PT1 N:02_0_R Index,1999-11-12,421.33111
PT1 N:02_0_R Index,1999-11-15,427.14737
PT1 N:02_0_R Index,1999-11-16,421.96554
PT1 N:02_0_R Index,1999-11-17,418.41494
PT1 N:02_0_R Index,1999-11-18,424.32943
PT1 N:02_0_R Index,1999-11-19,429.03548
PT1 N:02_0_R Index,1999-11-22,425.0882
PT1 N:02_0_R Index,1999-11-23,430.16447
PT1 N:02_0_R Index,1999-11-24,436.13461
PT1 N:02_0_R Index,1999-11-25,440.96231
PT1 N:02_0_R Index,1999-11-26,443.90086
PT1 N:02_0_R Index,1999-11-29,435.91189
PT1 N:02_0_R Index,1999-11-30,422.97686
PT1 N:02_0_R Index,1999-12-01,427.04042
PT1 N:02_0_R Index,1999-12-02,430.25839
PT1 N:02_0_R Index,1999-12-03,437.81228
PT1 N:02_0_R Index,1999-12-06,434.46413
PT1 N:02_0_R Index,1999-12-07,436.13352
PT1 N:02_0_R Index,1999-12-08,428.8085
PT1 N:02_0_R Index,1999-12-09,430.39607
PT1 N:02_0_R Index,1999-12-10,441.32909
PT1 N:02_0_R Index,1999-12-13,445.21972
PT1 N:02_0_R Index,1999-12-14,442.73261
PT1 N:02_0_R Index,1999-12-15,446.02931
PT1 N:02_0_R Index,1999-12-16,447.3356
PT1 N:02_0_R Index,1999-12-17,454.11235
PT1 N:02_0_R Index,1999-12-20,454.35686
PT1 N:02_0_R Index,1999-12-21,462.60392
PT1 N:02_0_R Index,1999-12-22,463.26128
PT1 N:02_0_R Index,1999-12-23,468.56968
PT1 N:02_0_R Index,1999-12-24,472.38621
PT1 N:02_0_R Index,1999-12-29,481.80107
PT1 N:02_0_R Index,1999-12-30,478.44302
PT1 N:02_0_R Index,1999-12-31,475.56055
PT1 N:02_0_R Index,2000-01-04,454.26012
PT1 N:02_0_R Index,2000-01-05,446.21582
PT1 N:02_0_R Index,2000-01-06,442.68905
PT1 N:02_0_R Index,2000-01-07,462.71906
PT1 N:02_0_R Index,2000-01-10,474.87377
PT1 N:02_0_R Index,2000-01-11,464.76958
PT1 N:02_0_R Index,2000-01-12,461.21083
PT1 N:02_0_R Index,2000-01-13,466.83226
PT1 N:02_0_R Index,2000-01-14,468.6614
PT1 N:02_0_R Index,2000-01-17,476.05751
PT1 N:02_0_R Index,2000-01-18,480.8522
PT1 N:02_0_R Index,2000-01-19,483.16943
PT1 N:02_0_R Index,2000-01-20,483.54997
PT1 N:02_0_R Index,2000-01-21,485.5024
PT1 N:02_0_R Index,2000-01-24,482.70007
PT1 N:02_0_R Index,2000-01-25,488.42096
PT1 N:02_0_R Index,2000-01-26,496.26167
PT1 N:02_0_R Index,2000-01-27,506.94021
PT1 N:02_0_R Index,2000-01-28,493.29666
PT1 N:02_0_R Index,2000-01-31,495.78839
PT1 N:02_0_R Index,2000-02-01,500.88145
PT1 N:02_0_R Index,2000-02-02,513.61714
PT1 N:02_0_R Index,2000-02-03,513.17907
PT1 N:02_0_R Index,2000-02-04,539.57656
PT1 N:02_0_R Index,2000-02-07,532.42937
PT1 N:02_0_R Index,2000-02-08,534.05003
PT1 N:02_0_R Index,2000-02-09,532.52452
PT1 N:02_0_R Index,2000-02-10,537.38524
PT1 N:02_0_R Index,2000-02-11,528.61398
PT1 N:02_0_R Index,2000-02-14,540.87247
PT1 N:02_0_R Index,2000-02-15,538.93348
PT1 N:02_0_R Index,2000-02-16,544.91059
PT1 N:02_0_R Index,2000-02-17,545.40628
PT1 N:02_0_R Index,2000-02-18,536.24484
PT1 N:02_0_R Index,2000-02-21,523.68103
PT1 N:02_0_R Index,2000-02-22,514.75346
PT1 N:02_0_R Index,2000-02-23,520.74406
PT1 N:02_0_R Index,2000-02-24,517.54016
PT1 N:02_0_R Index,2000-02-25,522.02597
PT1 N:02_0_R Index,2000-02-28,524.8298
PT1 N:02_0_R Index,2000-02-29,521.20856
PT1 N:02_0_R Index,2000-03-01,533.46068
PT1 N:02_0_R Index,2000-03-02,540.70177
PT1 N:02_0_R Index,2000-03-03,545.19211
PT1 N:02_0_R Index,2000-03-06,553.98426
PT1 N:02_0_R Index,2000-03-07,549.06535
PT1 N:02_0_R Index,2000-03-08,537.82754
PT1 N:02_0_R Index,2000-03-09,538.83688
PT1 N:02_0_R Index,2000-03-10,546.37056
PT1 N:02_0_R Index,2000-03-13,544.78022
PT1 N:02_0_R Index,2000-03-14,546.69016
PT1 N:02_0_R Index,2000-03-15,537.37928
PT1 N:02_0_R Index,2000-03-16,552.44608
PT1 N:02_0_R Index,2000-03-17,552.33
PT1 N:02_0_R Index,2000-03-20,557.28146
PT1 N:02_0_R Index,2000-03-21,568.4129
PT1 N:02_0_R Index,2000-03-22,577.73699
PT1 N:02_0_R Index,2000-03-23,572.2375
PT1 N:02_0_R Index,2000-03-24,575.93894
PT1 N:02_0_R Index,2000-03-27,587.3076
PT1 N:02_0_R Index,2000-03-28,589.25196
PT1 N:02_0_R Index,2000-03-29,585.34613
PT1 N:02_0_R Index,2000-03-30,560.9996
PT1 N:02_0_R Index,2000-03-31,570.36665
PT1 N:02_0_R Index,2000-04-03,560.9601
PT1 N:02_0_R Index,2000-04-04,533.93326
PT1 N:02_0_R Index,2000-04-05,540.5719
PT1 N:02_0_R Index,2000-04-06,551.36232
PT1 N:02_0_R Index,2000-04-07,555.7705
PT1 N:02_0_R Index,2000-04-10,549.93316
PT1 N:02_0_R Index,2000-04-11,545.30266
PT1 N:02_0_R Index,2000-04-12,534.19326
PT1 N:02_0_R Index,2000-04-13,522.34624
PT1 N:02_0_R Index,2000-04-14,493.89663
PT1 N:02_0_R Index,2000-04-17,504.2737
PT1 N:02_0_R Index,2000-04-18,527.04634
PT1 N:02_0_R Index,2000-04-19,529.6079
PT1 N:02_0_R Index,2000-04-20,528.66562
PT1 N:02_0_R Index,2000-04-24,517.99054
PT1 N:02_0_R Index,2000-04-25,551.90487
PT1 N:02_0_R Index,2000-04-26,567.35324
PT1 N:02_0_R Index,2000-04-27,568.88032
PT1 N:02_0_R Index,2000-04-28,562.14886
PT1 N:02_0_R Index,2000-05-01,574.02524
PT1 N:02_0_R Index,2000-05-02,573.09174
PT1 N:02_0_R Index,2000-05-03,563.17393
PT1 N:02_0_R Index,2000-05-04,567.36064
PT1 N:02_0_R Index,2000-05-05,579.08058
PT1 N:02_0_R Index,2000-05-08,565.06471
PT1 N:02_0_R Index,2000-05-09,558.01432
PT1 N:02_0_R Index,2000-05-10,540.14831
PT1 N:02_0_R Index,2000-05-11,549.59742
PT1 N:02_0_R Index,2000-05-12,547.79608
PT1 N:02_0_R Index,2000-05-15,551.50127
PT1 N:02_0_R Index,2000-05-16,574.0949
PT1 N:02_0_R Index,2000-05-17,577.29885
PT1 N:02_0_R Index,2000-05-18,581.60928
PT1 N:02_0_R Index,2000-05-19,559.55776
PT1 N:02_0_R Index,2000-05-23,538.64235
PT1 N:02_0_R Index,2000-05-24,543.08986
PT1 N:02_0_R Index,2000-05-25,541.72707
PT1 N:02_0_R Index,2000-05-26,527.74591
PT1 N:02_0_R Index,2000-05-29,532.10951
PT1 N:02_0_R Index,2000-05-30,548.89838
PT1 N:02_0_R Index,2000-05-31,544.49993
PT1 N:02_0_R Index,2000-06-01,563.39079
PT1 N:02_0_R Index,2000-06-02,572.65256
PT1 N:02_0_R Index,2000-06-05,563.94031
PT1 N:02_0_R Index,2000-06-06,554.29193
PT1 N:02_0_R Index,2000-06-07,546.3142
PT1 N:02_0_R Index,2000-06-08,552.7774
PT1 N:02_0_R Index,2000-06-09,560.26929
PT1 N:02_0_R Index,2000-06-12,562.1017
PT1 N:02_0_R Index,2000-06-13,567.48052
PT1 N:02_0_R Index,2000-06-14,577.34206
PT1 N:02_0_R Index,2000-06-15,587.76789
PT1 N:02_0_R Index,2000-06-16,577.33895
PT1 N:02_0_R Index,2000-06-19,591.4965
PT1 N:02_0_R Index,2000-06-20,591.09963
PT1 N:02_0_R Index,2000-06-21,589.49596
PT1 N:02_0_R Index,2000-06-22,582.82762
PT1 N:02_0_R Index,2000-06-23,586.17705
PT1 N:02_0_R Index,2000-06-26,595.81694
PT1 N:02_0_R Index,2000-06-27,586.4117
PT1 N:02_0_R Index,2000-06-28,595.43084
PT1 N:02_0_R Index,2000-06-29,585.50765
PT1 N:02_0_R Index,2000-06-30,591.20122
PT1 N:02_0_R Index,2000-07-04,594.38183
PT1 N:02_0_R Index,2000-07-05,590.59253
PT1 N:02_0_R Index,2000-07-06,584.56
PT1 N:02_0_R Index,2000-07-07,597.67509
PT1 N:02_0_R Index,2000-07-10,587.06818
PT1 N:02_0_R Index,2000-07-11,598.37178
PT1 N:02_0_R Index,2000-07-12,616.33627
PT1 N:02_0_R Index,2000-07-13,627.51502
PT1 N:02_0_R Index,2000-07-14,632.58014
PT1 N:02_0_R Index,2000-07-17,640.58283
PT1 N:02_0_R Index,2000-07-18,634.54365
PT1 N:02_0_R Index,2000-07-19,638.97215
PT1 N:02_0_R Index,2000-07-20,639.71269
PT1 N:02_0_R Index,2000-07-21,643.8544
PT1 N:02_0_R Index,2000-07-24,646.36647
PT1 N:02_0_R Index,2000-07-25,651.93003
PT1 N:02_0_R Index,2000-07-26,652.39382
PT1 N:02_0_R Index,2000-07-27,638.26521
PT1 N:02_0_R Index,2000-07-28,620.24808
PT1 N:02_0_R Index,2000-07-31,615.43869
PT1 N:02_0_R Index,2000-08-01,611.22561
PT1 N:02_0_R Index,2000-08-02,621.65645
PT1 N:02_0_R Index,2000-08-03,630.65445
PT1 N:02_0_R Index,2000-08-04,635.02309
PT1 N:02_0_R Index,2000-08-08,658.16637
PT1 N:02_0_R Index,2000-08-09,662.56441
PT1 N:02_0_R Index,2000-08-10,652.29629
PT1 N:02_0_R Index,2000-08-11,653.89655
PT1 N:02_0_R Index,2000-08-14,668.08538
PT1 N:02_0_R Index,2000-08-15,669.0896
PT1 N:02_0_R Index,2000-08-16,673.0863
PT1 N:02_0_R Index,2000-08-17,680.56184
PT1 N:02_0_R Index,2000-08-18,689.94306
PT1 N:02_0_R Index,2000-08-21,682.33112
PT1 N:02_0_R Index,2000-08-22,691.97105
PT1 N:02_0_R Index,2000-08-23,678.58874
PT1 N:02_0_R Index,2000-08-24,679.03373
