name,date,PX_LAST
RX1 N:02_0_R Comdty,1990-11-26,80.32868
RX1 N:02_0_R Comdty,1990-11-27,80.47175
RX1 N:02_0_R Comdty,1990-11-28,80.62019
RX1 N:02_0_R Comdty,1990-11-29,80.46299
RX1 N:02_0_R Comdty,1990-11-30,80.39981
RX1 N:02_0_R Comdty,1990-12-06,80.67737
RX1 N:02_0_R Comdty,1990-12-07,81.0411
RX1 N:02_0_R Comdty,1990-12-10,81.23058
RX1 N:02_0_R Comdty,1990-12-11,81.5218
RX1 N:02_0_R Comdty,1990-12-12,81.60132
RX1 N:02_0_R Comdty,1990-12-13,82.00841
RX1 N:02_0_R Comdty,1990-12-14,81.98737
RX1 N:02_0_R Comdty,1990-12-17,81.6567
RX1 N:02_0_R Comdty,1990-12-18,81.49946
RX1 N:02_0_R Comdty,1990-12-19,81.93962
RX1 N:02_0_R Comdty,1990-12-20,80.90183
RX1 N:02_0_R Comdty,1990-12-21,80.17161
RX1 N:02_0_R Comdty,1990-12-27,79.82431
RX1 N:02_0_R Comdty,1990-12-28,79.80218
RX1 N:02_0_R Comdty,1991-01-02,78.82328
RX1 N:02_0_R Comdty,1991-01-03,79.55664
RX1 N:02_0_R Comdty,1991-01-04,79.28727
RX1 N:02_0_R Comdty,1991-01-07,78.47891
RX1 N:02_0_R Comdty,1991-01-08,78.54251
RX1 N:02_0_R Comdty,1991-01-09,78.99057
RX1 N:02_0_R Comdty,1991-01-10,78.6703
RX1 N:02_0_R Comdty,1991-01-11,78.15802
RX1 N:02_0_R Comdty,1991-01-14,77.44273
RX1 N:02_0_R Comdty,1991-01-15,77.85473
RX1 N:02_0_R Comdty,1991-01-16,77.71009
RX1 N:02_0_R Comdty,1991-01-18,79.08869
RX1 N:02_0_R Comdty,1991-01-21,78.66097
RX1 N:02_0_R Comdty,1991-01-22,79.1721
RX1 N:02_0_R Comdty,1991-01-23,79.28591
RX1 N:02_0_R Comdty,1991-01-24,80.42538
RX1 N:02_0_R Comdty,1991-01-25,80.31116
RX1 N:02_0_R Comdty,1991-01-28,80.38763
RX1 N:02_0_R Comdty,1991-01-29,80.62261
RX1 N:02_0_R Comdty,1991-01-30,81.14643
RX1 N:02_0_R Comdty,1991-01-31,81.30086
RX1 N:02_0_R Comdty,1991-02-01,81.74628
RX1 N:02_0_R Comdty,1991-02-04,81.86611
RX1 N:02_0_R Comdty,1991-02-05,82.65122
RX1 N:02_0_R Comdty,1991-02-06,82.28308
RX1 N:02_0_R Comdty,1991-02-07,82.62716
RX1 N:02_0_R Comdty,1991-02-08,82.66431
RX1 N:02_0_R Comdty,1991-02-11,82.83553
RX1 N:02_0_R Comdty,1991-02-12,82.75218
RX1 N:02_0_R Comdty,1991-02-13,82.93465
RX1 N:02_0_R Comdty,1991-02-14,83.83271
RX1 N:02_0_R Comdty,1991-02-15,83.85516
RX1 N:02_0_R Comdty,1991-02-18,84.05522
RX1 N:02_0_R Comdty,1991-02-19,83.8992
RX1 N:02_0_R Comdty,1991-02-20,83.2751
RX1 N:02_0_R Comdty,1991-02-21,83.14122
RX1 N:02_0_R Comdty,1991-02-22,83.35185
RX1 N:02_0_R Comdty,1991-02-25,83.42588
RX1 N:02_0_R Comdty,1991-02-26,83.30497
RX1 N:02_0_R Comdty,1991-02-27,83.8771
RX1 N:02_0_R Comdty,1991-02-28,84.53231
RX1 N:02_0_R Comdty,1991-03-01,83.89322
RX1 N:02_0_R Comdty,1991-03-04,84.32539
RX1 N:02_0_R Comdty,1991-03-05,84.41449
RX1 N:02_0_R Comdty,1991-03-06,84.70196
RX1 N:02_0_R Comdty,1991-03-07,85.00143
RX1 N:02_0_R Comdty,1991-03-08,84.9611
RX1 N:02_0_R Comdty,1991-03-11,84.06544
RX1 N:02_0_R Comdty,1991-03-12,84.14903
RX1 N:02_0_R Comdty,1991-03-13,84.1479
RX1 N:02_0_R Comdty,1991-03-14,83.99593
RX1 N:02_0_R Comdty,1991-03-15,83.68141
RX1 N:02_0_R Comdty,1991-03-18,83.18326
RX1 N:02_0_R Comdty,1991-03-19,82.78369
RX1 N:02_0_R Comdty,1991-03-20,82.71923
RX1 N:02_0_R Comdty,1991-03-21,82.81778
RX1 N:02_0_R Comdty,1991-03-22,82.28836
RX1 N:02_0_R Comdty,1991-03-25,81.89271
RX1 N:02_0_R Comdty,1991-03-26,81.1607
RX1 N:02_0_R Comdty,1991-03-27,81.45082
RX1 N:02_0_R Comdty,1991-03-28,81.92228
RX1 N:02_0_R Comdty,1991-04-02,81.70123
RX1 N:02_0_R Comdty,1991-04-03,81.85691
RX1 N:02_0_R Comdty,1991-04-04,81.54967
RX1 N:02_0_R Comdty,1991-04-05,81.94453
RX1 N:02_0_R Comdty,1991-04-08,82.61268
RX1 N:02_0_R Comdty,1991-04-09,82.34349
RX1 N:02_0_R Comdty,1991-04-10,82.34103
RX1 N:02_0_R Comdty,1991-04-11,82.38776
RX1 N:02_0_R Comdty,1991-04-12,82.68165
RX1 N:02_0_R Comdty,1991-04-15,82.55963
RX1 N:02_0_R Comdty,1991-04-16,82.40344
RX1 N:02_0_R Comdty,1991-04-17,82.75219
RX1 N:02_0_R Comdty,1991-04-18,82.83456
RX1 N:02_0_R Comdty,1991-04-19,81.74755
RX1 N:02_0_R Comdty,1991-04-22,80.78355
RX1 N:02_0_R Comdty,1991-04-23,81.05167
RX1 N:02_0_R Comdty,1991-04-24,80.94171
RX1 N:02_0_R Comdty,1991-04-25,81.05557
RX1 N:02_0_R Comdty,1991-04-26,81.3108
RX1 N:02_0_R Comdty,1991-04-29,81.13111
RX1 N:02_0_R Comdty,1991-04-30,81.81284
RX1 N:02_0_R Comdty,1991-05-02,82.10513
RX1 N:02_0_R Comdty,1991-05-03,81.70142
RX1 N:02_0_R Comdty,1991-05-06,81.87279
RX1 N:02_0_R Comdty,1991-05-07,81.95064
RX1 N:02_0_R Comdty,1991-05-08,81.51233
RX1 N:02_0_R Comdty,1991-05-10,81.67549
