name,date,PX_LAST
SI1 N:02_0_R Comdty,1975-01-03,158.22141
SI1 N:02_0_R Comdty,1975-01-06,158.45902
SI1 N:02_0_R Comdty,1975-01-07,154.95002
SI1 N:02_0_R Comdty,1975-01-08,157.02183
SI1 N:02_0_R Comdty,1975-01-09,156.43256
SI1 N:02_0_R Comdty,1975-01-10,163.56447
SI1 N:02_0_R Comdty,1975-01-13,161.27207
SI1 N:02_0_R Comdty,1975-01-14,168.20645
SI1 N:02_0_R Comdty,1975-01-15,161.82129
SI1 N:02_0_R Comdty,1975-01-16,157.3388
SI1 N:02_0_R Comdty,1975-01-17,149.6714
SI1 N:02_0_R Comdty,1975-01-20,151.1134
SI1 N:02_0_R Comdty,1975-01-21,145.71798
SI1 N:02_0_R Comdty,1975-01-22,148.99384
SI1 N:02_0_R Comdty,1975-01-23,154.60795
SI1 N:02_0_R Comdty,1975-01-24,156.92442
SI1 N:02_0_R Comdty,1975-01-27,148.66923
SI1 N:02_0_R Comdty,1975-01-28,154.56837
SI1 N:02_0_R Comdty,1975-01-29,158.73709
SI1 N:02_0_R Comdty,1975-01-30,153.57026
SI1 N:02_0_R Comdty,1975-01-31,149.3162
SI1 N:02_0_R Comdty,1975-02-03,152.25737
SI1 N:02_0_R Comdty,1975-02-04,152.99644
SI1 N:02_0_R Comdty,1975-02-05,154.05135
SI1 N:02_0_R Comdty,1975-02-06,155.66401
SI1 N:02_0_R Comdty,1975-02-07,159.0908
SI1 N:02_0_R Comdty,1975-02-10,152.86604
SI1 N:02_0_R Comdty,1975-02-11,157.99304
SI1 N:02_0_R Comdty,1975-02-13,163.05006
SI1 N:02_0_R Comdty,1975-02-14,162.94631
SI1 N:02_0_R Comdty,1975-02-18,163.62593
SI1 N:02_0_R Comdty,1975-02-19,163.39694
SI1 N:02_0_R Comdty,1975-02-20,166.11737
SI1 N:02_0_R Comdty,1975-02-21,162.96105
SI1 N:02_0_R Comdty,1975-02-24,162.26155
SI1 N:02_0_R Comdty,1975-02-25,155.36471
SI1 N:02_0_R Comdty,1975-02-26,157.19076
SI1 N:02_0_R Comdty,1975-02-27,153.44516
