name,date,PX_LAST
ST1 N:02_0_R Index,2004-03-23,23862.02855
ST1 N:02_0_R Index,2004-03-24,23729.81594
ST1 N:02_0_R Index,2004-03-25,24068.40646
ST1 N:02_0_R Index,2004-03-26,24357.40374
ST1 N:02_0_R Index,2004-03-29,24628.22039
ST1 N:02_0_R Index,2004-03-30,24679.19134
ST1 N:02_0_R Index,2004-03-31,24591.50873
ST1 N:02_0_R Index,2004-04-01,24843.91546
ST1 N:02_0_R Index,2004-04-02,25383.85822
ST1 N:02_0_R Index,2004-04-05,25656.91412
ST1 N:02_0_R Index,2004-04-06,25463.23833
ST1 N:02_0_R Index,2004-04-07,25313.99343
ST1 N:02_0_R Index,2004-04-08,25358.00978
ST1 N:02_0_R Index,2004-04-13,25755.23316
ST1 N:02_0_R Index,2004-04-14,25353.52831
ST1 N:02_0_R Index,2004-04-15,25439.02806
ST1 N:02_0_R Index,2004-04-16,25521.22592
ST1 N:02_0_R Index,2004-04-19,25285.81186
ST1 N:02_0_R Index,2004-04-20,25850.6849
ST1 N:02_0_R Index,2004-04-21,25627.19837
ST1 N:02_0_R Index,2004-04-22,25850.40871
ST1 N:02_0_R Index,2004-04-23,25939.01341
ST1 N:02_0_R Index,2004-04-26,25942.2225
ST1 N:02_0_R Index,2004-04-27,25797.27276
ST1 N:02_0_R Index,2004-04-28,25593.30831
ST1 N:02_0_R Index,2004-04-29,25370.09255
ST1 N:02_0_R Index,2004-04-30,25347.24707
ST1 N:02_0_R Index,2004-05-03,25558.33337
ST1 N:02_0_R Index,2004-05-04,25461.89151
ST1 N:02_0_R Index,2004-05-05,25576.23483
ST1 N:02_0_R Index,2004-05-06,25111.10483
ST1 N:02_0_R Index,2004-05-07,24933.67566
ST1 N:02_0_R Index,2004-05-10,24258.69319
ST1 N:02_0_R Index,2004-05-11,24572.6267
ST1 N:02_0_R Index,2004-05-12,24266.31342
ST1 N:02_0_R Index,2004-05-13,24595.92463
ST1 N:02_0_R Index,2004-05-14,24447.63474
ST1 N:02_0_R Index,2004-05-17,24108.1896
ST1 N:02_0_R Index,2004-05-18,24207.17693
ST1 N:02_0_R Index,2004-05-19,24608.48932
ST1 N:02_0_R Index,2004-05-20,24552.82109
ST1 N:02_0_R Index,2004-05-21,24518.03397
ST1 N:02_0_R Index,2004-05-24,24769.56994
ST1 N:02_0_R Index,2004-05-25,24676.53964
ST1 N:02_0_R Index,2004-05-26,24956.95298
ST1 N:02_0_R Index,2004-05-27,24896.28044
ST1 N:02_0_R Index,2004-05-28,24836.75411
ST1 N:02_0_R Index,2004-05-31,24842.15861
ST1 N:02_0_R Index,2004-06-01,24685.59996
ST1 N:02_0_R Index,2004-06-02,24796.15895
ST1 N:02_0_R Index,2004-06-03,24790.02556
ST1 N:02_0_R Index,2004-06-04,24840.79415
ST1 N:02_0_R Index,2004-06-07,25151.09003
ST1 N:02_0_R Index,2004-06-08,25109.15291
ST1 N:02_0_R Index,2004-06-09,25022.62283
ST1 N:02_0_R Index,2004-06-10,25036.19076
ST1 N:02_0_R Index,2004-06-11,25133.30006
ST1 N:02_0_R Index,2004-06-14,24954.59555
ST1 N:02_0_R Index,2004-06-15,25269.41296
ST1 N:02_0_R Index,2004-06-16,25490.28076
ST1 N:02_0_R Index,2004-06-17,25278.86569
ST1 N:02_0_R Index,2004-06-18,25311.20315
ST1 N:02_0_R Index,2004-06-21,25415.50227
ST1 N:02_0_R Index,2004-06-22,25314.16517
ST1 N:02_0_R Index,2004-06-23,25488.46766
ST1 N:02_0_R Index,2004-06-24,25562.13332
ST1 N:02_0_R Index,2004-06-25,25715.86411
ST1 N:02_0_R Index,2004-06-28,25844.28467
ST1 N:02_0_R Index,2004-06-29,25920.59944
ST1 N:02_0_R Index,2004-06-30,25725.38683
ST1 N:02_0_R Index,2004-07-01,25492.80746
ST1 N:02_0_R Index,2004-07-02,25445.37673
ST1 N:02_0_R Index,2004-07-05,25462.6583
ST1 N:02_0_R Index,2004-07-06,25320.73763
ST1 N:02_0_R Index,2004-07-07,25330.67238
ST1 N:02_0_R Index,2004-07-08,25331.50435
ST1 N:02_0_R Index,2004-07-09,25443.32186
ST1 N:02_0_R Index,2004-07-12,25292.93138
ST1 N:02_0_R Index,2004-07-13,25384.50661
ST1 N:02_0_R Index,2004-07-14,25230.00355
ST1 N:02_0_R Index,2004-07-15,25201.68305
ST1 N:02_0_R Index,2004-07-16,25092.77756
ST1 N:02_0_R Index,2004-07-19,25037.04061
ST1 N:02_0_R Index,2004-07-20,25171.07228
ST1 N:02_0_R Index,2004-07-21,25295.51933
ST1 N:02_0_R Index,2004-07-22,24920.98975
ST1 N:02_0_R Index,2004-07-23,24897.51734
ST1 N:02_0_R Index,2004-07-26,24725.70762
ST1 N:02_0_R Index,2004-07-27,24921.72595
ST1 N:02_0_R Index,2004-07-28,24915.46541
ST1 N:02_0_R Index,2004-07-29,25326.72181
ST1 N:02_0_R Index,2004-07-30,25439.32965
ST1 N:02_0_R Index,2004-08-02,25281.94361
ST1 N:02_0_R Index,2004-08-03,25371.73994
ST1 N:02_0_R Index,2004-08-04,25075.05046
ST1 N:02_0_R Index,2004-08-05,25021.74968
ST1 N:02_0_R Index,2004-08-06,24479.97733
ST1 N:02_0_R Index,2004-08-09,24368.77499
ST1 N:02_0_R Index,2004-08-10,24535.0464
ST1 N:02_0_R Index,2004-08-11,24222.374
ST1 N:02_0_R Index,2004-08-12,24162.99544
ST1 N:02_0_R Index,2004-08-13,24054.7666
ST1 N:02_0_R Index,2004-08-16,24316.16697
ST1 N:02_0_R Index,2004-08-17,24308.78949
ST1 N:02_0_R Index,2004-08-18,24340.72868
ST1 N:02_0_R Index,2004-08-19,24352.8645
ST1 N:02_0_R Index,2004-08-20,24373.46542
ST1 N:02_0_R Index,2004-08-23,24655.84986
ST1 N:02_0_R Index,2004-08-24,24607.13592
ST1 N:02_0_R Index,2004-08-25,24673.3563
ST1 N:02_0_R Index,2004-08-26,24819.50016
ST1 N:02_0_R Index,2004-08-27,24981.89274
ST1 N:02_0_R Index,2004-08-30,24895.01877
ST1 N:02_0_R Index,2004-08-31,24858.00743
ST1 N:02_0_R Index,2004-09-01,24979.83933
ST1 N:02_0_R Index,2004-09-02,25174.0813
ST1 N:02_0_R Index,2004-09-03,25342.22081
ST1 N:02_0_R Index,2004-09-06,25383.33783
ST1 N:02_0_R Index,2004-09-07,25338.68101
ST1 N:02_0_R Index,2004-09-08,25353.56277
ST1 N:02_0_R Index,2004-09-09,25289.47528
ST1 N:02_0_R Index,2004-09-10,25439.3483
ST1 N:02_0_R Index,2004-09-13,25663.66528
ST1 N:02_0_R Index,2004-09-14,25612.3084
ST1 N:02_0_R Index,2004-09-15,25580.94224
ST1 N:02_0_R Index,2004-09-16,25633.70147
ST1 N:02_0_R Index,2004-09-17,25863.17799
ST1 N:02_0_R Index,2004-09-20,25848.34271
ST1 N:02_0_R Index,2004-09-21,25935.22104
ST1 N:02_0_R Index,2004-09-22,25862.0733
ST1 N:02_0_R Index,2004-09-23,25806.39834
ST1 N:02_0_R Index,2004-09-24,25923.85528
ST1 N:02_0_R Index,2004-09-27,25773.35678
ST1 N:02_0_R Index,2004-09-28,25911.62986
ST1 N:02_0_R Index,2004-09-29,26035.58327
ST1 N:02_0_R Index,2004-09-30,25723.0333
ST1 N:02_0_R Index,2004-10-01,26157.81359
ST1 N:02_0_R Index,2004-10-04,26475.04566
ST1 N:02_0_R Index,2004-10-05,26577.69014
ST1 N:02_0_R Index,2004-10-06,26534.07642
ST1 N:02_0_R Index,2004-10-07,26568.48321
ST1 N:02_0_R Index,2004-10-08,26500.99845
ST1 N:02_0_R Index,2004-10-11,26454.32968
ST1 N:02_0_R Index,2004-10-12,26270.62169
ST1 N:02_0_R Index,2004-10-13,26261.9804
ST1 N:02_0_R Index,2004-10-14,26139.0923
ST1 N:02_0_R Index,2004-10-15,26007.8422
ST1 N:02_0_R Index,2004-10-18,25985.78333
ST1 N:02_0_R Index,2004-10-19,26161.56475
ST1 N:02_0_R Index,2004-10-20,25968.32432
ST1 N:02_0_R Index,2004-10-21,26114.18928
ST1 N:02_0_R Index,2004-10-22,26172.64449
ST1 N:02_0_R Index,2004-10-25,25800.723
ST1 N:02_0_R Index,2004-10-26,25818.89637
ST1 N:02_0_R Index,2004-10-27,26136.84913
ST1 N:02_0_R Index,2004-10-28,26188.55168
ST1 N:02_0_R Index,2004-10-29,26166.46255
ST1 N:02_0_R Index,2004-11-01,26500.46455
ST1 N:02_0_R Index,2004-11-02,26604.29169
ST1 N:02_0_R Index,2004-11-03,26600.07552
ST1 N:02_0_R Index,2004-11-04,26620.82404
ST1 N:02_0_R Index,2004-11-05,26678.55524
ST1 N:02_0_R Index,2004-11-08,26799.47834
ST1 N:02_0_R Index,2004-11-09,26739.28847
ST1 N:02_0_R Index,2004-11-10,26684.31942
ST1 N:02_0_R Index,2004-11-11,26869.14846
