name,date,PX_LAST
TFT1 N:02_0_R Comdty,2015-03-23,12.92688
TFT1 N:02_0_R Comdty,2015-03-24,12.80989
TFT1 N:02_0_R Comdty,2015-03-25,12.84295
TFT1 N:02_0_R Comdty,2015-03-26,12.83535
TFT1 N:02_0_R Comdty,2015-03-27,12.76292
TFT1 N:02_0_R Comdty,2015-03-30,12.85033
TFT1 N:02_0_R Comdty,2015-03-31,12.86243
TFT1 N:02_0_R Comdty,2015-04-01,12.7966
TFT1 N:02_0_R Comdty,2015-04-02,12.76102
TFT1 N:02_0_R Comdty,2015-04-03,12.65504
TFT1 N:02_0_R Comdty,2015-04-07,12.78613
TFT1 N:02_0_R Comdty,2015-04-08,12.67759
TFT1 N:02_0_R Comdty,2015-04-09,12.84795
TFT1 N:02_0_R Comdty,2015-04-10,12.86041
TFT1 N:02_0_R Comdty,2015-04-13,12.86103
TFT1 N:02_0_R Comdty,2015-04-14,12.82943
TFT1 N:02_0_R Comdty,2015-04-15,12.87277
TFT1 N:02_0_R Comdty,2015-04-16,12.76114
TFT1 N:02_0_R Comdty,2015-04-17,12.68738
TFT1 N:02_0_R Comdty,2015-04-20,12.83156
TFT1 N:02_0_R Comdty,2015-04-21,12.82921
TFT1 N:02_0_R Comdty,2015-04-22,13.03832
TFT1 N:02_0_R Comdty,2015-04-23,12.82849
TFT1 N:02_0_R Comdty,2015-04-24,12.81931
TFT1 N:02_0_R Comdty,2015-04-27,12.82066
TFT1 N:02_0_R Comdty,2015-04-28,12.88367
TFT1 N:02_0_R Comdty,2015-04-29,12.6641
TFT1 N:02_0_R Comdty,2015-04-30,12.70848
TFT1 N:02_0_R Comdty,2015-05-04,12.59478
TFT1 N:02_0_R Comdty,2015-05-05,12.45002
TFT1 N:02_0_R Comdty,2015-05-06,12.32499
TFT1 N:02_0_R Comdty,2015-05-07,12.37112
TFT1 N:02_0_R Comdty,2015-05-08,12.50772
TFT1 N:02_0_R Comdty,2015-05-11,12.54353
TFT1 N:02_0_R Comdty,2015-05-12,12.41029
TFT1 N:02_0_R Comdty,2015-05-13,12.31544
TFT1 N:02_0_R Comdty,2015-05-14,12.26092
TFT1 N:02_0_R Comdty,2015-05-15,12.31644
TFT1 N:02_0_R Comdty,2015-05-18,12.34981
TFT1 N:02_0_R Comdty,2015-05-19,12.47693
TFT1 N:02_0_R Comdty,2015-05-20,12.53286
TFT1 N:02_0_R Comdty,2015-05-21,12.48916
TFT1 N:02_0_R Comdty,2015-05-22,12.6026
TFT1 N:02_0_R Comdty,2015-05-25,12.60479
TFT1 N:02_0_R Comdty,2015-05-26,12.53298
TFT1 N:02_0_R Comdty,2015-05-27,12.58632
TFT1 N:02_0_R Comdty,2015-05-28,12.39562
TFT1 N:02_0_R Comdty,2015-05-29,12.37591
TFT1 N:02_0_R Comdty,2015-06-01,12.31794
TFT1 N:02_0_R Comdty,2015-06-02,12.21559
TFT1 N:02_0_R Comdty,2015-06-03,12.28548
TFT1 N:02_0_R Comdty,2015-06-04,12.23286
TFT1 N:02_0_R Comdty,2015-06-05,12.3774
TFT1 N:02_0_R Comdty,2015-06-08,12.30019
TFT1 N:02_0_R Comdty,2015-06-09,12.28099
TFT1 N:02_0_R Comdty,2015-06-10,12.2258
TFT1 N:02_0_R Comdty,2015-06-11,12.27437
TFT1 N:02_0_R Comdty,2015-06-12,12.09803
TFT1 N:02_0_R Comdty,2015-06-15,12.1444
TFT1 N:02_0_R Comdty,2015-06-16,12.23425
TFT1 N:02_0_R Comdty,2015-06-17,12.13393
TFT1 N:02_0_R Comdty,2015-06-18,12.13875
TFT1 N:02_0_R Comdty,2015-06-19,12.06496
TFT1 N:02_0_R Comdty,2015-06-23,12.24911
TFT1 N:02_0_R Comdty,2015-06-24,12.25216
TFT1 N:02_0_R Comdty,2015-06-25,12.24277
TFT1 N:02_0_R Comdty,2015-06-26,12.21979
TFT1 N:02_0_R Comdty,2015-06-29,12.07199
TFT1 N:02_0_R Comdty,2015-06-30,12.24847
TFT1 N:02_0_R Comdty,2015-07-01,12.37952
TFT1 N:02_0_R Comdty,2015-07-02,12.34778
TFT1 N:02_0_R Comdty,2015-07-03,12.39421
TFT1 N:02_0_R Comdty,2015-07-06,12.46711
TFT1 N:02_0_R Comdty,2015-07-07,12.60331
TFT1 N:02_0_R Comdty,2015-07-08,12.51045
TFT1 N:02_0_R Comdty,2015-07-09,12.58683
TFT1 N:02_0_R Comdty,2015-07-10,12.45124
TFT1 N:02_0_R Comdty,2015-07-13,12.52919
TFT1 N:02_0_R Comdty,2015-07-14,12.48148
TFT1 N:02_0_R Comdty,2015-07-15,12.53686
TFT1 N:02_0_R Comdty,2015-07-16,12.65307
TFT1 N:02_0_R Comdty,2015-07-17,12.68993
TFT1 N:02_0_R Comdty,2015-07-20,12.72413
TFT1 N:02_0_R Comdty,2015-07-21,12.62382
TFT1 N:02_0_R Comdty,2015-07-22,12.68504
TFT1 N:02_0_R Comdty,2015-07-23,12.64861
TFT1 N:02_0_R Comdty,2015-07-24,12.73524
TFT1 N:02_0_R Comdty,2015-07-27,12.71468
