name,date,PX_LAST
TP1 N:02_0_R Index,1990-05-17,18.35924
TP1 N:02_0_R Index,1990-05-21,18.17287
TP1 N:02_0_R Index,1990-05-22,18.6033
TP1 N:02_0_R Index,1990-05-23,18.63523
TP1 N:02_0_R Index,1990-05-24,18.75115
TP1 N:02_0_R Index,1990-05-25,19.19068
TP1 N:02_0_R Index,1990-05-28,19.32417
TP1 N:02_0_R Index,1990-05-29,18.8066
TP1 N:02_0_R Index,1990-05-30,18.81602
TP1 N:02_0_R Index,1990-05-31,18.81854
TP1 N:02_0_R Index,1990-06-01,18.88896
TP1 N:02_0_R Index,1990-06-04,18.99095
TP1 N:02_0_R Index,1990-06-05,18.78558
TP1 N:02_0_R Index,1990-06-06,18.64917
TP1 N:02_0_R Index,1990-06-07,18.83505
TP1 N:02_0_R Index,1990-06-08,18.66722
TP1 N:02_0_R Index,1990-06-11,18.1107
TP1 N:02_0_R Index,1990-06-12,18.10586
TP1 N:02_0_R Index,1990-06-13,18.064
TP1 N:02_0_R Index,1990-06-14,18.28707
TP1 N:02_0_R Index,1990-06-15,18.16616
TP1 N:02_0_R Index,1990-06-18,17.85231
TP1 N:02_0_R Index,1990-06-19,17.54909
TP1 N:02_0_R Index,1990-06-20,17.78502
TP1 N:02_0_R Index,1990-06-21,17.50565
TP1 N:02_0_R Index,1990-06-22,17.25087
TP1 N:02_0_R Index,1990-06-25,16.94101
TP1 N:02_0_R Index,1990-06-26,17.22781
TP1 N:02_0_R Index,1990-06-27,17.45522
TP1 N:02_0_R Index,1990-06-28,17.73085
TP1 N:02_0_R Index,1990-06-29,17.45465
TP1 N:02_0_R Index,1990-07-02,17.75605
TP1 N:02_0_R Index,1990-07-03,17.72531
TP1 N:02_0_R Index,1990-07-04,17.92428
TP1 N:02_0_R Index,1990-07-05,17.83471
TP1 N:02_0_R Index,1990-07-06,17.88635
TP1 N:02_0_R Index,1990-07-09,17.72757
TP1 N:02_0_R Index,1990-07-10,17.8346
TP1 N:02_0_R Index,1990-07-11,18.11184
TP1 N:02_0_R Index,1990-07-12,18.08796
TP1 N:02_0_R Index,1990-07-13,18.25627
TP1 N:02_0_R Index,1990-07-16,18.74047
TP1 N:02_0_R Index,1990-07-17,18.56195
TP1 N:02_0_R Index,1990-07-18,18.62627
TP1 N:02_0_R Index,1990-07-19,18.4028
TP1 N:02_0_R Index,1990-07-20,18.04487
TP1 N:02_0_R Index,1990-07-23,17.60898
TP1 N:02_0_R Index,1990-07-24,17.21944
TP1 N:02_0_R Index,1990-07-25,17.24173
TP1 N:02_0_R Index,1990-07-26,16.86455
TP1 N:02_0_R Index,1990-07-27,16.49671
TP1 N:02_0_R Index,1990-07-30,16.5067
TP1 N:02_0_R Index,1990-07-31,17.01579
TP1 N:02_0_R Index,1990-08-01,16.57129
TP1 N:02_0_R Index,1990-08-02,16.14875
TP1 N:02_0_R Index,1990-08-03,15.67579
TP1 N:02_0_R Index,1990-08-06,14.83198
TP1 N:02_0_R Index,1990-08-07,14.73541
TP1 N:02_0_R Index,1990-08-08,15.13136
TP1 N:02_0_R Index,1990-08-09,14.86654
TP1 N:02_0_R Index,1990-08-10,14.60375
TP1 N:02_0_R Index,1990-08-13,13.74325
TP1 N:02_0_R Index,1990-08-14,14.13277
TP1 N:02_0_R Index,1990-08-15,14.81672
TP1 N:02_0_R Index,1990-08-16,14.54092
TP1 N:02_0_R Index,1990-08-17,14.07495
TP1 N:02_0_R Index,1990-08-20,14.35431
TP1 N:02_0_R Index,1990-08-21,14.08422
TP1 N:02_0_R Index,1990-08-22,13.50403
TP1 N:02_0_R Index,1990-08-23,12.87556
TP1 N:02_0_R Index,1990-08-24,12.79535
TP1 N:02_0_R Index,1990-08-27,13.53559
TP1 N:02_0_R Index,1990-08-28,14.01127
TP1 N:02_0_R Index,1990-08-29,13.60595
TP1 N:02_0_R Index,1990-08-30,14.08928
TP1 N:02_0_R Index,1990-08-31,14.50199
TP1 N:02_0_R Index,1990-09-03,14.2724
TP1 N:02_0_R Index,1990-09-04,13.97157
TP1 N:02_0_R Index,1990-09-05,13.57441
TP1 N:02_0_R Index,1990-09-06,13.56759
TP1 N:02_0_R Index,1990-09-07,13.89316
TP1 N:02_0_R Index,1990-09-10,14.59911
TP1 N:02_0_R Index,1990-09-11,14.35321
TP1 N:02_0_R Index,1990-09-12,14.82526
TP1 N:02_0_R Index,1990-09-13,14.74339
TP1 N:02_0_R Index,1990-09-14,14.32806
TP1 N:02_0_R Index,1990-09-17,13.80745
TP1 N:02_0_R Index,1990-09-18,13.42785
TP1 N:02_0_R Index,1990-09-19,13.60606
TP1 N:02_0_R Index,1990-09-20,13.64849
TP1 N:02_0_R Index,1990-09-21,13.55926
TP1 N:02_0_R Index,1990-09-25,12.93691
TP1 N:02_0_R Index,1990-09-26,12.58392
TP1 N:02_0_R Index,1990-09-27,12.22085
TP1 N:02_0_R Index,1990-09-28,11.70269
TP1 N:02_0_R Index,1990-10-01,11.41488
TP1 N:02_0_R Index,1990-10-02,11.90453
TP1 N:02_0_R Index,1990-10-03,12.36084
TP1 N:02_0_R Index,1990-10-04,12.5036
TP1 N:02_0_R Index,1990-10-05,13.16307
TP1 N:02_0_R Index,1990-10-08,13.69727
TP1 N:02_0_R Index,1990-10-09,13.54347
TP1 N:02_0_R Index,1990-10-11,13.33239
TP1 N:02_0_R Index,1990-10-12,13.28151
TP1 N:02_0_R Index,1990-10-15,13.9164
TP1 N:02_0_R Index,1990-10-16,14.16675
TP1 N:02_0_R Index,1990-10-17,14.34492
TP1 N:02_0_R Index,1990-10-18,14.57794
TP1 N:02_0_R Index,1990-10-19,14.66768
TP1 N:02_0_R Index,1990-10-22,15.11811
TP1 N:02_0_R Index,1990-10-23,14.98257
TP1 N:02_0_R Index,1990-10-24,14.72694
TP1 N:02_0_R Index,1990-10-25,15.2138
TP1 N:02_0_R Index,1990-10-26,15.05092
TP1 N:02_0_R Index,1990-10-29,15.17772
TP1 N:02_0_R Index,1990-10-30,14.95828
TP1 N:02_0_R Index,1990-10-31,14.71373
TP1 N:02_0_R Index,1990-11-01,13.99539
TP1 N:02_0_R Index,1990-11-02,14.17016
TP1 N:02_0_R Index,1990-11-05,14.32287
TP1 N:02_0_R Index,1990-11-06,13.8323
