name,date,PX_LAST
W 1 N:02_0_R Comdty,1971-01-04,723.88184
W 1 N:02_0_R Comdty,1971-01-05,726.0549
W 1 N:02_0_R Comdty,1971-01-06,719.52973
W 1 N:02_0_R Comdty,1971-01-07,717.21073
W 1 N:02_0_R Comdty,1971-01-08,724.84398
W 1 N:02_0_R Comdty,1971-01-11,734.92703
W 1 N:02_0_R Comdty,1971-01-12,732.72397
W 1 N:02_0_R Comdty,1971-01-13,732.65596
W 1 N:02_0_R Comdty,1971-01-14,735.36711
W 1 N:02_0_R Comdty,1971-01-15,742.01136
W 1 N:02_0_R Comdty,1971-01-18,730.4597
W 1 N:02_0_R Comdty,1971-01-19,730.06925
W 1 N:02_0_R Comdty,1971-01-20,731.76922
W 1 N:02_0_R Comdty,1971-01-21,728.10817
W 1 N:02_0_R Comdty,1971-01-22,729.89949
W 1 N:02_0_R Comdty,1971-01-25,721.46342
W 1 N:02_0_R Comdty,1971-01-26,714.20739
W 1 N:02_0_R Comdty,1971-01-27,708.05289
W 1 N:02_0_R Comdty,1971-01-28,708.6932
W 1 N:02_0_R Comdty,1971-01-29,714.32347
W 1 N:02_0_R Comdty,1971-02-01,717.10977
W 1 N:02_0_R Comdty,1971-02-02,728.36843
W 1 N:02_0_R Comdty,1971-02-03,726.15541
W 1 N:02_0_R Comdty,1971-02-04,727.80271
W 1 N:02_0_R Comdty,1971-02-05,731.07165
W 1 N:02_0_R Comdty,1971-02-08,736.60658
W 1 N:02_0_R Comdty,1971-02-09,732.14436
W 1 N:02_0_R Comdty,1971-02-10,727.3465
W 1 N:02_0_R Comdty,1971-02-11,726.74699
W 1 N:02_0_R Comdty,1971-02-12,724.0439
W 1 N:02_0_R Comdty,1971-02-16,721.4005
W 1 N:02_0_R Comdty,1971-02-17,726.20611
W 1 N:02_0_R Comdty,1971-02-18,725.11655
W 1 N:02_0_R Comdty,1971-02-19,725.04905
W 1 N:02_0_R Comdty,1971-02-22,718.53007
W 1 N:02_0_R Comdty,1971-02-23,718.51335
W 1 N:02_0_R Comdty,1971-02-24,708.74491
W 1 N:02_0_R Comdty,1971-02-25,710.25286
W 1 N:02_0_R Comdty,1971-02-26,715.72597
W 1 N:02_0_R Comdty,1971-03-01,718.5373
W 1 N:02_0_R Comdty,1971-03-02,723.74087
W 1 N:02_0_R Comdty,1971-03-03,721.83314
W 1 N:02_0_R Comdty,1971-03-04,719.55836
W 1 N:02_0_R Comdty,1971-03-05,722.83818
W 1 N:02_0_R Comdty,1971-03-08,720.96286
W 1 N:02_0_R Comdty,1971-03-09,719.15753
W 1 N:02_0_R Comdty,1971-03-10,719.09055
W 1 N:02_0_R Comdty,1971-03-11,717.51971
W 1 N:02_0_R Comdty,1971-03-12,716.38337
W 1 N:02_0_R Comdty,1971-03-15,713.52637
W 1 N:02_0_R Comdty,1971-03-16,709.63349
W 1 N:02_0_R Comdty,1971-03-17,697.94076
W 1 N:02_0_R Comdty,1971-03-18,702.70624
W 1 N:02_0_R Comdty,1971-03-19,702.52641
W 1 N:02_0_R Comdty,1971-03-22,703.06105
W 1 N:02_0_R Comdty,1971-03-23,705.85445
W 1 N:02_0_R Comdty,1971-03-24,701.91006
W 1 N:02_0_R Comdty,1971-03-25,701.39747
W 1 N:02_0_R Comdty,1971-03-26,696.82756
W 1 N:02_0_R Comdty,1971-03-29,697.47
W 1 N:02_0_R Comdty,1971-03-30,694.60806
W 1 N:02_0_R Comdty,1971-03-31,696.74646
W 1 N:02_0_R Comdty,1971-04-01,707.20553
W 1 N:02_0_R Comdty,1971-04-02,710.95061
W 1 N:02_0_R Comdty,1971-04-05,704.73605
W 1 N:02_0_R Comdty,1971-04-06,711.39757
W 1 N:02_0_R Comdty,1971-04-07,705.65734
W 1 N:02_0_R Comdty,1971-04-08,714.61691
W 1 N:02_0_R Comdty,1971-04-12,731.67838
W 1 N:02_0_R Comdty,1971-04-13,730.32337
W 1 N:02_0_R Comdty,1971-04-14,728.20158
W 1 N:02_0_R Comdty,1971-04-15,725.45493
W 1 N:02_0_R Comdty,1971-04-16,711.0393
W 1 N:02_0_R Comdty,1971-04-19,708.27258
W 1 N:02_0_R Comdty,1971-04-20,709.16243
W 1 N:02_0_R Comdty,1971-04-21,710.28397
W 1 N:02_0_R Comdty,1971-04-22,714.47964
W 1 N:02_0_R Comdty,1971-04-23,703.94455
W 1 N:02_0_R Comdty,1971-04-26,696.51946
W 1 N:02_0_R Comdty,1971-04-27,696.75713
W 1 N:02_0_R Comdty,1971-04-28,698.42552
W 1 N:02_0_R Comdty,1971-04-29,701.88307
W 1 N:02_0_R Comdty,1971-04-30,699.61061
