name,date,PX_LAST
XM1 N:02_0_R Comdty,1987-09-21,78.54163
XM1 N:02_0_R Comdty,1987-09-22,78.56852
XM1 N:02_0_R Comdty,1987-09-23,78.452
XM1 N:02_0_R Comdty,1987-09-24,78.51026
XM1 N:02_0_R Comdty,1987-09-25,78.44752
XM1 N:02_0_R Comdty,1987-09-28,78.452
XM1 N:02_0_R Comdty,1987-09-29,78.39822
XM1 N:02_0_R Comdty,1987-09-30,78.3534
XM1 N:02_0_R Comdty,1987-10-01,78.25929
XM1 N:02_0_R Comdty,1987-10-02,78.32651
XM1 N:02_0_R Comdty,1987-10-05,78.33996
XM1 N:02_0_R Comdty,1987-10-06,78.36685
XM1 N:02_0_R Comdty,1987-10-07,78.34892
XM1 N:02_0_R Comdty,1987-10-08,78.33099
XM1 N:02_0_R Comdty,1987-10-09,78.29066
XM1 N:02_0_R Comdty,1987-10-12,78.22343
XM1 N:02_0_R Comdty,1987-10-13,78.20102
XM1 N:02_0_R Comdty,1987-10-14,78.20551
XM1 N:02_0_R Comdty,1987-10-15,78.0845
XM1 N:02_0_R Comdty,1987-10-16,77.86938
XM1 N:02_0_R Comdty,1987-10-19,77.71252
XM1 N:02_0_R Comdty,1987-10-20,77.20161
XM1 N:02_0_R Comdty,1987-10-21,77.6677
XM1 N:02_0_R Comdty,1987-10-22,77.50636
XM1 N:02_0_R Comdty,1987-10-23,77.56014
XM1 N:02_0_R Comdty,1987-10-26,77.71252
XM1 N:02_0_R Comdty,1987-10-27,77.38984
XM1 N:02_0_R Comdty,1987-10-28,77.30917
XM1 N:02_0_R Comdty,1987-10-29,76.9596
XM1 N:02_0_R Comdty,1987-10-30,77.27331
XM1 N:02_0_R Comdty,1987-11-02,77.45258
XM1 N:02_0_R Comdty,1987-11-03,77.28228
XM1 N:02_0_R Comdty,1987-11-04,77.3002
XM1 N:02_0_R Comdty,1987-11-05,77.3002
XM1 N:02_0_R Comdty,1987-11-06,77.43466
XM1 N:02_0_R Comdty,1987-11-09,77.30917
XM1 N:02_0_R Comdty,1987-11-10,77.40777
XM1 N:02_0_R Comdty,1987-11-11,77.47051
XM1 N:02_0_R Comdty,1987-11-12,77.62289
XM1 N:02_0_R Comdty,1987-11-13,77.62289
XM1 N:02_0_R Comdty,1987-11-16,77.62737
XM1 N:02_0_R Comdty,1987-11-17,77.7663
XM1 N:02_0_R Comdty,1987-11-18,77.72148
XM1 N:02_0_R Comdty,1987-11-19,77.7663
XM1 N:02_0_R Comdty,1987-11-20,77.66322
XM1 N:02_0_R Comdty,1987-11-23,77.53325
XM1 N:02_0_R Comdty,1987-11-24,77.60496
XM1 N:02_0_R Comdty,1987-11-25,77.72148
XM1 N:02_0_R Comdty,1987-11-26,77.69908
XM1 N:02_0_R Comdty,1987-11-27,77.71252
XM1 N:02_0_R Comdty,1987-11-30,77.62289
XM1 N:02_0_R Comdty,1987-12-01,77.67667
XM1 N:02_0_R Comdty,1987-12-02,77.74837
XM1 N:02_0_R Comdty,1987-12-03,77.72597
XM1 N:02_0_R Comdty,1987-12-04,77.69908
XM1 N:02_0_R Comdty,1987-12-07,77.7663
XM1 N:02_0_R Comdty,1987-12-08,77.7663
XM1 N:02_0_R Comdty,1987-12-09,77.79319
XM1 N:02_0_R Comdty,1987-12-10,77.9366
XM1 N:02_0_R Comdty,1987-12-11,77.80664
XM1 N:02_0_R Comdty,1987-12-15,77.80664
XM1 N:02_0_R Comdty,1987-12-16,77.81559
XM1 N:02_0_R Comdty,1987-12-21,77.87831
XM1 N:02_0_R Comdty,1987-12-29,77.91414
XM1 N:02_0_R Comdty,1987-12-30,77.89623
XM1 N:02_0_R Comdty,1988-01-04,77.86936
XM1 N:02_0_R Comdty,1988-01-06,77.89623
XM1 N:02_0_R Comdty,1988-01-08,77.9455
XM1 N:02_0_R Comdty,1988-01-12,77.9455
XM1 N:02_0_R Comdty,1988-01-14,77.94103
XM1 N:02_0_R Comdty,1988-01-15,78.07989
XM1 N:02_0_R Comdty,1988-01-19,78.25457
XM1 N:02_0_R Comdty,1988-01-20,78.23666
XM1 N:02_0_R Comdty,1988-01-21,78.23218
XM1 N:02_0_R Comdty,1988-01-22,78.23666
XM1 N:02_0_R Comdty,1988-01-27,78.30833
XM1 N:02_0_R Comdty,1988-01-28,78.34417
XM1 N:02_0_R Comdty,1988-01-29,78.28593
XM1 N:02_0_R Comdty,1988-02-01,78.24562
XM1 N:02_0_R Comdty,1988-02-03,78.20082
XM1 N:02_0_R Comdty,1988-02-04,78.14708
XM1 N:02_0_R Comdty,1988-02-08,78.24562
XM1 N:02_0_R Comdty,1988-02-09,78.24562
XM1 N:02_0_R Comdty,1988-02-10,78.24113
XM1 N:02_0_R Comdty,1988-02-12,78.2277
XM1 N:02_0_R Comdty,1988-02-16,78.42479
XM1 N:02_0_R Comdty,1988-02-24,78.4875
XM1 N:02_0_R Comdty,1988-02-25,78.50542
XM1 N:02_0_R Comdty,1988-02-29,78.51439
XM1 N:02_0_R Comdty,1988-03-01,78.55917
XM1 N:02_0_R Comdty,1988-03-04,78.71147
XM1 N:02_0_R Comdty,1988-03-07,78.67563
XM1 N:02_0_R Comdty,1988-04-05,78.67563
XM1 N:02_0_R Comdty,1988-04-06,78.66668
XM1 N:02_0_R Comdty,1988-04-07,78.64878
XM1 N:02_0_R Comdty,1988-04-08,78.64878
XM1 N:02_0_R Comdty,1988-04-11,78.77855
XM1 N:02_0_R Comdty,1988-04-13,78.81883
XM1 N:02_0_R Comdty,1988-04-15,78.80989
XM1 N:02_0_R Comdty,1988-04-18,78.77855
XM1 N:02_0_R Comdty,1988-04-19,78.70696
XM1 N:02_0_R Comdty,1988-04-20,78.69353
XM1 N:02_0_R Comdty,1988-04-21,78.87252
