name,date,PX_LAST
Z 1 N:02_0_R Index,1988-02-29,5734.82935
Z 1 N:02_0_R Index,1988-03-01,5826.05918
Z 1 N:02_0_R Index,1988-03-02,5907.45425
Z 1 N:02_0_R Index,1988-03-03,5937.4007
Z 1 N:02_0_R Index,1988-03-04,6026.47983
Z 1 N:02_0_R Index,1988-03-07,6044.475
Z 1 N:02_0_R Index,1988-03-08,6104.77412
Z 1 N:02_0_R Index,1988-03-09,6146.46075
Z 1 N:02_0_R Index,1988-03-10,6152.84516
Z 1 N:02_0_R Index,1988-03-11,6042.94372
Z 1 N:02_0_R Index,1988-03-14,6096.45338
Z 1 N:02_0_R Index,1988-03-15,6188.43891
Z 1 N:02_0_R Index,1988-03-16,6125.63157
Z 1 N:02_0_R Index,1988-03-17,6174.08358
Z 1 N:02_0_R Index,1988-03-18,6254.61744
Z 1 N:02_0_R Index,1988-03-21,6218.05398
Z 1 N:02_0_R Index,1988-03-22,6219.86862
Z 1 N:02_0_R Index,1988-03-23,6184.25738
Z 1 N:02_0_R Index,1988-03-24,6016.15331
Z 1 N:02_0_R Index,1988-03-25,5847.51049
Z 1 N:02_0_R Index,1988-03-28,5789.44515
Z 1 N:02_0_R Index,1988-03-29,5958.29035
Z 1 N:02_0_R Index,1988-03-30,5943.44336
Z 1 N:02_0_R Index,1988-03-31,5864.06593
Z 1 N:02_0_R Index,1988-04-05,5920.96816
Z 1 N:02_0_R Index,1988-04-06,5993.89785
Z 1 N:02_0_R Index,1988-04-07,6040.72627
Z 1 N:02_0_R Index,1988-04-08,6091.87169
Z 1 N:02_0_R Index,1988-04-11,6184.03082
Z 1 N:02_0_R Index,1988-04-12,6149.53665
Z 1 N:02_0_R Index,1988-04-13,6134.2935
Z 1 N:02_0_R Index,1988-04-14,6002.23078
Z 1 N:02_0_R Index,1988-04-15,6001.37406
Z 1 N:02_0_R Index,1988-04-18,6081.29956
Z 1 N:02_0_R Index,1988-04-19,6101.57537
Z 1 N:02_0_R Index,1988-04-20,6047.90617
Z 1 N:02_0_R Index,1988-04-21,6135.46094
Z 1 N:02_0_R Index,1988-04-22,6030.59676
Z 1 N:02_0_R Index,1988-04-25,6068.08518
Z 1 N:02_0_R Index,1988-04-26,6124.93692
Z 1 N:02_0_R Index,1988-04-27,6144.46541
Z 1 N:02_0_R Index,1988-04-28,6089.12108
Z 1 N:02_0_R Index,1988-04-29,6119.04747
Z 1 N:02_0_R Index,1988-05-03,6146.14444
Z 1 N:02_0_R Index,1988-05-04,6108.591
Z 1 N:02_0_R Index,1988-05-05,6074.56757
Z 1 N:02_0_R Index,1988-05-06,6085.25147
Z 1 N:02_0_R Index,1988-05-09,6140.43517
Z 1 N:02_0_R Index,1988-05-10,6113.76299
Z 1 N:02_0_R Index,1988-05-11,5992.89867
Z 1 N:02_0_R Index,1988-05-12,6039.66777
Z 1 N:02_0_R Index,1988-05-13,6120.2264
Z 1 N:02_0_R Index,1988-05-16,6122.13455
Z 1 N:02_0_R Index,1988-05-17,6163.70966
Z 1 N:02_0_R Index,1988-05-18,6134.99378
Z 1 N:02_0_R Index,1988-05-19,6054.79692
Z 1 N:02_0_R Index,1988-05-20,6074.21833
Z 1 N:02_0_R Index,1988-05-23,6054.56626
Z 1 N:02_0_R Index,1988-05-24,6153.96314
Z 1 N:02_0_R Index,1988-05-25,6167.60123
Z 1 N:02_0_R Index,1988-05-26,6137.37426
Z 1 N:02_0_R Index,1988-05-27,6154.05635
Z 1 N:02_0_R Index,1988-05-31,6150.18843
Z 1 N:02_0_R Index,1988-06-01,6210.13766
Z 1 N:02_0_R Index,1988-06-02,6110.5433
Z 1 N:02_0_R Index,1988-06-03,6117.64131
Z 1 N:02_0_R Index,1988-06-06,6137.61545
Z 1 N:02_0_R Index,1988-06-07,6134.62312
Z 1 N:02_0_R Index,1988-06-08,6173.08024
Z 1 N:02_0_R Index,1988-06-09,6251.16036
Z 1 N:02_0_R Index,1988-06-10,6271.86499
Z 1 N:02_0_R Index,1988-06-13,6258.60508
Z 1 N:02_0_R Index,1988-06-14,6352.12383
Z 1 N:02_0_R Index,1988-06-15,6419.60031
Z 1 N:02_0_R Index,1988-06-16,6350.03372
Z 1 N:02_0_R Index,1988-06-20,6379.89681
Z 1 N:02_0_R Index,1988-06-21,6427.5903
Z 1 N:02_0_R Index,1988-06-22,6470.79
Z 1 N:02_0_R Index,1988-06-23,6453.25228
Z 1 N:02_0_R Index,1988-06-24,6398.30759
Z 1 N:02_0_R Index,1988-06-27,6257.82931
Z 1 N:02_0_R Index,1988-06-28,6310.61372
Z 1 N:02_0_R Index,1988-06-29,6361.24557
Z 1 N:02_0_R Index,1988-06-30,6295.70858
Z 1 N:02_0_R Index,1988-07-01,6272.22247
Z 1 N:02_0_R Index,1988-07-05,6300.01964
Z 1 N:02_0_R Index,1988-07-06,6335.60471
Z 1 N:02_0_R Index,1988-07-07,6317.68302
Z 1 N:02_0_R Index,1988-07-08,6413.81764
Z 1 N:02_0_R Index,1988-07-11,6376.52362
Z 1 N:02_0_R Index,1988-07-12,6324.25114
Z 1 N:02_0_R Index,1988-07-13,6344.09143
Z 1 N:02_0_R Index,1988-07-14,6336.40309
Z 1 N:02_0_R Index,1988-07-15,6333.67743
Z 1 N:02_0_R Index,1988-07-18,6333.68079
Z 1 N:02_0_R Index,1988-07-19,6338.68202
Z 1 N:02_0_R Index,1988-07-20,6405.36881
Z 1 N:02_0_R Index,1988-07-21,6436.65174
Z 1 N:02_0_R Index,1988-07-22,6400.39713
Z 1 N:02_0_R Index,1988-07-25,6371.61959
Z 1 N:02_0_R Index,1988-07-26,6378.40179
Z 1 N:02_0_R Index,1988-07-27,6402.4012
Z 1 N:02_0_R Index,1988-07-28,6426.25973
Z 1 N:02_0_R Index,1988-07-29,6472.36562
Z 1 N:02_0_R Index,1988-08-01,6543.49464
Z 1 N:02_0_R Index,1988-08-02,6491.99285
Z 1 N:02_0_R Index,1988-08-03,6567.6454
Z 1 N:02_0_R Index,1988-08-04,6583.14139
Z 1 N:02_0_R Index,1988-08-05,6599.50063
Z 1 N:02_0_R Index,1988-08-08,6643.21455
Z 1 N:02_0_R Index,1988-08-09,6596.3737
Z 1 N:02_0_R Index,1988-08-10,6545.60249
Z 1 N:02_0_R Index,1988-08-11,6478.35483
Z 1 N:02_0_R Index,1988-08-12,6512.54508
