name,date,PX_LAST
ATT1 N:02_0_N Index,2014-02-10,3172.15134
ATT1 N:02_0_N Index,2014-02-11,3231.32827
ATT1 N:02_0_N Index,2014-02-12,3240.88325
ATT1 N:02_0_N Index,2014-02-13,3194.41367
ATT1 N:02_0_N Index,2014-02-14,3222.17686
ATT1 N:02_0_N Index,2014-02-17,3239.52952
ATT1 N:02_0_N Index,2014-02-18,3247.21349
ATT1 N:02_0_N Index,2014-02-19,3215.15166
ATT1 N:02_0_N Index,2014-02-20,3217.69657
ATT1 N:02_0_N Index,2014-02-21,3250.53636
ATT1 N:02_0_N Index,2014-02-24,3271.88903
ATT1 N:02_0_N Index,2014-02-25,3273.08285
ATT1 N:02_0_N Index,2014-02-26,3262.27592
ATT1 N:02_0_N Index,2014-02-27,3215.51469
ATT1 N:02_0_N Index,2014-02-28,3142.97309
ATT1 N:02_0_N Index,2014-03-03,3031.1111
ATT1 N:02_0_N Index,2014-03-04,3109.15175
ATT1 N:02_0_N Index,2014-03-05,3101.3483
ATT1 N:02_0_N Index,2014-03-06,3144.82275
ATT1 N:02_0_N Index,2014-03-07,3099.32327
ATT1 N:02_0_N Index,2014-03-10,3066.6604
ATT1 N:02_0_N Index,2014-03-11,3031.66584
ATT1 N:02_0_N Index,2014-03-12,2972.60133
ATT1 N:02_0_N Index,2014-03-13,2926.191
ATT1 N:02_0_N Index,2014-03-14,2894.89393
ATT1 N:02_0_N Index,2014-03-17,2962.54514
ATT1 N:02_0_N Index,2014-03-18,3018.49272
ATT1 N:02_0_N Index,2014-03-19,3025.43143
ATT1 N:02_0_N Index,2014-03-20,2949.17103
ATT1 N:02_0_N Index,2014-03-21,2957.63532
ATT1 N:02_0_N Index,2014-03-24,2905.88472
ATT1 N:02_0_N Index,2014-03-25,2932.88382
ATT1 N:02_0_N Index,2014-03-26,2974.42119
ATT1 N:02_0_N Index,2014-03-27,2924.59896
ATT1 N:02_0_N Index,2014-03-28,2961.16957
ATT1 N:02_0_N Index,2014-03-31,3008.37785
ATT1 N:02_0_N Index,2014-04-01,3044.69014
ATT1 N:02_0_N Index,2014-04-02,3059.8572
ATT1 N:02_0_N Index,2014-04-03,3082.79819
ATT1 N:02_0_N Index,2014-04-04,3093.33554
ATT1 N:02_0_N Index,2014-04-07,3026.48105
ATT1 N:02_0_N Index,2014-04-08,2985.97616
ATT1 N:02_0_N Index,2014-04-09,3029.12885
ATT1 N:02_0_N Index,2014-04-10,3002.40203
ATT1 N:02_0_N Index,2014-04-11,2969.63895
ATT1 N:02_0_N Index,2014-04-14,2940.18763
ATT1 N:02_0_N Index,2014-04-15,2902.32995
ATT1 N:02_0_N Index,2014-04-16,2942.64539
ATT1 N:02_0_N Index,2014-04-17,2955.73748
ATT1 N:02_0_N Index,2014-04-22,3013.0172
ATT1 N:02_0_N Index,2014-04-23,3014.4019
ATT1 N:02_0_N Index,2014-04-24,3004.29804
ATT1 N:02_0_N Index,2014-04-25,2963.09012
ATT1 N:02_0_N Index,2014-04-28,2966.65522
ATT1 N:02_0_N Index,2014-04-29,3021.09824
ATT1 N:02_0_N Index,2014-04-30,3025.6602
ATT1 N:02_0_N Index,2014-05-02,3023.30196
ATT1 N:02_0_N Index,2014-05-05,2997.24334
ATT1 N:02_0_N Index,2014-05-06,2964.79138
ATT1 N:02_0_N Index,2014-05-07,2958.11303
ATT1 N:02_0_N Index,2014-05-08,2983.74741
ATT1 N:02_0_N Index,2014-05-09,2981.76267
ATT1 N:02_0_N Index,2014-05-12,2994.74152
ATT1 N:02_0_N Index,2014-05-13,2979.41928
ATT1 N:02_0_N Index,2014-05-14,2970.45294
ATT1 N:02_0_N Index,2014-05-15,2901.71186
ATT1 N:02_0_N Index,2014-05-16,2882.49522
