name,date,PX_LAST
BZ1 N:02_0_N Index,1995-07-12,5410.67965
BZ1 N:02_0_N Index,1995-07-21,5131.57218
BZ1 N:02_0_N Index,1995-08-01,5018.90909
BZ1 N:02_0_N Index,1995-08-02,5138.8984
BZ1 N:02_0_N Index,1995-08-03,5144.20721
BZ1 N:02_0_N Index,1995-08-04,5425.41176
BZ1 N:02_0_N Index,1995-08-07,5699.52289
BZ1 N:02_0_N Index,1995-08-08,5557.97861
BZ1 N:02_0_N Index,1995-08-09,5588.36092
BZ1 N:02_0_N Index,1995-08-11,5571.72193
BZ1 N:02_0_N Index,1995-08-14,5317.08449
BZ1 N:02_0_N Index,1995-08-15,5575.50372
BZ1 N:02_0_N Index,1995-08-16,5698.18278
BZ1 N:02_0_N Index,1995-08-17,5635.96068
BZ1 N:02_0_N Index,1995-08-18,5637.8535
BZ1 N:02_0_N Index,1995-08-21,5659.1966
BZ1 N:02_0_N Index,1995-08-22,5715.29268
BZ1 N:02_0_N Index,1995-08-23,5916.43129
BZ1 N:02_0_N Index,1995-08-24,5781.85201
BZ1 N:02_0_N Index,1995-08-25,5746.40971
BZ1 N:02_0_N Index,1995-08-28,5767.20827
BZ1 N:02_0_N Index,1995-08-29,5614.19236
BZ1 N:02_0_N Index,1995-08-30,5462.07376
BZ1 N:02_0_N Index,1995-08-31,5608.74737
BZ1 N:02_0_N Index,1995-09-01,5745.12
BZ1 N:02_0_N Index,1995-09-04,5882.1519
BZ1 N:02_0_N Index,1995-09-05,5937.20359
BZ1 N:02_0_N Index,1995-09-06,5950.76445
BZ1 N:02_0_N Index,1995-09-08,5881.70526
BZ1 N:02_0_N Index,1995-09-11,6064.21661
BZ1 N:02_0_N Index,1995-09-12,6101.01209
BZ1 N:02_0_N Index,1995-09-13,6166.96091
BZ1 N:02_0_N Index,1995-09-14,6234.96063
BZ1 N:02_0_N Index,1995-09-15,6199.82143
BZ1 N:02_0_N Index,1995-09-18,6223.30882
BZ1 N:02_0_N Index,1995-09-19,6236.42602
BZ1 N:02_0_N Index,1995-09-20,5918.3893
BZ1 N:02_0_N Index,1995-09-21,5649.03463
BZ1 N:02_0_N Index,1995-09-22,5714.95278
BZ1 N:02_0_N Index,1995-09-25,5593.79394
BZ1 N:02_0_N Index,1995-09-26,5582.89518
BZ1 N:02_0_N Index,1995-09-27,5531.07853
BZ1 N:02_0_N Index,1995-09-28,5566.8534
BZ1 N:02_0_N Index,1995-09-29,5777.55614
BZ1 N:02_0_N Index,1995-10-02,5512.7723
BZ1 N:02_0_N Index,1995-10-03,5519.12317
BZ1 N:02_0_N Index,1995-10-04,5346.50313
BZ1 N:02_0_N Index,1995-10-05,5430.17016
BZ1 N:02_0_N Index,1995-10-06,5417.21231
BZ1 N:02_0_N Index,1995-10-09,5338.78744
BZ1 N:02_0_N Index,1995-10-10,5283.238
BZ1 N:02_0_N Index,1995-10-11,5483.92988
BZ1 N:02_0_N Index,1995-10-13,5462.00731
BZ1 N:02_0_N Index,1995-10-16,5487.32853
BZ1 N:02_0_N Index,1995-10-17,5845.30271
BZ1 N:02_0_N Index,1995-10-18,5774.98592
BZ1 N:02_0_N Index,1995-10-19,5717.20484
BZ1 N:02_0_N Index,1995-10-20,5793.03226
BZ1 N:02_0_N Index,1995-10-23,5503.49532
BZ1 N:02_0_N Index,1995-10-24,5543.4769
BZ1 N:02_0_N Index,1995-10-25,5231.73533
BZ1 N:02_0_N Index,1995-10-26,4867.03954
BZ1 N:02_0_N Index,1995-10-27,5032.20859
BZ1 N:02_0_N Index,1995-10-30,4846.88931
BZ1 N:02_0_N Index,1995-10-31,5000.37153
BZ1 N:02_0_N Index,1995-11-01,4897.42204
BZ1 N:02_0_N Index,1995-11-03,5019.96259
BZ1 N:02_0_N Index,1995-11-06,4883.47102
BZ1 N:02_0_N Index,1995-11-07,5024.46618
BZ1 N:02_0_N Index,1995-11-08,4957.36941
BZ1 N:02_0_N Index,1995-11-09,4943.47826
BZ1 N:02_0_N Index,1995-11-10,4728.55062
BZ1 N:02_0_N Index,1995-11-13,4577.57796
BZ1 N:02_0_N Index,1995-11-14,4592.74351
BZ1 N:02_0_N Index,1995-11-16,4797.18503
BZ1 N:02_0_N Index,1995-11-17,4868.19686
BZ1 N:02_0_N Index,1995-11-20,4679.13929
BZ1 N:02_0_N Index,1995-11-21,4876.31328
BZ1 N:02_0_N Index,1995-11-22,4919.32731
BZ1 N:02_0_N Index,1995-11-23,5033.09966
BZ1 N:02_0_N Index,1995-11-24,4854.14515
BZ1 N:02_0_N Index,1995-11-27,5056.53814
BZ1 N:02_0_N Index,1995-11-28,4879.01753
BZ1 N:02_0_N Index,1995-11-29,5129.09751
BZ1 N:02_0_N Index,1995-11-30,5313.93349
BZ1 N:02_0_N Index,1995-12-01,5212.11055
BZ1 N:02_0_N Index,1995-12-04,5204.32623
BZ1 N:02_0_N Index,1995-12-05,5193.83023
BZ1 N:02_0_N Index,1995-12-06,5168.64493
BZ1 N:02_0_N Index,1995-12-07,5211.26294
BZ1 N:02_0_N Index,1995-12-08,5155.95034
BZ1 N:02_0_N Index,1995-12-11,5204.51346
BZ1 N:02_0_N Index,1995-12-12,5561.11284
BZ1 N:02_0_N Index,1995-12-13,5547.13768
BZ1 N:02_0_N Index,1995-12-14,5161.93318
BZ1 N:02_0_N Index,1995-12-15,5110.54264
BZ1 N:02_0_N Index,1995-12-18,4969.10181
BZ1 N:02_0_N Index,1995-12-19,4967.08755
BZ1 N:02_0_N Index,1995-12-20,5173.96001
BZ1 N:02_0_N Index,1995-12-21,5232.21924
BZ1 N:02_0_N Index,1995-12-22,5337.83637
BZ1 N:02_0_N Index,1995-12-26,5383.68443
BZ1 N:02_0_N Index,1995-12-27,5317.0832
BZ1 N:02_0_N Index,1995-12-28,5258.45647
BZ1 N:02_0_N Index,1996-01-02,5392.00453
BZ1 N:02_0_N Index,1996-01-03,5737.77778
BZ1 N:02_0_N Index,1996-01-04,5769.23678
BZ1 N:02_0_N Index,1996-01-05,5701.52176
BZ1 N:02_0_N Index,1996-01-08,5759.57412
BZ1 N:02_0_N Index,1996-01-09,5605.03549
BZ1 N:02_0_N Index,1996-01-10,5529.14009
