name,date,PX_LAST
CL1 N:02_0_N Comdty,1983-03-30,61.2696
CL1 N:02_0_N Comdty,1983-03-31,61.0843
CL1 N:02_0_N Comdty,1983-04-04,60.99968
CL1 N:02_0_N Comdty,1983-04-05,60.95006
CL1 N:02_0_N Comdty,1983-04-06,61.1455
CL1 N:02_0_N Comdty,1983-04-07,61.8485
CL1 N:02_0_N Comdty,1983-04-08,62.52204
CL1 N:02_0_N Comdty,1983-04-11,62.06326
CL1 N:02_0_N Comdty,1983-04-12,63.03194
CL1 N:02_0_N Comdty,1983-04-13,63.36592
CL1 N:02_0_N Comdty,1983-04-14,62.88381
CL1 N:02_0_N Comdty,1983-04-15,62.1792
CL1 N:02_0_N Comdty,1983-04-18,63.36038
CL1 N:02_0_N Comdty,1983-04-19,63.468
CL1 N:02_0_N Comdty,1983-04-20,63.6411
CL1 N:02_0_N Comdty,1983-04-21,63.30818
CL1 N:02_0_N Comdty,1983-04-22,63.37575
CL1 N:02_0_N Comdty,1983-04-25,63.39162
CL1 N:02_0_N Comdty,1983-04-26,63.17047
CL1 N:02_0_N Comdty,1983-04-27,63.17595
CL1 N:02_0_N Comdty,1983-04-28,63.57032
CL1 N:02_0_N Comdty,1983-04-29,63.49599
CL1 N:02_0_N Comdty,1983-05-02,63.31678
CL1 N:02_0_N Comdty,1983-05-03,63.0679
CL1 N:02_0_N Comdty,1983-05-04,62.57394
CL1 N:02_0_N Comdty,1983-05-05,62.0157
CL1 N:02_0_N Comdty,1983-05-06,62.51385
CL1 N:02_0_N Comdty,1983-05-09,61.3739
CL1 N:02_0_N Comdty,1983-05-10,61.89302
CL1 N:02_0_N Comdty,1983-05-11,60.65928
CL1 N:02_0_N Comdty,1983-05-12,60.1087
CL1 N:02_0_N Comdty,1983-05-13,60.2854
CL1 N:02_0_N Comdty,1983-05-16,61.53516
CL1 N:02_0_N Comdty,1983-05-17,61.25568
CL1 N:02_0_N Comdty,1983-05-18,60.18425
CL1 N:02_0_N Comdty,1983-05-23,62.9162
CL1 N:02_0_N Comdty,1983-05-24,62.57913
CL1 N:02_0_N Comdty,1983-05-25,62.70825
CL1 N:02_0_N Comdty,1983-05-26,62.87809
CL1 N:02_0_N Comdty,1983-05-27,62.94615
CL1 N:02_0_N Comdty,1983-05-31,63.404
CL1 N:02_0_N Comdty,1983-06-01,63.96597
CL1 N:02_0_N Comdty,1983-06-02,63.9616
CL1 N:02_0_N Comdty,1983-06-03,64.01406
CL1 N:02_0_N Comdty,1983-06-06,64.35718
CL1 N:02_0_N Comdty,1983-06-07,65.1567
CL1 N:02_0_N Comdty,1983-06-08,65.2239
CL1 N:02_0_N Comdty,1983-06-09,64.91321
CL1 N:02_0_N Comdty,1983-06-10,65.44779
CL1 N:02_0_N Comdty,1983-06-13,65.937
CL1 N:02_0_N Comdty,1983-06-14,66.185
CL1 N:02_0_N Comdty,1983-06-15,66.90375
CL1 N:02_0_N Comdty,1983-06-16,67.1342
CL1 N:02_0_N Comdty,1983-06-17,66.5209
CL1 N:02_0_N Comdty,1983-06-20,66.1391
CL1 N:02_0_N Comdty,1983-06-21,65.80539
CL1 N:02_0_N Comdty,1983-06-22,64.42243
CL1 N:02_0_N Comdty,1983-06-23,64.82795
CL1 N:02_0_N Comdty,1983-06-24,65.0988
CL1 N:02_0_N Comdty,1983-06-27,65.3952
CL1 N:02_0_N Comdty,1983-06-28,65.49466
