name,date,PX_LAST
CV1 N:02_0_N Comdty,2004-05-03,105.15
CV1 N:02_0_N Comdty,2004-05-04,105.11
CV1 N:02_0_N Comdty,2004-05-05,105.1
CV1 N:02_0_N Comdty,2004-05-06,105.04
CV1 N:02_0_N Comdty,2004-05-07,104.68
CV1 N:02_0_N Comdty,2004-05-10,104.71
CV1 N:02_0_N Comdty,2004-05-11,104.73
CV1 N:02_0_N Comdty,2004-05-12,104.69
CV1 N:02_0_N Comdty,2004-05-13,104.62
CV1 N:02_0_N Comdty,2004-05-14,104.6
CV1 N:02_0_N Comdty,2004-05-17,104.66
CV1 N:02_0_N Comdty,2004-05-18,104.58
CV1 N:02_0_N Comdty,2004-05-19,104.5
CV1 N:02_0_N Comdty,2004-05-20,104.61
CV1 N:02_0_N Comdty,2004-05-21,104.6
CV1 N:02_0_N Comdty,2004-05-25,104.48
CV1 N:02_0_N Comdty,2004-05-26,104.58
CV1 N:02_0_N Comdty,2004-05-27,104.79
CV1 N:02_0_N Comdty,2004-05-28,104.68
CV1 N:02_0_N Comdty,2004-05-31,104.65
CV1 N:02_0_N Comdty,2004-06-01,104.56
CV1 N:02_0_N Comdty,2004-06-02,104.51
CV1 N:02_0_N Comdty,2004-06-03,104.53
CV1 N:02_0_N Comdty,2004-06-04,104.22
CV1 N:02_0_N Comdty,2004-06-07,104.23
CV1 N:02_0_N Comdty,2004-06-08,104.3
CV1 N:02_0_N Comdty,2004-06-09,104.29
CV1 N:02_0_N Comdty,2004-06-10,104.24
CV1 N:02_0_N Comdty,2004-06-11,104.1
CV1 N:02_0_N Comdty,2004-06-14,103.97
CV1 N:02_0_N Comdty,2004-06-15,104.15
CV1 N:02_0_N Comdty,2004-06-16,104.09
CV1 N:02_0_N Comdty,2004-06-17,104.1
CV1 N:02_0_N Comdty,2004-06-18,104.11
CV1 N:02_0_N Comdty,2004-06-21,104.14
CV1 N:02_0_N Comdty,2004-06-22,104.17
CV1 N:02_0_N Comdty,2004-06-23,104.25
CV1 N:02_0_N Comdty,2004-06-24,104.34
CV1 N:02_0_N Comdty,2004-06-25,104.4
CV1 N:02_0_N Comdty,2004-06-28,104.26
CV1 N:02_0_N Comdty,2004-06-29,104.27
CV1 N:02_0_N Comdty,2004-06-30,104.41
CV1 N:02_0_N Comdty,2004-07-02,104.71
CV1 N:02_0_N Comdty,2004-07-05,104.71
CV1 N:02_0_N Comdty,2004-07-06,104.73
CV1 N:02_0_N Comdty,2004-07-07,104.76
CV1 N:02_0_N Comdty,2004-07-08,104.85
CV1 N:02_0_N Comdty,2004-07-09,104.82
CV1 N:02_0_N Comdty,2004-07-12,104.73
CV1 N:02_0_N Comdty,2004-07-13,104.65
CV1 N:02_0_N Comdty,2004-07-14,104.67
CV1 N:02_0_N Comdty,2004-07-15,104.57
CV1 N:02_0_N Comdty,2004-07-16,104.76
CV1 N:02_0_N Comdty,2004-07-19,104.73
CV1 N:02_0_N Comdty,2004-07-20,104.66
CV1 N:02_0_N Comdty,2004-07-21,104.6
CV1 N:02_0_N Comdty,2004-07-22,104.6
CV1 N:02_0_N Comdty,2004-07-23,104.69
CV1 N:02_0_N Comdty,2004-07-26,104.6
CV1 N:02_0_N Comdty,2004-07-27,104.47
CV1 N:02_0_N Comdty,2004-07-28,104.5
CV1 N:02_0_N Comdty,2004-07-29,104.56
CV1 N:02_0_N Comdty,2004-07-30,104.66
CV1 N:02_0_N Comdty,2004-08-03,104.88
CV1 N:02_0_N Comdty,2004-08-04,104.85
CV1 N:02_0_N Comdty,2004-08-05,104.86
CV1 N:02_0_N Comdty,2004-08-06,105.28
CV1 N:02_0_N Comdty,2004-08-09,105.2
CV1 N:02_0_N Comdty,2004-08-10,105.05
CV1 N:02_0_N Comdty,2004-08-11,105.12
CV1 N:02_0_N Comdty,2004-08-12,105.15
CV1 N:02_0_N Comdty,2004-08-13,105.14
CV1 N:02_0_N Comdty,2004-08-16,104.99
CV1 N:02_0_N Comdty,2004-08-17,105.09
CV1 N:02_0_N Comdty,2004-08-18,105.09
CV1 N:02_0_N Comdty,2004-08-19,105.21
CV1 N:02_0_N Comdty,2004-08-20,105.21
CV1 N:02_0_N Comdty,2004-08-23,105.17
CV1 N:02_0_N Comdty,2004-08-24,105.01
CV1 N:02_0_N Comdty,2004-08-25,105.0
CV1 N:02_0_N Comdty,2004-08-26,104.13
CV1 N:02_0_N Comdty,2004-08-27,104.14
CV1 N:02_0_N Comdty,2004-08-30,104.15
CV1 N:02_0_N Comdty,2004-08-31,104.27
CV1 N:02_0_N Comdty,2004-09-01,104.22
CV1 N:02_0_N Comdty,2004-09-02,104.15
CV1 N:02_0_N Comdty,2004-09-03,103.98
CV1 N:02_0_N Comdty,2004-09-07,103.94
CV1 N:02_0_N Comdty,2004-09-08,104.01
CV1 N:02_0_N Comdty,2004-09-09,103.98
CV1 N:02_0_N Comdty,2004-09-10,104.1
CV1 N:02_0_N Comdty,2004-09-13,104.11
CV1 N:02_0_N Comdty,2004-09-14,104.1
CV1 N:02_0_N Comdty,2004-09-15,104.07
CV1 N:02_0_N Comdty,2004-09-16,104.19
CV1 N:02_0_N Comdty,2004-09-17,104.2
CV1 N:02_0_N Comdty,2004-09-20,104.22
CV1 N:02_0_N Comdty,2004-09-21,104.15
CV1 N:02_0_N Comdty,2004-09-22,104.19
CV1 N:02_0_N Comdty,2004-09-23,104.14
CV1 N:02_0_N Comdty,2004-09-24,104.1
CV1 N:02_0_N Comdty,2004-09-27,104.16
CV1 N:02_0_N Comdty,2004-09-28,104.18
CV1 N:02_0_N Comdty,2004-09-29,104.14
CV1 N:02_0_N Comdty,2004-09-30,104.11
CV1 N:02_0_N Comdty,2004-10-01,104.07
CV1 N:02_0_N Comdty,2004-10-04,104.08
CV1 N:02_0_N Comdty,2004-10-05,104.11
CV1 N:02_0_N Comdty,2004-10-06,104.08
CV1 N:02_0_N Comdty,2004-10-07,104.06
CV1 N:02_0_N Comdty,2004-10-08,104.14
CV1 N:02_0_N Comdty,2004-10-12,104.22
CV1 N:02_0_N Comdty,2004-10-13,104.25
CV1 N:02_0_N Comdty,2004-10-14,104.34
CV1 N:02_0_N Comdty,2004-10-15,104.32
CV1 N:02_0_N Comdty,2004-10-18,104.35
CV1 N:02_0_N Comdty,2004-10-19,104.34
CV1 N:02_0_N Comdty,2004-10-20,104.44
CV1 N:02_0_N Comdty,2004-10-21,104.4
CV1 N:02_0_N Comdty,2004-10-22,104.39
CV1 N:02_0_N Comdty,2004-10-25,104.44
CV1 N:02_0_N Comdty,2004-10-26,104.37
CV1 N:02_0_N Comdty,2004-10-27,104.25
CV1 N:02_0_N Comdty,2004-10-28,104.24
CV1 N:02_0_N Comdty,2004-10-29,104.24
CV1 N:02_0_N Comdty,2004-11-01,104.2
CV1 N:02_0_N Comdty,2004-11-02,104.21
CV1 N:02_0_N Comdty,2004-11-03,104.27
CV1 N:02_0_N Comdty,2004-11-04,104.26
CV1 N:02_0_N Comdty,2004-11-05,104.08
CV1 N:02_0_N Comdty,2004-11-08,104.08
CV1 N:02_0_N Comdty,2004-11-09,104.1
CV1 N:02_0_N Comdty,2004-11-10,104.1
CV1 N:02_0_N Comdty,2004-11-12,104.22
CV1 N:02_0_N Comdty,2004-11-15,104.22
CV1 N:02_0_N Comdty,2004-11-16,104.18
CV1 N:02_0_N Comdty,2004-11-17,104.33
CV1 N:02_0_N Comdty,2004-11-18,104.29
CV1 N:02_0_N Comdty,2004-11-19,104.31
CV1 N:02_0_N Comdty,2004-11-22,104.26
CV1 N:02_0_N Comdty,2004-11-23,104.31
CV1 N:02_0_N Comdty,2004-11-24,104.37
CV1 N:02_0_N Comdty,2004-11-25,104.56
CV1 N:02_0_N Comdty,2004-11-26,104.57
CV1 N:02_0_N Comdty,2004-11-29,103.95
CV1 N:02_0_N Comdty,2004-11-30,104.105
CV1 N:02_0_N Comdty,2004-12-01,104.145
CV1 N:02_0_N Comdty,2004-12-02,104.09
CV1 N:02_0_N Comdty,2004-12-03,104.34
CV1 N:02_0_N Comdty,2004-12-06,104.31
CV1 N:02_0_N Comdty,2004-12-07,104.425
CV1 N:02_0_N Comdty,2004-12-08,104.41
CV1 N:02_0_N Comdty,2004-12-09,104.34
CV1 N:02_0_N Comdty,2004-12-10,104.3
CV1 N:02_0_N Comdty,2004-12-13,104.31
CV1 N:02_0_N Comdty,2004-12-14,104.36
CV1 N:02_0_N Comdty,2004-12-15,104.4
CV1 N:02_0_N Comdty,2004-12-16,104.335
CV1 N:02_0_N Comdty,2004-12-17,104.255
CV1 N:02_0_N Comdty,2004-12-20,104.235
CV1 N:02_0_N Comdty,2004-12-21,104.245
CV1 N:02_0_N Comdty,2004-12-22,104.16
