name,date,PX_LAST
DU1 N:02_0_N Comdty,1997-03-07,103.74
DU1 N:02_0_N Comdty,1997-03-10,103.71
DU1 N:02_0_N Comdty,1997-03-11,103.71
DU1 N:02_0_N Comdty,1997-03-12,103.77
DU1 N:02_0_N Comdty,1997-03-13,103.76
DU1 N:02_0_N Comdty,1997-03-14,103.83
DU1 N:02_0_N Comdty,1997-03-17,103.6
DU1 N:02_0_N Comdty,1997-03-18,103.53
DU1 N:02_0_N Comdty,1997-03-19,103.52
DU1 N:02_0_N Comdty,1997-03-20,103.56
DU1 N:02_0_N Comdty,1997-03-21,103.61
DU1 N:02_0_N Comdty,1997-03-24,103.62
DU1 N:02_0_N Comdty,1997-03-25,103.68
DU1 N:02_0_N Comdty,1997-03-26,103.68
DU1 N:02_0_N Comdty,1997-03-27,103.75
DU1 N:02_0_N Comdty,1997-04-01,103.73
DU1 N:02_0_N Comdty,1997-04-02,103.76
DU1 N:02_0_N Comdty,1997-04-03,103.76
DU1 N:02_0_N Comdty,1997-04-04,103.82
DU1 N:02_0_N Comdty,1997-04-07,103.9
DU1 N:02_0_N Comdty,1997-04-08,103.87
DU1 N:02_0_N Comdty,1997-04-09,103.87
DU1 N:02_0_N Comdty,1997-04-10,103.87
DU1 N:02_0_N Comdty,1997-04-11,103.82
DU1 N:02_0_N Comdty,1997-04-14,103.81
DU1 N:02_0_N Comdty,1997-04-15,103.96
DU1 N:02_0_N Comdty,1997-04-16,103.97
DU1 N:02_0_N Comdty,1997-04-17,104.01
DU1 N:02_0_N Comdty,1997-04-18,104.05
DU1 N:02_0_N Comdty,1997-04-21,103.98
DU1 N:02_0_N Comdty,1997-04-22,104.0
DU1 N:02_0_N Comdty,1997-04-23,103.98
DU1 N:02_0_N Comdty,1997-04-24,103.96
DU1 N:02_0_N Comdty,1997-04-25,103.93
DU1 N:02_0_N Comdty,1997-04-28,103.91
DU1 N:02_0_N Comdty,1997-04-29,103.99
DU1 N:02_0_N Comdty,1997-04-30,104.03
DU1 N:02_0_N Comdty,1997-05-02,104.04
DU1 N:02_0_N Comdty,1997-05-05,104.06
DU1 N:02_0_N Comdty,1997-05-06,104.1
DU1 N:02_0_N Comdty,1997-05-07,104.08
DU1 N:02_0_N Comdty,1997-05-09,104.12
DU1 N:02_0_N Comdty,1997-05-12,104.18
DU1 N:02_0_N Comdty,1997-05-13,104.17
DU1 N:02_0_N Comdty,1997-05-14,104.22
DU1 N:02_0_N Comdty,1997-05-15,104.18
DU1 N:02_0_N Comdty,1997-05-16,104.09
DU1 N:02_0_N Comdty,1997-05-20,104.08
DU1 N:02_0_N Comdty,1997-05-21,104.06
DU1 N:02_0_N Comdty,1997-05-22,104.02
DU1 N:02_0_N Comdty,1997-05-23,104.07
DU1 N:02_0_N Comdty,1997-05-26,104.06
DU1 N:02_0_N Comdty,1997-05-27,104.05
DU1 N:02_0_N Comdty,1997-05-28,104.09
DU1 N:02_0_N Comdty,1997-05-30,104.05
DU1 N:02_0_N Comdty,1997-06-02,104.07
DU1 N:02_0_N Comdty,1997-06-03,104.17
DU1 N:02_0_N Comdty,1997-06-04,104.2
DU1 N:02_0_N Comdty,1997-06-05,103.87
DU1 N:02_0_N Comdty,1997-06-06,103.94
DU1 N:02_0_N Comdty,1997-06-09,103.96
DU1 N:02_0_N Comdty,1997-06-10,103.99
DU1 N:02_0_N Comdty,1997-06-11,103.99
DU1 N:02_0_N Comdty,1997-06-12,104.06
DU1 N:02_0_N Comdty,1997-06-13,104.05
DU1 N:02_0_N Comdty,1997-06-16,104.02
DU1 N:02_0_N Comdty,1997-06-17,103.96
DU1 N:02_0_N Comdty,1997-06-18,104.0
DU1 N:02_0_N Comdty,1997-06-19,103.94
DU1 N:02_0_N Comdty,1997-06-20,103.99
DU1 N:02_0_N Comdty,1997-06-23,103.99
DU1 N:02_0_N Comdty,1997-06-24,104.04
DU1 N:02_0_N Comdty,1997-06-25,104.08
DU1 N:02_0_N Comdty,1997-06-26,104.13
DU1 N:02_0_N Comdty,1997-06-27,104.13
DU1 N:02_0_N Comdty,1997-06-30,104.06
DU1 N:02_0_N Comdty,1997-07-01,104.12
DU1 N:02_0_N Comdty,1997-07-02,104.13
DU1 N:02_0_N Comdty,1997-07-03,104.14
DU1 N:02_0_N Comdty,1997-07-04,104.15
DU1 N:02_0_N Comdty,1997-07-07,104.2
DU1 N:02_0_N Comdty,1997-07-08,104.2
DU1 N:02_0_N Comdty,1997-07-09,104.2
DU1 N:02_0_N Comdty,1997-07-10,104.16
DU1 N:02_0_N Comdty,1997-07-11,104.16
DU1 N:02_0_N Comdty,1997-07-14,103.99
DU1 N:02_0_N Comdty,1997-07-15,103.93
DU1 N:02_0_N Comdty,1997-07-16,103.96
DU1 N:02_0_N Comdty,1997-07-17,104.0
DU1 N:02_0_N Comdty,1997-07-18,103.97
DU1 N:02_0_N Comdty,1997-07-21,103.99
DU1 N:02_0_N Comdty,1997-07-22,103.97
