name,date,PX_LAST
ES1 N:02_0_N Index,1997-09-09,1390.726
ES1 N:02_0_N Index,1997-09-10,1353.74628
ES1 N:02_0_N Index,1997-09-11,1339.03815
ES1 N:02_0_N Index,1997-09-12,1355.046
ES1 N:02_0_N Index,1997-09-15,1330.54613
ES1 N:02_0_N Index,1997-09-16,1372.53563
ES1 N:02_0_N Index,1997-09-17,1399.106
ES1 N:02_0_N Index,1997-09-18,1404.54037
ES1 N:02_0_N Index,1997-09-19,1403.6366
ES1 N:02_0_N Index,1997-09-22,1425.12213
ES1 N:02_0_N Index,1997-09-23,1416.3526
ES1 N:02_0_N Index,1997-09-24,1392.32915
ES1 N:02_0_N Index,1997-09-25,1378.38795
ES1 N:02_0_N Index,1997-09-26,1386.31148
ES1 N:02_0_N Index,1997-09-29,1397.51893
ES1 N:02_0_N Index,1997-09-30,1384.50225
ES1 N:02_0_N Index,1997-10-01,1406.99905
ES1 N:02_0_N Index,1997-10-02,1410.864
ES1 N:02_0_N Index,1997-10-03,1412.524
ES1 N:02_0_N Index,1997-10-06,1421.85263
ES1 N:02_0_N Index,1997-10-07,1431.4107
ES1 N:02_0_N Index,1997-10-08,1422.298
ES1 N:02_0_N Index,1997-10-09,1422.8922
ES1 N:02_0_N Index,1997-10-10,1422.24568
ES1 N:02_0_N Index,1997-10-13,1427.47275
ES1 N:02_0_N Index,1997-10-14,1427.541
ES1 N:02_0_N Index,1997-10-15,1423.54905
ES1 N:02_0_N Index,1997-10-16,1398.06783
ES1 N:02_0_N Index,1997-10-17,1399.9755
ES1 N:02_0_N Index,1997-10-20,1417.49048
ES1 N:02_0_N Index,1997-10-21,1459.16115
ES1 N:02_0_N Index,1997-10-22,1441.40288
ES1 N:02_0_N Index,1997-10-23,1399.52085
ES1 N:02_0_N Index,1997-10-24,1383.6208
ES1 N:02_0_N Index,1997-10-27,1270.1842
ES1 N:02_0_N Index,1997-10-28,1313.25225
ES1 N:02_0_N Index,1997-10-29,1309.38498
ES1 N:02_0_N Index,1997-10-30,1267.6314
ES1 N:02_0_N Index,1997-10-31,1292.3988
ES1 N:02_0_N Index,1997-11-03,1333.60208
ES1 N:02_0_N Index,1997-11-04,1322.568
ES1 N:02_0_N Index,1997-11-05,1334.323
ES1 N:02_0_N Index,1997-11-06,1327.15913
ES1 N:02_0_N Index,1997-11-07,1298.1625
ES1 N:02_0_N Index,1997-11-10,1286.28338
ES1 N:02_0_N Index,1997-11-11,1290.7998
ES1 N:02_0_N Index,1997-11-12,1270.18763
ES1 N:02_0_N Index,1997-11-13,1283.73263
ES1 N:02_0_N Index,1997-11-14,1308.76375
ES1 N:02_0_N Index,1997-11-17,1338.835
ES1 N:02_0_N Index,1997-11-18,1322.61025
ES1 N:02_0_N Index,1997-11-19,1331.49398
ES1 N:02_0_N Index,1997-11-20,1359.0819
ES1 N:02_0_N Index,1997-11-21,1373.49065
ES1 N:02_0_N Index,1997-11-24,1335.3485
ES1 N:02_0_N Index,1997-11-25,1338.9219
ES1 N:02_0_N Index,1997-11-26,1354.19
ES1 N:02_0_N Index,1997-11-28,1361.7345
ES1 N:02_0_N Index,1997-12-01,1402.93785
ES1 N:02_0_N Index,1997-12-02,1396.785
ES1 N:02_0_N Index,1997-12-03,1394.40375
ES1 N:02_0_N Index,1997-12-04,1398.9663
ES1 N:02_0_N Index,1997-12-05,1418.88295
ES1 N:02_0_N Index,1997-12-08,1433.432
ES1 N:02_0_N Index,1997-12-09,1427.8715
ES1 N:02_0_N Index,1997-12-10,1400.36183
ES1 N:02_0_N Index,1997-12-11,1361.59425
ES1 N:02_0_N Index,1997-12-12,1369.51815
ES1 N:02_0_N Index,1997-12-15,1378.89238
ES1 N:02_0_N Index,1997-12-16,1398.50375
ES1 N:02_0_N Index,1997-12-17,1398.867
ES1 N:02_0_N Index,1997-12-18,1390.2755
ES1 N:02_0_N Index,1997-12-19,1371.04425
ES1 N:02_0_N Index,1997-12-22,1384.4345
ES1 N:02_0_N Index,1997-12-23,1354.374
ES1 N:02_0_N Index,1997-12-24,1350.28115
ES1 N:02_0_N Index,1997-12-26,1355.5234
ES1 N:02_0_N Index,1997-12-29,1399.46833
ES1 N:02_0_N Index,1997-12-30,1423.8295
ES1 N:02_0_N Index,1997-12-31,1431.3959
ES1 N:02_0_N Index,1998-01-02,1445.31758
ES1 N:02_0_N Index,1998-01-05,1467.1755
ES1 N:02_0_N Index,1998-01-06,1437.3713
ES1 N:02_0_N Index,1998-01-07,1439.1824
ES1 N:02_0_N Index,1998-01-08,1414.5755
ES1 N:02_0_N Index,1998-01-09,1372.3138
ES1 N:02_0_N Index,1998-01-12,1396.97625
ES1 N:02_0_N Index,1998-01-13,1416.70175
ES1 N:02_0_N Index,1998-01-14,1428.01812
ES1 N:02_0_N Index,1998-01-15,1428.2025
ES1 N:02_0_N Index,1998-01-16,1450.90985
ES1 N:02_0_N Index,1998-01-19,1455.16658
ES1 N:02_0_N Index,1998-01-20,1476.39713
ES1 N:02_0_N Index,1998-01-21,1442.08165
ES1 N:02_0_N Index,1998-01-22,1419.6145
ES1 N:02_0_N Index,1998-01-23,1392.06285
ES1 N:02_0_N Index,1998-01-26,1402.18155
ES1 N:02_0_N Index,1998-01-27,1413.59288
ES1 N:02_0_N Index,1998-01-28,1434.702
ES1 N:02_0_N Index,1998-01-29,1452.6666
ES1 N:02_0_N Index,1998-01-30,1461.17858
ES1 N:02_0_N Index,1998-02-02,1479.5948
ES1 N:02_0_N Index,1998-02-03,1481.55735
ES1 N:02_0_N Index,1998-02-04,1466.45993
ES1 N:02_0_N Index,1998-02-05,1456.3906
ES1 N:02_0_N Index,1998-02-06,1486.0077
ES1 N:02_0_N Index,1998-02-09,1488.9035
ES1 N:02_0_N Index,1998-02-10,1499.60443
ES1 N:02_0_N Index,1998-02-11,1497.74625
ES1 N:02_0_N Index,1998-02-12,1492.68915
ES1 N:02_0_N Index,1998-02-13,1494.83618
ES1 N:02_0_N Index,1998-02-16,1487.2305
ES1 N:02_0_N Index,1998-02-17,1514.02125
