name,date,PX_LAST
FV1 N:02_0_N Comdty,1988-05-20,96.9375
FV1 N:02_0_N Comdty,1988-05-23,96.78125
FV1 N:02_0_N Comdty,1988-05-24,96.8125
FV1 N:02_0_N Comdty,1988-05-25,96.890625
FV1 N:02_0_N Comdty,1988-05-26,96.765625
FV1 N:02_0_N Comdty,1988-05-27,96.609375
FV1 N:02_0_N Comdty,1988-05-31,96.15625
FV1 N:02_0_N Comdty,1988-06-01,96.765625
FV1 N:02_0_N Comdty,1988-06-02,96.65625
FV1 N:02_0_N Comdty,1988-06-03,97.03125
FV1 N:02_0_N Comdty,1988-06-06,97.09375
FV1 N:02_0_N Comdty,1988-06-07,96.9375
FV1 N:02_0_N Comdty,1988-06-08,97.34375
FV1 N:02_0_N Comdty,1988-06-09,97.171875
FV1 N:02_0_N Comdty,1988-06-10,97.296875
FV1 N:02_0_N Comdty,1988-06-13,97.390625
FV1 N:02_0_N Comdty,1988-06-14,98.25
FV1 N:02_0_N Comdty,1988-06-15,98.046875
FV1 N:02_0_N Comdty,1988-06-16,97.421875
FV1 N:02_0_N Comdty,1988-06-17,96.96875
FV1 N:02_0_N Comdty,1988-06-20,96.9375
FV1 N:02_0_N Comdty,1988-06-21,96.90625
FV1 N:02_0_N Comdty,1988-06-22,97.390625
FV1 N:02_0_N Comdty,1988-06-23,97.5
FV1 N:02_0_N Comdty,1988-06-24,97.546875
FV1 N:02_0_N Comdty,1988-06-27,97.234375
FV1 N:02_0_N Comdty,1988-06-28,97.453125
FV1 N:02_0_N Comdty,1988-06-29,97.5
FV1 N:02_0_N Comdty,1988-06-30,97.71875
FV1 N:02_0_N Comdty,1988-07-01,97.796875
FV1 N:02_0_N Comdty,1988-07-05,97.625
FV1 N:02_0_N Comdty,1988-07-06,97.40625
FV1 N:02_0_N Comdty,1988-07-07,97.34375
FV1 N:02_0_N Comdty,1988-07-08,96.875
FV1 N:02_0_N Comdty,1988-07-11,97.03125
FV1 N:02_0_N Comdty,1988-07-12,96.78125
FV1 N:02_0_N Comdty,1988-07-13,96.703125
FV1 N:02_0_N Comdty,1988-07-14,96.65625
FV1 N:02_0_N Comdty,1988-07-15,96.875
