name,date,PX_LAST
G 1 N:02_0_N Comdty,1982-11-18,104.25
G 1 N:02_0_N Comdty,1982-11-19,104.9375
G 1 N:02_0_N Comdty,1982-11-22,103.375
G 1 N:02_0_N Comdty,1982-11-23,103.5938
G 1 N:02_0_N Comdty,1982-11-24,103.7813
G 1 N:02_0_N Comdty,1982-11-25,101.0
G 1 N:02_0_N Comdty,1982-11-26,100.375
G 1 N:02_0_N Comdty,1982-11-29,101.0313
G 1 N:02_0_N Comdty,1982-11-30,100.9375
G 1 N:02_0_N Comdty,1982-12-01,101.4688
G 1 N:02_0_N Comdty,1982-12-02,101.5938
G 1 N:02_0_N Comdty,1982-12-03,102.5625
G 1 N:02_0_N Comdty,1982-12-06,102.2813
G 1 N:02_0_N Comdty,1982-12-07,101.5625
G 1 N:02_0_N Comdty,1982-12-08,100.0313
G 1 N:02_0_N Comdty,1982-12-09,99.875
G 1 N:02_0_N Comdty,1982-12-10,100.2813
G 1 N:02_0_N Comdty,1982-12-13,99.5625
G 1 N:02_0_N Comdty,1982-12-14,100.6563
G 1 N:02_0_N Comdty,1982-12-15,100.2188
G 1 N:02_0_N Comdty,1982-12-16,100.4063
G 1 N:02_0_N Comdty,1982-12-17,100.2813
G 1 N:02_0_N Comdty,1982-12-20,100.7813
G 1 N:02_0_N Comdty,1982-12-21,101.5313
G 1 N:02_0_N Comdty,1982-12-22,102.0938
G 1 N:02_0_N Comdty,1982-12-23,102.625
G 1 N:02_0_N Comdty,1982-12-24,102.75
G 1 N:02_0_N Comdty,1982-12-29,104.3125
G 1 N:02_0_N Comdty,1982-12-30,104.2188
G 1 N:02_0_N Comdty,1982-12-31,103.4063
G 1 N:02_0_N Comdty,1983-01-04,103.625
G 1 N:02_0_N Comdty,1983-01-05,103.625
G 1 N:02_0_N Comdty,1983-01-06,102.7188
G 1 N:02_0_N Comdty,1983-01-07,102.4688
G 1 N:02_0_N Comdty,1983-01-10,102.0313
G 1 N:02_0_N Comdty,1983-01-11,99.4375
G 1 N:02_0_N Comdty,1983-01-12,98.65625
