name,date,PX_LAST
GX1 N:02_0_N Index,1990-11-23,1260.44762
GX1 N:02_0_N Index,1990-11-26,1227.14729
GX1 N:02_0_N Index,1990-11-27,1212.75
GX1 N:02_0_N Index,1990-11-28,1210.63058
GX1 N:02_0_N Index,1990-11-29,1209.85234
GX1 N:02_0_N Index,1990-11-30,1225.44
GX1 N:02_0_N Index,1990-12-03,1248.037
GX1 N:02_0_N Index,1990-12-05,1255.7371
GX1 N:02_0_N Index,1990-12-06,1293.25703
GX1 N:02_0_N Index,1990-12-07,1301.01387
GX1 N:02_0_N Index,1990-12-10,1287.27427
GX1 N:02_0_N Index,1990-12-11,1274.34904
GX1 N:02_0_N Index,1990-12-12,1297.26306
GX1 N:02_0_N Index,1990-12-13,1294.72751
GX1 N:02_0_N Index,1990-12-14,1311.95407
GX1 N:02_0_N Index,1990-12-17,1265.7385
GX1 N:02_0_N Index,1990-12-18,1276.29198
GX1 N:02_0_N Index,1990-12-19,1263.98715
GX1 N:02_0_N Index,1990-12-20,1217.69138
GX1 N:02_0_N Index,1990-12-21,1221.53325
GX1 N:02_0_N Index,1990-12-27,1205.27582
GX1 N:02_0_N Index,1990-12-28,1205.99499
GX1 N:02_0_N Index,1991-01-02,1157.15785
GX1 N:02_0_N Index,1991-01-03,1168.33289
GX1 N:02_0_N Index,1991-01-04,1200.19685
GX1 N:02_0_N Index,1991-01-07,1150.2749
GX1 N:02_0_N Index,1991-01-08,1151.90753
GX1 N:02_0_N Index,1991-01-09,1166.32217
GX1 N:02_0_N Index,1991-01-10,1171.44009
GX1 N:02_0_N Index,1991-01-11,1152.25049
GX1 N:02_0_N Index,1991-01-14,1103.2417
GX1 N:02_0_N Index,1991-01-15,1111.94102
GX1 N:02_0_N Index,1991-01-16,1107.83873
GX1 N:02_0_N Index,1991-01-18,1191.51596
GX1 N:02_0_N Index,1991-01-21,1173.97019
GX1 N:02_0_N Index,1991-01-22,1166.46502
GX1 N:02_0_N Index,1991-01-23,1154.6621
GX1 N:02_0_N Index,1991-01-24,1170.61654
GX1 N:02_0_N Index,1991-01-25,1176.28188
GX1 N:02_0_N Index,1991-01-28,1180.79355
GX1 N:02_0_N Index,1991-01-29,1177.0316
GX1 N:02_0_N Index,1991-01-30,1199.98492
GX1 N:02_0_N Index,1991-01-31,1203.97024
GX1 N:02_0_N Index,1991-02-01,1220.92078
GX1 N:02_0_N Index,1991-02-04,1233.94443
GX1 N:02_0_N Index,1991-02-05,1234.48171
GX1 N:02_0_N Index,1991-02-06,1220.49142
GX1 N:02_0_N Index,1991-02-07,1231.10575
GX1 N:02_0_N Index,1991-02-08,1264.1455
GX1 N:02_0_N Index,1991-02-11,1286.80104
GX1 N:02_0_N Index,1991-02-12,1269.58646
GX1 N:02_0_N Index,1991-02-13,1279.16427
GX1 N:02_0_N Index,1991-02-14,1280.7461
GX1 N:02_0_N Index,1991-02-15,1321.67423
GX1 N:02_0_N Index,1991-02-18,1364.18875
GX1 N:02_0_N Index,1991-02-19,1369.47974
GX1 N:02_0_N Index,1991-02-20,1339.80264
GX1 N:02_0_N Index,1991-02-21,1352.07418
GX1 N:02_0_N Index,1991-02-22,1362.73298
GX1 N:02_0_N Index,1991-02-25,1381.51199
GX1 N:02_0_N Index,1991-02-26,1337.625
GX1 N:02_0_N Index,1991-02-27,1362.25887
GX1 N:02_0_N Index,1991-02-28,1348.66628
GX1 N:02_0_N Index,1991-03-01,1315.10634
GX1 N:02_0_N Index,1991-03-04,1334.33312
GX1 N:02_0_N Index,1991-03-05,1351.1708
GX1 N:02_0_N Index,1991-03-06,1396.99822
GX1 N:02_0_N Index,1991-03-07,1381.84168
GX1 N:02_0_N Index,1991-03-08,1405.9808
GX1 N:02_0_N Index,1991-03-11,1360.52484
GX1 N:02_0_N Index,1991-03-12,1368.91544
GX1 N:02_0_N Index,1991-03-13,1366.63476
GX1 N:02_0_N Index,1991-03-14,1391.90057
GX1 N:02_0_N Index,1991-03-15,1377.58404
GX1 N:02_0_N Index,1991-03-18,1359.25536
GX1 N:02_0_N Index,1991-03-19,1338.67896
GX1 N:02_0_N Index,1991-03-20,1326.81055
GX1 N:02_0_N Index,1991-03-21,1333.40702
GX1 N:02_0_N Index,1991-03-22,1318.88884
GX1 N:02_0_N Index,1991-03-25,1310.55805
GX1 N:02_0_N Index,1991-03-26,1289.60367
GX1 N:02_0_N Index,1991-03-27,1310.56777
GX1 N:02_0_N Index,1991-03-28,1320.69988
GX1 N:02_0_N Index,1991-04-02,1320.29001
GX1 N:02_0_N Index,1991-04-03,1364.73666
GX1 N:02_0_N Index,1991-04-04,1337.10676
GX1 N:02_0_N Index,1991-04-05,1359.4881
GX1 N:02_0_N Index,1991-04-08,1359.27567
GX1 N:02_0_N Index,1991-04-09,1349.5924
GX1 N:02_0_N Index,1991-04-10,1344.4365
GX1 N:02_0_N Index,1991-04-11,1341.84376
GX1 N:02_0_N Index,1991-04-12,1364.66241
GX1 N:02_0_N Index,1991-04-15,1376.37548
GX1 N:02_0_N Index,1991-04-16,1372.2718
GX1 N:02_0_N Index,1991-04-17,1402.13389
GX1 N:02_0_N Index,1991-04-18,1388.3053
GX1 N:02_0_N Index,1991-04-19,1363.48834
GX1 N:02_0_N Index,1991-04-22,1326.78155
GX1 N:02_0_N Index,1991-04-23,1352.64599
GX1 N:02_0_N Index,1991-04-24,1362.09011
GX1 N:02_0_N Index,1991-04-25,1364.72481
GX1 N:02_0_N Index,1991-04-26,1376.23006
GX1 N:02_0_N Index,1991-04-29,1373.6857
GX1 N:02_0_N Index,1991-04-30,1364.26069
GX1 N:02_0_N Index,1991-05-02,1393.25107
GX1 N:02_0_N Index,1991-05-03,1389.02746
GX1 N:02_0_N Index,1991-05-06,1382.83208
GX1 N:02_0_N Index,1991-05-07,1390.3312
GX1 N:02_0_N Index,1991-05-08,1367.54745
GX1 N:02_0_N Index,1991-05-10,1380.00955
GX1 N:02_0_N Index,1991-05-13,1365.2287
GX1 N:02_0_N Index,1991-05-14,1347.60635
GX1 N:02_0_N Index,1991-05-15,1354.86542
GX1 N:02_0_N Index,1991-05-16,1364.59941
GX1 N:02_0_N Index,1991-05-17,1352.50748
GX1 N:02_0_N Index,1991-05-21,1372.89869
GX1 N:02_0_N Index,1991-05-22,1391.32404
GX1 N:02_0_N Index,1991-05-23,1406.59548
GX1 N:02_0_N Index,1991-05-24,1422.15444
GX1 N:02_0_N Index,1991-05-27,1433.2584
GX1 N:02_0_N Index,1991-05-28,1439.96495
GX1 N:02_0_N Index,1991-05-29,1439.94046
GX1 N:02_0_N Index,1991-05-31,1462.00793
GX1 N:02_0_N Index,1991-06-03,1445.99227
GX1 N:02_0_N Index,1991-06-04,1438.03335
GX1 N:02_0_N Index,1991-06-05,1472.24711
GX1 N:02_0_N Index,1991-06-06,1467.35881
GX1 N:02_0_N Index,1991-06-07,1468.36667
GX1 N:02_0_N Index,1991-06-10,1462.70172
GX1 N:02_0_N Index,1991-06-11,1473.92541
GX1 N:02_0_N Index,1991-06-12,1451.68457
GX1 N:02_0_N Index,1991-06-13,1454.76901
GX1 N:02_0_N Index,1991-06-14,1464.94454
GX1 N:02_0_N Index,1991-06-17,1484.52113
GX1 N:02_0_N Index,1991-06-18,1490.89194
GX1 N:02_0_N Index,1991-06-19,1469.93128
GX1 N:02_0_N Index,1991-06-20,1473.77841
GX1 N:02_0_N Index,1991-06-21,1502.93745
GX1 N:02_0_N Index,1991-06-24,1478.50196
GX1 N:02_0_N Index,1991-06-25,1480.00973
GX1 N:02_0_N Index,1991-06-26,1464.60763
GX1 N:02_0_N Index,1991-06-27,1448.09858
GX1 N:02_0_N Index,1991-06-28,1409.75091
GX1 N:02_0_N Index,1991-07-01,1416.36152
GX1 N:02_0_N Index,1991-07-02,1403.93188
GX1 N:02_0_N Index,1991-07-03,1399.2319
GX1 N:02_0_N Index,1991-07-04,1416.38397
GX1 N:02_0_N Index,1991-07-05,1413.76649
GX1 N:02_0_N Index,1991-07-08,1404.21466
GX1 N:02_0_N Index,1991-07-09,1426.32256
GX1 N:02_0_N Index,1991-07-10,1438.58143
