name,date,PX_LAST
HI1 N:02_0_N Index,1992-04-01,960.11319
HI1 N:02_0_N Index,1992-04-02,959.74019
HI1 N:02_0_N Index,1992-04-03,947.9739
HI1 N:02_0_N Index,1992-04-06,946.4277
HI1 N:02_0_N Index,1992-04-07,956.17546
HI1 N:02_0_N Index,1992-04-08,937.71407
HI1 N:02_0_N Index,1992-04-09,912.50349
HI1 N:02_0_N Index,1992-04-10,965.89193
HI1 N:02_0_N Index,1992-04-13,966.52014
HI1 N:02_0_N Index,1992-04-14,964.186
HI1 N:02_0_N Index,1992-04-15,996.01623
HI1 N:02_0_N Index,1992-04-16,1020.75385
HI1 N:02_0_N Index,1992-04-21,1020.83682
HI1 N:02_0_N Index,1992-04-22,1046.24895
HI1 N:02_0_N Index,1992-04-23,1061.20199
HI1 N:02_0_N Index,1992-04-24,1056.79739
HI1 N:02_0_N Index,1992-04-27,1073.11539
HI1 N:02_0_N Index,1992-04-28,1050.42338
HI1 N:02_0_N Index,1992-04-29,1050.53541
HI1 N:02_0_N Index,1992-04-30,1049.47102
HI1 N:02_0_N Index,1992-05-01,1069.79379
HI1 N:02_0_N Index,1992-05-04,1095.31013
HI1 N:02_0_N Index,1992-05-05,1097.40552
HI1 N:02_0_N Index,1992-05-06,1089.57789
HI1 N:02_0_N Index,1992-05-07,1111.17078
HI1 N:02_0_N Index,1992-05-08,1113.02351
HI1 N:02_0_N Index,1992-05-11,1112.29557
HI1 N:02_0_N Index,1992-05-12,1117.37322
HI1 N:02_0_N Index,1992-05-13,1120.39265
HI1 N:02_0_N Index,1992-05-14,1109.93217
HI1 N:02_0_N Index,1992-05-15,1107.79249
HI1 N:02_0_N Index,1992-05-18,1082.34439
HI1 N:02_0_N Index,1992-05-19,1077.3376
HI1 N:02_0_N Index,1992-05-20,1112.595
HI1 N:02_0_N Index,1992-05-21,1139.04299
HI1 N:02_0_N Index,1992-05-22,1137.25407
HI1 N:02_0_N Index,1992-05-25,1157.9376
HI1 N:02_0_N Index,1992-05-26,1152.29094
HI1 N:02_0_N Index,1992-05-27,1174.10843
HI1 N:02_0_N Index,1992-05-28,1159.6459
HI1 N:02_0_N Index,1992-05-29,1163.30619
HI1 N:02_0_N Index,1992-06-01,1159.99848
HI1 N:02_0_N Index,1992-06-02,1161.12712
HI1 N:02_0_N Index,1992-06-03,1160.21321
HI1 N:02_0_N Index,1992-06-04,1157.71726
HI1 N:02_0_N Index,1992-06-08,1135.92954
HI1 N:02_0_N Index,1992-06-09,1124.37229
HI1 N:02_0_N Index,1992-06-10,1108.38691
HI1 N:02_0_N Index,1992-06-11,1096.15701
HI1 N:02_0_N Index,1992-06-12,1076.47641
HI1 N:02_0_N Index,1992-06-16,1074.39997
HI1 N:02_0_N Index,1992-06-17,1076.1332
HI1 N:02_0_N Index,1992-06-18,1062.77724
HI1 N:02_0_N Index,1992-06-19,1069.67489
HI1 N:02_0_N Index,1992-06-22,1058.20891
HI1 N:02_0_N Index,1992-06-23,1087.73137
HI1 N:02_0_N Index,1992-06-24,1084.36663
HI1 N:02_0_N Index,1992-06-25,1101.71872
HI1 N:02_0_N Index,1992-06-26,1092.98862
HI1 N:02_0_N Index,1992-06-29,1071.03644
HI1 N:02_0_N Index,1992-06-30,1089.30438
HI1 N:02_0_N Index,1992-07-01,1082.87679
HI1 N:02_0_N Index,1992-07-02,1061.06102
HI1 N:02_0_N Index,1992-07-03,1055.97963
HI1 N:02_0_N Index,1992-07-06,1045.35808
HI1 N:02_0_N Index,1992-07-07,1026.69787
HI1 N:02_0_N Index,1992-07-08,1034.40217
HI1 N:02_0_N Index,1992-07-09,1041.5312
HI1 N:02_0_N Index,1992-07-10,1039.23425
HI1 N:02_0_N Index,1992-07-13,1058.64529
HI1 N:02_0_N Index,1992-07-14,1060.20541
HI1 N:02_0_N Index,1992-07-15,1059.55175
HI1 N:02_0_N Index,1992-07-16,1043.29609
HI1 N:02_0_N Index,1992-07-17,1027.10966
HI1 N:02_0_N Index,1992-07-20,1015.34364
HI1 N:02_0_N Index,1992-07-21,1026.17788
HI1 N:02_0_N Index,1992-07-23,1008.579
HI1 N:02_0_N Index,1992-07-24,999.03491
HI1 N:02_0_N Index,1992-07-27,959.69848
HI1 N:02_0_N Index,1992-07-28,969.39232
HI1 N:02_0_N Index,1992-07-29,993.37147
HI1 N:02_0_N Index,1992-07-30,984.251
HI1 N:02_0_N Index,1992-07-31,993.37909
HI1 N:02_0_N Index,1992-08-03,1000.39711
HI1 N:02_0_N Index,1992-08-04,994.27421
HI1 N:02_0_N Index,1992-08-05,995.3895
HI1 N:02_0_N Index,1992-08-06,999.69175
HI1 N:02_0_N Index,1992-08-07,992.22597
HI1 N:02_0_N Index,1992-08-10,993.04775
HI1 N:02_0_N Index,1992-08-11,1015.5945
HI1 N:02_0_N Index,1992-08-12,1000.16138
HI1 N:02_0_N Index,1992-08-13,994.82198
HI1 N:02_0_N Index,1992-08-14,995.19297
HI1 N:02_0_N Index,1992-08-17,975.30686
HI1 N:02_0_N Index,1992-08-18,965.47279
HI1 N:02_0_N Index,1992-08-19,945.53212
HI1 N:02_0_N Index,1992-08-20,925.15558
HI1 N:02_0_N Index,1992-08-21,907.76906
HI1 N:02_0_N Index,1992-08-24,864.29611
HI1 N:02_0_N Index,1992-08-25,850.75584
HI1 N:02_0_N Index,1992-08-26,890.75659
HI1 N:02_0_N Index,1992-08-27,882.31921
HI1 N:02_0_N Index,1992-08-28,905.93639
HI1 N:02_0_N Index,1992-09-01,901.54751
HI1 N:02_0_N Index,1992-09-02,909.06226
HI1 N:02_0_N Index,1992-09-03,922.73808
HI1 N:02_0_N Index,1992-09-04,920.82687
HI1 N:02_0_N Index,1992-09-07,914.75205
HI1 N:02_0_N Index,1992-09-08,907.11653
HI1 N:02_0_N Index,1992-09-09,925.28943
HI1 N:02_0_N Index,1992-09-10,904.61194
HI1 N:02_0_N Index,1992-09-11,917.73973
HI1 N:02_0_N Index,1992-09-14,959.29211
HI1 N:02_0_N Index,1992-09-15,959.28471
HI1 N:02_0_N Index,1992-09-16,958.08498
HI1 N:02_0_N Index,1992-09-17,946.29172
HI1 N:02_0_N Index,1992-09-18,948.73221
HI1 N:02_0_N Index,1992-09-21,960.38669
HI1 N:02_0_N Index,1992-09-22,957.42985
HI1 N:02_0_N Index,1992-09-23,957.67978
HI1 N:02_0_N Index,1992-09-24,947.96623
HI1 N:02_0_N Index,1992-09-25,947.3585
HI1 N:02_0_N Index,1992-09-28,907.65022
HI1 N:02_0_N Index,1992-09-29,881.43022
HI1 N:02_0_N Index,1992-09-30,871.70534
HI1 N:02_0_N Index,1992-10-01,879.68924
HI1 N:02_0_N Index,1992-10-02,881.57224
HI1 N:02_0_N Index,1992-10-06,879.66147
HI1 N:02_0_N Index,1992-10-07,905.50715
HI1 N:02_0_N Index,1992-10-08,932.88206
HI1 N:02_0_N Index,1992-10-09,949.69271
HI1 N:02_0_N Index,1992-10-12,960.05711
HI1 N:02_0_N Index,1992-10-13,966.8893
HI1 N:02_0_N Index,1992-10-14,969.64276
HI1 N:02_0_N Index,1992-10-15,984.59605
HI1 N:02_0_N Index,1992-10-16,1018.74666
