name,date,PX_LAST
HO1 N:02_0_N Comdty,1986-07-01,0.6397
HO1 N:02_0_N Comdty,1986-07-02,0.62993
HO1 N:02_0_N Comdty,1986-07-07,0.58631
HO1 N:02_0_N Comdty,1986-07-08,0.58841
HO1 N:02_0_N Comdty,1986-07-09,0.56727
HO1 N:02_0_N Comdty,1986-07-10,0.58134
HO1 N:02_0_N Comdty,1986-07-11,0.56922
HO1 N:02_0_N Comdty,1986-07-14,0.55318
HO1 N:02_0_N Comdty,1986-07-15,0.57923
HO1 N:02_0_N Comdty,1986-07-16,0.61197
HO1 N:02_0_N Comdty,1986-07-17,0.5939
HO1 N:02_0_N Comdty,1986-07-18,0.60288
HO1 N:02_0_N Comdty,1986-07-21,0.60914
HO1 N:02_0_N Comdty,1986-07-22,0.58129
HO1 N:02_0_N Comdty,1986-07-23,0.56507
HO1 N:02_0_N Comdty,1986-07-24,0.56114
HO1 N:02_0_N Comdty,1986-07-25,0.55425
HO1 N:02_0_N Comdty,1986-07-28,0.54684
HO1 N:02_0_N Comdty,1986-07-29,0.56801
HO1 N:02_0_N Comdty,1986-07-30,0.58428
HO1 N:02_0_N Comdty,1986-07-31,0.53662
HO1 N:02_0_N Comdty,1986-08-01,0.53423
HO1 N:02_0_N Comdty,1986-08-04,0.64318
HO1 N:02_0_N Comdty,1986-08-05,0.72208
HO1 N:02_0_N Comdty,1986-08-06,0.70577
HO1 N:02_0_N Comdty,1986-08-07,0.7081
HO1 N:02_0_N Comdty,1986-08-08,0.68312
HO1 N:02_0_N Comdty,1986-08-11,0.67776
HO1 N:02_0_N Comdty,1986-08-12,0.70917
HO1 N:02_0_N Comdty,1986-08-13,0.70591
HO1 N:02_0_N Comdty,1986-08-14,0.7078
HO1 N:02_0_N Comdty,1986-08-15,0.72213
HO1 N:02_0_N Comdty,1986-08-18,0.72604
HO1 N:02_0_N Comdty,1986-08-19,0.69587
HO1 N:02_0_N Comdty,1986-08-20,0.70612
HO1 N:02_0_N Comdty,1986-08-21,0.7102
HO1 N:02_0_N Comdty,1986-08-22,0.7117
HO1 N:02_0_N Comdty,1986-08-25,0.70625
HO1 N:02_0_N Comdty,1986-08-26,0.71895
HO1 N:02_0_N Comdty,1986-08-27,0.70164
HO1 N:02_0_N Comdty,1986-08-28,0.7047
HO1 N:02_0_N Comdty,1986-08-29,0.71006
HO1 N:02_0_N Comdty,1986-09-02,0.7092
HO1 N:02_0_N Comdty,1986-09-03,0.7079
HO1 N:02_0_N Comdty,1986-09-04,0.71093
HO1 N:02_0_N Comdty,1986-09-05,0.75668
HO1 N:02_0_N Comdty,1986-09-08,0.73151
HO1 N:02_0_N Comdty,1986-09-09,0.69998
HO1 N:02_0_N Comdty,1986-09-10,0.66645
HO1 N:02_0_N Comdty,1986-09-11,0.68524
HO1 N:02_0_N Comdty,1986-09-12,0.67442
HO1 N:02_0_N Comdty,1986-09-15,0.65077
HO1 N:02_0_N Comdty,1986-09-16,0.64891
