name,date,PX_LAST
IH1 N:02_0_N Index,2000-09-25,2255.3533
IH1 N:02_0_N Index,2000-09-26,2167.3141
IH1 N:02_0_N Index,2000-09-27,2160.02985
IH1 N:02_0_N Index,2000-09-28,2166.19875
IH1 N:02_0_N Index,2000-09-29,2186.9196
IH1 N:02_0_N Index,2000-10-03,2204.9308
IH1 N:02_0_N Index,2000-10-04,2231.7785
IH1 N:02_0_N Index,2000-10-05,2225.7456
IH1 N:02_0_N Index,2000-10-06,2229.023
IH1 N:02_0_N Index,2000-10-09,2222.4542
IH1 N:02_0_N Index,2000-10-10,2124.1845
IH1 N:02_0_N Index,2000-10-11,1965.82645
IH1 N:02_0_N Index,2000-10-12,2037.0994
IH1 N:02_0_N Index,2000-10-13,2005.602
IH1 N:02_0_N Index,2000-10-16,2029.7249
IH1 N:02_0_N Index,2000-10-17,2020.08625
IH1 N:02_0_N Index,2000-10-18,2003.898
IH1 N:02_0_N Index,2000-10-19,2065.371
IH1 N:02_0_N Index,2000-10-20,2096.5525
IH1 N:02_0_N Index,2000-10-23,2078.1412
IH1 N:02_0_N Index,2000-10-24,2086.4331
IH1 N:02_0_N Index,2000-10-25,2146.7232
IH1 N:02_0_N Index,2000-10-27,2122.52
IH1 N:02_0_N Index,2000-10-30,2102.09545
IH1 N:02_0_N Index,2000-10-31,2102.2127
IH1 N:02_0_N Index,2000-11-01,2127.1887
IH1 N:02_0_N Index,2000-11-02,2172.159
IH1 N:02_0_N Index,2000-11-03,2181.1084
IH1 N:02_0_N Index,2000-11-06,2194.6416
IH1 N:02_0_N Index,2000-11-07,2201.33725
IH1 N:02_0_N Index,2000-11-08,2282.368
IH1 N:02_0_N Index,2000-11-09,2219.78555
IH1 N:02_0_N Index,2000-11-10,2176.102
IH1 N:02_0_N Index,2000-11-13,2107.54695
IH1 N:02_0_N Index,2000-11-14,2243.09155
IH1 N:02_0_N Index,2000-11-15,2201.4889
IH1 N:02_0_N Index,2000-11-16,2173.9271
IH1 N:02_0_N Index,2000-11-17,2202.561
IH1 N:02_0_N Index,2000-11-20,2200.989
IH1 N:02_0_N Index,2000-11-21,2200.392
IH1 N:02_0_N Index,2000-11-22,2192.8126
IH1 N:02_0_N Index,2000-11-23,2199.636
IH1 N:02_0_N Index,2000-11-24,2212.93
IH1 N:02_0_N Index,2000-11-27,2228.4723
IH1 N:02_0_N Index,2000-11-28,2242.1241
IH1 N:02_0_N Index,2000-11-29,2219.9751
IH1 N:02_0_N Index,2000-11-30,2181.10635
IH1 N:02_0_N Index,2000-12-01,2191.8168
IH1 N:02_0_N Index,2000-12-04,2179.456
IH1 N:02_0_N Index,2000-12-05,2208.057
IH1 N:02_0_N Index,2000-12-06,2216.5
IH1 N:02_0_N Index,2000-12-07,2199.8884
IH1 N:02_0_N Index,2000-12-08,2224.4936
IH1 N:02_0_N Index,2000-12-11,2276.192
IH1 N:02_0_N Index,2000-12-12,2285.37075
IH1 N:02_0_N Index,2000-12-13,2321.7896
IH1 N:02_0_N Index,2000-12-14,2280.7404
IH1 N:02_0_N Index,2000-12-15,2214.78075
IH1 N:02_0_N Index,2000-12-18,2212.6676
IH1 N:02_0_N Index,2000-12-19,2212.8225
IH1 N:02_0_N Index,2000-12-20,2173.15385
IH1 N:02_0_N Index,2000-12-21,2139.723
IH1 N:02_0_N Index,2000-12-22,2062.2944
IH1 N:02_0_N Index,2000-12-26,1993.968
IH1 N:02_0_N Index,2000-12-28,2026.43175
IH1 N:02_0_N Index,2000-12-29,2029.12185
IH1 N:02_0_N Index,2001-01-02,2058.9714
IH1 N:02_0_N Index,2001-01-03,2053.8273
IH1 N:02_0_N Index,2001-01-04,2108.8655
