name,date,PX_LAST
IK1 N:02_0_N Comdty,2009-09-14,114.91
IK1 N:02_0_N Comdty,2009-09-15,114.82
IK1 N:02_0_N Comdty,2009-09-16,114.78
IK1 N:02_0_N Comdty,2009-09-17,114.63
IK1 N:02_0_N Comdty,2009-09-18,114.72
IK1 N:02_0_N Comdty,2009-09-21,114.49
IK1 N:02_0_N Comdty,2009-09-22,114.41
IK1 N:02_0_N Comdty,2009-09-23,114.4
IK1 N:02_0_N Comdty,2009-09-24,114.98
IK1 N:02_0_N Comdty,2009-09-25,115.32
IK1 N:02_0_N Comdty,2009-09-28,115.29
IK1 N:02_0_N Comdty,2009-09-29,115.34
IK1 N:02_0_N Comdty,2009-09-30,115.3
IK1 N:02_0_N Comdty,2009-10-01,115.25
IK1 N:02_0_N Comdty,2009-10-02,115.74
IK1 N:02_0_N Comdty,2009-10-05,116.0
IK1 N:02_0_N Comdty,2009-10-06,115.91
IK1 N:02_0_N Comdty,2009-10-07,116.3
IK1 N:02_0_N Comdty,2009-10-08,116.46
IK1 N:02_0_N Comdty,2009-10-09,115.89
IK1 N:02_0_N Comdty,2009-10-12,115.98
IK1 N:02_0_N Comdty,2009-10-13,115.86
IK1 N:02_0_N Comdty,2009-10-14,115.45
IK1 N:02_0_N Comdty,2009-10-15,114.88
IK1 N:02_0_N Comdty,2009-10-16,115.03
IK1 N:02_0_N Comdty,2009-10-19,115.15
IK1 N:02_0_N Comdty,2009-10-20,115.72
IK1 N:02_0_N Comdty,2009-10-21,115.2
IK1 N:02_0_N Comdty,2009-10-22,115.28
IK1 N:02_0_N Comdty,2009-10-23,114.94
IK1 N:02_0_N Comdty,2009-10-26,115.04
IK1 N:02_0_N Comdty,2009-10-27,115.81
IK1 N:02_0_N Comdty,2009-10-28,115.95
IK1 N:02_0_N Comdty,2009-10-29,115.46
IK1 N:02_0_N Comdty,2009-10-30,116.09
IK1 N:02_0_N Comdty,2009-11-02,116.23
IK1 N:02_0_N Comdty,2009-11-03,116.07
IK1 N:02_0_N Comdty,2009-11-04,115.82
IK1 N:02_0_N Comdty,2009-11-05,115.74
IK1 N:02_0_N Comdty,2009-11-06,115.7
IK1 N:02_0_N Comdty,2009-11-09,116.14
IK1 N:02_0_N Comdty,2009-11-10,116.64
IK1 N:02_0_N Comdty,2009-11-11,116.63
IK1 N:02_0_N Comdty,2009-11-12,116.52
IK1 N:02_0_N Comdty,2009-11-13,116.1
IK1 N:02_0_N Comdty,2009-11-16,116.36
IK1 N:02_0_N Comdty,2009-11-17,116.77
IK1 N:02_0_N Comdty,2009-11-18,116.62
IK1 N:02_0_N Comdty,2009-11-19,116.51
IK1 N:02_0_N Comdty,2009-11-20,116.48
IK1 N:02_0_N Comdty,2009-11-23,116.53
IK1 N:02_0_N Comdty,2009-11-24,116.69
IK1 N:02_0_N Comdty,2009-11-25,116.6
IK1 N:02_0_N Comdty,2009-11-26,116.7
IK1 N:02_0_N Comdty,2009-11-27,116.8
IK1 N:02_0_N Comdty,2009-11-30,117.06
IK1 N:02_0_N Comdty,2009-12-01,117.38
IK1 N:02_0_N Comdty,2009-12-02,117.5
IK1 N:02_0_N Comdty,2009-12-03,117.43
IK1 N:02_0_N Comdty,2009-12-04,117.28
IK1 N:02_0_N Comdty,2009-12-07,116.33
IK1 N:02_0_N Comdty,2009-12-08,116.19
IK1 N:02_0_N Comdty,2009-12-09,115.84
IK1 N:02_0_N Comdty,2009-12-10,115.67
IK1 N:02_0_N Comdty,2009-12-11,115.65
IK1 N:02_0_N Comdty,2009-12-14,115.85
IK1 N:02_0_N Comdty,2009-12-15,115.62
IK1 N:02_0_N Comdty,2009-12-16,115.92
IK1 N:02_0_N Comdty,2009-12-17,116.32
IK1 N:02_0_N Comdty,2009-12-18,116.22
IK1 N:02_0_N Comdty,2009-12-21,115.76
IK1 N:02_0_N Comdty,2009-12-22,115.77
IK1 N:02_0_N Comdty,2009-12-23,115.73
IK1 N:02_0_N Comdty,2009-12-28,115.42
IK1 N:02_0_N Comdty,2009-12-29,115.07
IK1 N:02_0_N Comdty,2009-12-30,114.78
IK1 N:02_0_N Comdty,2010-01-04,115.22
IK1 N:02_0_N Comdty,2010-01-05,115.25
IK1 N:02_0_N Comdty,2010-01-06,115.11
IK1 N:02_0_N Comdty,2010-01-07,115.38
IK1 N:02_0_N Comdty,2010-01-08,115.55
IK1 N:02_0_N Comdty,2010-01-11,115.74
IK1 N:02_0_N Comdty,2010-01-12,115.78
IK1 N:02_0_N Comdty,2010-01-13,115.49
IK1 N:02_0_N Comdty,2010-01-14,115.41
IK1 N:02_0_N Comdty,2010-01-15,115.6
IK1 N:02_0_N Comdty,2010-01-18,115.82
IK1 N:02_0_N Comdty,2010-01-19,115.8
IK1 N:02_0_N Comdty,2010-01-20,115.72
IK1 N:02_0_N Comdty,2010-01-21,115.63
IK1 N:02_0_N Comdty,2010-01-22,115.72
IK1 N:02_0_N Comdty,2010-01-25,116.03
IK1 N:02_0_N Comdty,2010-01-26,116.26
IK1 N:02_0_N Comdty,2010-01-27,115.72
IK1 N:02_0_N Comdty,2010-01-28,115.17
IK1 N:02_0_N Comdty,2010-01-29,115.45
IK1 N:02_0_N Comdty,2010-02-01,116.02
IK1 N:02_0_N Comdty,2010-02-02,115.99
IK1 N:02_0_N Comdty,2010-02-03,115.79
IK1 N:02_0_N Comdty,2010-02-04,115.96
IK1 N:02_0_N Comdty,2010-02-05,115.94
IK1 N:02_0_N Comdty,2010-02-08,115.72
IK1 N:02_0_N Comdty,2010-02-09,116.13
IK1 N:02_0_N Comdty,2010-02-10,116.47
IK1 N:02_0_N Comdty,2010-02-11,116.3
IK1 N:02_0_N Comdty,2010-02-12,116.15
IK1 N:02_0_N Comdty,2010-02-15,116.05
IK1 N:02_0_N Comdty,2010-02-16,116.11
IK1 N:02_0_N Comdty,2010-02-17,116.3
IK1 N:02_0_N Comdty,2010-02-18,116.07
IK1 N:02_0_N Comdty,2010-02-19,115.9
IK1 N:02_0_N Comdty,2010-02-22,115.91
IK1 N:02_0_N Comdty,2010-02-23,116.49
IK1 N:02_0_N Comdty,2010-02-24,116.59
IK1 N:02_0_N Comdty,2010-02-25,116.33
IK1 N:02_0_N Comdty,2010-02-26,116.95
IK1 N:02_0_N Comdty,2010-03-01,117.13
IK1 N:02_0_N Comdty,2010-03-02,117.13
IK1 N:02_0_N Comdty,2010-03-03,117.19
IK1 N:02_0_N Comdty,2010-03-04,117.37
IK1 N:02_0_N Comdty,2010-03-05,117.4
IK1 N:02_0_N Comdty,2010-03-08,115.4
IK1 N:02_0_N Comdty,2010-03-09,115.67
IK1 N:02_0_N Comdty,2010-03-10,115.72
IK1 N:02_0_N Comdty,2010-03-11,115.45
IK1 N:02_0_N Comdty,2010-03-12,115.52
IK1 N:02_0_N Comdty,2010-03-15,115.61
IK1 N:02_0_N Comdty,2010-03-16,115.77
IK1 N:02_0_N Comdty,2010-03-17,116.0
IK1 N:02_0_N Comdty,2010-03-18,115.64
IK1 N:02_0_N Comdty,2010-03-19,115.63
IK1 N:02_0_N Comdty,2010-03-22,115.9
IK1 N:02_0_N Comdty,2010-03-23,116.13
IK1 N:02_0_N Comdty,2010-03-24,116.05
IK1 N:02_0_N Comdty,2010-03-25,115.98
IK1 N:02_0_N Comdty,2010-03-26,116.24
IK1 N:02_0_N Comdty,2010-03-29,116.38
IK1 N:02_0_N Comdty,2010-03-30,116.56
IK1 N:02_0_N Comdty,2010-03-31,116.75
IK1 N:02_0_N Comdty,2010-04-01,117.02
IK1 N:02_0_N Comdty,2010-04-06,116.4
IK1 N:02_0_N Comdty,2010-04-07,116.56
IK1 N:02_0_N Comdty,2010-04-08,116.73
IK1 N:02_0_N Comdty,2010-04-09,116.61
IK1 N:02_0_N Comdty,2010-04-12,116.76
IK1 N:02_0_N Comdty,2010-04-13,116.8
IK1 N:02_0_N Comdty,2010-04-14,116.72
IK1 N:02_0_N Comdty,2010-04-15,116.83
IK1 N:02_0_N Comdty,2010-04-16,117.01
IK1 N:02_0_N Comdty,2010-04-19,117.01
IK1 N:02_0_N Comdty,2010-04-20,116.82
IK1 N:02_0_N Comdty,2010-04-21,116.58
IK1 N:02_0_N Comdty,2010-04-22,116.27
IK1 N:02_0_N Comdty,2010-04-23,116.14
IK1 N:02_0_N Comdty,2010-04-26,116.11
IK1 N:02_0_N Comdty,2010-04-27,115.7
IK1 N:02_0_N Comdty,2010-04-28,114.89
IK1 N:02_0_N Comdty,2010-04-29,115.23
IK1 N:02_0_N Comdty,2010-04-30,115.82
IK1 N:02_0_N Comdty,2010-05-03,115.98
IK1 N:02_0_N Comdty,2010-05-04,115.73
IK1 N:02_0_N Comdty,2010-05-05,115.59
IK1 N:02_0_N Comdty,2010-05-06,113.52
IK1 N:02_0_N Comdty,2010-05-07,113.1
IK1 N:02_0_N Comdty,2010-05-10,116.02
IK1 N:02_0_N Comdty,2010-05-11,116.2
IK1 N:02_0_N Comdty,2010-05-12,116.35
IK1 N:02_0_N Comdty,2010-05-13,116.83
IK1 N:02_0_N Comdty,2010-05-14,116.47
IK1 N:02_0_N Comdty,2010-05-17,116.45
IK1 N:02_0_N Comdty,2010-05-18,116.52
IK1 N:02_0_N Comdty,2010-05-19,116.64
IK1 N:02_0_N Comdty,2010-05-20,116.25
IK1 N:02_0_N Comdty,2010-05-21,116.6
IK1 N:02_0_N Comdty,2010-05-24,116.73
IK1 N:02_0_N Comdty,2010-05-25,116.42
IK1 N:02_0_N Comdty,2010-05-26,115.88
IK1 N:02_0_N Comdty,2010-05-27,115.44
IK1 N:02_0_N Comdty,2010-05-28,115.3
IK1 N:02_0_N Comdty,2010-05-31,115.2
IK1 N:02_0_N Comdty,2010-06-01,115.01
IK1 N:02_0_N Comdty,2010-06-02,114.34
IK1 N:02_0_N Comdty,2010-06-03,114.04
IK1 N:02_0_N Comdty,2010-06-04,114.2
IK1 N:02_0_N Comdty,2010-06-07,111.2
IK1 N:02_0_N Comdty,2010-06-08,111.8
IK1 N:02_0_N Comdty,2010-06-09,112.88
IK1 N:02_0_N Comdty,2010-06-10,114.03
IK1 N:02_0_N Comdty,2010-06-11,113.97
IK1 N:02_0_N Comdty,2010-06-14,113.29
IK1 N:02_0_N Comdty,2010-06-15,113.5
IK1 N:02_0_N Comdty,2010-06-16,113.48
IK1 N:02_0_N Comdty,2010-06-17,114.0
IK1 N:02_0_N Comdty,2010-06-18,114.55
IK1 N:02_0_N Comdty,2010-06-21,114.89
IK1 N:02_0_N Comdty,2010-06-22,114.56
IK1 N:02_0_N Comdty,2010-06-23,114.35
IK1 N:02_0_N Comdty,2010-06-24,114.3
IK1 N:02_0_N Comdty,2010-06-25,114.05
IK1 N:02_0_N Comdty,2010-06-28,113.86
IK1 N:02_0_N Comdty,2010-06-29,113.88
IK1 N:02_0_N Comdty,2010-06-30,114.13
IK1 N:02_0_N Comdty,2010-07-01,114.17
IK1 N:02_0_N Comdty,2010-07-02,114.73
IK1 N:02_0_N Comdty,2010-07-05,114.97
IK1 N:02_0_N Comdty,2010-07-06,114.5
IK1 N:02_0_N Comdty,2010-07-07,114.33
IK1 N:02_0_N Comdty,2010-07-08,114.51
IK1 N:02_0_N Comdty,2010-07-09,114.83
IK1 N:02_0_N Comdty,2010-07-12,114.77
IK1 N:02_0_N Comdty,2010-07-13,114.58
IK1 N:02_0_N Comdty,2010-07-14,114.12
IK1 N:02_0_N Comdty,2010-07-15,114.19
IK1 N:02_0_N Comdty,2010-07-16,114.72
IK1 N:02_0_N Comdty,2010-07-19,114.84
IK1 N:02_0_N Comdty,2010-07-20,115.29
IK1 N:02_0_N Comdty,2010-07-21,115.4
IK1 N:02_0_N Comdty,2010-07-22,115.42
IK1 N:02_0_N Comdty,2010-07-23,115.42
IK1 N:02_0_N Comdty,2010-07-26,115.7
IK1 N:02_0_N Comdty,2010-07-27,116.05
IK1 N:02_0_N Comdty,2010-07-28,115.89
IK1 N:02_0_N Comdty,2010-07-29,116.24
IK1 N:02_0_N Comdty,2010-07-30,116.39
IK1 N:02_0_N Comdty,2010-08-02,116.63
IK1 N:02_0_N Comdty,2010-08-03,117.07
IK1 N:02_0_N Comdty,2010-08-04,117.29
IK1 N:02_0_N Comdty,2010-08-05,117.64
IK1 N:02_0_N Comdty,2010-08-06,118.03
IK1 N:02_0_N Comdty,2010-08-09,118.03
IK1 N:02_0_N Comdty,2010-08-10,117.44
IK1 N:02_0_N Comdty,2010-08-11,117.9
IK1 N:02_0_N Comdty,2010-08-12,117.63
IK1 N:02_0_N Comdty,2010-08-13,117.35
IK1 N:02_0_N Comdty,2010-08-16,117.51
IK1 N:02_0_N Comdty,2010-08-17,117.79
IK1 N:02_0_N Comdty,2010-08-18,118.52
IK1 N:02_0_N Comdty,2010-08-19,118.33
IK1 N:02_0_N Comdty,2010-08-20,118.32
IK1 N:02_0_N Comdty,2010-08-23,118.4
IK1 N:02_0_N Comdty,2010-08-24,118.73
IK1 N:02_0_N Comdty,2010-08-25,118.71
IK1 N:02_0_N Comdty,2010-08-26,118.59
IK1 N:02_0_N Comdty,2010-08-27,118.61
IK1 N:02_0_N Comdty,2010-08-30,118.45
IK1 N:02_0_N Comdty,2010-08-31,118.77
IK1 N:02_0_N Comdty,2010-09-01,118.79
IK1 N:02_0_N Comdty,2010-09-02,118.77
IK1 N:02_0_N Comdty,2010-09-03,118.69
IK1 N:02_0_N Comdty,2010-09-06,118.61
IK1 N:02_0_N Comdty,2010-09-07,117.17
IK1 N:02_0_N Comdty,2010-09-08,117.32
