name,date,PX_LAST
JB1 N:02_0_N Comdty,1985-10-21,101.96
JB1 N:02_0_N Comdty,1985-10-22,101.72
JB1 N:02_0_N Comdty,1985-10-23,101.72
JB1 N:02_0_N Comdty,1985-10-24,101.63
JB1 N:02_0_N Comdty,1985-10-25,100.63
JB1 N:02_0_N Comdty,1985-10-28,96.63
JB1 N:02_0_N Comdty,1985-10-29,95.75
JB1 N:02_0_N Comdty,1985-10-30,95.72
JB1 N:02_0_N Comdty,1985-10-31,95.65
JB1 N:02_0_N Comdty,1985-11-01,92.75
JB1 N:02_0_N Comdty,1985-11-05,94.4
JB1 N:02_0_N Comdty,1985-11-06,94.78
JB1 N:02_0_N Comdty,1985-11-07,95.11
JB1 N:02_0_N Comdty,1985-11-08,93.7
JB1 N:02_0_N Comdty,1985-11-11,93.15
JB1 N:02_0_N Comdty,1985-11-12,92.81
JB1 N:02_0_N Comdty,1985-11-13,91.8
JB1 N:02_0_N Comdty,1985-11-14,91.16
JB1 N:02_0_N Comdty,1985-11-15,91.5
JB1 N:02_0_N Comdty,1985-11-18,91.79
JB1 N:02_0_N Comdty,1985-11-19,92.21
JB1 N:02_0_N Comdty,1985-11-20,93.45
JB1 N:02_0_N Comdty,1985-11-21,94.5
JB1 N:02_0_N Comdty,1985-11-22,94.8
JB1 N:02_0_N Comdty,1985-11-25,95.56
JB1 N:02_0_N Comdty,1985-11-26,96.75
JB1 N:02_0_N Comdty,1985-11-27,96.25
JB1 N:02_0_N Comdty,1985-11-28,97.0
JB1 N:02_0_N Comdty,1985-11-29,96.95
JB1 N:02_0_N Comdty,1985-12-02,97.0
JB1 N:02_0_N Comdty,1985-12-03,96.66
JB1 N:02_0_N Comdty,1985-12-04,96.85
JB1 N:02_0_N Comdty,1985-12-05,97.0
JB1 N:02_0_N Comdty,1985-12-06,96.87
JB1 N:02_0_N Comdty,1985-12-09,96.75
JB1 N:02_0_N Comdty,1985-12-10,97.48
JB1 N:02_0_N Comdty,1985-12-11,98.26
JB1 N:02_0_N Comdty,1985-12-12,98.1
JB1 N:02_0_N Comdty,1985-12-13,98.21
JB1 N:02_0_N Comdty,1985-12-16,99.21
JB1 N:02_0_N Comdty,1985-12-17,99.18
JB1 N:02_0_N Comdty,1985-12-18,99.5
JB1 N:02_0_N Comdty,1985-12-19,99.31
JB1 N:02_0_N Comdty,1985-12-20,99.32
JB1 N:02_0_N Comdty,1985-12-23,99.09
JB1 N:02_0_N Comdty,1985-12-24,99.19
JB1 N:02_0_N Comdty,1985-12-25,99.25
JB1 N:02_0_N Comdty,1985-12-26,99.6
JB1 N:02_0_N Comdty,1985-12-27,100.1
JB1 N:02_0_N Comdty,1986-01-06,99.91
JB1 N:02_0_N Comdty,1986-01-07,99.66
JB1 N:02_0_N Comdty,1986-01-08,100.25
JB1 N:02_0_N Comdty,1986-01-09,99.55
JB1 N:02_0_N Comdty,1986-01-10,98.55
JB1 N:02_0_N Comdty,1986-01-13,98.45
JB1 N:02_0_N Comdty,1986-01-14,98.78
JB1 N:02_0_N Comdty,1986-01-16,99.38
JB1 N:02_0_N Comdty,1986-01-17,99.35
JB1 N:02_0_N Comdty,1986-01-20,98.0
JB1 N:02_0_N Comdty,1986-01-21,98.55
JB1 N:02_0_N Comdty,1986-01-22,98.54
JB1 N:02_0_N Comdty,1986-01-23,98.65
JB1 N:02_0_N Comdty,1986-01-24,98.74
JB1 N:02_0_N Comdty,1986-01-27,100.02
JB1 N:02_0_N Comdty,1986-01-28,99.65
JB1 N:02_0_N Comdty,1986-01-29,100.0
JB1 N:02_0_N Comdty,1986-01-30,100.0
JB1 N:02_0_N Comdty,1986-01-31,100.28
JB1 N:02_0_N Comdty,1986-02-03,100.45
JB1 N:02_0_N Comdty,1986-02-04,100.38
JB1 N:02_0_N Comdty,1986-02-05,100.2
JB1 N:02_0_N Comdty,1986-02-06,100.3
JB1 N:02_0_N Comdty,1986-02-07,100.08
JB1 N:02_0_N Comdty,1986-02-10,99.95
JB1 N:02_0_N Comdty,1986-02-12,100.23
JB1 N:02_0_N Comdty,1986-02-13,100.09
JB1 N:02_0_N Comdty,1986-02-14,100.26
JB1 N:02_0_N Comdty,1986-02-17,101.16
JB1 N:02_0_N Comdty,1986-02-18,101.45
JB1 N:02_0_N Comdty,1986-02-19,101.4
JB1 N:02_0_N Comdty,1986-02-20,101.66
JB1 N:02_0_N Comdty,1986-02-21,101.6
JB1 N:02_0_N Comdty,1986-02-24,102.12
JB1 N:02_0_N Comdty,1986-02-25,102.18
JB1 N:02_0_N Comdty,1986-02-26,102.3
JB1 N:02_0_N Comdty,1986-02-27,103.0
JB1 N:02_0_N Comdty,1986-02-28,103.04
JB1 N:02_0_N Comdty,1986-03-03,103.1
JB1 N:02_0_N Comdty,1986-03-04,103.3
JB1 N:02_0_N Comdty,1986-03-05,103.3
JB1 N:02_0_N Comdty,1986-03-06,103.67
JB1 N:02_0_N Comdty,1986-03-07,103.47
JB1 N:02_0_N Comdty,1986-03-10,103.56
JB1 N:02_0_N Comdty,1986-03-11,103.94
JB1 N:02_0_N Comdty,1986-03-12,104.25
JB1 N:02_0_N Comdty,1986-03-13,104.25
JB1 N:02_0_N Comdty,1986-03-14,104.07
JB1 N:02_0_N Comdty,1986-03-17,104.82
JB1 N:02_0_N Comdty,1986-03-18,104.65
JB1 N:02_0_N Comdty,1986-03-19,103.95
JB1 N:02_0_N Comdty,1986-03-20,104.69
JB1 N:02_0_N Comdty,1986-03-24,105.56
JB1 N:02_0_N Comdty,1986-03-25,105.23
JB1 N:02_0_N Comdty,1986-03-26,105.5
JB1 N:02_0_N Comdty,1986-03-27,105.8
JB1 N:02_0_N Comdty,1986-03-28,105.71
JB1 N:02_0_N Comdty,1986-03-31,105.77
JB1 N:02_0_N Comdty,1986-04-01,105.4
JB1 N:02_0_N Comdty,1986-04-02,105.3
JB1 N:02_0_N Comdty,1986-04-03,105.15
JB1 N:02_0_N Comdty,1986-04-04,104.15
JB1 N:02_0_N Comdty,1986-04-07,103.91
JB1 N:02_0_N Comdty,1986-04-08,103.58
JB1 N:02_0_N Comdty,1986-04-09,103.33
JB1 N:02_0_N Comdty,1986-04-10,103.04
