name,date,PX_LAST
KAA1 N:02_0_N Comdty,2008-02-25,97.72
KAA1 N:02_0_N Comdty,2008-02-26,97.66
KAA1 N:02_0_N Comdty,2008-02-27,97.76
KAA1 N:02_0_N Comdty,2008-02-28,98.0
KAA1 N:02_0_N Comdty,2008-02-29,98.36
KAA1 N:02_0_N Comdty,2008-03-03,98.64
KAA1 N:02_0_N Comdty,2008-03-04,98.5
KAA1 N:02_0_N Comdty,2008-03-05,98.64
KAA1 N:02_0_N Comdty,2008-03-06,98.22
KAA1 N:02_0_N Comdty,2008-03-07,98.08
KAA1 N:02_0_N Comdty,2008-03-10,97.36
KAA1 N:02_0_N Comdty,2008-03-11,97.24
KAA1 N:02_0_N Comdty,2008-03-12,97.5
KAA1 N:02_0_N Comdty,2008-03-13,97.12
KAA1 N:02_0_N Comdty,2008-03-14,97.5
KAA1 N:02_0_N Comdty,2008-03-17,96.58
KAA1 N:02_0_N Comdty,2008-03-18,97.76
KAA1 N:02_0_N Comdty,2008-03-19,96.02
KAA1 N:02_0_N Comdty,2008-03-20,96.3
KAA1 N:02_0_N Comdty,2008-03-21,97.2
KAA1 N:02_0_N Comdty,2008-03-24,96.48
KAA1 N:02_0_N Comdty,2008-03-25,96.3
KAA1 N:02_0_N Comdty,2008-03-26,96.6
KAA1 N:02_0_N Comdty,2008-03-27,97.12
KAA1 N:02_0_N Comdty,2008-03-28,97.58
KAA1 N:02_0_N Comdty,2008-03-31,98.08
KAA1 N:02_0_N Comdty,2008-04-01,97.94
KAA1 N:02_0_N Comdty,2008-04-02,98.04
KAA1 N:02_0_N Comdty,2008-04-03,98.04
KAA1 N:02_0_N Comdty,2008-04-04,98.22
KAA1 N:02_0_N Comdty,2008-04-07,98.2
KAA1 N:02_0_N Comdty,2008-04-08,98.48
KAA1 N:02_0_N Comdty,2008-04-10,99.32
KAA1 N:02_0_N Comdty,2008-04-11,99.42
KAA1 N:02_0_N Comdty,2008-04-14,99.42
KAA1 N:02_0_N Comdty,2008-04-15,99.24
KAA1 N:02_0_N Comdty,2008-04-16,99.3
KAA1 N:02_0_N Comdty,2008-04-17,99.3
KAA1 N:02_0_N Comdty,2008-04-18,99.3
KAA1 N:02_0_N Comdty,2008-04-21,98.76
KAA1 N:02_0_N Comdty,2008-04-22,98.92
KAA1 N:02_0_N Comdty,2008-04-23,98.92
KAA1 N:02_0_N Comdty,2008-04-24,98.92
KAA1 N:02_0_N Comdty,2008-04-25,99.2
KAA1 N:02_0_N Comdty,2008-04-28,99.2
KAA1 N:02_0_N Comdty,2008-04-29,99.06
KAA1 N:02_0_N Comdty,2008-04-30,99.06
KAA1 N:02_0_N Comdty,2008-05-02,98.8
KAA1 N:02_0_N Comdty,2008-05-06,98.8
KAA1 N:02_0_N Comdty,2008-05-07,98.3
KAA1 N:02_0_N Comdty,2008-05-08,97.72
KAA1 N:02_0_N Comdty,2008-05-09,96.8
KAA1 N:02_0_N Comdty,2008-05-13,96.6
KAA1 N:02_0_N Comdty,2008-05-14,96.82
KAA1 N:02_0_N Comdty,2008-05-15,96.88
KAA1 N:02_0_N Comdty,2008-05-16,96.74
KAA1 N:02_0_N Comdty,2008-05-19,95.38
KAA1 N:02_0_N Comdty,2008-05-20,96.3
KAA1 N:02_0_N Comdty,2008-05-21,95.84
KAA1 N:02_0_N Comdty,2008-05-22,95.9
KAA1 N:02_0_N Comdty,2008-05-23,95.48
KAA1 N:02_0_N Comdty,2008-05-26,95.26
KAA1 N:02_0_N Comdty,2008-05-27,95.26
KAA1 N:02_0_N Comdty,2008-05-28,95.94
KAA1 N:02_0_N Comdty,2008-05-29,95.2
KAA1 N:02_0_N Comdty,2008-05-30,94.8
KAA1 N:02_0_N Comdty,2008-06-02,94.8
KAA1 N:02_0_N Comdty,2008-06-03,94.98
KAA1 N:02_0_N Comdty,2008-06-04,94.82
KAA1 N:02_0_N Comdty,2008-06-05,94.8
KAA1 N:02_0_N Comdty,2008-06-09,94.0
KAA1 N:02_0_N Comdty,2008-06-10,93.1
KAA1 N:02_0_N Comdty,2008-06-11,93.54
KAA1 N:02_0_N Comdty,2008-06-12,94.06
KAA1 N:02_0_N Comdty,2008-06-13,93.8
KAA1 N:02_0_N Comdty,2008-06-16,94.04
KAA1 N:02_0_N Comdty,2008-06-17,94.04
KAA1 N:02_0_N Comdty,2008-06-18,94.48
KAA1 N:02_0_N Comdty,2008-06-19,94.28
KAA1 N:02_0_N Comdty,2008-06-20,94.16
KAA1 N:02_0_N Comdty,2008-06-23,91.7
KAA1 N:02_0_N Comdty,2008-06-24,93.22
KAA1 N:02_0_N Comdty,2008-06-25,93.3
KAA1 N:02_0_N Comdty,2008-06-26,93.62
KAA1 N:02_0_N Comdty,2008-06-27,93.68
KAA1 N:02_0_N Comdty,2008-06-30,92.82
KAA1 N:02_0_N Comdty,2008-07-01,92.82
KAA1 N:02_0_N Comdty,2008-07-02,92.82
KAA1 N:02_0_N Comdty,2008-07-03,91.82
KAA1 N:02_0_N Comdty,2008-07-04,91.82
KAA1 N:02_0_N Comdty,2008-07-07,91.82
KAA1 N:02_0_N Comdty,2008-07-08,91.82
KAA1 N:02_0_N Comdty,2008-07-09,92.66
KAA1 N:02_0_N Comdty,2008-07-10,92.66
KAA1 N:02_0_N Comdty,2008-07-11,92.66
KAA1 N:02_0_N Comdty,2008-07-14,92.66
KAA1 N:02_0_N Comdty,2008-07-15,92.66
KAA1 N:02_0_N Comdty,2008-07-16,92.66
KAA1 N:02_0_N Comdty,2008-07-17,93.56
KAA1 N:02_0_N Comdty,2008-07-18,93.56
KAA1 N:02_0_N Comdty,2008-07-21,92.6
KAA1 N:02_0_N Comdty,2008-07-22,93.6
KAA1 N:02_0_N Comdty,2008-07-23,93.6
KAA1 N:02_0_N Comdty,2008-07-24,93.6
KAA1 N:02_0_N Comdty,2008-07-25,93.6
KAA1 N:02_0_N Comdty,2008-07-28,93.6
KAA1 N:02_0_N Comdty,2008-07-29,93.6
KAA1 N:02_0_N Comdty,2008-07-30,93.6
KAA1 N:02_0_N Comdty,2008-07-31,93.6
KAA1 N:02_0_N Comdty,2008-08-01,93.6
KAA1 N:02_0_N Comdty,2008-08-04,93.6
KAA1 N:02_0_N Comdty,2008-08-05,93.6
KAA1 N:02_0_N Comdty,2008-08-06,94.6
KAA1 N:02_0_N Comdty,2008-08-07,94.6
KAA1 N:02_0_N Comdty,2008-08-08,94.6
KAA1 N:02_0_N Comdty,2008-08-11,94.6
KAA1 N:02_0_N Comdty,2008-08-12,94.6
KAA1 N:02_0_N Comdty,2008-08-13,94.6
KAA1 N:02_0_N Comdty,2008-08-14,93.44
KAA1 N:02_0_N Comdty,2008-08-18,93.44
KAA1 N:02_0_N Comdty,2008-08-19,93.44
KAA1 N:02_0_N Comdty,2008-08-20,93.44
KAA1 N:02_0_N Comdty,2008-08-21,93.44
KAA1 N:02_0_N Comdty,2008-08-22,93.44
KAA1 N:02_0_N Comdty,2008-08-25,93.44
KAA1 N:02_0_N Comdty,2008-08-26,93.44
KAA1 N:02_0_N Comdty,2008-08-27,93.44
KAA1 N:02_0_N Comdty,2008-08-28,93.44
KAA1 N:02_0_N Comdty,2008-08-29,93.44
KAA1 N:02_0_N Comdty,2008-09-01,93.44
KAA1 N:02_0_N Comdty,2008-09-02,92.32
KAA1 N:02_0_N Comdty,2008-09-03,92.32
KAA1 N:02_0_N Comdty,2008-09-04,93.4
KAA1 N:02_0_N Comdty,2008-09-05,93.4
KAA1 N:02_0_N Comdty,2008-09-08,93.4
KAA1 N:02_0_N Comdty,2008-09-09,93.4
KAA1 N:02_0_N Comdty,2008-09-10,93.4
KAA1 N:02_0_N Comdty,2008-09-11,93.5
KAA1 N:02_0_N Comdty,2008-09-12,94.0
KAA1 N:02_0_N Comdty,2009-06-16,97.92
KAA1 N:02_0_N Comdty,2009-08-03,0.0
KAA1 N:02_0_N Comdty,2009-08-04,0.0
KAA1 N:02_0_N Comdty,2009-08-05,0.0
KAA1 N:02_0_N Comdty,2009-08-06,0.0
KAA1 N:02_0_N Comdty,2009-08-07,0.0
KAA1 N:02_0_N Comdty,2009-08-10,0.0
KAA1 N:02_0_N Comdty,2009-08-11,0.0
KAA1 N:02_0_N Comdty,2009-08-12,0.0
KAA1 N:02_0_N Comdty,2009-08-13,0.0
KAA1 N:02_0_N Comdty,2009-08-14,0.0
KAA1 N:02_0_N Comdty,2009-08-17,0.0
KAA1 N:02_0_N Comdty,2009-08-18,0.0
KAA1 N:02_0_N Comdty,2009-08-19,0.0
KAA1 N:02_0_N Comdty,2009-08-20,0.0
KAA1 N:02_0_N Comdty,2009-08-21,0.0
KAA1 N:02_0_N Comdty,2009-08-24,0.0
KAA1 N:02_0_N Comdty,2009-08-25,0.0
KAA1 N:02_0_N Comdty,2009-08-26,0.0
KAA1 N:02_0_N Comdty,2009-08-27,0.0
KAA1 N:02_0_N Comdty,2009-08-28,0.0
KAA1 N:02_0_N Comdty,2009-08-31,0.0
KAA1 N:02_0_N Comdty,2009-09-01,0.0
KAA1 N:02_0_N Comdty,2009-09-02,0.0
KAA1 N:02_0_N Comdty,2009-09-03,0.0
KAA1 N:02_0_N Comdty,2009-09-04,0.0
KAA1 N:02_0_N Comdty,2009-09-07,0.0
KAA1 N:02_0_N Comdty,2009-09-08,0.0
KAA1 N:02_0_N Comdty,2009-09-09,0.0
KAA1 N:02_0_N Comdty,2009-09-10,0.0
KAA1 N:02_0_N Comdty,2009-09-11,0.0
KAA1 N:02_0_N Comdty,2009-10-28,94.16
