name,date,PX_LAST
KC1 N:02_0_N Comdty,1972-08-16,2.0526
KC1 N:02_0_N Comdty,1972-08-17,2.05532
KC1 N:02_0_N Comdty,1972-08-18,2.05494
KC1 N:02_0_N Comdty,1972-08-21,2.05689
KC1 N:02_0_N Comdty,1972-08-22,2.05179
KC1 N:02_0_N Comdty,1972-08-23,2.05027
KC1 N:02_0_N Comdty,1972-08-24,2.00303
KC1 N:02_0_N Comdty,1972-08-25,2.01058
KC1 N:02_0_N Comdty,1972-08-28,1.9984
KC1 N:02_0_N Comdty,1972-08-29,2.01019
KC1 N:02_0_N Comdty,1972-08-30,2.04044
KC1 N:02_0_N Comdty,1972-08-31,2.06108
KC1 N:02_0_N Comdty,1972-09-01,2.08806
KC1 N:02_0_N Comdty,1972-09-05,2.14445
KC1 N:02_0_N Comdty,1972-09-06,2.13821
KC1 N:02_0_N Comdty,1972-09-07,2.1154
KC1 N:02_0_N Comdty,1972-09-08,2.10285
KC1 N:02_0_N Comdty,1972-09-11,2.04876
KC1 N:02_0_N Comdty,1972-09-12,2.06993
KC1 N:02_0_N Comdty,1972-09-13,2.05972
KC1 N:02_0_N Comdty,1972-09-14,2.08855
KC1 N:02_0_N Comdty,1972-09-15,2.10429
KC1 N:02_0_N Comdty,1972-09-18,2.11962
KC1 N:02_0_N Comdty,1972-09-19,2.11504
KC1 N:02_0_N Comdty,1972-09-20,2.09609
KC1 N:02_0_N Comdty,1972-09-21,2.0986
KC1 N:02_0_N Comdty,1972-09-22,2.11482
KC1 N:02_0_N Comdty,1972-09-25,2.11811
KC1 N:02_0_N Comdty,1972-09-26,2.09908
KC1 N:02_0_N Comdty,1972-09-27,2.10818
KC1 N:02_0_N Comdty,1972-09-28,2.12336
KC1 N:02_0_N Comdty,1972-09-29,2.12929
KC1 N:02_0_N Comdty,1972-10-02,2.14121
KC1 N:02_0_N Comdty,1972-10-03,2.14954
KC1 N:02_0_N Comdty,1972-10-04,2.13363
KC1 N:02_0_N Comdty,1972-10-05,2.14412
KC1 N:02_0_N Comdty,1972-10-06,2.14545
KC1 N:02_0_N Comdty,1972-10-09,2.14545
KC1 N:02_0_N Comdty,1972-10-10,2.15207
KC1 N:02_0_N Comdty,1972-10-11,2.15409
KC1 N:02_0_N Comdty,1972-10-12,2.14476
KC1 N:02_0_N Comdty,1972-10-13,2.14286
KC1 N:02_0_N Comdty,1972-10-16,2.14794
KC1 N:02_0_N Comdty,1972-10-17,2.14581
KC1 N:02_0_N Comdty,1972-10-18,2.12582
