name,date,PX_LAST
LC1 N:02_0_N Comdty,1971-01-04,1.25222
LC1 N:02_0_N Comdty,1971-01-05,1.24716
LC1 N:02_0_N Comdty,1971-01-06,1.24273
LC1 N:02_0_N Comdty,1971-01-07,1.2349
LC1 N:02_0_N Comdty,1971-01-08,1.23938
LC1 N:02_0_N Comdty,1971-01-11,1.24134
LC1 N:02_0_N Comdty,1971-01-12,1.25849
LC1 N:02_0_N Comdty,1971-01-13,1.27023
LC1 N:02_0_N Comdty,1971-01-14,1.28854
LC1 N:02_0_N Comdty,1971-01-15,1.28151
LC1 N:02_0_N Comdty,1971-01-18,1.30593
LC1 N:02_0_N Comdty,1971-01-19,1.34609
LC1 N:02_0_N Comdty,1971-01-20,1.33331
LC1 N:02_0_N Comdty,1971-01-21,1.33353
LC1 N:02_0_N Comdty,1971-01-22,1.3275
LC1 N:02_0_N Comdty,1971-01-25,1.36326
LC1 N:02_0_N Comdty,1971-01-26,1.36699
LC1 N:02_0_N Comdty,1971-01-27,1.35902
LC1 N:02_0_N Comdty,1971-01-28,1.37315
LC1 N:02_0_N Comdty,1971-01-29,1.39415
LC1 N:02_0_N Comdty,1971-02-01,1.43835
LC1 N:02_0_N Comdty,1971-02-02,1.43839
LC1 N:02_0_N Comdty,1971-02-03,1.42966
LC1 N:02_0_N Comdty,1971-02-04,1.42862
LC1 N:02_0_N Comdty,1971-02-05,1.4169
LC1 N:02_0_N Comdty,1971-02-08,1.37963
LC1 N:02_0_N Comdty,1971-02-09,1.40294
LC1 N:02_0_N Comdty,1971-02-10,1.40841
LC1 N:02_0_N Comdty,1971-02-11,1.41254
LC1 N:02_0_N Comdty,1971-02-12,1.42006
LC1 N:02_0_N Comdty,1971-02-16,1.4072
LC1 N:02_0_N Comdty,1971-02-17,1.39109
LC1 N:02_0_N Comdty,1971-02-18,1.37817
LC1 N:02_0_N Comdty,1971-02-19,1.37911
LC1 N:02_0_N Comdty,1971-02-22,1.40473
LC1 N:02_0_N Comdty,1971-02-23,1.38966
LC1 N:02_0_N Comdty,1971-02-24,1.36142
LC1 N:02_0_N Comdty,1971-02-25,1.35249
LC1 N:02_0_N Comdty,1971-02-26,1.35024
LC1 N:02_0_N Comdty,1971-03-01,1.36003
LC1 N:02_0_N Comdty,1971-03-02,1.3745
LC1 N:02_0_N Comdty,1971-03-03,1.36434
LC1 N:02_0_N Comdty,1971-03-04,1.36741
LC1 N:02_0_N Comdty,1971-03-05,1.36735
LC1 N:02_0_N Comdty,1971-03-08,1.36051
LC1 N:02_0_N Comdty,1971-03-09,1.36452
LC1 N:02_0_N Comdty,1971-03-10,1.36437
LC1 N:02_0_N Comdty,1971-03-11,1.36456
LC1 N:02_0_N Comdty,1971-03-12,1.36342
LC1 N:02_0_N Comdty,1971-03-15,1.39118
LC1 N:02_0_N Comdty,1971-03-16,1.38789
LC1 N:02_0_N Comdty,1971-03-17,1.37906
LC1 N:02_0_N Comdty,1971-03-18,1.3905
LC1 N:02_0_N Comdty,1971-03-19,1.39229
LC1 N:02_0_N Comdty,1971-03-22,1.403
LC1 N:02_0_N Comdty,1971-03-23,1.41163
LC1 N:02_0_N Comdty,1971-03-24,1.41687
LC1 N:02_0_N Comdty,1971-03-25,1.41583
LC1 N:02_0_N Comdty,1971-03-26,1.40369
LC1 N:02_0_N Comdty,1971-03-29,1.4168
LC1 N:02_0_N Comdty,1971-03-30,1.4101
LC1 N:02_0_N Comdty,1971-03-31,1.41211
LC1 N:02_0_N Comdty,1971-04-01,1.4347
LC1 N:02_0_N Comdty,1971-04-02,1.44409
LC1 N:02_0_N Comdty,1971-04-05,1.41375
LC1 N:02_0_N Comdty,1971-04-06,1.40203
LC1 N:02_0_N Comdty,1971-04-07,1.40372
LC1 N:02_0_N Comdty,1971-04-08,1.41155
LC1 N:02_0_N Comdty,1971-04-12,1.42872
LC1 N:02_0_N Comdty,1971-04-13,1.42931
LC1 N:02_0_N Comdty,1971-04-14,1.42517
LC1 N:02_0_N Comdty,1971-04-15,1.41229
LC1 N:02_0_N Comdty,1971-04-16,1.41533
LC1 N:02_0_N Comdty,1971-04-19,1.39381
LC1 N:02_0_N Comdty,1971-04-20,1.38801
LC1 N:02_0_N Comdty,1971-04-21,1.39561
LC1 N:02_0_N Comdty,1971-04-22,1.40379
LC1 N:02_0_N Comdty,1971-04-23,1.39293
LC1 N:02_0_N Comdty,1971-04-26,1.37948
LC1 N:02_0_N Comdty,1971-04-27,1.38643
LC1 N:02_0_N Comdty,1971-04-28,1.38966
LC1 N:02_0_N Comdty,1971-04-29,1.39073
LC1 N:02_0_N Comdty,1971-04-30,1.38865
LC1 N:02_0_N Comdty,1971-05-03,1.40463
LC1 N:02_0_N Comdty,1971-05-04,1.40775
LC1 N:02_0_N Comdty,1971-05-05,1.35879
LC1 N:02_0_N Comdty,1971-05-06,1.35939
LC1 N:02_0_N Comdty,1971-05-07,1.3581
LC1 N:02_0_N Comdty,1971-05-10,1.34729
LC1 N:02_0_N Comdty,1971-05-11,1.34709
LC1 N:02_0_N Comdty,1971-05-12,1.34278
LC1 N:02_0_N Comdty,1971-05-13,1.34009
LC1 N:02_0_N Comdty,1971-05-14,1.34418
LC1 N:02_0_N Comdty,1971-05-17,1.33993
LC1 N:02_0_N Comdty,1971-05-18,1.33447
LC1 N:02_0_N Comdty,1971-05-19,1.33836
LC1 N:02_0_N Comdty,1971-05-20,1.34459
LC1 N:02_0_N Comdty,1971-05-21,1.35335
LC1 N:02_0_N Comdty,1971-05-24,1.35564
LC1 N:02_0_N Comdty,1971-05-25,1.3609
LC1 N:02_0_N Comdty,1971-05-26,1.35728
LC1 N:02_0_N Comdty,1971-05-27,1.36169
LC1 N:02_0_N Comdty,1971-05-28,1.36518
LC1 N:02_0_N Comdty,1971-06-01,1.36829
LC1 N:02_0_N Comdty,1971-06-02,1.35488
LC1 N:02_0_N Comdty,1971-06-03,1.34963
LC1 N:02_0_N Comdty,1971-06-04,1.35204
LC1 N:02_0_N Comdty,1971-06-07,1.2744
LC1 N:02_0_N Comdty,1971-06-08,1.2688
LC1 N:02_0_N Comdty,1971-06-09,1.26204
LC1 N:02_0_N Comdty,1971-06-10,1.26434
LC1 N:02_0_N Comdty,1971-06-11,1.2705
LC1 N:02_0_N Comdty,1971-06-14,1.25975
LC1 N:02_0_N Comdty,1971-06-15,1.25915
LC1 N:02_0_N Comdty,1971-06-16,1.26607
LC1 N:02_0_N Comdty,1971-06-17,1.2763
LC1 N:02_0_N Comdty,1971-06-18,1.26681
LC1 N:02_0_N Comdty,1971-06-21,1.26471
LC1 N:02_0_N Comdty,1971-06-22,1.26365
LC1 N:02_0_N Comdty,1971-06-23,1.25081
LC1 N:02_0_N Comdty,1971-06-24,1.25174
LC1 N:02_0_N Comdty,1971-06-25,1.24777
LC1 N:02_0_N Comdty,1971-06-28,1.25402
LC1 N:02_0_N Comdty,1971-06-29,1.25615
LC1 N:02_0_N Comdty,1971-06-30,1.25836
LC1 N:02_0_N Comdty,1971-07-01,1.2597
LC1 N:02_0_N Comdty,1971-07-02,1.26451
LC1 N:02_0_N Comdty,1971-07-06,1.25984
LC1 N:02_0_N Comdty,1971-07-07,1.26739
LC1 N:02_0_N Comdty,1971-07-08,1.26742
LC1 N:02_0_N Comdty,1971-07-09,1.28008
LC1 N:02_0_N Comdty,1971-07-12,1.28928
LC1 N:02_0_N Comdty,1971-07-13,1.28244
LC1 N:02_0_N Comdty,1971-07-14,1.29087
LC1 N:02_0_N Comdty,1971-07-15,1.29163
LC1 N:02_0_N Comdty,1971-07-16,1.30272
LC1 N:02_0_N Comdty,1971-07-19,1.32974
LC1 N:02_0_N Comdty,1971-07-20,1.33159
LC1 N:02_0_N Comdty,1971-07-21,1.34106
LC1 N:02_0_N Comdty,1971-07-22,1.34143
LC1 N:02_0_N Comdty,1971-07-23,1.34756
LC1 N:02_0_N Comdty,1971-07-26,1.34947
LC1 N:02_0_N Comdty,1971-07-27,1.34232
LC1 N:02_0_N Comdty,1971-07-28,1.34103
LC1 N:02_0_N Comdty,1971-07-29,1.35283
LC1 N:02_0_N Comdty,1971-07-30,1.35764
LC1 N:02_0_N Comdty,1971-08-02,1.37963
LC1 N:02_0_N Comdty,1971-08-03,1.38505
LC1 N:02_0_N Comdty,1971-08-04,1.36643
LC1 N:02_0_N Comdty,1971-08-05,1.37891
LC1 N:02_0_N Comdty,1971-08-06,1.38987
LC1 N:02_0_N Comdty,1971-08-09,1.31729
LC1 N:02_0_N Comdty,1971-08-10,1.31384
LC1 N:02_0_N Comdty,1971-08-11,1.32153
LC1 N:02_0_N Comdty,1971-08-12,1.32827
LC1 N:02_0_N Comdty,1971-08-13,1.33683
LC1 N:02_0_N Comdty,1971-08-16,1.32667
LC1 N:02_0_N Comdty,1971-08-17,1.32362
LC1 N:02_0_N Comdty,1971-08-18,1.32464
LC1 N:02_0_N Comdty,1971-08-19,1.31448
LC1 N:02_0_N Comdty,1971-08-20,1.31448
LC1 N:02_0_N Comdty,1971-08-23,1.28881
LC1 N:02_0_N Comdty,1971-08-24,1.28329
LC1 N:02_0_N Comdty,1971-08-25,1.28287
LC1 N:02_0_N Comdty,1971-08-26,1.28767
LC1 N:02_0_N Comdty,1971-08-27,1.29228
LC1 N:02_0_N Comdty,1971-08-30,1.28906
LC1 N:02_0_N Comdty,1971-08-31,1.28394
LC1 N:02_0_N Comdty,1971-09-01,1.28477
LC1 N:02_0_N Comdty,1971-09-02,1.29174
LC1 N:02_0_N Comdty,1971-09-03,1.28522
LC1 N:02_0_N Comdty,1971-09-07,1.29297
LC1 N:02_0_N Comdty,1971-09-08,1.28781
LC1 N:02_0_N Comdty,1971-09-09,1.29731
LC1 N:02_0_N Comdty,1971-09-10,1.29283
LC1 N:02_0_N Comdty,1971-09-13,1.29448
LC1 N:02_0_N Comdty,1971-09-14,1.27571
LC1 N:02_0_N Comdty,1971-09-15,1.27031
LC1 N:02_0_N Comdty,1971-09-16,1.27253
LC1 N:02_0_N Comdty,1971-09-17,1.28163
LC1 N:02_0_N Comdty,1971-09-20,1.27581
LC1 N:02_0_N Comdty,1971-09-21,1.28098
LC1 N:02_0_N Comdty,1971-09-22,1.27681
LC1 N:02_0_N Comdty,1971-09-23,1.27393
LC1 N:02_0_N Comdty,1971-09-24,1.29614
LC1 N:02_0_N Comdty,1971-09-27,1.29386
LC1 N:02_0_N Comdty,1971-09-28,1.28765
LC1 N:02_0_N Comdty,1971-09-29,1.28384
LC1 N:02_0_N Comdty,1971-09-30,1.28805
LC1 N:02_0_N Comdty,1971-10-01,1.29156
LC1 N:02_0_N Comdty,1971-10-04,1.27212
LC1 N:02_0_N Comdty,1971-10-05,1.27202
LC1 N:02_0_N Comdty,1971-10-06,1.27522
