name,date,PX_LAST
MES1 N:02_0_N Index,2009-09-08,920.8149
MES1 N:02_0_N Index,2009-09-09,919.8904
MES1 N:02_0_N Index,2009-09-10,931.8546
MES1 N:02_0_N Index,2009-09-11,926.5188
MES1 N:02_0_N Index,2009-09-14,928.40879
MES1 N:02_0_N Index,2009-09-15,935.28747
MES1 N:02_0_N Index,2009-09-16,956.7672
MES1 N:02_0_N Index,2009-09-17,947.692
MES1 N:02_0_N Index,2009-09-18,948.35853
MES1 N:02_0_N Index,2009-09-21,945.43685
MES1 N:02_0_N Index,2009-09-22,953.3997
MES1 N:02_0_N Index,2009-09-23,941.81232
MES1 N:02_0_N Index,2009-09-24,923.00325
MES1 N:02_0_N Index,2009-09-25,927.86025
MES1 N:02_0_N Index,2009-09-28,945.36868
MES1 N:02_0_N Index,2009-09-29,948.672
MES1 N:02_0_N Index,2009-09-30,955.653
MES1 N:02_0_N Index,2009-10-01,934.59547
MES1 N:02_0_N Index,2009-10-02,927.07065
MES1 N:02_0_N Index,2009-10-05,950.62275
MES1 N:02_0_N Index,2009-10-06,959.5905
MES1 N:02_0_N Index,2009-10-07,965.9428
MES1 N:02_0_N Index,2009-10-08,971.226
MES1 N:02_0_N Index,2009-10-09,981.288
MES1 N:02_0_N Index,2009-10-12,979.42673
MES1 N:02_0_N Index,2009-10-13,977.29882
MES1 N:02_0_N Index,2009-10-14,1004.68844
MES1 N:02_0_N Index,2009-10-15,996.19506
MES1 N:02_0_N Index,2009-10-16,986.7327
MES1 N:02_0_N Index,2009-10-19,1000.14
MES1 N:02_0_N Index,2009-10-20,987.32776
MES1 N:02_0_N Index,2009-10-21,971.70734
MES1 N:02_0_N Index,2009-10-22,982.43233
MES1 N:02_0_N Index,2009-10-23,974.0907
MES1 N:02_0_N Index,2009-10-26,975.99207
MES1 N:02_0_N Index,2009-10-27,962.32786
MES1 N:02_0_N Index,2009-10-28,925.8128
MES1 N:02_0_N Index,2009-10-29,956.45743
MES1 N:02_0_N Index,2009-10-30,918.25935
MES1 N:02_0_N Index,2009-11-02,930.78175
MES1 N:02_0_N Index,2009-11-03,935.60265
MES1 N:02_0_N Index,2009-11-04,948.5135
MES1 N:02_0_N Index,2009-11-05,959.81516
MES1 N:02_0_N Index,2009-11-06,961.84275
MES1 N:02_0_N Index,2009-11-09,985.83875
MES1 N:02_0_N Index,2009-11-10,983.56632
MES1 N:02_0_N Index,2009-11-11,989.01307
MES1 N:02_0_N Index,2009-11-12,975.072
MES1 N:02_0_N Index,2009-11-13,981.87921
MES1 N:02_0_N Index,2009-11-16,1005.6703
MES1 N:02_0_N Index,2009-11-17,1011.27624
MES1 N:02_0_N Index,2009-11-18,994.9357
MES1 N:02_0_N Index,2009-11-19,982.9716
MES1 N:02_0_N Index,2009-11-20,985.49038
MES1 N:02_0_N Index,2009-11-23,997.49535
MES1 N:02_0_N Index,2009-11-24,987.96585
MES1 N:02_0_N Index,2009-11-25,989.6923
MES1 N:02_0_N Index,2009-11-27,957.17036
MES1 N:02_0_N Index,2009-11-30,964.0354
MES1 N:02_0_N Index,2009-12-01,984.41595
MES1 N:02_0_N Index,2009-12-02,992.2806
MES1 N:02_0_N Index,2009-12-03,981.71892
MES1 N:02_0_N Index,2009-12-04,1002.846
MES1 N:02_0_N Index,2009-12-07,998.3451
MES1 N:02_0_N Index,2009-12-08,991.61706
MES1 N:02_0_N Index,2009-12-09,999.6048
MES1 N:02_0_N Index,2009-12-10,999.5791
MES1 N:02_0_N Index,2009-12-11,1012.0792
MES1 N:02_0_N Index,2009-12-14,1015.91968
MES1 N:02_0_N Index,2009-12-15,1016.28252
MES1 N:02_0_N Index,2009-12-16,1014.4495
MES1 N:02_0_N Index,2009-12-17,1006.33252
MES1 N:02_0_N Index,2009-12-18,996.5425
MES1 N:02_0_N Index,2009-12-21,996.53364
MES1 N:02_0_N Index,2009-12-22,1006.80373
MES1 N:02_0_N Index,2009-12-23,1008.45
MES1 N:02_0_N Index,2009-12-24,1018.122
MES1 N:02_0_N Index,2009-12-28,1024.9826
