name,date,PX_LAST
NI1 N:02_0_N Index,1989-09-18,398.92389
NI1 N:02_0_N Index,1989-09-19,407.07389
NI1 N:02_0_N Index,1989-09-20,406.94631
NI1 N:02_0_N Index,1989-09-21,409.83355
NI1 N:02_0_N Index,1989-09-22,410.18571
NI1 N:02_0_N Index,1989-09-25,414.07582
NI1 N:02_0_N Index,1989-09-26,414.27685
NI1 N:02_0_N Index,1989-09-27,416.06714
NI1 N:02_0_N Index,1989-09-28,418.38212
NI1 N:02_0_N Index,1989-09-29,417.44089
NI1 N:02_0_N Index,1989-10-02,417.36419
NI1 N:02_0_N Index,1989-10-03,409.80153
NI1 N:02_0_N Index,1989-10-04,411.86538
NI1 N:02_0_N Index,1989-10-05,410.57202
NI1 N:02_0_N Index,1989-10-06,410.16507
NI1 N:02_0_N Index,1989-10-09,412.6057
NI1 N:02_0_N Index,1989-10-11,410.52244
NI1 N:02_0_N Index,1989-10-12,410.12864
NI1 N:02_0_N Index,1989-10-13,412.06824
NI1 N:02_0_N Index,1989-10-16,402.52362
NI1 N:02_0_N Index,1989-10-17,405.81763
NI1 N:02_0_N Index,1989-10-18,404.99843
NI1 N:02_0_N Index,1989-10-19,406.21416
NI1 N:02_0_N Index,1989-10-20,407.47126
NI1 N:02_0_N Index,1989-10-23,409.01826
NI1 N:02_0_N Index,1989-10-24,408.32398
NI1 N:02_0_N Index,1989-10-25,406.4994
NI1 N:02_0_N Index,1989-10-26,407.27635
NI1 N:02_0_N Index,1989-10-27,402.5307
NI1 N:02_0_N Index,1989-10-30,402.73918
NI1 N:02_0_N Index,1989-10-31,404.61476
NI1 N:02_0_N Index,1989-11-01,402.73873
NI1 N:02_0_N Index,1989-11-02,402.54214
NI1 N:02_0_N Index,1989-11-06,401.4724
NI1 N:02_0_N Index,1989-11-07,400.30237
NI1 N:02_0_N Index,1989-11-08,404.25
NI1 N:02_0_N Index,1989-11-09,405.36824
NI1 N:02_0_N Index,1989-11-10,409.31072
NI1 N:02_0_N Index,1989-11-13,408.88136
NI1 N:02_0_N Index,1989-11-14,407.30725
NI1 N:02_0_N Index,1989-11-15,405.2137
NI1 N:02_0_N Index,1989-11-16,406.78526
NI1 N:02_0_N Index,1989-11-17,406.02216
NI1 N:02_0_N Index,1989-11-20,406.2609
NI1 N:02_0_N Index,1989-11-21,406.40438
NI1 N:02_0_N Index,1989-11-22,408.24914
NI1 N:02_0_N Index,1989-11-24,412.13449
NI1 N:02_0_N Index,1989-11-27,414.92211
NI1 N:02_0_N Index,1989-11-28,411.60409
NI1 N:02_0_N Index,1989-11-29,414.35741
NI1 N:02_0_N Index,1989-11-30,415.27559
NI1 N:02_0_N Index,1989-12-01,413.0373
NI1 N:02_0_N Index,1989-12-04,416.99401
NI1 N:02_0_N Index,1989-12-05,415.24652
NI1 N:02_0_N Index,1989-12-06,416.72508
NI1 N:02_0_N Index,1989-12-07,417.82159
NI1 N:02_0_N Index,1989-12-08,417.7195
NI1 N:02_0_N Index,1989-12-11,418.70135
NI1 N:02_0_N Index,1989-12-12,416.48673
NI1 N:02_0_N Index,1989-12-13,418.08006
NI1 N:02_0_N Index,1989-12-14,415.90895
NI1 N:02_0_N Index,1989-12-15,412.15054
NI1 N:02_0_N Index,1989-12-18,416.83718
NI1 N:02_0_N Index,1989-12-19,425.38304
NI1 N:02_0_N Index,1989-12-20,425.93911
NI1 N:02_0_N Index,1989-12-21,422.73083
NI1 N:02_0_N Index,1989-12-22,419.74662
NI1 N:02_0_N Index,1989-12-26,433.05797
NI1 N:02_0_N Index,1989-12-27,429.83139
NI1 N:02_0_N Index,1989-12-28,426.40982
NI1 N:02_0_N Index,1989-12-29,424.95379
NI1 N:02_0_N Index,1990-01-04,421.50366
NI1 N:02_0_N Index,1990-01-05,414.60099
NI1 N:02_0_N Index,1990-01-08,410.82325
NI1 N:02_0_N Index,1990-01-09,404.4657
NI1 N:02_0_N Index,1990-01-10,398.30034
NI1 N:02_0_N Index,1990-01-11,401.46891
NI1 N:02_0_N Index,1990-01-12,393.15423
NI1 N:02_0_N Index,1990-01-16,388.5067
NI1 N:02_0_N Index,1990-01-17,388.35143
NI1 N:02_0_N Index,1990-01-18,385.96421
NI1 N:02_0_N Index,1990-01-19,387.9574
NI1 N:02_0_N Index,1990-01-22,396.73182
NI1 N:02_0_N Index,1990-01-23,389.98042
NI1 N:02_0_N Index,1990-01-24,382.87827
NI1 N:02_0_N Index,1990-01-25,385.90943
NI1 N:02_0_N Index,1990-01-26,390.2533
NI1 N:02_0_N Index,1990-01-30,388.73609
NI1 N:02_0_N Index,1990-01-31,389.86427
NI1 N:02_0_N Index,1990-02-01,388.45669
NI1 N:02_0_N Index,1990-02-02,390.21059
NI1 N:02_0_N Index,1990-02-05,385.90674
NI1 N:02_0_N Index,1990-02-06,386.49943
NI1 N:02_0_N Index,1990-02-07,384.25101
NI1 N:02_0_N Index,1990-02-08,387.219
NI1 N:02_0_N Index,1990-02-09,387.44669
