name,date,PX_LAST
OAT1 N:02_0_N Comdty,2012-04-16,125.28
OAT1 N:02_0_N Comdty,2012-04-17,125.28
OAT1 N:02_0_N Comdty,2012-04-18,125.36
OAT1 N:02_0_N Comdty,2012-04-19,124.58
OAT1 N:02_0_N Comdty,2012-04-20,124.56
OAT1 N:02_0_N Comdty,2012-04-23,124.53
OAT1 N:02_0_N Comdty,2012-04-24,125.05
OAT1 N:02_0_N Comdty,2012-04-25,125.61
OAT1 N:02_0_N Comdty,2012-04-26,125.8
OAT1 N:02_0_N Comdty,2012-04-27,125.72
OAT1 N:02_0_N Comdty,2012-04-30,126.13
OAT1 N:02_0_N Comdty,2012-05-02,126.12
OAT1 N:02_0_N Comdty,2012-05-03,126.73
OAT1 N:02_0_N Comdty,2012-05-04,127.38
OAT1 N:02_0_N Comdty,2012-05-07,127.77
OAT1 N:02_0_N Comdty,2012-05-08,127.6
OAT1 N:02_0_N Comdty,2012-05-09,127.15
OAT1 N:02_0_N Comdty,2012-05-10,127.55
OAT1 N:02_0_N Comdty,2012-05-11,127.71
OAT1 N:02_0_N Comdty,2012-05-14,127.42
OAT1 N:02_0_N Comdty,2012-05-15,126.79
OAT1 N:02_0_N Comdty,2012-05-16,126.93
OAT1 N:02_0_N Comdty,2012-05-17,127.18
OAT1 N:02_0_N Comdty,2012-05-18,127.38
OAT1 N:02_0_N Comdty,2012-05-21,127.38
OAT1 N:02_0_N Comdty,2012-05-22,128.02
OAT1 N:02_0_N Comdty,2012-05-23,128.63
OAT1 N:02_0_N Comdty,2012-05-24,130.42
OAT1 N:02_0_N Comdty,2012-05-25,130.8
OAT1 N:02_0_N Comdty,2012-05-28,130.58
OAT1 N:02_0_N Comdty,2012-05-29,130.82
OAT1 N:02_0_N Comdty,2012-05-30,130.89
OAT1 N:02_0_N Comdty,2012-05-31,132.65
OAT1 N:02_0_N Comdty,2012-06-01,133.89
OAT1 N:02_0_N Comdty,2012-06-04,133.39
OAT1 N:02_0_N Comdty,2012-06-05,133.01
OAT1 N:02_0_N Comdty,2012-06-06,130.61
OAT1 N:02_0_N Comdty,2012-06-07,129.08
OAT1 N:02_0_N Comdty,2012-06-08,129.45
OAT1 N:02_0_N Comdty,2012-06-11,129.08
OAT1 N:02_0_N Comdty,2012-06-12,127.65
OAT1 N:02_0_N Comdty,2012-06-13,127.54
OAT1 N:02_0_N Comdty,2012-06-14,127.95
OAT1 N:02_0_N Comdty,2012-06-15,128.93
OAT1 N:02_0_N Comdty,2012-06-18,128.65
OAT1 N:02_0_N Comdty,2012-06-19,128.22
OAT1 N:02_0_N Comdty,2012-06-20,128.03
OAT1 N:02_0_N Comdty,2012-06-21,128.29
OAT1 N:02_0_N Comdty,2012-06-22,128.79
OAT1 N:02_0_N Comdty,2012-06-25,128.93
OAT1 N:02_0_N Comdty,2012-06-26,128.59
OAT1 N:02_0_N Comdty,2012-06-27,128.44
OAT1 N:02_0_N Comdty,2012-06-28,128.15
OAT1 N:02_0_N Comdty,2012-06-29,128.05
OAT1 N:02_0_N Comdty,2012-07-02,129.04
OAT1 N:02_0_N Comdty,2012-07-03,129.44
OAT1 N:02_0_N Comdty,2012-07-04,129.53
OAT1 N:02_0_N Comdty,2012-07-05,129.93
OAT1 N:02_0_N Comdty,2012-07-06,131.24
OAT1 N:02_0_N Comdty,2012-07-09,130.8
OAT1 N:02_0_N Comdty,2012-07-10,131.05
OAT1 N:02_0_N Comdty,2012-07-11,131.82
OAT1 N:02_0_N Comdty,2012-07-12,132.56
OAT1 N:02_0_N Comdty,2012-07-13,132.61
OAT1 N:02_0_N Comdty,2012-07-16,133.55
OAT1 N:02_0_N Comdty,2012-07-17,134.14
OAT1 N:02_0_N Comdty,2012-07-18,133.87
OAT1 N:02_0_N Comdty,2012-07-19,134.33
OAT1 N:02_0_N Comdty,2012-07-20,134.27
OAT1 N:02_0_N Comdty,2012-07-23,133.34
OAT1 N:02_0_N Comdty,2012-07-24,132.5
OAT1 N:02_0_N Comdty,2012-07-25,132.18
OAT1 N:02_0_N Comdty,2012-07-26,132.81
OAT1 N:02_0_N Comdty,2012-07-27,132.7
OAT1 N:02_0_N Comdty,2012-07-30,133.11
OAT1 N:02_0_N Comdty,2012-07-31,134.26
OAT1 N:02_0_N Comdty,2012-08-01,133.86
OAT1 N:02_0_N Comdty,2012-08-02,134.34
OAT1 N:02_0_N Comdty,2012-08-03,133.94
OAT1 N:02_0_N Comdty,2012-08-06,133.94
OAT1 N:02_0_N Comdty,2012-08-07,133.62
OAT1 N:02_0_N Comdty,2012-08-08,133.92
OAT1 N:02_0_N Comdty,2012-08-09,133.96
OAT1 N:02_0_N Comdty,2012-08-10,134.43
OAT1 N:02_0_N Comdty,2012-08-13,134.26
OAT1 N:02_0_N Comdty,2012-08-14,134.15
OAT1 N:02_0_N Comdty,2012-08-15,133.6
OAT1 N:02_0_N Comdty,2012-08-16,133.78
OAT1 N:02_0_N Comdty,2012-08-17,133.98
OAT1 N:02_0_N Comdty,2012-08-20,133.95
OAT1 N:02_0_N Comdty,2012-08-21,133.68
OAT1 N:02_0_N Comdty,2012-08-22,134.07
OAT1 N:02_0_N Comdty,2012-08-23,134.76
OAT1 N:02_0_N Comdty,2012-08-24,134.97
OAT1 N:02_0_N Comdty,2012-08-27,134.84
OAT1 N:02_0_N Comdty,2012-08-28,134.85
OAT1 N:02_0_N Comdty,2012-08-29,134.38
OAT1 N:02_0_N Comdty,2012-08-30,134.23
OAT1 N:02_0_N Comdty,2012-08-31,134.12
OAT1 N:02_0_N Comdty,2012-09-03,133.64
OAT1 N:02_0_N Comdty,2012-09-04,133.6
OAT1 N:02_0_N Comdty,2012-09-05,132.97
OAT1 N:02_0_N Comdty,2012-09-06,132.58
OAT1 N:02_0_N Comdty,2012-09-07,133.15
OAT1 N:02_0_N Comdty,2012-09-10,132.75
OAT1 N:02_0_N Comdty,2012-09-11,133.57
OAT1 N:02_0_N Comdty,2012-09-12,133.28
OAT1 N:02_0_N Comdty,2012-09-13,133.65
OAT1 N:02_0_N Comdty,2012-09-14,132.77
OAT1 N:02_0_N Comdty,2012-09-17,132.6
OAT1 N:02_0_N Comdty,2012-09-18,132.92
OAT1 N:02_0_N Comdty,2012-09-19,132.86
OAT1 N:02_0_N Comdty,2012-09-20,132.83
OAT1 N:02_0_N Comdty,2012-09-21,132.84
OAT1 N:02_0_N Comdty,2012-09-24,133.01
OAT1 N:02_0_N Comdty,2012-09-25,132.72
OAT1 N:02_0_N Comdty,2012-09-26,133.58
OAT1 N:02_0_N Comdty,2012-09-27,133.58
OAT1 N:02_0_N Comdty,2012-09-28,133.95
OAT1 N:02_0_N Comdty,2012-10-01,133.67
OAT1 N:02_0_N Comdty,2012-10-02,133.71
OAT1 N:02_0_N Comdty,2012-10-03,133.75
OAT1 N:02_0_N Comdty,2012-10-04,133.87
OAT1 N:02_0_N Comdty,2012-10-05,133.91
OAT1 N:02_0_N Comdty,2012-10-08,134.0
OAT1 N:02_0_N Comdty,2012-10-09,134.45
OAT1 N:02_0_N Comdty,2012-10-10,134.82
OAT1 N:02_0_N Comdty,2012-10-11,134.95
OAT1 N:02_0_N Comdty,2012-10-12,135.27
OAT1 N:02_0_N Comdty,2012-10-15,135.43
OAT1 N:02_0_N Comdty,2012-10-16,134.87
OAT1 N:02_0_N Comdty,2012-10-17,134.41
OAT1 N:02_0_N Comdty,2012-10-18,134.51
OAT1 N:02_0_N Comdty,2012-10-19,134.85
OAT1 N:02_0_N Comdty,2012-10-22,134.7
OAT1 N:02_0_N Comdty,2012-10-23,134.62
OAT1 N:02_0_N Comdty,2012-10-24,134.54
OAT1 N:02_0_N Comdty,2012-10-25,134.44
OAT1 N:02_0_N Comdty,2012-10-26,134.54
OAT1 N:02_0_N Comdty,2012-10-29,134.57
OAT1 N:02_0_N Comdty,2012-10-30,134.64
OAT1 N:02_0_N Comdty,2012-10-31,134.61
OAT1 N:02_0_N Comdty,2012-11-01,134.81
OAT1 N:02_0_N Comdty,2012-11-02,134.86
OAT1 N:02_0_N Comdty,2012-11-05,134.98
OAT1 N:02_0_N Comdty,2012-11-06,135.16
