name,date,PX_LAST
QC1 N:02_0_N Index,2005-02-14,131.24347
QC1 N:02_0_N Index,2005-02-15,132.14037
QC1 N:02_0_N Index,2005-02-16,129.96606
QC1 N:02_0_N Index,2005-02-17,130.00376
QC1 N:02_0_N Index,2005-02-18,128.80406
QC1 N:02_0_N Index,2005-02-21,129.34133
QC1 N:02_0_N Index,2005-02-22,128.35943
QC1 N:02_0_N Index,2005-02-23,128.72313
QC1 N:02_0_N Index,2005-02-24,130.06155
QC1 N:02_0_N Index,2005-02-25,131.25391
QC1 N:02_0_N Index,2005-02-28,130.73841
QC1 N:02_0_N Index,2005-03-01,131.3106
QC1 N:02_0_N Index,2005-03-02,131.89043
QC1 N:02_0_N Index,2005-03-03,133.19396
QC1 N:02_0_N Index,2005-03-04,134.14309
QC1 N:02_0_N Index,2005-03-07,134.28585
QC1 N:02_0_N Index,2005-03-08,133.34169
QC1 N:02_0_N Index,2005-03-09,133.23124
QC1 N:02_0_N Index,2005-03-10,130.97619
QC1 N:02_0_N Index,2005-03-11,131.68885
QC1 N:02_0_N Index,2005-03-14,132.17896
QC1 N:02_0_N Index,2005-03-15,132.85432
QC1 N:02_0_N Index,2005-03-16,130.37552
QC1 N:02_0_N Index,2005-03-17,130.42096
QC1 N:02_0_N Index,2005-03-18,129.94512
QC1 N:02_0_N Index,2005-03-21,129.10055
QC1 N:02_0_N Index,2005-03-22,128.80605
QC1 N:02_0_N Index,2005-03-23,129.21557
QC1 N:02_0_N Index,2005-03-24,129.71917
QC1 N:02_0_N Index,2005-03-29,129.64261
QC1 N:02_0_N Index,2005-03-30,128.74325
QC1 N:02_0_N Index,2005-03-31,128.74579
QC1 N:02_0_N Index,2005-04-01,130.0842
QC1 N:02_0_N Index,2005-04-04,129.6394
QC1 N:02_0_N Index,2005-04-05,130.58765
QC1 N:02_0_N Index,2005-04-06,131.74624
QC1 N:02_0_N Index,2005-04-07,132.03504
QC1 N:02_0_N Index,2005-04-08,132.24667
QC1 N:02_0_N Index,2005-04-11,132.82763
QC1 N:02_0_N Index,2005-04-12,132.52181
QC1 N:02_0_N Index,2005-04-13,133.69586
QC1 N:02_0_N Index,2005-04-14,134.4212
QC1 N:02_0_N Index,2005-04-15,132.46005
QC1 N:02_0_N Index,2005-04-18,129.43185
QC1 N:02_0_N Index,2005-04-19,129.61139
QC1 N:02_0_N Index,2005-04-20,129.57294
QC1 N:02_0_N Index,2005-04-21,128.98405
QC1 N:02_0_N Index,2005-04-22,131.52463
QC1 N:02_0_N Index,2005-04-25,131.5295
QC1 N:02_0_N Index,2005-04-26,130.54961
QC1 N:02_0_N Index,2005-04-27,127.29645
QC1 N:02_0_N Index,2005-04-28,125.19131
QC1 N:02_0_N Index,2005-04-29,125.03584
QC1 N:02_0_N Index,2005-05-02,126.4997
QC1 N:02_0_N Index,2005-05-03,127.05318
QC1 N:02_0_N Index,2005-05-04,127.48206
QC1 N:02_0_N Index,2005-05-06,129.54892
QC1 N:02_0_N Index,2005-05-09,129.67476
QC1 N:02_0_N Index,2005-05-10,128.35888
QC1 N:02_0_N Index,2005-05-11,127.55183
