name,date,PX_LAST
RX1 N:02_0_N Comdty,1990-11-23,70.4445
RX1 N:02_0_N Comdty,1990-11-26,70.58752
RX1 N:02_0_N Comdty,1990-11-27,70.71324
RX1 N:02_0_N Comdty,1990-11-28,70.84368
RX1 N:02_0_N Comdty,1990-11-29,70.70555
RX1 N:02_0_N Comdty,1990-11-30,70.65002
RX1 N:02_0_N Comdty,1990-12-06,70.94121
RX1 N:02_0_N Comdty,1990-12-07,71.26105
RX1 N:02_0_N Comdty,1990-12-10,71.42766
RX1 N:02_0_N Comdty,1990-12-11,71.68374
RX1 N:02_0_N Comdty,1990-12-12,71.75366
RX1 N:02_0_N Comdty,1990-12-13,72.11162
RX1 N:02_0_N Comdty,1990-12-14,72.09312
RX1 N:02_0_N Comdty,1990-12-17,71.80236
RX1 N:02_0_N Comdty,1990-12-18,71.66409
RX1 N:02_0_N Comdty,1990-12-19,72.05113
RX1 N:02_0_N Comdty,1990-12-20,71.13859
RX1 N:02_0_N Comdty,1990-12-21,70.49649
RX1 N:02_0_N Comdty,1990-12-27,70.1911
RX1 N:02_0_N Comdty,1990-12-28,70.17164
RX1 N:02_0_N Comdty,1991-01-02,69.31088
RX1 N:02_0_N Comdty,1991-01-03,69.95573
RX1 N:02_0_N Comdty,1991-01-04,69.71887
RX1 N:02_0_N Comdty,1991-01-07,69.00807
RX1 N:02_0_N Comdty,1991-01-08,69.06398
RX1 N:02_0_N Comdty,1991-01-09,69.45798
RX1 N:02_0_N Comdty,1991-01-10,69.17635
RX1 N:02_0_N Comdty,1991-01-11,68.7259
RX1 N:02_0_N Comdty,1991-01-14,68.09693
RX1 N:02_0_N Comdty,1991-01-15,68.45921
RX1 N:02_0_N Comdty,1991-01-16,68.33203
RX1 N:02_0_N Comdty,1991-01-18,69.54426
RX1 N:02_0_N Comdty,1991-01-21,69.16815
RX1 N:02_0_N Comdty,1991-01-22,69.61759
RX1 N:02_0_N Comdty,1991-01-23,69.71767
RX1 N:02_0_N Comdty,1991-01-24,70.71963
RX1 N:02_0_N Comdty,1991-01-25,70.61919
RX1 N:02_0_N Comdty,1991-01-28,70.68644
RX1 N:02_0_N Comdty,1991-01-29,70.89306
RX1 N:02_0_N Comdty,1991-01-30,71.35367
RX1 N:02_0_N Comdty,1991-01-31,71.48946
RX1 N:02_0_N Comdty,1991-02-01,71.88112
RX1 N:02_0_N Comdty,1991-02-04,71.9865
RX1 N:02_0_N Comdty,1991-02-05,72.67685
RX1 N:02_0_N Comdty,1991-02-06,72.35315
RX1 N:02_0_N Comdty,1991-02-07,72.6557
RX1 N:02_0_N Comdty,1991-02-08,72.68837
RX1 N:02_0_N Comdty,1991-02-11,72.83892
RX1 N:02_0_N Comdty,1991-02-12,72.76564
RX1 N:02_0_N Comdty,1991-02-13,72.92608
RX1 N:02_0_N Comdty,1991-02-14,73.71577
RX1 N:02_0_N Comdty,1991-02-15,73.73551
RX1 N:02_0_N Comdty,1991-02-18,73.91142
RX1 N:02_0_N Comdty,1991-02-19,73.77423
RX1 N:02_0_N Comdty,1991-02-20,73.22545
RX1 N:02_0_N Comdty,1991-02-21,73.10773
RX1 N:02_0_N Comdty,1991-02-22,73.29294
RX1 N:02_0_N Comdty,1991-02-25,73.35803
RX1 N:02_0_N Comdty,1991-02-26,73.25171
RX1 N:02_0_N Comdty,1991-02-27,73.7548
RX1 N:02_0_N Comdty,1991-02-28,74.33094
RX1 N:02_0_N Comdty,1991-03-01,73.76898
RX1 N:02_0_N Comdty,1991-03-04,74.14899
RX1 N:02_0_N Comdty,1991-03-05,74.22733
RX1 N:02_0_N Comdty,1991-03-06,74.81207
RX1 N:02_0_N Comdty,1991-03-07,75.07658
RX1 N:02_0_N Comdty,1991-03-08,75.04095
RX1 N:02_0_N Comdty,1991-03-11,74.24987
RX1 N:02_0_N Comdty,1991-03-12,74.3237
RX1 N:02_0_N Comdty,1991-03-13,74.3227
RX1 N:02_0_N Comdty,1991-03-14,74.18847
RX1 N:02_0_N Comdty,1991-03-15,73.91068
RX1 N:02_0_N Comdty,1991-03-18,73.47069
RX1 N:02_0_N Comdty,1991-03-19,73.11778
RX1 N:02_0_N Comdty,1991-03-20,73.06085
RX1 N:02_0_N Comdty,1991-03-21,73.14788
RX1 N:02_0_N Comdty,1991-03-22,72.68029
RX1 N:02_0_N Comdty,1991-03-25,72.33083
RX1 N:02_0_N Comdty,1991-03-26,71.68429
RX1 N:02_0_N Comdty,1991-03-27,71.94054
RX1 N:02_0_N Comdty,1991-03-28,72.35695
RX1 N:02_0_N Comdty,1991-04-02,72.1617
RX1 N:02_0_N Comdty,1991-04-03,72.29921
RX1 N:02_0_N Comdty,1991-04-04,72.02784
RX1 N:02_0_N Comdty,1991-04-05,72.3766
RX1 N:02_0_N Comdty,1991-04-08,72.96673
RX1 N:02_0_N Comdty,1991-04-09,72.72898
RX1 N:02_0_N Comdty,1991-04-10,72.7268
RX1 N:02_0_N Comdty,1991-04-11,72.76808
RX1 N:02_0_N Comdty,1991-04-12,73.02765
RX1 N:02_0_N Comdty,1991-04-15,72.91988
RX1 N:02_0_N Comdty,1991-04-16,72.78192
RX1 N:02_0_N Comdty,1991-04-17,73.08996
RX1 N:02_0_N Comdty,1991-04-18,73.16271
RX1 N:02_0_N Comdty,1991-04-19,72.20262
RX1 N:02_0_N Comdty,1991-04-22,71.35118
RX1 N:02_0_N Comdty,1991-04-23,71.58799
RX1 N:02_0_N Comdty,1991-04-24,71.49087
RX1 N:02_0_N Comdty,1991-04-25,71.59143
RX1 N:02_0_N Comdty,1991-04-26,71.81687
RX1 N:02_0_N Comdty,1991-04-29,71.65816
