name,date,PX_LAST
S 1 N:02_0_N Comdty,1971-01-04,12.86203
S 1 N:02_0_N Comdty,1971-01-05,12.95105
S 1 N:02_0_N Comdty,1971-01-06,12.91234
S 1 N:02_0_N Comdty,1971-01-07,12.89857
S 1 N:02_0_N Comdty,1971-01-08,13.05642
S 1 N:02_0_N Comdty,1971-01-11,13.08146
S 1 N:02_0_N Comdty,1971-01-12,13.13959
S 1 N:02_0_N Comdty,1971-01-13,13.16552
S 1 N:02_0_N Comdty,1971-01-14,13.12243
S 1 N:02_0_N Comdty,1971-01-15,13.39664
S 1 N:02_0_N Comdty,1971-01-18,13.26369
S 1 N:02_0_N Comdty,1971-01-19,13.32111
S 1 N:02_0_N Comdty,1971-01-20,13.39762
S 1 N:02_0_N Comdty,1971-01-21,13.26515
S 1 N:02_0_N Comdty,1971-01-22,13.32876
S 1 N:02_0_N Comdty,1971-01-25,13.3208
S 1 N:02_0_N Comdty,1971-01-26,13.33672
S 1 N:02_0_N Comdty,1971-01-27,13.2142
S 1 N:02_0_N Comdty,1971-01-28,13.14052
S 1 N:02_0_N Comdty,1971-01-29,13.20554
S 1 N:02_0_N Comdty,1971-02-01,13.18559
S 1 N:02_0_N Comdty,1971-02-02,13.25035
S 1 N:02_0_N Comdty,1971-02-03,13.24396
S 1 N:02_0_N Comdty,1971-02-04,13.18498
S 1 N:02_0_N Comdty,1971-02-05,13.15926
S 1 N:02_0_N Comdty,1971-02-08,13.04413
S 1 N:02_0_N Comdty,1971-02-09,13.08406
S 1 N:02_0_N Comdty,1971-02-10,13.09013
S 1 N:02_0_N Comdty,1971-02-11,13.16939
S 1 N:02_0_N Comdty,1971-02-12,13.20161
S 1 N:02_0_N Comdty,1971-02-16,13.06227
S 1 N:02_0_N Comdty,1971-02-17,13.1104
S 1 N:02_0_N Comdty,1971-02-18,13.18013
S 1 N:02_0_N Comdty,1971-02-19,13.11446
S 1 N:02_0_N Comdty,1971-02-22,13.07513
S 1 N:02_0_N Comdty,1971-02-23,13.0963
S 1 N:02_0_N Comdty,1971-02-24,13.03354
S 1 N:02_0_N Comdty,1971-02-25,13.30396
S 1 N:02_0_N Comdty,1971-02-26,13.25479
S 1 N:02_0_N Comdty,1971-03-01,13.19111
S 1 N:02_0_N Comdty,1971-03-02,13.21198
S 1 N:02_0_N Comdty,1971-03-03,13.21297
S 1 N:02_0_N Comdty,1971-03-04,13.24341
S 1 N:02_0_N Comdty,1971-03-05,13.2428
S 1 N:02_0_N Comdty,1971-03-08,13.19638
S 1 N:02_0_N Comdty,1971-03-09,13.22029
S 1 N:02_0_N Comdty,1971-03-10,13.30452
S 1 N:02_0_N Comdty,1971-03-11,13.23694
S 1 N:02_0_N Comdty,1971-03-12,13.23633
S 1 N:02_0_N Comdty,1971-03-15,13.23964
S 1 N:02_0_N Comdty,1971-03-16,13.21236
S 1 N:02_0_N Comdty,1971-03-17,12.96299
S 1 N:02_0_N Comdty,1971-03-18,13.03975
S 1 N:02_0_N Comdty,1971-03-19,12.98829
S 1 N:02_0_N Comdty,1971-03-22,12.9824
S 1 N:02_0_N Comdty,1971-03-23,13.03642
S 1 N:02_0_N Comdty,1971-03-24,13.06743
S 1 N:02_0_N Comdty,1971-03-25,13.07847
S 1 N:02_0_N Comdty,1971-03-26,13.08102
S 1 N:02_0_N Comdty,1971-03-29,13.04018
S 1 N:02_0_N Comdty,1971-03-30,12.87108
S 1 N:02_0_N Comdty,1971-03-31,12.90768
S 1 N:02_0_N Comdty,1971-04-01,12.74131
S 1 N:02_0_N Comdty,1971-04-02,12.76041
S 1 N:02_0_N Comdty,1971-04-05,12.59566
S 1 N:02_0_N Comdty,1971-04-06,12.60728
S 1 N:02_0_N Comdty,1971-04-07,12.54948
S 1 N:02_0_N Comdty,1971-04-08,12.441
S 1 N:02_0_N Comdty,1971-04-12,12.45027
S 1 N:02_0_N Comdty,1971-04-13,12.55596
S 1 N:02_0_N Comdty,1971-04-14,12.55225
