name,date,PX_LAST
SB1 N:02_0_N Comdty,1971-01-04,0.19388
SB1 N:02_0_N Comdty,1971-01-05,0.20006
SB1 N:02_0_N Comdty,1971-01-06,0.20436
SB1 N:02_0_N Comdty,1971-01-07,0.19827
SB1 N:02_0_N Comdty,1971-01-08,0.19485
SB1 N:02_0_N Comdty,1971-01-11,0.19999
SB1 N:02_0_N Comdty,1971-01-12,0.20213
SB1 N:02_0_N Comdty,1971-01-13,0.21375
SB1 N:02_0_N Comdty,1971-01-14,0.2103
SB1 N:02_0_N Comdty,1971-01-15,0.22012
SB1 N:02_0_N Comdty,1971-01-18,0.21945
SB1 N:02_0_N Comdty,1971-01-19,0.21073
SB1 N:02_0_N Comdty,1971-01-20,0.21505
SB1 N:02_0_N Comdty,1971-01-21,0.22154
SB1 N:02_0_N Comdty,1971-01-22,0.2167
SB1 N:02_0_N Comdty,1971-01-25,0.21632
SB1 N:02_0_N Comdty,1971-01-26,0.21794
SB1 N:02_0_N Comdty,1971-01-27,0.22561
SB1 N:02_0_N Comdty,1971-01-28,0.22349
SB1 N:02_0_N Comdty,1971-01-29,0.22856
SB1 N:02_0_N Comdty,1971-02-01,0.22043
SB1 N:02_0_N Comdty,1971-02-02,0.21914
SB1 N:02_0_N Comdty,1971-02-03,0.21354
SB1 N:02_0_N Comdty,1971-02-04,0.21268
SB1 N:02_0_N Comdty,1971-02-05,0.20582
SB1 N:02_0_N Comdty,1971-02-08,0.21275
SB1 N:02_0_N Comdty,1971-02-09,0.20668
SB1 N:02_0_N Comdty,1971-02-10,0.20283
SB1 N:02_0_N Comdty,1971-02-11,0.20495
SB1 N:02_0_N Comdty,1971-02-16,0.21527
SB1 N:02_0_N Comdty,1971-02-17,0.2114
SB1 N:02_0_N Comdty,1971-02-18,0.2114
SB1 N:02_0_N Comdty,1971-02-19,0.2131
SB1 N:02_0_N Comdty,1971-02-22,0.20835
SB1 N:02_0_N Comdty,1971-02-23,0.20791
SB1 N:02_0_N Comdty,1971-02-24,0.21249
SB1 N:02_0_N Comdty,1971-02-25,0.2089
SB1 N:02_0_N Comdty,1971-02-26,0.20846
SB1 N:02_0_N Comdty,1971-03-01,0.21149
SB1 N:02_0_N Comdty,1971-03-02,0.21096
SB1 N:02_0_N Comdty,1971-03-03,0.21132
SB1 N:02_0_N Comdty,1971-03-04,0.21405
SB1 N:02_0_N Comdty,1971-03-05,0.21878
SB1 N:02_0_N Comdty,1971-03-08,0.21897
SB1 N:02_0_N Comdty,1971-03-09,0.22022
SB1 N:02_0_N Comdty,1971-03-10,0.22467
SB1 N:02_0_N Comdty,1971-03-11,0.21764
SB1 N:02_0_N Comdty,1971-03-12,0.20559
SB1 N:02_0_N Comdty,1971-03-15,0.19868
SB1 N:02_0_N Comdty,1971-03-16,0.20211
SB1 N:02_0_N Comdty,1971-03-17,0.19993
SB1 N:02_0_N Comdty,1971-03-18,0.19858
SB1 N:02_0_N Comdty,1971-03-19,0.19337
SB1 N:02_0_N Comdty,1971-03-22,0.19208
SB1 N:02_0_N Comdty,1971-03-23,0.19767
SB1 N:02_0_N Comdty,1971-03-24,0.19765
