name,date,PX_LAST
SI1 N:02_0_N Comdty,1975-01-02,11.26328
SI1 N:02_0_N Comdty,1975-01-03,10.85542
SI1 N:02_0_N Comdty,1975-01-06,10.87172
SI1 N:02_0_N Comdty,1975-01-07,10.63097
SI1 N:02_0_N Comdty,1975-01-08,10.77311
SI1 N:02_0_N Comdty,1975-01-09,10.73269
SI1 N:02_0_N Comdty,1975-01-10,11.222
SI1 N:02_0_N Comdty,1975-01-13,11.06472
SI1 N:02_0_N Comdty,1975-01-14,11.54048
SI1 N:02_0_N Comdty,1975-01-15,11.1024
SI1 N:02_0_N Comdty,1975-01-16,10.79486
SI1 N:02_0_N Comdty,1975-01-17,10.26881
SI1 N:02_0_N Comdty,1975-01-20,10.36774
SI1 N:02_0_N Comdty,1975-01-21,9.99757
SI1 N:02_0_N Comdty,1975-01-22,10.22232
SI1 N:02_0_N Comdty,1975-01-23,10.6075
SI1 N:02_0_N Comdty,1975-01-24,10.76643
SI1 N:02_0_N Comdty,1975-01-27,10.20005
SI1 N:02_0_N Comdty,1975-01-28,10.60478
SI1 N:02_0_N Comdty,1975-01-29,10.8908
SI1 N:02_0_N Comdty,1975-01-30,10.5363
SI1 N:02_0_N Comdty,1975-01-31,10.24444
SI1 N:02_0_N Comdty,1975-02-03,10.44623
SI1 N:02_0_N Comdty,1975-02-04,10.49694
SI1 N:02_0_N Comdty,1975-02-05,10.56931
SI1 N:02_0_N Comdty,1975-02-06,10.67996
SI1 N:02_0_N Comdty,1975-02-07,10.91506
SI1 N:02_0_N Comdty,1975-02-10,10.48799
SI1 N:02_0_N Comdty,1975-02-11,10.83975
SI1 N:02_0_N Comdty,1975-02-13,11.18671
SI1 N:02_0_N Comdty,1975-02-14,11.17959
SI1 N:02_0_N Comdty,1975-02-18,11.22621
SI1 N:02_0_N Comdty,1975-02-19,11.2105
SI1 N:02_0_N Comdty,1975-02-20,11.39715
SI1 N:02_0_N Comdty,1975-02-21,11.1806
SI1 N:02_0_N Comdty,1975-02-24,11.13261
SI1 N:02_0_N Comdty,1975-02-25,10.65942
SI1 N:02_0_N Comdty,1975-02-26,10.7847
SI1 N:02_0_N Comdty,1975-02-27,10.69457
SI1 N:02_0_N Comdty,1975-02-28,10.8509
SI1 N:02_0_N Comdty,1975-03-03,10.92475
SI1 N:02_0_N Comdty,1975-03-04,10.62042
SI1 N:02_0_N Comdty,1975-03-05,10.55048
SI1 N:02_0_N Comdty,1975-03-06,10.68149
SI1 N:02_0_N Comdty,1975-03-07,10.73716
SI1 N:02_0_N Comdty,1975-03-10,10.99595
SI1 N:02_0_N Comdty,1975-03-11,11.25267
SI1 N:02_0_N Comdty,1975-03-12,11.17592
SI1 N:02_0_N Comdty,1975-03-13,11.28287
SI1 N:02_0_N Comdty,1975-03-14,11.1942
SI1 N:02_0_N Comdty,1975-03-17,11.2023
SI1 N:02_0_N Comdty,1975-03-18,10.71589
SI1 N:02_0_N Comdty,1975-03-19,10.86128
SI1 N:02_0_N Comdty,1975-03-20,10.56995
SI1 N:02_0_N Comdty,1975-03-21,10.68036
SI1 N:02_0_N Comdty,1975-03-24,10.56205
SI1 N:02_0_N Comdty,1975-03-25,10.66737
SI1 N:02_0_N Comdty,1975-03-26,10.84503
SI1 N:02_0_N Comdty,1975-03-27,10.64329
SI1 N:02_0_N Comdty,1975-03-31,10.85038
SI1 N:02_0_N Comdty,1975-04-01,10.81166
SI1 N:02_0_N Comdty,1975-04-02,10.66646
SI1 N:02_0_N Comdty,1975-04-03,10.54867
SI1 N:02_0_N Comdty,1975-04-04,10.46666
SI1 N:02_0_N Comdty,1975-04-07,10.513
SI1 N:02_0_N Comdty,1975-04-08,10.44844
SI1 N:02_0_N Comdty,1975-04-09,10.53154
SI1 N:02_0_N Comdty,1975-04-10,10.73196
SI1 N:02_0_N Comdty,1975-04-11,10.6398
SI1 N:02_0_N Comdty,1975-04-14,10.46938
SI1 N:02_0_N Comdty,1975-04-15,10.50628
SI1 N:02_0_N Comdty,1975-04-16,10.83147
SI1 N:02_0_N Comdty,1975-04-17,11.29964
SI1 N:02_0_N Comdty,1975-04-18,11.16408
SI1 N:02_0_N Comdty,1975-04-21,11.051
SI1 N:02_0_N Comdty,1975-04-22,10.84318
SI1 N:02_0_N Comdty,1975-04-23,10.98611
SI1 N:02_0_N Comdty,1975-04-24,10.96371
SI1 N:02_0_N Comdty,1975-04-25,11.10449
SI1 N:02_0_N Comdty,1975-04-28,11.16819
SI1 N:02_0_N Comdty,1975-04-29,11.41924
SI1 N:02_0_N Comdty,1975-04-30,11.16654
SI1 N:02_0_N Comdty,1975-05-01,11.22743
SI1 N:02_0_N Comdty,1975-05-02,11.1415
SI1 N:02_0_N Comdty,1975-05-05,11.21868
SI1 N:02_0_N Comdty,1975-05-06,11.4281
SI1 N:02_0_N Comdty,1975-05-07,11.58328
SI1 N:02_0_N Comdty,1975-05-08,11.4228
SI1 N:02_0_N Comdty,1975-05-09,11.64362
SI1 N:02_0_N Comdty,1975-05-12,11.51156
SI1 N:02_0_N Comdty,1975-05-13,11.57483
SI1 N:02_0_N Comdty,1975-05-14,11.46709
SI1 N:02_0_N Comdty,1975-05-15,11.24421
SI1 N:02_0_N Comdty,1975-05-16,11.73712
SI1 N:02_0_N Comdty,1975-05-19,11.86623
SI1 N:02_0_N Comdty,1975-05-20,11.63612
SI1 N:02_0_N Comdty,1975-05-21,11.80135
SI1 N:02_0_N Comdty,1975-05-22,11.72461
SI1 N:02_0_N Comdty,1975-05-23,11.7714
SI1 N:02_0_N Comdty,1975-05-27,11.34237
SI1 N:02_0_N Comdty,1975-05-28,11.48421
SI1 N:02_0_N Comdty,1975-05-29,11.30077
SI1 N:02_0_N Comdty,1975-05-30,11.30859
SI1 N:02_0_N Comdty,1975-06-02,11.01662
SI1 N:02_0_N Comdty,1975-06-03,11.12455
SI1 N:02_0_N Comdty,1975-06-04,11.02116
SI1 N:02_0_N Comdty,1975-06-05,11.0003
SI1 N:02_0_N Comdty,1975-06-06,11.0637
SI1 N:02_0_N Comdty,1975-06-09,11.53926
SI1 N:02_0_N Comdty,1975-06-10,11.35272
SI1 N:02_0_N Comdty,1975-06-11,11.42038
SI1 N:02_0_N Comdty,1975-06-12,11.17699
SI1 N:02_0_N Comdty,1975-06-13,11.14588
SI1 N:02_0_N Comdty,1975-06-16,11.03516
SI1 N:02_0_N Comdty,1975-06-17,11.15659
SI1 N:02_0_N Comdty,1975-06-18,11.13343
SI1 N:02_0_N Comdty,1975-06-19,11.11923
SI1 N:02_0_N Comdty,1975-06-20,11.20464
SI1 N:02_0_N Comdty,1975-06-23,11.14402
SI1 N:02_0_N Comdty,1975-06-24,11.40858
SI1 N:02_0_N Comdty,1975-06-25,11.35997
SI1 N:02_0_N Comdty,1975-06-26,11.30938
SI1 N:02_0_N Comdty,1975-06-27,11.42
SI1 N:02_0_N Comdty,1975-06-30,11.69919
SI1 N:02_0_N Comdty,1975-07-01,11.60498
SI1 N:02_0_N Comdty,1975-07-02,11.61931
SI1 N:02_0_N Comdty,1975-07-03,11.72602
SI1 N:02_0_N Comdty,1975-07-07,11.64891
SI1 N:02_0_N Comdty,1975-07-08,11.93842
SI1 N:02_0_N Comdty,1975-07-09,11.98634
SI1 N:02_0_N Comdty,1975-07-10,12.03274
SI1 N:02_0_N Comdty,1975-07-11,12.17774
SI1 N:02_0_N Comdty,1975-07-14,12.14831
SI1 N:02_0_N Comdty,1975-07-15,12.23962
SI1 N:02_0_N Comdty,1975-07-16,12.25276
SI1 N:02_0_N Comdty,1975-07-17,12.24427
SI1 N:02_0_N Comdty,1975-07-18,12.34153
SI1 N:02_0_N Comdty,1975-07-21,12.54625
SI1 N:02_0_N Comdty,1975-07-22,12.59932
SI1 N:02_0_N Comdty,1975-07-23,12.70426
SI1 N:02_0_N Comdty,1975-07-24,12.85088
SI1 N:02_0_N Comdty,1975-07-25,13.13203
SI1 N:02_0_N Comdty,1975-07-28,13.78131
SI1 N:02_0_N Comdty,1975-07-29,13.66444
SI1 N:02_0_N Comdty,1975-07-30,13.56215
SI1 N:02_0_N Comdty,1975-07-31,13.63283
SI1 N:02_0_N Comdty,1975-08-01,13.79641
