name,date,PX_LAST
ST1 N:02_0_N Index,2004-03-22,39998.5579
ST1 N:02_0_N Index,2004-03-23,39924.13492
ST1 N:02_0_N Index,2004-03-24,39702.92681
ST1 N:02_0_N Index,2004-03-25,40269.43077
ST1 N:02_0_N Index,2004-03-26,40752.95908
ST1 N:02_0_N Index,2004-03-29,41206.06895
ST1 N:02_0_N Index,2004-03-30,41291.34967
ST1 N:02_0_N Index,2004-03-31,41144.64578
ST1 N:02_0_N Index,2004-04-01,41566.95357
ST1 N:02_0_N Index,2004-04-02,42470.34481
ST1 N:02_0_N Index,2004-04-05,42927.20122
ST1 N:02_0_N Index,2004-04-06,42603.15758
ST1 N:02_0_N Index,2004-04-07,42353.45235
ST1 N:02_0_N Index,2004-04-08,42427.09717
ST1 N:02_0_N Index,2004-04-13,43091.70117
ST1 N:02_0_N Index,2004-04-14,42419.59911
ST1 N:02_0_N Index,2004-04-15,42562.6508
ST1 N:02_0_N Index,2004-04-16,42700.17802
ST1 N:02_0_N Index,2004-04-19,42306.30109
ST1 N:02_0_N Index,2004-04-20,43251.40377
ST1 N:02_0_N Index,2004-04-21,42877.48308
ST1 N:02_0_N Index,2004-04-22,43250.94167
ST1 N:02_0_N Index,2004-04-23,43399.18833
ST1 N:02_0_N Index,2004-04-26,43404.55754
ST1 N:02_0_N Index,2004-04-27,43162.03863
ST1 N:02_0_N Index,2004-04-28,42820.7808
ST1 N:02_0_N Index,2004-04-29,42447.31314
ST1 N:02_0_N Index,2004-04-30,42409.08982
ST1 N:02_0_N Index,2004-05-03,42762.26338
ST1 N:02_0_N Index,2004-05-04,42600.90419
ST1 N:02_0_N Index,2004-05-05,42792.21476
ST1 N:02_0_N Index,2004-05-06,42013.99455
ST1 N:02_0_N Index,2004-05-07,41717.13352
ST1 N:02_0_N Index,2004-05-10,40587.80409
ST1 N:02_0_N Index,2004-05-11,41113.05381
ST1 N:02_0_N Index,2004-05-12,40600.55368
ST1 N:02_0_N Index,2004-05-13,41152.03413
ST1 N:02_0_N Index,2004-05-14,40903.92675
ST1 N:02_0_N Index,2004-05-17,40335.9929
ST1 N:02_0_N Index,2004-05-18,40501.611
ST1 N:02_0_N Index,2004-05-19,41173.05642
ST1 N:02_0_N Index,2004-05-20,41079.91657
ST1 N:02_0_N Index,2004-05-21,41021.71339
ST1 N:02_0_N Index,2004-05-24,41442.56429
ST1 N:02_0_N Index,2004-05-25,41286.91306
ST1 N:02_0_N Index,2004-05-26,41756.07936
ST1 N:02_0_N Index,2004-05-27,41654.56668
ST1 N:02_0_N Index,2004-05-28,41554.97174
ST1 N:02_0_N Index,2004-05-31,41564.01414
ST1 N:02_0_N Index,2004-06-01,41302.07209
ST1 N:02_0_N Index,2004-06-02,41487.05101
ST1 N:02_0_N Index,2004-06-03,41476.78908
ST1 N:02_0_N Index,2004-06-04,41561.73122
ST1 N:02_0_N Index,2004-06-07,42080.89474
ST1 N:02_0_N Index,2004-06-08,42010.72874
ST1 N:02_0_N Index,2004-06-09,41865.95317
ST1 N:02_0_N Index,2004-06-10,41888.65401
ST1 N:02_0_N Index,2004-06-11,42051.12992
ST1 N:02_0_N Index,2004-06-14,41752.13509
ST1 N:02_0_N Index,2004-06-15,42278.8637
ST1 N:02_0_N Index,2004-06-16,42648.40293
ST1 N:02_0_N Index,2004-06-17,42294.67928
ST1 N:02_0_N Index,2004-06-18,42348.78387
ST1 N:02_0_N Index,2004-06-21,42523.28923
