name,date,PX_LAST
TFT1 N:02_0_N Comdty,2015-03-20,15.25445
TFT1 N:02_0_N Comdty,2015-03-23,15.0888
TFT1 N:02_0_N Comdty,2015-03-24,14.95225
TFT1 N:02_0_N Comdty,2015-03-25,14.99084
TFT1 N:02_0_N Comdty,2015-03-26,14.98196
TFT1 N:02_0_N Comdty,2015-03-27,14.89742
TFT1 N:02_0_N Comdty,2015-03-30,14.99945
TFT1 N:02_0_N Comdty,2015-03-31,15.01358
TFT1 N:02_0_N Comdty,2015-04-01,14.93673
TFT1 N:02_0_N Comdty,2015-04-02,14.8952
TFT1 N:02_0_N Comdty,2015-04-03,14.7715
TFT1 N:02_0_N Comdty,2015-04-07,14.92451
TFT1 N:02_0_N Comdty,2015-04-08,14.79782
TFT1 N:02_0_N Comdty,2015-04-09,14.99667
TFT1 N:02_0_N Comdty,2015-04-10,15.01122
TFT1 N:02_0_N Comdty,2015-04-13,15.01194
TFT1 N:02_0_N Comdty,2015-04-14,14.97505
TFT1 N:02_0_N Comdty,2015-04-15,15.02565
TFT1 N:02_0_N Comdty,2015-04-16,14.89534
TFT1 N:02_0_N Comdty,2015-04-17,14.80925
TFT1 N:02_0_N Comdty,2015-04-20,14.97754
TFT1 N:02_0_N Comdty,2015-04-21,14.9748
TFT1 N:02_0_N Comdty,2015-04-22,15.21888
TFT1 N:02_0_N Comdty,2015-04-23,14.97396
TFT1 N:02_0_N Comdty,2015-04-24,14.96324
TFT1 N:02_0_N Comdty,2015-04-27,14.96482
TFT1 N:02_0_N Comdty,2015-04-28,15.03836
TFT1 N:02_0_N Comdty,2015-04-29,14.78207
TFT1 N:02_0_N Comdty,2015-04-30,14.83387
TFT1 N:02_0_N Comdty,2015-05-04,14.70116
TFT1 N:02_0_N Comdty,2015-05-05,14.53219
TFT1 N:02_0_N Comdty,2015-05-06,14.38625
TFT1 N:02_0_N Comdty,2015-05-07,14.4401
TFT1 N:02_0_N Comdty,2015-05-08,14.59954
TFT1 N:02_0_N Comdty,2015-05-11,14.64134
TFT1 N:02_0_N Comdty,2015-05-12,14.48582
TFT1 N:02_0_N Comdty,2015-05-13,14.37511
TFT1 N:02_0_N Comdty,2015-05-14,14.31146
