name,date,PX_LAST
TP1 N:02_0_N Index,1990-05-16,22.39186
TP1 N:02_0_N Index,1990-05-17,22.34788
TP1 N:02_0_N Index,1990-05-21,22.12102
TP1 N:02_0_N Index,1990-05-22,22.64497
TP1 N:02_0_N Index,1990-05-23,22.68384
TP1 N:02_0_N Index,1990-05-24,22.82494
TP1 N:02_0_N Index,1990-05-25,23.35995
TP1 N:02_0_N Index,1990-05-28,23.52245
TP1 N:02_0_N Index,1990-05-29,22.89243
TP1 N:02_0_N Index,1990-05-30,22.90391
TP1 N:02_0_N Index,1990-05-31,22.90697
TP1 N:02_0_N Index,1990-06-01,22.99269
TP1 N:02_0_N Index,1990-06-04,23.11683
TP1 N:02_0_N Index,1990-06-05,22.86685
TP1 N:02_0_N Index,1990-06-06,23.28862
TP1 N:02_0_N Index,1990-06-07,23.52074
TP1 N:02_0_N Index,1990-06-08,23.31115
TP1 N:02_0_N Index,1990-06-11,22.61619
TP1 N:02_0_N Index,1990-06-12,22.61014
TP1 N:02_0_N Index,1990-06-13,22.55788
TP1 N:02_0_N Index,1990-06-14,22.83644
TP1 N:02_0_N Index,1990-06-15,22.68545
TP1 N:02_0_N Index,1990-06-18,22.29352
TP1 N:02_0_N Index,1990-06-19,21.91486
TP1 N:02_0_N Index,1990-06-20,22.20949
TP1 N:02_0_N Index,1990-06-21,21.86062
TP1 N:02_0_N Index,1990-06-22,21.54245
TP1 N:02_0_N Index,1990-06-25,21.15551
TP1 N:02_0_N Index,1990-06-26,21.51366
TP1 N:02_0_N Index,1990-06-27,21.79764
TP1 N:02_0_N Index,1990-06-28,22.14184
TP1 N:02_0_N Index,1990-06-29,21.79693
TP1 N:02_0_N Index,1990-07-02,22.17331
TP1 N:02_0_N Index,1990-07-03,22.13492
TP1 N:02_0_N Index,1990-07-04,22.3834
TP1 N:02_0_N Index,1990-07-05,22.27154
TP1 N:02_0_N Index,1990-07-06,22.33603
TP1 N:02_0_N Index,1990-07-09,22.13775
TP1 N:02_0_N Index,1990-07-10,22.27141
TP1 N:02_0_N Index,1990-07-11,22.61761
TP1 N:02_0_N Index,1990-07-12,22.58779
TP1 N:02_0_N Index,1990-07-13,22.79798
TP1 N:02_0_N Index,1990-07-16,23.40263
TP1 N:02_0_N Index,1990-07-17,23.1797
TP1 N:02_0_N Index,1990-07-18,23.26002
TP1 N:02_0_N Index,1990-07-19,22.98095
TP1 N:02_0_N Index,1990-07-20,22.53398
TP1 N:02_0_N Index,1990-07-23,21.98965
TP1 N:02_0_N Index,1990-07-24,21.5032
TP1 N:02_0_N Index,1990-07-25,21.53105
TP1 N:02_0_N Index,1990-07-26,21.06003
TP1 N:02_0_N Index,1990-07-27,20.60068
TP1 N:02_0_N Index,1990-07-30,20.61316
TP1 N:02_0_N Index,1990-07-31,21.24889
TP1 N:02_0_N Index,1990-08-01,20.69381
TP1 N:02_0_N Index,1990-08-02,20.16615
TP1 N:02_0_N Index,1990-08-03,19.57553
TP1 N:02_0_N Index,1990-08-06,18.52181
TP1 N:02_0_N Index,1990-08-07,18.40121
TP1 N:02_0_N Index,1990-08-08,18.89566
TP1 N:02_0_N Index,1990-08-09,18.56496
TP1 N:02_0_N Index,1990-08-10,18.2368
TP1 N:02_0_N Index,1990-08-13,17.16222
TP1 N:02_0_N Index,1990-08-14,17.64865
TP1 N:02_0_N Index,1990-08-15,18.50275
TP1 N:02_0_N Index,1990-08-16,18.15834
TP1 N:02_0_N Index,1990-08-17,17.57645
TP1 N:02_0_N Index,1990-08-20,17.9253
TP1 N:02_0_N Index,1990-08-21,17.58802
TP1 N:02_0_N Index,1990-08-22,16.8635
TP1 N:02_0_N Index,1990-08-23,16.07868
TP1 N:02_0_N Index,1990-08-24,15.97851
TP1 N:02_0_N Index,1990-08-27,16.90291
TP1 N:02_0_N Index,1990-08-28,17.49692
TP1 N:02_0_N Index,1990-08-29,16.99077
TP1 N:02_0_N Index,1990-08-30,17.59435
TP1 N:02_0_N Index,1990-08-31,18.10972
TP1 N:02_0_N Index,1990-09-03,17.82302
TP1 N:02_0_N Index,1990-09-04,17.44735
TP1 N:02_0_N Index,1990-09-05,16.95139
TP1 N:02_0_N Index,1990-09-06,16.94287
TP1 N:02_0_N Index,1990-09-07,17.34944
TP1 N:02_0_N Index,1990-09-10,18.23101
TP1 N:02_0_N Index,1990-09-11,17.92393
TP1 N:02_0_N Index,1990-09-12,18.68047
