name,date,PX_LAST
TY1 N:02_0_N Comdty,1982-05-03,71.3125
TY1 N:02_0_N Comdty,1982-05-04,71.8125
TY1 N:02_0_N Comdty,1982-05-05,71.9375
TY1 N:02_0_N Comdty,1982-05-06,72.96875
TY1 N:02_0_N Comdty,1982-05-07,73.25
TY1 N:02_0_N Comdty,1982-05-10,73.125
TY1 N:02_0_N Comdty,1982-05-11,73.25
TY1 N:02_0_N Comdty,1982-05-12,72.875
TY1 N:02_0_N Comdty,1982-05-13,72.625
TY1 N:02_0_N Comdty,1982-05-14,73.125
TY1 N:02_0_N Comdty,1982-05-17,72.65625
TY1 N:02_0_N Comdty,1982-05-18,72.875
TY1 N:02_0_N Comdty,1982-05-19,72.46875
TY1 N:02_0_N Comdty,1982-05-20,73.09375
TY1 N:02_0_N Comdty,1982-05-21,73.0
TY1 N:02_0_N Comdty,1982-05-24,72.96875
TY1 N:02_0_N Comdty,1982-05-25,72.71875
TY1 N:02_0_N Comdty,1982-05-26,72.375
TY1 N:02_0_N Comdty,1982-05-27,72.1875
TY1 N:02_0_N Comdty,1982-05-28,72.125
TY1 N:02_0_N Comdty,1982-06-01,71.3125
TY1 N:02_0_N Comdty,1982-06-02,71.5625
TY1 N:02_0_N Comdty,1982-06-03,71.46875
TY1 N:02_0_N Comdty,1982-06-04,71.125
TY1 N:02_0_N Comdty,1982-06-07,71.28125
TY1 N:02_0_N Comdty,1982-06-08,71.1875
TY1 N:02_0_N Comdty,1982-06-09,71.21875
TY1 N:02_0_N Comdty,1982-06-10,71.0
TY1 N:02_0_N Comdty,1982-06-11,71.46875
TY1 N:02_0_N Comdty,1982-06-14,70.375
TY1 N:02_0_N Comdty,1982-06-15,70.375
TY1 N:02_0_N Comdty,1982-06-16,70.15625
TY1 N:02_0_N Comdty,1982-06-17,69.5625
TY1 N:02_0_N Comdty,1982-06-18,68.8125
TY1 N:02_0_N Comdty,1982-06-21,68.6875
TY1 N:02_0_N Comdty,1982-06-22,68.6875
TY1 N:02_0_N Comdty,1982-06-23,68.46875
TY1 N:02_0_N Comdty,1982-06-24,68.46875
TY1 N:02_0_N Comdty,1982-06-25,68.375
TY1 N:02_0_N Comdty,1982-06-28,68.65625
TY1 N:02_0_N Comdty,1982-06-29,68.875
TY1 N:02_0_N Comdty,1982-06-30,69.5625
TY1 N:02_0_N Comdty,1982-07-01,69.75
TY1 N:02_0_N Comdty,1982-07-02,69.25
TY1 N:02_0_N Comdty,1982-07-06,69.4375
TY1 N:02_0_N Comdty,1982-07-07,69.6875
TY1 N:02_0_N Comdty,1982-07-08,70.625
TY1 N:02_0_N Comdty,1982-07-09,71.25
TY1 N:02_0_N Comdty,1982-07-12,71.75
TY1 N:02_0_N Comdty,1982-07-13,71.03125
TY1 N:02_0_N Comdty,1982-07-14,70.78125
TY1 N:02_0_N Comdty,1982-07-15,71.28125
TY1 N:02_0_N Comdty,1982-07-16,72.40625
TY1 N:02_0_N Comdty,1982-07-19,72.53125
TY1 N:02_0_N Comdty,1982-07-20,72.78125
TY1 N:02_0_N Comdty,1982-07-21,72.375
TY1 N:02_0_N Comdty,1982-07-22,72.78125
TY1 N:02_0_N Comdty,1982-07-23,72.46875
TY1 N:02_0_N Comdty,1982-07-26,71.28125
TY1 N:02_0_N Comdty,1982-07-27,71.4375
TY1 N:02_0_N Comdty,1982-07-28,70.96875
TY1 N:02_0_N Comdty,1982-07-29,71.84375
TY1 N:02_0_N Comdty,1982-07-30,72.34375
TY1 N:02_0_N Comdty,1982-08-02,73.4375
TY1 N:02_0_N Comdty,1982-08-03,72.9375
TY1 N:02_0_N Comdty,1982-08-04,72.8125
TY1 N:02_0_N Comdty,1982-08-05,72.65625
TY1 N:02_0_N Comdty,1982-08-06,71.90625
TY1 N:02_0_N Comdty,1982-08-09,72.5625
TY1 N:02_0_N Comdty,1982-08-10,72.53125
TY1 N:02_0_N Comdty,1982-08-11,72.4375
TY1 N:02_0_N Comdty,1982-08-12,73.15625
TY1 N:02_0_N Comdty,1982-08-13,74.03125
TY1 N:02_0_N Comdty,1982-08-16,74.8125
TY1 N:02_0_N Comdty,1982-08-17,76.53125
TY1 N:02_0_N Comdty,1982-08-18,77.3125
TY1 N:02_0_N Comdty,1982-08-19,77.21875
TY1 N:02_0_N Comdty,1982-08-20,78.28125
TY1 N:02_0_N Comdty,1982-08-23,77.3125
TY1 N:02_0_N Comdty,1982-08-24,78.0
TY1 N:02_0_N Comdty,1982-08-25,77.5
TY1 N:02_0_N Comdty,1982-08-26,76.9375
TY1 N:02_0_N Comdty,1982-08-27,75.90625
TY1 N:02_0_N Comdty,1982-08-30,75.53125
TY1 N:02_0_N Comdty,1982-08-31,75.25
TY1 N:02_0_N Comdty,1982-09-01,75.65625
TY1 N:02_0_N Comdty,1982-09-02,76.25
TY1 N:02_0_N Comdty,1982-09-03,76.78125
TY1 N:02_0_N Comdty,1982-09-07,76.59375
TY1 N:02_0_N Comdty,1982-09-08,76.71875
TY1 N:02_0_N Comdty,1982-09-09,76.5625
TY1 N:02_0_N Comdty,1982-09-10,75.5
TY1 N:02_0_N Comdty,1982-09-13,76.28125
TY1 N:02_0_N Comdty,1982-09-14,76.34375
TY1 N:02_0_N Comdty,1982-09-15,76.21875
TY1 N:02_0_N Comdty,1982-09-16,76.0625
TY1 N:02_0_N Comdty,1982-09-17,76.5625
TY1 N:02_0_N Comdty,1982-09-20,76.75
TY1 N:02_0_N Comdty,1982-09-21,78.0625
TY1 N:02_0_N Comdty,1982-09-22,78.0625
TY1 N:02_0_N Comdty,1982-09-23,78.4375
TY1 N:02_0_N Comdty,1982-09-24,77.90625
