name,date,PX_LAST
UB1 N:02_0_N Comdty,1998-10-02,117.76
UB1 N:02_0_N Comdty,1998-10-05,117.9
UB1 N:02_0_N Comdty,1998-10-06,117.95
UB1 N:02_0_N Comdty,1998-10-07,117.5
UB1 N:02_0_N Comdty,1998-10-08,113.25
UB1 N:02_0_N Comdty,1998-10-09,110.35
UB1 N:02_0_N Comdty,1998-10-12,109.85
UB1 N:02_0_N Comdty,1998-10-13,111.33
UB1 N:02_0_N Comdty,1998-10-14,112.21
UB1 N:02_0_N Comdty,1998-10-15,111.76
UB1 N:02_0_N Comdty,1998-10-16,112.98
UB1 N:02_0_N Comdty,1998-10-19,112.4
UB1 N:02_0_N Comdty,1998-10-20,111.35
UB1 N:02_0_N Comdty,1998-10-21,111.9
UB1 N:02_0_N Comdty,1998-10-22,111.1
UB1 N:02_0_N Comdty,1998-10-23,110.9
UB1 N:02_0_N Comdty,1998-10-26,109.62
UB1 N:02_0_N Comdty,1998-10-27,110.42
UB1 N:02_0_N Comdty,1998-10-28,110.55
UB1 N:02_0_N Comdty,1998-10-29,110.47
UB1 N:02_0_N Comdty,1998-10-30,110.43
UB1 N:02_0_N Comdty,1998-11-02,109.76
UB1 N:02_0_N Comdty,1998-11-03,110.8
UB1 N:02_0_N Comdty,1998-11-04,110.36
UB1 N:02_0_N Comdty,1998-11-05,109.82
UB1 N:02_0_N Comdty,1998-11-06,109.54
UB1 N:02_0_N Comdty,1998-11-09,110.52
UB1 N:02_0_N Comdty,1998-11-10,110.2
UB1 N:02_0_N Comdty,1998-11-11,110.19
UB1 N:02_0_N Comdty,1998-11-12,110.62
UB1 N:02_0_N Comdty,1998-11-13,110.89
UB1 N:02_0_N Comdty,1998-11-16,110.88
UB1 N:02_0_N Comdty,1998-11-17,111.0
UB1 N:02_0_N Comdty,1998-11-18,111.9
UB1 N:02_0_N Comdty,1998-11-19,112.8
UB1 N:02_0_N Comdty,1998-11-20,113.5
UB1 N:02_0_N Comdty,1998-11-23,113.56
UB1 N:02_0_N Comdty,1998-11-24,113.88
UB1 N:02_0_N Comdty,1998-11-25,114.2
UB1 N:02_0_N Comdty,1998-11-26,115.16
UB1 N:02_0_N Comdty,1998-11-27,115.98
UB1 N:02_0_N Comdty,1998-11-30,116.45
UB1 N:02_0_N Comdty,1998-12-01,115.79
UB1 N:02_0_N Comdty,1998-12-02,116.44
UB1 N:02_0_N Comdty,1998-12-03,116.34
UB1 N:02_0_N Comdty,1998-12-04,116.99
UB1 N:02_0_N Comdty,1998-12-07,116.86
UB1 N:02_0_N Comdty,1998-12-08,117.57
UB1 N:02_0_N Comdty,1998-12-09,119.45
UB1 N:02_0_N Comdty,1998-12-10,120.07
UB1 N:02_0_N Comdty,1998-12-11,119.22
UB1 N:02_0_N Comdty,1998-12-14,118.86
UB1 N:02_0_N Comdty,1998-12-15,118.41
UB1 N:02_0_N Comdty,1998-12-16,117.95
UB1 N:02_0_N Comdty,1998-12-17,117.92
UB1 N:02_0_N Comdty,1998-12-18,118.3
UB1 N:02_0_N Comdty,1998-12-21,117.79
UB1 N:02_0_N Comdty,1998-12-22,116.43
UB1 N:02_0_N Comdty,1998-12-23,116.59
UB1 N:02_0_N Comdty,1998-12-28,116.19
UB1 N:02_0_N Comdty,1998-12-29,117.19
UB1 N:02_0_N Comdty,1998-12-30,117.33
UB1 N:02_0_N Comdty,1999-01-04,119.13
UB1 N:02_0_N Comdty,1999-01-05,119.39
UB1 N:02_0_N Comdty,1999-01-06,120.06
UB1 N:02_0_N Comdty,1999-01-07,119.52
UB1 N:02_0_N Comdty,1999-01-08,119.6
UB1 N:02_0_N Comdty,1999-01-11,118.3
UB1 N:02_0_N Comdty,1999-01-12,119.35
UB1 N:02_0_N Comdty,1999-01-13,119.24
UB1 N:02_0_N Comdty,1999-01-14,119.44
UB1 N:02_0_N Comdty,1999-01-15,119.66
UB1 N:02_0_N Comdty,1999-01-18,119.99
UB1 N:02_0_N Comdty,1999-01-19,120.28
UB1 N:02_0_N Comdty,1999-01-20,119.84
UB1 N:02_0_N Comdty,1999-01-21,121.19
UB1 N:02_0_N Comdty,1999-01-22,121.4
UB1 N:02_0_N Comdty,1999-01-25,121.35
UB1 N:02_0_N Comdty,1999-01-26,121.23
UB1 N:02_0_N Comdty,1999-01-27,121.57
UB1 N:02_0_N Comdty,1999-01-28,121.01
UB1 N:02_0_N Comdty,1999-01-29,120.82
UB1 N:02_0_N Comdty,1999-02-01,119.9
UB1 N:02_0_N Comdty,1999-02-02,120.08
UB1 N:02_0_N Comdty,1999-02-03,119.29
UB1 N:02_0_N Comdty,1999-02-04,118.18
UB1 N:02_0_N Comdty,1999-02-05,118.61
UB1 N:02_0_N Comdty,1999-02-08,117.61
UB1 N:02_0_N Comdty,1999-02-09,118.74
UB1 N:02_0_N Comdty,1999-02-10,118.88
UB1 N:02_0_N Comdty,1999-02-11,119.32
UB1 N:02_0_N Comdty,1999-02-12,117.64
UB1 N:02_0_N Comdty,1999-02-15,116.29
UB1 N:02_0_N Comdty,1999-02-16,116.36
UB1 N:02_0_N Comdty,1999-02-17,116.97
UB1 N:02_0_N Comdty,1999-02-18,116.75
UB1 N:02_0_N Comdty,1999-02-19,117.09
UB1 N:02_0_N Comdty,1999-02-22,117.6
UB1 N:02_0_N Comdty,1999-02-23,117.8
UB1 N:02_0_N Comdty,1999-02-24,117.58
UB1 N:02_0_N Comdty,1999-02-25,115.16
UB1 N:02_0_N Comdty,1999-02-26,115.39
UB1 N:02_0_N Comdty,1999-03-01,113.87
UB1 N:02_0_N Comdty,1999-03-02,113.95
UB1 N:02_0_N Comdty,1999-03-03,112.99
UB1 N:02_0_N Comdty,1999-03-04,112.58
UB1 N:02_0_N Comdty,1999-03-05,115.03
UB1 N:02_0_N Comdty,1999-03-08,113.18
UB1 N:02_0_N Comdty,1999-03-09,112.57
UB1 N:02_0_N Comdty,1999-03-10,112.95
UB1 N:02_0_N Comdty,1999-03-11,114.51
UB1 N:02_0_N Comdty,1999-03-12,113.99
UB1 N:02_0_N Comdty,1999-03-15,113.82
UB1 N:02_0_N Comdty,1999-03-16,115.01
UB1 N:02_0_N Comdty,1999-03-17,115.2
UB1 N:02_0_N Comdty,1999-03-18,115.41
UB1 N:02_0_N Comdty,1999-03-19,114.86
UB1 N:02_0_N Comdty,1999-03-22,115.1
UB1 N:02_0_N Comdty,1999-03-23,114.38
UB1 N:02_0_N Comdty,1999-03-24,114.33
UB1 N:02_0_N Comdty,1999-03-25,114.39
UB1 N:02_0_N Comdty,1999-03-26,113.45
UB1 N:02_0_N Comdty,1999-03-29,113.19
UB1 N:02_0_N Comdty,1999-03-30,113.53
UB1 N:02_0_N Comdty,1999-03-31,114.09
UB1 N:02_0_N Comdty,1999-04-01,114.03
UB1 N:02_0_N Comdty,1999-04-06,116.1
UB1 N:02_0_N Comdty,1999-04-07,116.28
UB1 N:02_0_N Comdty,1999-04-08,117.45
UB1 N:02_0_N Comdty,1999-04-09,117.15
UB1 N:02_0_N Comdty,1999-04-12,117.59
UB1 N:02_0_N Comdty,1999-04-13,116.54
UB1 N:02_0_N Comdty,1999-04-14,116.62
UB1 N:02_0_N Comdty,1999-04-15,115.84
UB1 N:02_0_N Comdty,1999-04-16,115.59
UB1 N:02_0_N Comdty,1999-04-19,115.82
