name,date,PX_LAST
WB1 N:02_0_N Comdty,2009-11-23,107.99
WB1 N:02_0_N Comdty,2009-11-24,107.99
WB1 N:02_0_N Comdty,2009-11-25,108.05
WB1 N:02_0_N Comdty,2009-11-26,108.15
WB1 N:02_0_N Comdty,2009-11-27,108.1
WB1 N:02_0_N Comdty,2009-11-30,108.18
WB1 N:02_0_N Comdty,2009-12-01,108.22
WB1 N:02_0_N Comdty,2009-12-02,108.18
WB1 N:02_0_N Comdty,2009-12-03,108.2
WB1 N:02_0_N Comdty,2009-12-04,108.08
WB1 N:02_0_N Comdty,2009-12-07,108.18
WB1 N:02_0_N Comdty,2009-12-08,108.24
WB1 N:02_0_N Comdty,2009-12-09,108.33
WB1 N:02_0_N Comdty,2009-12-10,108.21
WB1 N:02_0_N Comdty,2009-12-11,108.09
WB1 N:02_0_N Comdty,2009-12-14,108.14
WB1 N:02_0_N Comdty,2009-12-15,108.06
WB1 N:02_0_N Comdty,2009-12-16,108.06
WB1 N:02_0_N Comdty,2009-12-17,108.18
WB1 N:02_0_N Comdty,2009-12-18,108.3
WB1 N:02_0_N Comdty,2009-12-21,108.17
WB1 N:02_0_N Comdty,2009-12-22,108.1
WB1 N:02_0_N Comdty,2009-12-23,108.02
WB1 N:02_0_N Comdty,2009-12-24,107.99
WB1 N:02_0_N Comdty,2009-12-28,107.99
WB1 N:02_0_N Comdty,2009-12-29,107.92
WB1 N:02_0_N Comdty,2009-12-30,107.83
WB1 N:02_0_N Comdty,2009-12-31,108.18
WB1 N:02_0_N Comdty,2010-01-04,107.96
WB1 N:02_0_N Comdty,2010-01-05,107.97
WB1 N:02_0_N Comdty,2010-01-06,108.05
WB1 N:02_0_N Comdty,2010-01-07,108.06
WB1 N:02_0_N Comdty,2010-01-08,108.06
WB1 N:02_0_N Comdty,2010-01-11,108.15
WB1 N:02_0_N Comdty,2010-01-12,108.21
WB1 N:02_0_N Comdty,2010-01-13,108.17
WB1 N:02_0_N Comdty,2010-01-14,108.13
