name,date,PX_LAST
WN1 N:02_0_N Comdty,2010-01-11,119.6875
WN1 N:02_0_N Comdty,2010-01-12,121.7813
WN1 N:02_0_N Comdty,2010-01-13,120.1563
WN1 N:02_0_N Comdty,2010-01-14,121.75
WN1 N:02_0_N Comdty,2010-01-15,122.7188
WN1 N:02_0_N Comdty,2010-01-19,122.2813
WN1 N:02_0_N Comdty,2010-01-20,123.375
WN1 N:02_0_N Comdty,2010-01-21,124.1563
WN1 N:02_0_N Comdty,2010-01-22,124.125
WN1 N:02_0_N Comdty,2010-01-25,123.3125
WN1 N:02_0_N Comdty,2010-01-26,123.125
WN1 N:02_0_N Comdty,2010-01-27,123.4375
WN1 N:02_0_N Comdty,2010-01-28,123.1875
WN1 N:02_0_N Comdty,2010-01-29,124.375
WN1 N:02_0_N Comdty,2010-02-01,123.3438
WN1 N:02_0_N Comdty,2010-02-02,123.6875
WN1 N:02_0_N Comdty,2010-02-03,122.1563
WN1 N:02_0_N Comdty,2010-02-04,123.875
WN1 N:02_0_N Comdty,2010-02-05,125.0
WN1 N:02_0_N Comdty,2010-02-08,124.4375
WN1 N:02_0_N Comdty,2010-02-09,123.5
WN1 N:02_0_N Comdty,2010-02-10,122.1563
WN1 N:02_0_N Comdty,2010-02-11,121.3125
WN1 N:02_0_N Comdty,2010-02-12,121.75
WN1 N:02_0_N Comdty,2010-02-16,122.125
WN1 N:02_0_N Comdty,2010-02-17,120.625
WN1 N:02_0_N Comdty,2010-02-18,119.9063
WN1 N:02_0_N Comdty,2010-02-19,120.9688
WN1 N:02_0_N Comdty,2010-02-22,120.4688
WN1 N:02_0_N Comdty,2010-02-23,122.4063
WN1 N:02_0_N Comdty,2010-02-24,122.4688
WN1 N:02_0_N Comdty,2010-02-25,121.9688
WN1 N:02_0_N Comdty,2010-02-26,123.0625
WN1 N:02_0_N Comdty,2010-03-01,122.5313
WN1 N:02_0_N Comdty,2010-03-02,122.2813
WN1 N:02_0_N Comdty,2010-03-03,121.9688
WN1 N:02_0_N Comdty,2010-03-04,122.5313
WN1 N:02_0_N Comdty,2010-03-05,120.9375
WN1 N:02_0_N Comdty,2010-03-08,120.25
WN1 N:02_0_N Comdty,2010-03-09,120.1875
WN1 N:02_0_N Comdty,2010-03-10,120.0938
WN1 N:02_0_N Comdty,2010-03-11,120.6563
WN1 N:02_0_N Comdty,2010-03-12,121.25
WN1 N:02_0_N Comdty,2010-03-15,121.1563
WN1 N:02_0_N Comdty,2010-03-16,122.0313
WN1 N:02_0_N Comdty,2010-03-17,122.4375
WN1 N:02_0_N Comdty,2010-03-18,122.1875
WN1 N:02_0_N Comdty,2010-03-19,122.375
WN1 N:02_0_N Comdty,2010-03-22,122.5625
WN1 N:02_0_N Comdty,2010-03-23,122.0313
WN1 N:02_0_N Comdty,2010-03-24,119.6563
WN1 N:02_0_N Comdty,2010-03-25,118.5625
WN1 N:02_0_N Comdty,2010-03-26,119.1563
WN1 N:02_0_N Comdty,2010-03-29,119.0
WN1 N:02_0_N Comdty,2010-03-30,119.0938
WN1 N:02_0_N Comdty,2010-03-31,119.9688
WN1 N:02_0_N Comdty,2010-04-01,119.7813
WN1 N:02_0_N Comdty,2010-04-02,118.25
WN1 N:02_0_N Comdty,2010-04-05,117.5938
WN1 N:02_0_N Comdty,2010-04-06,117.5313
WN1 N:02_0_N Comdty,2010-04-07,119.4688
WN1 N:02_0_N Comdty,2010-04-08,119.1563
WN1 N:02_0_N Comdty,2010-04-09,119.4688
WN1 N:02_0_N Comdty,2010-04-12,120.4063
WN1 N:02_0_N Comdty,2010-04-13,120.9688
WN1 N:02_0_N Comdty,2010-04-14,119.9688
WN1 N:02_0_N Comdty,2010-04-15,119.8438
WN1 N:02_0_N Comdty,2010-04-16,120.9688
WN1 N:02_0_N Comdty,2010-04-19,120.375
WN1 N:02_0_N Comdty,2010-04-20,120.9375
WN1 N:02_0_N Comdty,2010-04-21,122.1563
WN1 N:02_0_N Comdty,2010-04-22,121.7188
WN1 N:02_0_N Comdty,2010-04-23,121.125
WN1 N:02_0_N Comdty,2010-04-26,121.0
WN1 N:02_0_N Comdty,2010-04-27,123.2188
WN1 N:02_0_N Comdty,2010-04-28,121.75
WN1 N:02_0_N Comdty,2010-04-29,122.6563
WN1 N:02_0_N Comdty,2010-04-30,124.0313
WN1 N:02_0_N Comdty,2010-05-03,123.6875
WN1 N:02_0_N Comdty,2010-05-04,125.75
WN1 N:02_0_N Comdty,2010-05-05,126.5938
WN1 N:02_0_N Comdty,2010-05-06,131.4375
WN1 N:02_0_N Comdty,2010-05-07,128.75
WN1 N:02_0_N Comdty,2010-05-10,126.4688
WN1 N:02_0_N Comdty,2010-05-11,126.25
WN1 N:02_0_N Comdty,2010-05-12,125.2813
WN1 N:02_0_N Comdty,2010-05-13,125.5
WN1 N:02_0_N Comdty,2010-05-14,128.5313
WN1 N:02_0_N Comdty,2010-05-17,127.9688
WN1 N:02_0_N Comdty,2010-05-18,129.8125
WN1 N:02_0_N Comdty,2010-05-19,130.1563
WN1 N:02_0_N Comdty,2010-05-20,132.125
WN1 N:02_0_N Comdty,2010-05-21,133.4375
WN1 N:02_0_N Comdty,2010-05-24,132.4375
WN1 N:02_0_N Comdty,2010-05-25,133.8125
WN1 N:02_0_N Comdty,2010-05-26,132.375
WN1 N:02_0_N Comdty,2010-05-27,128.2813
WN1 N:02_0_N Comdty,2010-05-28,128.8125
WN1 N:02_0_N Comdty,2010-06-01,129.0938
WN1 N:02_0_N Comdty,2010-06-02,128.5625
WN1 N:02_0_N Comdty,2010-06-03,127.625
WN1 N:02_0_N Comdty,2010-06-04,131.1875
WN1 N:02_0_N Comdty,2010-06-07,131.0938
WN1 N:02_0_N Comdty,2010-06-08,131.6875
WN1 N:02_0_N Comdty,2010-06-09,131.2813
WN1 N:02_0_N Comdty,2010-06-10,128.8125
WN1 N:02_0_N Comdty,2010-06-11,131.0625
WN1 N:02_0_N Comdty,2010-06-14,129.7188
WN1 N:02_0_N Comdty,2010-06-15,129.125
WN1 N:02_0_N Comdty,2010-06-16,129.7813
WN1 N:02_0_N Comdty,2010-06-17,131.4688
WN1 N:02_0_N Comdty,2010-06-18,130.9375
WN1 N:02_0_N Comdty,2010-06-21,130.5313
WN1 N:02_0_N Comdty,2010-06-22,131.9063
WN1 N:02_0_N Comdty,2010-06-23,132.75
WN1 N:02_0_N Comdty,2010-06-24,132.1875
WN1 N:02_0_N Comdty,2010-06-25,132.5938
WN1 N:02_0_N Comdty,2010-06-28,133.7813
WN1 N:02_0_N Comdty,2010-06-29,135.0
WN1 N:02_0_N Comdty,2010-06-30,135.8125
WN1 N:02_0_N Comdty,2010-07-01,136.8438
WN1 N:02_0_N Comdty,2010-07-02,135.3125
WN1 N:02_0_N Comdty,2010-07-06,136.4063
WN1 N:02_0_N Comdty,2010-07-07,135.125
WN1 N:02_0_N Comdty,2010-07-08,134.125
WN1 N:02_0_N Comdty,2010-07-09,133.2813
WN1 N:02_0_N Comdty,2010-07-12,133.3125
WN1 N:02_0_N Comdty,2010-07-13,132.0625
WN1 N:02_0_N Comdty,2010-07-14,133.5313
WN1 N:02_0_N Comdty,2010-07-15,134.9063
WN1 N:02_0_N Comdty,2010-07-16,135.4688
WN1 N:02_0_N Comdty,2010-07-19,134.7188
WN1 N:02_0_N Comdty,2010-07-20,135.2813
WN1 N:02_0_N Comdty,2010-07-21,136.5938
WN1 N:02_0_N Comdty,2010-07-22,135.4063
WN1 N:02_0_N Comdty,2010-07-23,134.0
WN1 N:02_0_N Comdty,2010-07-26,133.9063
