name,date,PX_LAST
WX1 N:02_0_N Comdty,2009-11-23,113.22
WX1 N:02_0_N Comdty,2009-11-24,113.21
WX1 N:02_0_N Comdty,2009-11-25,113.3
WX1 N:02_0_N Comdty,2009-11-26,113.59
WX1 N:02_0_N Comdty,2009-11-27,113.53
WX1 N:02_0_N Comdty,2009-11-30,113.65
WX1 N:02_0_N Comdty,2009-12-01,113.81
WX1 N:02_0_N Comdty,2009-12-02,113.73
WX1 N:02_0_N Comdty,2009-12-03,113.73
WX1 N:02_0_N Comdty,2009-12-04,113.39
WX1 N:02_0_N Comdty,2009-12-07,113.55
WX1 N:02_0_N Comdty,2009-12-08,113.73
WX1 N:02_0_N Comdty,2009-12-09,113.9
WX1 N:02_0_N Comdty,2009-12-10,113.51
WX1 N:02_0_N Comdty,2009-12-11,113.23
WX1 N:02_0_N Comdty,2009-12-14,113.29
WX1 N:02_0_N Comdty,2009-12-15,113.12
WX1 N:02_0_N Comdty,2009-12-16,113.22
WX1 N:02_0_N Comdty,2009-12-17,113.49
WX1 N:02_0_N Comdty,2009-12-18,113.81
WX1 N:02_0_N Comdty,2009-12-21,113.39
WX1 N:02_0_N Comdty,2009-12-22,113.17
WX1 N:02_0_N Comdty,2009-12-23,112.81
WX1 N:02_0_N Comdty,2009-12-24,112.79
WX1 N:02_0_N Comdty,2009-12-28,112.79
WX1 N:02_0_N Comdty,2009-12-29,112.48
WX1 N:02_0_N Comdty,2009-12-30,112.49
WX1 N:02_0_N Comdty,2009-12-31,112.49
WX1 N:02_0_N Comdty,2010-01-04,112.7
WX1 N:02_0_N Comdty,2010-01-05,112.4
WX1 N:02_0_N Comdty,2010-01-06,112.43
WX1 N:02_0_N Comdty,2010-01-07,112.54
WX1 N:02_0_N Comdty,2010-01-08,112.57
WX1 N:02_0_N Comdty,2010-01-11,112.77
WX1 N:02_0_N Comdty,2010-01-12,113.05
WX1 N:02_0_N Comdty,2010-01-13,112.94
WX1 N:02_0_N Comdty,2010-01-14,112.87
WX1 N:02_0_N Comdty,2010-01-15,113.04
WX1 N:02_0_N Comdty,2010-01-18,113.08
WX1 N:02_0_N Comdty,2010-01-19,112.55
WX1 N:02_0_N Comdty,2010-01-20,112.61
WX1 N:02_0_N Comdty,2010-01-21,113.06
WX1 N:02_0_N Comdty,2010-01-22,112.98
WX1 N:02_0_N Comdty,2010-01-25,113.17
WX1 N:02_0_N Comdty,2010-01-26,113.39
WX1 N:02_0_N Comdty,2010-01-27,113.46
WX1 N:02_0_N Comdty,2010-01-28,113.13
WX1 N:02_0_N Comdty,2010-01-29,113.28
WX1 N:02_0_N Comdty,2010-02-01,113.37
WX1 N:02_0_N Comdty,2010-02-02,113.41
WX1 N:02_0_N Comdty,2010-02-03,113.52
WX1 N:02_0_N Comdty,2010-02-04,113.59
WX1 N:02_0_N Comdty,2010-02-05,113.74
WX1 N:02_0_N Comdty,2010-02-08,113.46
WX1 N:02_0_N Comdty,2010-02-09,113.41
WX1 N:02_0_N Comdty,2010-02-10,113.76
WX1 N:02_0_N Comdty,2010-02-11,113.52
WX1 N:02_0_N Comdty,2010-02-12,113.56
WX1 N:02_0_N Comdty,2010-02-15,113.47
WX1 N:02_0_N Comdty,2010-02-16,113.61
WX1 N:02_0_N Comdty,2010-02-17,113.71
WX1 N:02_0_N Comdty,2010-02-18,113.76
WX1 N:02_0_N Comdty,2010-02-19,113.65
WX1 N:02_0_N Comdty,2010-02-22,113.66
WX1 N:02_0_N Comdty,2010-02-23,113.84
WX1 N:02_0_N Comdty,2010-02-24,112.46
WX1 N:02_0_N Comdty,2010-02-25,113.01
WX1 N:02_0_N Comdty,2010-02-26,113.16
WX1 N:02_0_N Comdty,2010-03-01,112.94
WX1 N:02_0_N Comdty,2010-03-02,113.06
WX1 N:02_0_N Comdty,2010-03-03,112.86
WX1 N:02_0_N Comdty,2010-03-04,112.94
WX1 N:02_0_N Comdty,2010-03-05,112.66
WX1 N:02_0_N Comdty,2010-03-08,112.7
WX1 N:02_0_N Comdty,2010-03-09,113.01
WX1 N:02_0_N Comdty,2010-03-10,112.98
WX1 N:02_0_N Comdty,2010-03-11,112.89
WX1 N:02_0_N Comdty,2010-03-12,113.13
WX1 N:02_0_N Comdty,2010-03-15,113.25
WX1 N:02_0_N Comdty,2010-03-16,113.34
WX1 N:02_0_N Comdty,2010-03-17,113.38
WX1 N:02_0_N Comdty,2010-03-18,113.28
WX1 N:02_0_N Comdty,2010-03-19,113.28
WX1 N:02_0_N Comdty,2010-03-22,113.45
WX1 N:02_0_N Comdty,2010-03-23,113.57
WX1 N:02_0_N Comdty,2010-03-24,113.4
WX1 N:02_0_N Comdty,2010-03-25,113.43
WX1 N:02_0_N Comdty,2010-03-26,113.49
WX1 N:02_0_N Comdty,2010-03-29,113.69
WX1 N:02_0_N Comdty,2010-03-30,113.62
WX1 N:02_0_N Comdty,2010-03-31,113.73
WX1 N:02_0_N Comdty,2010-04-01,113.78
WX1 N:02_0_N Comdty,2010-04-06,113.4
WX1 N:02_0_N Comdty,2010-04-07,113.32
WX1 N:02_0_N Comdty,2010-04-08,113.57
WX1 N:02_0_N Comdty,2010-04-09,113.54
WX1 N:02_0_N Comdty,2010-04-12,113.46
WX1 N:02_0_N Comdty,2010-04-13,113.63
WX1 N:02_0_N Comdty,2010-04-14,113.68
WX1 N:02_0_N Comdty,2010-04-15,113.65
WX1 N:02_0_N Comdty,2010-04-16,113.95
WX1 N:02_0_N Comdty,2010-04-19,113.93
WX1 N:02_0_N Comdty,2010-04-20,113.84
WX1 N:02_0_N Comdty,2010-04-21,113.74
WX1 N:02_0_N Comdty,2010-04-22,113.66
WX1 N:02_0_N Comdty,2010-04-23,113.33
WX1 N:02_0_N Comdty,2010-04-26,113.42
WX1 N:02_0_N Comdty,2010-04-27,113.64
WX1 N:02_0_N Comdty,2010-04-28,113.82
WX1 N:02_0_N Comdty,2010-04-29,113.77
WX1 N:02_0_N Comdty,2010-04-30,114.19
WX1 N:02_0_N Comdty,2010-05-03,114.19
WX1 N:02_0_N Comdty,2010-05-04,114.48
WX1 N:02_0_N Comdty,2010-05-05,114.6
WX1 N:02_0_N Comdty,2010-05-06,114.59
WX1 N:02_0_N Comdty,2010-05-07,114.61
WX1 N:02_0_N Comdty,2010-05-10,114.31
WX1 N:02_0_N Comdty,2010-05-11,114.34
WX1 N:02_0_N Comdty,2010-05-12,114.61
WX1 N:02_0_N Comdty,2010-05-13,114.92
WX1 N:02_0_N Comdty,2010-05-14,115.39
