name,date,PX_LAST
XP1 N:02_0_N Index,2000-05-02,3178.27975
XP1 N:02_0_N Index,2000-05-03,3186.84017
XP1 N:02_0_N Index,2000-05-04,3158.45736
XP1 N:02_0_N Index,2000-05-05,3217.3896
XP1 N:02_0_N Index,2000-05-08,3143.77233
XP1 N:02_0_N Index,2000-05-09,3093.09751
XP1 N:02_0_N Index,2000-05-10,3022.80347
XP1 N:02_0_N Index,2000-05-11,2982.56662
XP1 N:02_0_N Index,2000-05-12,3011.2048
XP1 N:02_0_N Index,2000-05-15,2982.67833
XP1 N:02_0_N Index,2000-05-16,3058.74552
XP1 N:02_0_N Index,2000-05-17,3033.04812
XP1 N:02_0_N Index,2000-05-18,3021.17297
XP1 N:02_0_N Index,2000-05-19,3013.97534
XP1 N:02_0_N Index,2000-05-22,2962.17432
XP1 N:02_0_N Index,2000-05-23,2983.84425
XP1 N:02_0_N Index,2000-05-24,2947.00976
XP1 N:02_0_N Index,2000-05-25,2958.2798
XP1 N:02_0_N Index,2000-05-26,2897.99809
XP1 N:02_0_N Index,2000-05-29,2940.81542
XP1 N:02_0_N Index,2000-05-30,2957.02061
XP1 N:02_0_N Index,2000-05-31,2971.94967
XP1 N:02_0_N Index,2000-06-01,3007.26647
XP1 N:02_0_N Index,2000-06-02,3036.7076
XP1 N:02_0_N Index,2000-06-05,3056.76334
XP1 N:02_0_N Index,2000-06-06,3051.00045
XP1 N:02_0_N Index,2000-06-07,3012.60408
XP1 N:02_0_N Index,2000-06-08,3009.0941
XP1 N:02_0_N Index,2000-06-09,3033.28956
XP1 N:02_0_N Index,2000-06-12,3041.90094
XP1 N:02_0_N Index,2000-06-13,3028.33704
XP1 N:02_0_N Index,2000-06-14,3052.73725
XP1 N:02_0_N Index,2000-06-15,3091.07589
XP1 N:02_0_N Index,2000-06-16,3090.00115
XP1 N:02_0_N Index,2000-06-19,3075.89775
XP1 N:02_0_N Index,2000-06-20,3087.10024
XP1 N:02_0_N Index,2000-06-21,3130.71736
XP1 N:02_0_N Index,2000-06-22,3112.97035
XP1 N:02_0_N Index,2000-06-23,3145.50702
XP1 N:02_0_N Index,2000-06-26,3131.07647
XP1 N:02_0_N Index,2000-06-27,3149.80872
XP1 N:02_0_N Index,2000-06-28,3164.15419
XP1 N:02_0_N Index,2000-06-29,3248.64573
XP1 N:02_0_N Index,2000-06-30,3260.8689
XP1 N:02_0_N Index,2000-07-03,3284.21387
XP1 N:02_0_N Index,2000-07-04,3275.95141
XP1 N:02_0_N Index,2000-07-05,3228.8372
XP1 N:02_0_N Index,2000-07-06,3218.36501
XP1 N:02_0_N Index,2000-07-07,3209.1221
XP1 N:02_0_N Index,2000-07-10,3230.91364
XP1 N:02_0_N Index,2000-07-11,3214.07056
XP1 N:02_0_N Index,2000-07-12,3254.9953
XP1 N:02_0_N Index,2000-07-13,3238.15186
XP1 N:02_0_N Index,2000-07-14,3234.47448
XP1 N:02_0_N Index,2000-07-17,3259.19423
XP1 N:02_0_N Index,2000-07-18,3237.55745
XP1 N:02_0_N Index,2000-07-19,3241.83373
XP1 N:02_0_N Index,2000-07-20,3225.84212
XP1 N:02_0_N Index,2000-07-21,3268.43032
XP1 N:02_0_N Index,2000-07-24,3258.9567
XP1 N:02_0_N Index,2000-07-25,3197.49827
XP1 N:02_0_N Index,2000-07-26,3222.46899
XP1 N:02_0_N Index,2000-07-27,3205.36339
XP1 N:02_0_N Index,2000-07-28,3239.12388
XP1 N:02_0_N Index,2000-07-31,3155.48713
XP1 N:02_0_N Index,2000-08-01,3172.92248
XP1 N:02_0_N Index,2000-08-02,3249.23465
XP1 N:02_0_N Index,2000-08-03,3288.8912
XP1 N:02_0_N Index,2000-08-04,3266.55291
XP1 N:02_0_N Index,2000-08-07,3316.44799
XP1 N:02_0_N Index,2000-08-08,3323.90366
XP1 N:02_0_N Index,2000-08-09,3306.83668
XP1 N:02_0_N Index,2000-08-10,3293.40783
XP1 N:02_0_N Index,2000-08-11,3308.72014
XP1 N:02_0_N Index,2000-08-14,3314.00042
XP1 N:02_0_N Index,2000-08-15,3320.6808
XP1 N:02_0_N Index,2000-08-16,3387.38636
XP1 N:02_0_N Index,2000-08-17,3403.665
XP1 N:02_0_N Index,2000-08-18,3422.70149
XP1 N:02_0_N Index,2000-08-21,3411.50231
XP1 N:02_0_N Index,2000-08-22,3417.03539
XP1 N:02_0_N Index,2000-08-23,3328.06244
XP1 N:02_0_N Index,2000-08-24,3319.09095
XP1 N:02_0_N Index,2000-08-25,3320.62429
XP1 N:02_0_N Index,2000-08-28,3308.18976
XP1 N:02_0_N Index,2000-08-29,3343.69717
XP1 N:02_0_N Index,2000-08-30,3329.1789
XP1 N:02_0_N Index,2000-08-31,3302.60532
XP1 N:02_0_N Index,2000-09-01,3317.9724
XP1 N:02_0_N Index,2000-09-04,3341.25064
XP1 N:02_0_N Index,2000-09-05,3339.24586
XP1 N:02_0_N Index,2000-09-06,3349.4595
XP1 N:02_0_N Index,2000-09-07,3261.50613
XP1 N:02_0_N Index,2000-09-08,3305.37504
XP1 N:02_0_N Index,2000-09-11,3274.54471
XP1 N:02_0_N Index,2000-09-12,3289.47159
XP1 N:02_0_N Index,2000-09-13,3272.58955
XP1 N:02_0_N Index,2000-09-14,3252.99735
XP1 N:02_0_N Index,2000-09-15,3242.55472
XP1 N:02_0_N Index,2000-09-18,3165.06426
XP1 N:02_0_N Index,2000-09-19,3128.33844
XP1 N:02_0_N Index,2000-09-20,3131.0095
XP1 N:02_0_N Index,2000-09-21,3112.22614
XP1 N:02_0_N Index,2000-09-22,2996.25563
XP1 N:02_0_N Index,2000-09-25,3080.28155
XP1 N:02_0_N Index,2000-09-26,3079.80696
XP1 N:02_0_N Index,2000-09-27,3096.53402
XP1 N:02_0_N Index,2000-09-28,3166.02408
XP1 N:02_0_N Index,2000-09-29,3101.62459
XP1 N:02_0_N Index,2000-10-02,3163.31811
XP1 N:02_0_N Index,2000-10-03,3156.97516
XP1 N:02_0_N Index,2000-10-04,3133.24237
XP1 N:02_0_N Index,2000-10-05,3133.38786
XP1 N:02_0_N Index,2000-10-06,3115.88471
XP1 N:02_0_N Index,2000-10-09,3118.71584
XP1 N:02_0_N Index,2000-10-10,3085.29984
XP1 N:02_0_N Index,2000-10-11,3054.14658
XP1 N:02_0_N Index,2000-10-12,3017.68133
XP1 N:02_0_N Index,2000-10-13,3020.29182
XP1 N:02_0_N Index,2000-10-16,3066.85989
XP1 N:02_0_N Index,2000-10-17,3035.6265
XP1 N:02_0_N Index,2000-10-18,3027.07522
XP1 N:02_0_N Index,2000-10-19,3010.61459
XP1 N:02_0_N Index,2000-10-20,3093.17755
XP1 N:02_0_N Index,2000-10-23,3113.82925
XP1 N:02_0_N Index,2000-10-24,3108.40685
XP1 N:02_0_N Index,2000-10-25,3110.32479
XP1 N:02_0_N Index,2000-10-26,3087.27525
XP1 N:02_0_N Index,2000-10-27,3100.08028
XP1 N:02_0_N Index,2000-10-30,3098.58445
XP1 N:02_0_N Index,2000-10-31,3061.28206
XP1 N:02_0_N Index,2000-11-01,3056.63297
XP1 N:02_0_N Index,2000-11-02,3080.79855
XP1 N:02_0_N Index,2000-11-03,3102.95105
XP1 N:02_0_N Index,2000-11-06,3147.49479
XP1 N:02_0_N Index,2000-11-07,3185.77385
XP1 N:02_0_N Index,2000-11-08,3195.56483
XP1 N:02_0_N Index,2000-11-09,3138.57315
XP1 N:02_0_N Index,2000-11-10,3066.79706
XP1 N:02_0_N Index,2000-11-13,3053.83624
XP1 N:02_0_N Index,2000-11-14,3075.23981
XP1 N:02_0_N Index,2000-11-15,3112.42194
XP1 N:02_0_N Index,2000-11-16,3096.80988
XP1 N:02_0_N Index,2000-11-17,3135.00535
XP1 N:02_0_N Index,2000-11-20,3099.01484
XP1 N:02_0_N Index,2000-11-21,3066.97761
XP1 N:02_0_N Index,2000-11-22,3145.76631
XP1 N:02_0_N Index,2000-11-23,3115.95439
XP1 N:02_0_N Index,2000-11-24,3115.28741
XP1 N:02_0_N Index,2000-11-27,3117.55897
XP1 N:02_0_N Index,2000-11-28,3064.97572
XP1 N:02_0_N Index,2000-11-29,3034.2922
XP1 N:02_0_N Index,2000-11-30,2997.37565
XP1 N:02_0_N Index,2000-12-01,3078.39374
XP1 N:02_0_N Index,2000-12-04,3071.14552
XP1 N:02_0_N Index,2000-12-05,3100.29635
XP1 N:02_0_N Index,2000-12-06,3122.04255
XP1 N:02_0_N Index,2000-12-07,3120.47342
XP1 N:02_0_N Index,2000-12-08,3093.08619
XP1 N:02_0_N Index,2000-12-11,3095.42487
XP1 N:02_0_N Index,2000-12-12,3106.31383
XP1 N:02_0_N Index,2000-12-13,3087.6635
XP1 N:02_0_N Index,2000-12-14,3019.92108
XP1 N:02_0_N Index,2000-12-15,2986.57838
XP1 N:02_0_N Index,2000-12-18,2960.63182
XP1 N:02_0_N Index,2000-12-19,3005.24466
XP1 N:02_0_N Index,2000-12-20,2993.35496
XP1 N:02_0_N Index,2000-12-21,2955.92397
XP1 N:02_0_N Index,2000-12-22,2933.44577
XP1 N:02_0_N Index,2000-12-27,2947.04383
XP1 N:02_0_N Index,2000-12-28,2961.98662
XP1 N:02_0_N Index,2000-12-29,2918.87523
XP1 N:02_0_N Index,2001-01-01,2925.01843
XP1 N:02_0_N Index,2001-01-02,2963.99353
XP1 N:02_0_N Index,2001-01-03,2944.75546
XP1 N:02_0_N Index,2001-01-04,3023.74123
XP1 N:02_0_N Index,2001-01-05,3026.04474
XP1 N:02_0_N Index,2001-01-08,2987.55032
XP1 N:02_0_N Index,2001-01-09,2981.93445
XP1 N:02_0_N Index,2001-01-10,2946.73978
XP1 N:02_0_N Index,2001-01-11,2948.48033
XP1 N:02_0_N Index,2001-01-12,2945.11534
XP1 N:02_0_N Index,2001-01-15,2953.83024
XP1 N:02_0_N Index,2001-01-16,2974.45002
XP1 N:02_0_N Index,2001-01-17,2993.26316
XP1 N:02_0_N Index,2001-01-18,2988.25448
XP1 N:02_0_N Index,2001-01-19,3056.77892
XP1 N:02_0_N Index,2001-01-22,3030.85691
XP1 N:02_0_N Index,2001-01-23,2978.26357
XP1 N:02_0_N Index,2001-01-24,2992.92693
XP1 N:02_0_N Index,2001-01-25,3003.54449
XP1 N:02_0_N Index,2001-01-26,3000.33205
XP1 N:02_0_N Index,2001-01-29,2996.06434
XP1 N:02_0_N Index,2001-01-30,3011.36369
XP1 N:02_0_N Index,2001-01-31,3005.04708
XP1 N:02_0_N Index,2001-02-01,3036.11717
XP1 N:02_0_N Index,2001-02-02,3050.65092
XP1 N:02_0_N Index,2001-02-05,2995.16025
XP1 N:02_0_N Index,2001-02-06,3035.09907
XP1 N:02_0_N Index,2001-02-07,2983.39685
XP1 N:02_0_N Index,2001-02-08,2978.62307
XP1 N:02_0_N Index,2001-02-09,2935.87788
XP1 N:02_0_N Index,2001-02-12,2975.46377
XP1 N:02_0_N Index,2001-02-13,2983.80396
XP1 N:02_0_N Index,2001-02-14,2953.86371
XP1 N:02_0_N Index,2001-02-15,2947.62786
XP1 N:02_0_N Index,2001-02-16,2949.09782
XP1 N:02_0_N Index,2001-02-19,2908.63953
XP1 N:02_0_N Index,2001-02-20,2926.83668
XP1 N:02_0_N Index,2001-02-21,2930.23566
XP1 N:02_0_N Index,2001-02-22,2930.24918
XP1 N:02_0_N Index,2001-02-23,2898.92986
XP1 N:02_0_N Index,2001-02-26,2906.77499
XP1 N:02_0_N Index,2001-02-27,2903.59352
XP1 N:02_0_N Index,2001-02-28,2919.73475
XP1 N:02_0_N Index,2001-03-01,2913.56853
XP1 N:02_0_N Index,2001-03-02,2915.78642
XP1 N:02_0_N Index,2001-03-05,2884.30815
XP1 N:02_0_N Index,2001-03-06,2858.34402
XP1 N:02_0_N Index,2001-03-07,2841.11257
XP1 N:02_0_N Index,2001-03-08,2819.63802
XP1 N:02_0_N Index,2001-03-09,2818.53272
XP1 N:02_0_N Index,2001-03-12,2806.63238
XP1 N:02_0_N Index,2001-03-13,2776.03902
XP1 N:02_0_N Index,2001-03-14,2721.98054
XP1 N:02_0_N Index,2001-03-15,2733.40707
XP1 N:02_0_N Index,2001-03-16,2758.31815
XP1 N:02_0_N Index,2001-03-19,2735.79789
XP1 N:02_0_N Index,2001-03-20,2758.08483
XP1 N:02_0_N Index,2001-03-21,2734.88254
XP1 N:02_0_N Index,2001-03-22,2711.57701
XP1 N:02_0_N Index,2001-03-23,2688.72881
XP1 N:02_0_N Index,2001-03-26,2713.23446
XP1 N:02_0_N Index,2001-03-27,2719.13562
XP1 N:02_0_N Index,2001-03-28,2706.17184
XP1 N:02_0_N Index,2001-03-29,2736.61407
XP1 N:02_0_N Index,2001-03-30,2698.95569
XP1 N:02_0_N Index,2001-04-02,2714.05794
XP1 N:02_0_N Index,2001-04-03,2690.07692
XP1 N:02_0_N Index,2001-04-04,2669.04875
XP1 N:02_0_N Index,2001-04-05,2706.1731
XP1 N:02_0_N Index,2001-04-06,2732.48354
XP1 N:02_0_N Index,2001-04-09,2705.17137
XP1 N:02_0_N Index,2001-04-10,2761.08164
XP1 N:02_0_N Index,2001-04-11,2826.47427
XP1 N:02_0_N Index,2001-04-12,2870.61452
XP1 N:02_0_N Index,2001-04-13,2866.8432
XP1 N:02_0_N Index,2001-04-17,2863.93041
