name,date,PX_LAST
XQ1 N:02_0_N Comdty,1995-01-19,98.02
XQ1 N:02_0_N Comdty,1995-01-20,97.5
XQ1 N:02_0_N Comdty,1995-01-23,97.88
XQ1 N:02_0_N Comdty,1995-01-24,98.22
XQ1 N:02_0_N Comdty,1995-01-25,98.65
XQ1 N:02_0_N Comdty,1995-01-26,98.85
XQ1 N:02_0_N Comdty,1995-01-27,99.55
XQ1 N:02_0_N Comdty,1995-01-30,99.0
XQ1 N:02_0_N Comdty,1995-01-31,99.3
XQ1 N:02_0_N Comdty,1995-02-01,99.45
XQ1 N:02_0_N Comdty,1995-02-02,99.5
XQ1 N:02_0_N Comdty,1995-02-03,100.6
XQ1 N:02_0_N Comdty,1995-02-06,100.75
XQ1 N:02_0_N Comdty,1995-02-07,100.75
XQ1 N:02_0_N Comdty,1995-02-08,100.8
XQ1 N:02_0_N Comdty,1995-02-09,100.65
XQ1 N:02_0_N Comdty,1995-02-10,100.04
XQ1 N:02_0_N Comdty,1995-02-13,100.0
XQ1 N:02_0_N Comdty,1995-02-14,100.55
XQ1 N:02_0_N Comdty,1995-02-15,100.9
XQ1 N:02_0_N Comdty,1995-02-16,100.48
XQ1 N:02_0_N Comdty,1995-02-17,100.58
XQ1 N:02_0_N Comdty,1995-02-20,100.7
XQ1 N:02_0_N Comdty,1995-02-21,100.9
XQ1 N:02_0_N Comdty,1995-02-22,101.45
XQ1 N:02_0_N Comdty,1995-03-03,101.56
XQ1 N:02_0_N Comdty,1995-03-06,100.8
XQ1 N:02_0_N Comdty,1995-03-09,102.3
XQ1 N:02_0_N Comdty,1995-03-10,102.45
XQ1 N:02_0_N Comdty,1995-03-13,102.7
XQ1 N:02_0_N Comdty,1995-03-14,102.75
XQ1 N:02_0_N Comdty,1995-03-15,102.75
XQ1 N:02_0_N Comdty,1995-03-16,102.73
XQ1 N:02_0_N Comdty,1995-03-17,102.38
XQ1 N:02_0_N Comdty,1995-03-20,102.35
XQ1 N:02_0_N Comdty,1995-03-21,102.25
XQ1 N:02_0_N Comdty,1995-03-22,102.18
XQ1 N:02_0_N Comdty,1995-03-23,102.2
XQ1 N:02_0_N Comdty,1995-03-24,102.55
XQ1 N:02_0_N Comdty,1995-03-27,102.9
XQ1 N:02_0_N Comdty,1995-03-28,102.5
XQ1 N:02_0_N Comdty,1995-03-29,102.57
XQ1 N:02_0_N Comdty,1995-03-30,102.52
XQ1 N:02_0_N Comdty,1995-03-31,102.61
XQ1 N:02_0_N Comdty,1995-04-03,102.73
XQ1 N:02_0_N Comdty,1995-04-04,102.93
XQ1 N:02_0_N Comdty,1995-04-05,102.84
XQ1 N:02_0_N Comdty,1995-04-06,102.88
XQ1 N:02_0_N Comdty,1995-04-07,102.82
XQ1 N:02_0_N Comdty,1995-04-10,103.0
XQ1 N:02_0_N Comdty,1995-04-11,103.0
XQ1 N:02_0_N Comdty,1995-04-12,103.04
XQ1 N:02_0_N Comdty,1995-04-13,103.28
XQ1 N:02_0_N Comdty,1995-04-17,103.55
XQ1 N:02_0_N Comdty,1995-04-18,103.55
XQ1 N:02_0_N Comdty,1995-04-19,103.35
XQ1 N:02_0_N Comdty,1995-04-20,103.45
XQ1 N:02_0_N Comdty,1995-04-21,103.44
XQ1 N:02_0_N Comdty,1995-04-24,103.5
XQ1 N:02_0_N Comdty,1995-04-25,103.6
XQ1 N:02_0_N Comdty,1995-04-26,103.64
XQ1 N:02_0_N Comdty,1995-04-27,103.55
XQ1 N:02_0_N Comdty,1995-04-28,103.67
XQ1 N:02_0_N Comdty,1995-05-01,103.6
XQ1 N:02_0_N Comdty,1995-05-02,103.65
XQ1 N:02_0_N Comdty,1995-05-03,103.71
XQ1 N:02_0_N Comdty,1995-05-04,104.25
XQ1 N:02_0_N Comdty,1995-05-05,105.13
XQ1 N:02_0_N Comdty,1995-05-08,105.35
XQ1 N:02_0_N Comdty,1995-05-09,105.82
XQ1 N:02_0_N Comdty,1995-05-10,105.8
XQ1 N:02_0_N Comdty,1995-05-11,105.1
XQ1 N:02_0_N Comdty,1995-05-12,104.8
XQ1 N:02_0_N Comdty,1995-05-15,105.0
XQ1 N:02_0_N Comdty,1995-05-16,105.22
XQ1 N:02_0_N Comdty,1995-05-17,104.9
XQ1 N:02_0_N Comdty,1995-05-18,104.75
XQ1 N:02_0_N Comdty,1995-05-19,104.8
XQ1 N:02_0_N Comdty,1995-05-23,104.8
XQ1 N:02_0_N Comdty,1995-05-24,105.55
XQ1 N:02_0_N Comdty,1995-05-25,105.45
XQ1 N:02_0_N Comdty,1995-05-26,104.65
XQ1 N:02_0_N Comdty,1995-05-29,104.89
XQ1 N:02_0_N Comdty,1995-05-30,105.18
XQ1 N:02_0_N Comdty,1995-05-31,105.18
XQ1 N:02_0_N Comdty,1995-06-01,105.45
XQ1 N:02_0_N Comdty,1995-06-02,106.15
XQ1 N:02_0_N Comdty,1995-06-05,106.2
XQ1 N:02_0_N Comdty,1995-06-06,106.0
XQ1 N:02_0_N Comdty,1995-06-07,105.87
XQ1 N:02_0_N Comdty,1995-06-08,105.6
XQ1 N:02_0_N Comdty,1995-06-09,105.2
XQ1 N:02_0_N Comdty,1995-06-12,105.08
XQ1 N:02_0_N Comdty,1995-06-13,105.77
XQ1 N:02_0_N Comdty,1995-06-14,105.85
XQ1 N:02_0_N Comdty,1995-06-15,105.75
XQ1 N:02_0_N Comdty,1995-06-16,105.5
XQ1 N:02_0_N Comdty,1995-06-19,105.69
XQ1 N:02_0_N Comdty,1995-06-20,105.58
XQ1 N:02_0_N Comdty,1995-06-21,105.68
XQ1 N:02_0_N Comdty,1995-06-22,106.2
XQ1 N:02_0_N Comdty,1995-06-23,106.13
XQ1 N:02_0_N Comdty,1995-06-26,105.88
XQ1 N:02_0_N Comdty,1995-06-27,105.74
XQ1 N:02_0_N Comdty,1995-06-28,105.77
XQ1 N:02_0_N Comdty,1995-06-29,105.2
XQ1 N:02_0_N Comdty,1995-06-30,105.16
XQ1 N:02_0_N Comdty,1995-07-04,105.05
XQ1 N:02_0_N Comdty,1995-07-05,105.04
XQ1 N:02_0_N Comdty,1995-07-06,105.55
XQ1 N:02_0_N Comdty,1995-07-07,106.0
XQ1 N:02_0_N Comdty,1995-07-10,106.55
XQ1 N:02_0_N Comdty,1995-07-11,106.25
XQ1 N:02_0_N Comdty,1995-07-12,106.2
XQ1 N:02_0_N Comdty,1995-07-13,106.06
XQ1 N:02_0_N Comdty,1995-07-14,105.61
XQ1 N:02_0_N Comdty,1995-07-17,105.28
XQ1 N:02_0_N Comdty,1995-07-18,104.9
XQ1 N:02_0_N Comdty,1995-07-19,104.1
XQ1 N:02_0_N Comdty,1995-07-20,104.43
XQ1 N:02_0_N Comdty,1995-07-21,104.3
XQ1 N:02_0_N Comdty,1995-07-24,104.3
XQ1 N:02_0_N Comdty,1995-07-25,104.41
XQ1 N:02_0_N Comdty,1995-07-26,104.2
XQ1 N:02_0_N Comdty,1995-07-27,104.13
XQ1 N:02_0_N Comdty,1995-07-28,103.8
XQ1 N:02_0_N Comdty,1995-07-31,103.53
XQ1 N:02_0_N Comdty,1995-08-01,103.4
XQ1 N:02_0_N Comdty,1995-08-02,103.8
XQ1 N:02_0_N Comdty,1995-08-03,103.72
XQ1 N:02_0_N Comdty,1995-08-04,103.87
XQ1 N:02_0_N Comdty,1995-08-07,103.87
XQ1 N:02_0_N Comdty,1995-08-08,104.0
XQ1 N:02_0_N Comdty,1995-08-09,104.05
XQ1 N:02_0_N Comdty,1995-08-10,104.31
XQ1 N:02_0_N Comdty,1995-08-11,104.0
XQ1 N:02_0_N Comdty,1995-08-14,103.6
XQ1 N:02_0_N Comdty,1995-08-15,103.53
XQ1 N:02_0_N Comdty,1995-08-16,103.8
XQ1 N:02_0_N Comdty,1995-08-17,103.76
XQ1 N:02_0_N Comdty,1995-08-18,103.9
XQ1 N:02_0_N Comdty,1995-08-21,104.25
XQ1 N:02_0_N Comdty,1995-08-22,103.96
XQ1 N:02_0_N Comdty,1995-08-23,103.91
XQ1 N:02_0_N Comdty,1995-08-24,104.45
XQ1 N:02_0_N Comdty,1995-08-25,104.8
XQ1 N:02_0_N Comdty,1995-08-28,104.43
XQ1 N:02_0_N Comdty,1995-08-29,104.04
XQ1 N:02_0_N Comdty,1995-08-30,104.37
XQ1 N:02_0_N Comdty,1995-08-31,104.5
XQ1 N:02_0_N Comdty,1995-09-01,104.74
XQ1 N:02_0_N Comdty,1995-09-05,104.82
XQ1 N:02_0_N Comdty,1995-09-06,104.7
XQ1 N:02_0_N Comdty,1995-09-07,104.1
XQ1 N:02_0_N Comdty,1995-09-08,103.82
XQ1 N:02_0_N Comdty,1995-09-11,103.8
XQ1 N:02_0_N Comdty,1995-09-12,103.88
XQ1 N:02_0_N Comdty,1995-09-13,103.83
XQ1 N:02_0_N Comdty,1995-09-14,104.35
XQ1 N:02_0_N Comdty,1995-09-15,104.67
XQ1 N:02_0_N Comdty,1995-09-18,104.75
XQ1 N:02_0_N Comdty,1995-09-19,105.08
XQ1 N:02_0_N Comdty,1995-09-20,104.87
XQ1 N:02_0_N Comdty,1995-09-21,104.76
XQ1 N:02_0_N Comdty,1995-09-22,104.74
XQ1 N:02_0_N Comdty,1995-09-25,105.13
XQ1 N:02_0_N Comdty,1995-09-26,104.9
XQ1 N:02_0_N Comdty,1995-09-27,104.81
XQ1 N:02_0_N Comdty,1995-09-28,105.0
XQ1 N:02_0_N Comdty,1995-09-29,105.43
XQ1 N:02_0_N Comdty,1995-10-02,105.65
XQ1 N:02_0_N Comdty,1995-10-03,105.85
XQ1 N:02_0_N Comdty,1995-10-04,105.7
XQ1 N:02_0_N Comdty,1995-10-05,105.9
XQ1 N:02_0_N Comdty,1995-10-06,106.05
XQ1 N:02_0_N Comdty,1995-10-10,105.95
