name,date,PX_LAST
Z 1 N:02_0_N Index,1988-02-26,4349.83692
Z 1 N:02_0_N Index,1988-02-29,4346.4938
Z 1 N:02_0_N Index,1988-03-01,4415.63795
Z 1 N:02_0_N Index,1988-03-02,4477.32822
Z 1 N:02_0_N Index,1988-03-03,4500.02498
Z 1 N:02_0_N Index,1988-03-04,4567.53909
Z 1 N:02_0_N Index,1988-03-07,4581.17784
Z 1 N:02_0_N Index,1988-03-08,4626.87924
Z 1 N:02_0_N Index,1988-03-09,4658.47402
Z 1 N:02_0_N Index,1988-03-10,4663.31284
Z 1 N:02_0_N Index,1988-03-11,4580.01726
Z 1 N:02_0_N Index,1988-03-14,4620.57286
Z 1 N:02_0_N Index,1988-03-15,4690.28976
Z 1 N:02_0_N Index,1988-03-16,4690.70643
Z 1 N:02_0_N Index,1988-03-17,4727.80859
Z 1 N:02_0_N Index,1988-03-18,4789.47744
Z 1 N:02_0_N Index,1988-03-21,4761.47895
Z 1 N:02_0_N Index,1988-03-22,4762.86851
Z 1 N:02_0_N Index,1988-03-23,4735.59918
Z 1 N:02_0_N Index,1988-03-24,4606.87338
Z 1 N:02_0_N Index,1988-03-25,4477.73503
Z 1 N:02_0_N Index,1988-03-28,4433.27146
Z 1 N:02_0_N Index,1988-03-29,4562.56478
Z 1 N:02_0_N Index,1988-03-30,4551.19569
Z 1 N:02_0_N Index,1988-03-31,4490.41237
Z 1 N:02_0_N Index,1988-04-05,4533.98529
Z 1 N:02_0_N Index,1988-04-06,4589.83125
Z 1 N:02_0_N Index,1988-04-07,4625.69014
Z 1 N:02_0_N Index,1988-04-08,4664.85478
Z 1 N:02_0_N Index,1988-04-11,4735.4257
Z 1 N:02_0_N Index,1988-04-12,4709.01176
Z 1 N:02_0_N Index,1988-04-13,4697.33931
Z 1 N:02_0_N Index,1988-04-14,4596.21219
Z 1 N:02_0_N Index,1988-04-15,4595.55616
Z 1 N:02_0_N Index,1988-04-18,4656.75917
Z 1 N:02_0_N Index,1988-04-19,4672.28538
Z 1 N:02_0_N Index,1988-04-20,4631.18815
Z 1 N:02_0_N Index,1988-04-21,4698.23328
Z 1 N:02_0_N Index,1988-04-22,4617.93346
Z 1 N:02_0_N Index,1988-04-25,4646.64024
Z 1 N:02_0_N Index,1988-04-26,4690.1745
Z 1 N:02_0_N Index,1988-04-27,4705.12846
Z 1 N:02_0_N Index,1988-04-28,4662.7485
Z 1 N:02_0_N Index,1988-04-29,4685.66465
Z 1 N:02_0_N Index,1988-05-03,4706.41417
Z 1 N:02_0_N Index,1988-05-04,4677.6576
Z 1 N:02_0_N Index,1988-05-05,4651.60413
Z 1 N:02_0_N Index,1988-05-06,4659.78534
Z 1 N:02_0_N Index,1988-05-09,4702.04229
Z 1 N:02_0_N Index,1988-05-10,4681.61806
Z 1 N:02_0_N Index,1988-05-11,4589.06612
Z 1 N:02_0_N Index,1988-05-12,4624.8796
Z 1 N:02_0_N Index,1988-05-13,4686.56741
Z 1 N:02_0_N Index,1988-05-16,4688.02858
Z 1 N:02_0_N Index,1988-05-17,4719.86475
Z 1 N:02_0_N Index,1988-05-18,4697.87555
Z 1 N:02_0_N Index,1988-05-19,4636.46475
Z 1 N:02_0_N Index,1988-05-20,4651.33671
Z 1 N:02_0_N Index,1988-05-23,4636.28813
Z 1 N:02_0_N Index,1988-05-24,4712.40135
Z 1 N:02_0_N Index,1988-05-25,4722.84473
Z 1 N:02_0_N Index,1988-05-26,4699.6984
Z 1 N:02_0_N Index,1988-05-27,4712.47273
Z 1 N:02_0_N Index,1988-05-31,4709.51086
Z 1 N:02_0_N Index,1988-06-01,4755.41703
Z 1 N:02_0_N Index,1988-06-02,4679.15257
Z 1 N:02_0_N Index,1988-06-03,4684.58788
Z 1 N:02_0_N Index,1988-06-06,4699.88309
Z 1 N:02_0_N Index,1988-06-07,4697.59171
Z 1 N:02_0_N Index,1988-06-08,4727.04028
Z 1 N:02_0_N Index,1988-06-09,4786.83018
Z 1 N:02_0_N Index,1988-06-10,4802.68477
Z 1 N:02_0_N Index,1988-06-13,4792.53099
Z 1 N:02_0_N Index,1988-06-14,4864.14303
Z 1 N:02_0_N Index,1988-06-15,4915.81319
Z 1 N:02_0_N Index,1988-06-16,4862.54253
Z 1 N:02_0_N Index,1988-06-20,4854.99368
Z 1 N:02_0_N Index,1988-06-21,4891.28762
Z 1 N:02_0_N Index,1988-06-22,4924.16186
Z 1 N:02_0_N Index,1988-06-23,4910.81595
Z 1 N:02_0_N Index,1988-06-24,4869.00397
Z 1 N:02_0_N Index,1988-06-27,4762.10238
Z 1 N:02_0_N Index,1988-06-28,4802.27042
Z 1 N:02_0_N Index,1988-06-29,4840.8004
Z 1 N:02_0_N Index,1988-06-30,4790.92786
Z 1 N:02_0_N Index,1988-07-01,4773.05533
Z 1 N:02_0_N Index,1988-07-05,4794.20851
Z 1 N:02_0_N Index,1988-07-06,4821.28814
Z 1 N:02_0_N Index,1988-07-07,4807.65004
Z 1 N:02_0_N Index,1988-07-08,4880.80686
Z 1 N:02_0_N Index,1988-07-11,4852.42674
Z 1 N:02_0_N Index,1988-07-12,4812.64827
Z 1 N:02_0_N Index,1988-07-13,4827.74639
Z 1 N:02_0_N Index,1988-07-14,4821.8957
Z 1 N:02_0_N Index,1988-07-15,4819.82151
Z 1 N:02_0_N Index,1988-07-18,4819.82407
Z 1 N:02_0_N Index,1988-07-19,4823.62992
Z 1 N:02_0_N Index,1988-07-20,4874.37744
Z 1 N:02_0_N Index,1988-07-21,4898.18323
Z 1 N:02_0_N Index,1988-07-22,4870.59408
Z 1 N:02_0_N Index,1988-07-25,4848.69486
Z 1 N:02_0_N Index,1988-07-26,4853.856
Z 1 N:02_0_N Index,1988-07-27,4872.11914
Z 1 N:02_0_N Index,1988-07-28,4890.27508
Z 1 N:02_0_N Index,1988-07-29,4925.36088
Z 1 N:02_0_N Index,1988-08-01,4979.48887
Z 1 N:02_0_N Index,1988-08-02,4940.29688
Z 1 N:02_0_N Index,1988-08-03,4997.86719
Z 1 N:02_0_N Index,1988-08-04,5009.65938
Z 1 N:02_0_N Index,1988-08-05,5022.10848
Z 1 N:02_0_N Index,1988-08-08,5055.37403
Z 1 N:02_0_N Index,1988-08-09,5019.72894
Z 1 N:02_0_N Index,1988-08-10,4981.09291
Z 1 N:02_0_N Index,1988-08-11,4929.91857
Z 1 N:02_0_N Index,1988-08-12,4955.93677
Z 1 N:02_0_N Index,1988-08-15,4892.21691
Z 1 N:02_0_N Index,1988-08-16,4892.35548
Z 1 N:02_0_N Index,1988-08-17,4960.10374
Z 1 N:02_0_N Index,1988-08-18,4949.89413
Z 1 N:02_0_N Index,1988-08-19,4987.0992
Z 1 N:02_0_N Index,1988-08-22,4930.5892
Z 1 N:02_0_N Index,1988-08-23,4888.35813
Z 1 N:02_0_N Index,1988-08-24,4860.65485
Z 1 N:02_0_N Index,1988-08-25,4758.25763
Z 1 N:02_0_N Index,1988-08-26,4683.94546
Z 1 N:02_0_N Index,1988-08-30,4661.02
Z 1 N:02_0_N Index,1988-08-31,4669.50114
Z 1 N:02_0_N Index,1988-09-01,4562.29328
Z 1 N:02_0_N Index,1988-09-02,4585.3133
Z 1 N:02_0_N Index,1988-09-06,4667.67903
Z 1 N:02_0_N Index,1988-09-07,4657.62001
Z 1 N:02_0_N Index,1988-09-08,4605.9117
Z 1 N:02_0_N Index,1988-09-09,4591.37723
Z 1 N:02_0_N Index,1988-09-12,4589.78443
Z 1 N:02_0_N Index,1988-09-13,4628.0275
Z 1 N:02_0_N Index,1988-09-14,4669.41609
Z 1 N:02_0_N Index,1988-09-15,4677.6576
Z 1 N:02_0_N Index,1988-09-19,4705.21473
Z 1 N:02_0_N Index,1988-09-20,4731.18576
Z 1 N:02_0_N Index,1988-09-21,4790.46918
Z 1 N:02_0_N Index,1988-09-22,4756.93978
Z 1 N:02_0_N Index,1988-09-23,4771.43883
Z 1 N:02_0_N Index,1988-09-26,4782.97765
Z 1 N:02_0_N Index,1988-09-27,4849.87323
Z 1 N:02_0_N Index,1988-09-28,4881.26184
Z 1 N:02_0_N Index,1988-09-29,4912.58855
Z 1 N:02_0_N Index,1988-09-30,4918.93214
Z 1 N:02_0_N Index,1988-10-03,4869.77071
Z 1 N:02_0_N Index,1988-10-04,4854.27024
Z 1 N:02_0_N Index,1988-10-05,4917.97679
Z 1 N:02_0_N Index,1988-10-06,4947.55569
Z 1 N:02_0_N Index,1988-10-07,4944.47412
Z 1 N:02_0_N Index,1988-10-10,4963.254
Z 1 N:02_0_N Index,1988-10-11,4992.68827
Z 1 N:02_0_N Index,1988-10-12,4922.54596
Z 1 N:02_0_N Index,1988-10-13,4955.19173
Z 1 N:02_0_N Index,1988-10-14,4990.35213
Z 1 N:02_0_N Index,1988-10-17,5017.24944
Z 1 N:02_0_N Index,1988-10-18,4989.28603
Z 1 N:02_0_N Index,1988-10-19,5013.05669
Z 1 N:02_0_N Index,1988-10-20,5005.97239
Z 1 N:02_0_N Index,1988-10-21,4954.4982
Z 1 N:02_0_N Index,1988-10-24,4919.89817
Z 1 N:02_0_N Index,1988-10-25,4925.393
Z 1 N:02_0_N Index,1988-10-26,4908.07835
Z 1 N:02_0_N Index,1988-10-27,4933.7861
Z 1 N:02_0_N Index,1988-10-28,4952.62768
Z 1 N:02_0_N Index,1988-10-31,4955.05435
Z 1 N:02_0_N Index,1988-11-01,4952.22379
Z 1 N:02_0_N Index,1988-11-02,4929.02838
Z 1 N:02_0_N Index,1988-11-03,4891.6301
Z 1 N:02_0_N Index,1988-11-04,4892.70523
Z 1 N:02_0_N Index,1988-11-07,4874.1003
Z 1 N:02_0_N Index,1988-11-08,4941.79706
Z 1 N:02_0_N Index,1988-11-09,4900.22066
Z 1 N:02_0_N Index,1988-11-10,4886.22432
Z 1 N:02_0_N Index,1988-11-11,4813.2956
Z 1 N:02_0_N Index,1988-11-14,4786.23704
Z 1 N:02_0_N Index,1988-11-15,4793.23691
Z 1 N:02_0_N Index,1988-11-16,4794.01634
Z 1 N:02_0_N Index,1988-11-17,4842.99958
Z 1 N:02_0_N Index,1988-11-18,4842.37054
Z 1 N:02_0_N Index,1988-11-21,4818.85404
Z 1 N:02_0_N Index,1988-11-22,4851.63038
Z 1 N:02_0_N Index,1988-11-23,4887.52863
Z 1 N:02_0_N Index,1988-11-24,4887.52863
Z 1 N:02_0_N Index,1988-11-25,4769.6904
Z 1 N:02_0_N Index,1988-11-28,4778.55944
Z 1 N:02_0_N Index,1988-11-29,4806.30699
Z 1 N:02_0_N Index,1988-11-30,4850.4194
Z 1 N:02_0_N Index,1988-12-01,4819.14444
Z 1 N:02_0_N Index,1988-12-02,4789.98123
Z 1 N:02_0_N Index,1988-12-05,4820.6356
Z 1 N:02_0_N Index,1988-12-06,4835.77995
Z 1 N:02_0_N Index,1988-12-07,4862.99045
Z 1 N:02_0_N Index,1988-12-08,4805.8412
Z 1 N:02_0_N Index,1988-12-09,4744.28845
Z 1 N:02_0_N Index,1988-12-12,4742.50014
Z 1 N:02_0_N Index,1988-12-13,4724.55192
Z 1 N:02_0_N Index,1988-12-14,4694.34222
Z 1 N:02_0_N Index,1988-12-15,4763.84084
Z 1 N:02_0_N Index,1988-12-16,4796.12744
Z 1 N:02_0_N Index,1988-12-19,4874.87177
Z 1 N:02_0_N Index,1988-12-20,4879.71044
Z 1 N:02_0_N Index,1988-12-21,4862.08406
Z 1 N:02_0_N Index,1988-12-22,4842.47024
Z 1 N:02_0_N Index,1988-12-23,4865.9292
Z 1 N:02_0_N Index,1988-12-28,4941.46399
Z 1 N:02_0_N Index,1988-12-29,4983.09482
Z 1 N:02_0_N Index,1988-12-30,4977.82326
Z 1 N:02_0_N Index,1989-01-03,4968.64287
Z 1 N:02_0_N Index,1989-01-04,4994.93831
Z 1 N:02_0_N Index,1989-01-05,5027.89739
Z 1 N:02_0_N Index,1989-01-06,5088.42039
Z 1 N:02_0_N Index,1989-01-09,5116.89953
Z 1 N:02_0_N Index,1989-01-10,5118.14832
Z 1 N:02_0_N Index,1989-01-11,5168.62633
Z 1 N:02_0_N Index,1989-01-12,5230.62941
Z 1 N:02_0_N Index,1989-01-13,5220.8113
Z 1 N:02_0_N Index,1989-01-16,5304.31186
Z 1 N:02_0_N Index,1989-01-17,5308.95282
Z 1 N:02_0_N Index,1989-01-18,5338.23913
Z 1 N:02_0_N Index,1989-01-19,5454.62179
Z 1 N:02_0_N Index,1989-01-20,5415.31526
Z 1 N:02_0_N Index,1989-01-23,5405.91149
Z 1 N:02_0_N Index,1989-01-24,5426.47542
Z 1 N:02_0_N Index,1989-01-25,5478.87894
Z 1 N:02_0_N Index,1989-01-26,5488.28411
Z 1 N:02_0_N Index,1989-01-27,5692.48575
Z 1 N:02_0_N Index,1989-01-30,5852.77419
Z 1 N:02_0_N Index,1989-01-31,5832.36543
Z 1 N:02_0_N Index,1989-02-01,5707.19873
Z 1 N:02_0_N Index,1989-02-02,5740.29403
Z 1 N:02_0_N Index,1989-02-03,5858.46702
Z 1 N:02_0_N Index,1989-02-06,5735.34004
Z 1 N:02_0_N Index,1989-02-07,5784.89303
Z 1 N:02_0_N Index,1989-02-08,5918.04334
Z 1 N:02_0_N Index,1989-02-09,5880.62855
Z 1 N:02_0_N Index,1989-02-10,5773.72395
Z 1 N:02_0_N Index,1989-02-13,5692.60192
Z 1 N:02_0_N Index,1989-02-14,5789.73641
Z 1 N:02_0_N Index,1989-02-15,5735.18927
Z 1 N:02_0_N Index,1989-02-16,5690.5072
Z 1 N:02_0_N Index,1989-02-17,5717.7198
Z 1 N:02_0_N Index,1989-02-20,5786.37158
Z 1 N:02_0_N Index,1989-02-21,5697.38277
Z 1 N:02_0_N Index,1989-02-22,5638.14186
Z 1 N:02_0_N Index,1989-02-23,5572.13118
Z 1 N:02_0_N Index,1989-02-24,5573.9261
Z 1 N:02_0_N Index,1989-02-27,5408.21634
Z 1 N:02_0_N Index,1989-02-28,5462.28751
Z 1 N:02_0_N Index,1989-03-01,5502.34192
Z 1 N:02_0_N Index,1989-03-02,5555.14793
Z 1 N:02_0_N Index,1989-03-03,5634.21204
Z 1 N:02_0_N Index,1989-03-06,5697.2718
Z 1 N:02_0_N Index,1989-03-07,5735.55339
Z 1 N:02_0_N Index,1989-03-08,5714.69899
Z 1 N:02_0_N Index,1989-03-09,5722.3782
Z 1 N:02_0_N Index,1989-03-10,5728.39808
Z 1 N:02_0_N Index,1989-03-13,5820.57272
Z 1 N:02_0_N Index,1989-03-14,5884.88256
Z 1 N:02_0_N Index,1989-03-15,5884.39055
Z 1 N:02_0_N Index,1989-03-16,5870.92865
Z 1 N:02_0_N Index,1989-03-17,5727.86724
Z 1 N:02_0_N Index,1989-03-20,5870.30786
Z 1 N:02_0_N Index,1989-03-21,5954.0376
Z 1 N:02_0_N Index,1989-03-22,5903.56512
