name,date,PX_LAST
GBPCHF BGN Curncy,1971-01-04,10.3364
GBPCHF BGN Curncy,1971-01-05,10.326
GBPCHF BGN Curncy,1971-01-06,10.3328
GBPCHF BGN Curncy,1971-01-07,10.3287
GBPCHF BGN Curncy,1971-01-08,10.334
GBPCHF BGN Curncy,1971-01-11,10.341
GBPCHF BGN Curncy,1971-01-12,10.3441
GBPCHF BGN Curncy,1971-01-13,10.3518
GBPCHF BGN Curncy,1971-01-14,10.3733
GBPCHF BGN Curncy,1971-01-15,10.3627
GBPCHF BGN Curncy,1971-01-18,10.3493
GBPCHF BGN Curncy,1971-01-19,10.3562
GBPCHF BGN Curncy,1971-01-20,10.3568
GBPCHF BGN Curncy,1971-01-21,10.3636
GBPCHF BGN Curncy,1971-01-22,10.3633
GBPCHF BGN Curncy,1971-01-25,10.3844
GBPCHF BGN Curncy,1971-01-26,10.3856
GBPCHF BGN Curncy,1971-01-27,10.3827
GBPCHF BGN Curncy,1971-01-28,10.3873
GBPCHF BGN Curncy,1971-01-29,10.3858
GBPCHF BGN Curncy,1971-02-01,10.3913
GBPCHF BGN Curncy,1971-02-02,10.3903
GBPCHF BGN Curncy,1971-02-03,10.3906
GBPCHF BGN Curncy,1971-02-04,10.3835
GBPCHF BGN Curncy,1971-02-05,10.3757
GBPCHF BGN Curncy,1971-02-08,10.3931
GBPCHF BGN Curncy,1971-02-09,10.3774
GBPCHF BGN Curncy,1971-02-10,10.3816
GBPCHF BGN Curncy,1971-02-11,10.3799
GBPCHF BGN Curncy,1971-02-12,10.3799
GBPCHF BGN Curncy,1971-02-15,10.3799
GBPCHF BGN Curncy,1971-02-16,10.3952
GBPCHF BGN Curncy,1971-02-17,10.3952
GBPCHF BGN Curncy,1971-02-18,10.3941
GBPCHF BGN Curncy,1971-02-19,10.3927
GBPCHF BGN Curncy,1971-02-22,10.3923
GBPCHF BGN Curncy,1971-02-23,10.3925
GBPCHF BGN Curncy,1971-02-24,10.4066
GBPCHF BGN Curncy,1971-02-25,10.4137
GBPCHF BGN Curncy,1971-02-26,10.4057
GBPCHF BGN Curncy,1971-03-01,10.4072
GBPCHF BGN Curncy,1971-03-02,10.4121
GBPCHF BGN Curncy,1971-03-03,10.4124
GBPCHF BGN Curncy,1971-03-04,10.4134
GBPCHF BGN Curncy,1971-03-05,10.4146
GBPCHF BGN Curncy,1971-03-08,10.4073
GBPCHF BGN Curncy,1971-03-09,10.4035
GBPCHF BGN Curncy,1971-03-10,10.4122
GBPCHF BGN Curncy,1971-03-11,10.4037
GBPCHF BGN Curncy,1971-03-12,10.4054
GBPCHF BGN Curncy,1971-03-15,10.4039
GBPCHF BGN Curncy,1971-03-16,10.3991
GBPCHF BGN Curncy,1971-03-17,10.4022
GBPCHF BGN Curncy,1971-03-18,10.3975
GBPCHF BGN Curncy,1971-03-19,10.3949
GBPCHF BGN Curncy,1971-03-22,10.3959
GBPCHF BGN Curncy,1971-03-23,10.3962
GBPCHF BGN Curncy,1971-03-24,10.3956
GBPCHF BGN Curncy,1971-03-25,10.392
GBPCHF BGN Curncy,1971-03-26,10.3909
GBPCHF BGN Curncy,1971-03-29,10.3951
GBPCHF BGN Curncy,1971-03-30,10.3876
GBPCHF BGN Curncy,1971-03-31,10.3811
GBPCHF BGN Curncy,1971-04-01,10.3723
GBPCHF BGN Curncy,1971-04-02,10.3609
GBPCHF BGN Curncy,1971-04-05,10.3822
GBPCHF BGN Curncy,1971-04-06,10.3949
GBPCHF BGN Curncy,1971-04-07,10.3834
GBPCHF BGN Curncy,1971-04-08,10.3765
GBPCHF BGN Curncy,1971-04-09,10.3799
GBPCHF BGN Curncy,1971-04-12,10.3851
GBPCHF BGN Curncy,1971-04-13,10.3964
GBPCHF BGN Curncy,1971-04-14,10.4032
GBPCHF BGN Curncy,1971-04-15,10.3984
GBPCHF BGN Curncy,1971-04-16,10.4045
GBPCHF BGN Curncy,1971-04-19,10.4155
GBPCHF BGN Curncy,1971-04-20,10.4124
GBPCHF BGN Curncy,1971-04-21,10.4062
GBPCHF BGN Curncy,1971-04-22,10.3992
GBPCHF BGN Curncy,1971-04-23,10.4073
GBPCHF BGN Curncy,1971-04-26,10.4027
GBPCHF BGN Curncy,1971-04-27,10.3992
GBPCHF BGN Curncy,1971-04-28,10.3934
GBPCHF BGN Curncy,1971-04-29,10.3921
GBPCHF BGN Curncy,1971-04-30,10.393
GBPCHF BGN Curncy,1971-05-03,10.3903
GBPCHF BGN Curncy,1971-05-04,10.3879
GBPCHF BGN Curncy,1971-05-05,10.123
GBPCHF BGN Curncy,1971-05-06,10.0771
GBPCHF BGN Curncy,1971-05-07,10.0075
GBPCHF BGN Curncy,1971-05-10,9.9293
GBPCHF BGN Curncy,1971-05-11,9.9493
GBPCHF BGN Curncy,1971-05-12,9.938
GBPCHF BGN Curncy,1971-05-13,9.9029
GBPCHF BGN Curncy,1971-05-14,9.9042
GBPCHF BGN Curncy,1971-05-17,9.8983
GBPCHF BGN Curncy,1971-05-18,9.8869
GBPCHF BGN Curncy,1971-05-19,9.8871
GBPCHF BGN Curncy,1971-05-20,9.8874
GBPCHF BGN Curncy,1971-05-21,9.8549
GBPCHF BGN Curncy,1971-05-24,9.8641
GBPCHF BGN Curncy,1971-05-25,9.886
GBPCHF BGN Curncy,1971-05-26,9.891
GBPCHF BGN Curncy,1971-05-27,9.9128
GBPCHF BGN Curncy,1971-05-28,9.927
GBPCHF BGN Curncy,1971-05-31,9.927
GBPCHF BGN Curncy,1971-06-01,9.9207
GBPCHF BGN Curncy,1971-06-02,9.9085
GBPCHF BGN Curncy,1971-06-03,9.8924
GBPCHF BGN Curncy,1971-06-04,9.9034
GBPCHF BGN Curncy,1971-06-07,9.8894
GBPCHF BGN Curncy,1971-06-08,9.8919
GBPCHF BGN Curncy,1971-06-09,9.8975
GBPCHF BGN Curncy,1971-06-10,9.8831
GBPCHF BGN Curncy,1971-06-11,9.8917
GBPCHF BGN Curncy,1971-06-14,9.8923
GBPCHF BGN Curncy,1971-06-15,9.9041
GBPCHF BGN Curncy,1971-06-16,9.8966
GBPCHF BGN Curncy,1971-06-17,9.903
GBPCHF BGN Curncy,1971-06-18,9.9016
GBPCHF BGN Curncy,1971-06-21,9.9011
GBPCHF BGN Curncy,1971-06-22,9.9085
GBPCHF BGN Curncy,1971-06-23,9.9062
GBPCHF BGN Curncy,1971-06-24,9.9038
GBPCHF BGN Curncy,1971-06-25,9.9048
GBPCHF BGN Curncy,1971-06-28,9.9113
GBPCHF BGN Curncy,1971-06-29,9.922
GBPCHF BGN Curncy,1971-06-30,9.9177
GBPCHF BGN Curncy,1971-07-01,9.9097
GBPCHF BGN Curncy,1971-07-02,9.9152
GBPCHF BGN Curncy,1971-07-05,9.9152
GBPCHF BGN Curncy,1971-07-06,9.9269
GBPCHF BGN Curncy,1971-07-07,9.9298
GBPCHF BGN Curncy,1971-07-08,9.93
GBPCHF BGN Curncy,1971-07-09,9.9298
GBPCHF BGN Curncy,1971-07-12,9.9291
GBPCHF BGN Curncy,1971-07-13,9.923
GBPCHF BGN Curncy,1971-07-14,9.9118
GBPCHF BGN Curncy,1971-07-15,9.9019
GBPCHF BGN Curncy,1971-07-16,9.9015
GBPCHF BGN Curncy,1971-07-19,9.8945
GBPCHF BGN Curncy,1971-07-20,9.8926
GBPCHF BGN Curncy,1971-07-21,9.8907
GBPCHF BGN Curncy,1971-07-22,9.8847
GBPCHF BGN Curncy,1971-07-23,9.8855
GBPCHF BGN Curncy,1971-07-26,9.8804
GBPCHF BGN Curncy,1971-07-27,9.8796
GBPCHF BGN Curncy,1971-07-28,9.8805
GBPCHF BGN Curncy,1971-07-29,9.8842
GBPCHF BGN Curncy,1971-07-30,9.8821
GBPCHF BGN Curncy,1971-08-02,9.8823
GBPCHF BGN Curncy,1971-08-03,9.8824
GBPCHF BGN Curncy,1971-08-04,9.8241
GBPCHF BGN Curncy,1971-08-05,9.8222
GBPCHF BGN Curncy,1971-08-06,9.8431
GBPCHF BGN Curncy,1971-08-09,9.8055
GBPCHF BGN Curncy,1971-08-10,9.8156
GBPCHF BGN Curncy,1971-08-11,9.824
GBPCHF BGN Curncy,1971-08-12,9.8059
GBPCHF BGN Curncy,1971-08-13,9.8312
GBPCHF BGN Curncy,1971-08-16,9.8312
GBPCHF BGN Curncy,1971-08-17,9.8312
GBPCHF BGN Curncy,1971-08-18,9.8312
GBPCHF BGN Curncy,1971-08-19,9.8312
GBPCHF BGN Curncy,1971-08-20,9.8312
GBPCHF BGN Curncy,1971-08-23,9.7234
GBPCHF BGN Curncy,1971-08-24,9.7204
GBPCHF BGN Curncy,1971-08-25,9.7736
GBPCHF BGN Curncy,1971-08-26,9.8029
GBPCHF BGN Curncy,1971-08-27,9.811
GBPCHF BGN Curncy,1971-08-30,9.8407
GBPCHF BGN Curncy,1971-08-31,9.7983
GBPCHF BGN Curncy,1971-09-01,9.8223
GBPCHF BGN Curncy,1971-09-02,9.8284
GBPCHF BGN Curncy,1971-09-03,9.7844
GBPCHF BGN Curncy,1971-09-06,9.7844
GBPCHF BGN Curncy,1971-09-07,9.833
GBPCHF BGN Curncy,1971-09-08,9.8245
GBPCHF BGN Curncy,1971-09-09,9.822
GBPCHF BGN Curncy,1971-09-10,9.8203
GBPCHF BGN Curncy,1971-09-13,9.8369
GBPCHF BGN Curncy,1971-09-14,9.8426
GBPCHF BGN Curncy,1971-09-15,9.8473
GBPCHF BGN Curncy,1971-09-16,9.8494
GBPCHF BGN Curncy,1971-09-17,9.8544
GBPCHF BGN Curncy,1971-09-20,9.8264
GBPCHF BGN Curncy,1971-09-21,9.8316
GBPCHF BGN Curncy,1971-09-22,9.8252
GBPCHF BGN Curncy,1971-09-23,9.8136
GBPCHF BGN Curncy,1971-09-24,9.855
GBPCHF BGN Curncy,1971-09-27,9.8441
GBPCHF BGN Curncy,1971-09-28,9.8337
GBPCHF BGN Curncy,1971-09-29,9.8344
GBPCHF BGN Curncy,1971-09-30,9.8248
GBPCHF BGN Curncy,1971-10-01,9.8542
GBPCHF BGN Curncy,1971-10-04,9.8558
GBPCHF BGN Curncy,1971-10-05,9.857
GBPCHF BGN Curncy,1971-10-06,9.854
GBPCHF BGN Curncy,1971-10-07,9.859
GBPCHF BGN Curncy,1971-10-08,9.8362
GBPCHF BGN Curncy,1971-10-11,9.8362
GBPCHF BGN Curncy,1971-10-12,9.8831
GBPCHF BGN Curncy,1971-10-13,9.9019
GBPCHF BGN Curncy,1971-10-14,9.8787
GBPCHF BGN Curncy,1971-10-15,9.914
GBPCHF BGN Curncy,1971-10-18,9.8896
GBPCHF BGN Curncy,1971-10-19,9.8947
GBPCHF BGN Curncy,1971-10-20,9.9038
GBPCHF BGN Curncy,1971-10-21,9.9121
GBPCHF BGN Curncy,1971-10-22,9.9207
GBPCHF BGN Curncy,1971-10-25,9.9207
GBPCHF BGN Curncy,1971-10-26,9.9546
GBPCHF BGN Curncy,1971-10-27,9.965
GBPCHF BGN Curncy,1971-10-28,9.9453
GBPCHF BGN Curncy,1971-10-29,9.9474
GBPCHF BGN Curncy,1971-11-01,9.9608
GBPCHF BGN Curncy,1971-11-02,9.9608
GBPCHF BGN Curncy,1971-11-03,9.9513
GBPCHF BGN Curncy,1971-11-04,9.9493
GBPCHF BGN Curncy,1971-11-05,9.9522
GBPCHF BGN Curncy,1971-11-08,9.9589
GBPCHF BGN Curncy,1971-11-09,9.9569
GBPCHF BGN Curncy,1971-11-10,9.96
GBPCHF BGN Curncy,1971-11-11,9.9616
GBPCHF BGN Curncy,1971-11-12,9.9606
GBPCHF BGN Curncy,1971-11-15,9.958
GBPCHF BGN Curncy,1971-11-16,9.9586
GBPCHF BGN Curncy,1971-11-17,9.9652
GBPCHF BGN Curncy,1971-11-18,9.9653
GBPCHF BGN Curncy,1971-11-19,9.935
GBPCHF BGN Curncy,1971-11-22,9.9152
GBPCHF BGN Curncy,1971-11-23,9.8876
GBPCHF BGN Curncy,1971-11-24,9.8558
GBPCHF BGN Curncy,1971-11-25,9.8558
