name,date,PX_LAST
USDCHF BGN Curncy,1971-01-04,4.318
USDCHF BGN Curncy,1971-01-05,4.3117
USDCHF BGN Curncy,1971-01-06,4.3113
USDCHF BGN Curncy,1971-01-07,4.3103
USDCHF BGN Curncy,1971-01-08,4.3109
USDCHF BGN Curncy,1971-01-11,4.3102
USDCHF BGN Curncy,1971-01-12,4.3099
USDCHF BGN Curncy,1971-01-13,4.3095
USDCHF BGN Curncy,1971-01-14,4.3095
USDCHF BGN Curncy,1971-01-15,4.3076
USDCHF BGN Curncy,1971-01-18,4.3029
USDCHF BGN Curncy,1971-01-19,4.3006
USDCHF BGN Curncy,1971-01-20,4.301
USDCHF BGN Curncy,1971-01-21,4.3017
USDCHF BGN Curncy,1971-01-22,4.2996
USDCHF BGN Curncy,1971-01-25,4.3005
USDCHF BGN Curncy,1971-01-26,4.2987
USDCHF BGN Curncy,1971-01-27,4.2973
USDCHF BGN Curncy,1971-01-28,4.2978
USDCHF BGN Curncy,1971-01-29,4.2963
USDCHF BGN Curncy,1971-02-01,4.2968
USDCHF BGN Curncy,1971-02-02,4.2969
USDCHF BGN Curncy,1971-02-03,4.2965
USDCHF BGN Curncy,1971-02-04,4.2966
USDCHF BGN Curncy,1971-02-05,4.2969
USDCHF BGN Curncy,1971-02-08,4.2979
USDCHF BGN Curncy,1971-02-09,4.2969
USDCHF BGN Curncy,1971-02-10,4.2972
USDCHF BGN Curncy,1971-02-11,4.2967
USDCHF BGN Curncy,1971-02-12,4.2967
USDCHF BGN Curncy,1971-02-15,4.2967
USDCHF BGN Curncy,1971-02-16,4.2968
USDCHF BGN Curncy,1971-02-17,4.2968
USDCHF BGN Curncy,1971-02-18,4.2967
USDCHF BGN Curncy,1971-02-19,4.2963
USDCHF BGN Curncy,1971-02-22,4.2958
USDCHF BGN Curncy,1971-02-23,4.2957
USDCHF BGN Curncy,1971-02-24,4.3015
USDCHF BGN Curncy,1971-02-25,4.3073
USDCHF BGN Curncy,1971-02-26,4.307
USDCHF BGN Curncy,1971-03-01,4.3073
USDCHF BGN Curncy,1971-03-02,4.3054
USDCHF BGN Curncy,1971-03-03,4.3039
USDCHF BGN Curncy,1971-03-04,4.3068
USDCHF BGN Curncy,1971-03-05,4.3066
USDCHF BGN Curncy,1971-03-08,4.302
USDCHF BGN Curncy,1971-03-09,4.3011
USDCHF BGN Curncy,1971-03-10,4.304
USDCHF BGN Curncy,1971-03-11,4.3012
USDCHF BGN Curncy,1971-03-12,4.301
USDCHF BGN Curncy,1971-03-15,4.3004
USDCHF BGN Curncy,1971-03-16,4.3002
USDCHF BGN Curncy,1971-03-17,4.2995
USDCHF BGN Curncy,1971-03-18,4.2983
USDCHF BGN Curncy,1971-03-19,4.2972
USDCHF BGN Curncy,1971-03-22,4.2971
USDCHF BGN Curncy,1971-03-23,4.2972
