name,date,PX_LAST
VIX Index,1990-01-02,27.18403
VIX Index,1990-01-03,28.71292
VIX Index,1990-01-04,29.63724
VIX Index,1990-01-05,30.90907
VIX Index,1990-01-08,30.87219
VIX Index,1990-01-09,33.8994
VIX Index,1990-01-10,33.9405
VIX Index,1990-01-11,30.3958
VIX Index,1990-01-12,36.82448
VIX Index,1990-01-15,39.85242
VIX Index,1990-01-16,36.66897
VIX Index,1990-01-17,36.40187
VIX Index,1990-01-18,36.96029
VIX Index,1990-01-19,34.07625
VIX Index,1990-01-22,40.9044
VIX Index,1990-01-23,37.27776
VIX Index,1990-01-24,37.99614
VIX Index,1990-01-25,38.13744
VIX Index,1990-01-26,39.36744
VIX Index,1990-01-29,39.28984
VIX Index,1990-01-30,40.62975
VIX Index,1990-01-31,38.14144
VIX Index,1990-02-01,37.26023
VIX Index,1990-02-02,36.40704
VIX Index,1990-02-05,36.32411
VIX Index,1990-02-06,36.46466
VIX Index,1990-02-07,35.98564
VIX Index,1990-02-08,35.5314
VIX Index,1990-02-09,35.46393
VIX Index,1990-02-12,36.4676
VIX Index,1990-02-13,35.56872
VIX Index,1990-02-14,32.90522
VIX Index,1990-02-15,29.47631
VIX Index,1990-02-16,31.03493
VIX Index,1990-02-20,33.8283
VIX Index,1990-02-21,35.23058
VIX Index,1990-02-22,33.19015
VIX Index,1990-02-23,34.99013
VIX Index,1990-02-26,35.03372
VIX Index,1990-02-27,33.65608
VIX Index,1990-02-28,32.79809
VIX Index,1990-03-01,32.9814
VIX Index,1990-03-02,32.29809
VIX Index,1990-03-05,33.045
VIX Index,1990-03-06,30.81473
VIX Index,1990-03-07,28.77797
VIX Index,1990-03-08,29.79358
VIX Index,1990-03-09,30.69969
VIX Index,1990-03-12,30.58467
VIX Index,1990-03-13,32.1644
VIX Index,1990-03-14,30.00555
VIX Index,1990-03-15,28.62882
VIX Index,1990-03-16,26.59739
VIX Index,1990-03-19,27.59412
VIX Index,1990-03-20,28.9083
VIX Index,1990-03-21,30.5721
VIX Index,1990-03-22,34.4511
VIX Index,1990-03-23,31.06851
VIX Index,1990-03-26,29.90414
VIX Index,1990-03-27,31.89318
VIX Index,1990-03-28,29.97132
VIX Index,1990-03-29,27.65308
VIX Index,1990-03-30,29.54568
VIX Index,1990-04-02,34.4313
VIX Index,1990-04-03,30.71519
VIX Index,1990-04-04,33.1882
VIX Index,1990-04-05,31.83621
VIX Index,1990-04-06,32.66829
VIX Index,1990-04-09,33.36526
VIX Index,1990-04-10,32.45475
VIX Index,1990-04-11,26.31132
VIX Index,1990-04-12,29.35944
VIX Index,1990-04-16,30.92372
VIX Index,1990-04-17,30.37639
VIX Index,1990-04-18,33.64228
VIX Index,1990-04-19,33.30369
VIX Index,1990-04-20,34.79203
VIX Index,1990-04-23,36.07088
VIX Index,1990-04-24,32.2896
VIX Index,1990-04-25,30.60162
VIX Index,1990-04-26,29.59538
VIX Index,1990-04-27,32.33083
VIX Index,1990-04-30,28.31376
VIX Index,1990-05-01,26.82487
VIX Index,1990-05-02,28.12026
VIX Index,1990-05-03,25.90286
VIX Index,1990-05-04,24.96442
VIX Index,1990-05-07,25.28363
VIX Index,1990-05-08,26.49617
VIX Index,1990-05-09,26.17056
VIX Index,1990-05-10,25.94235
VIX Index,1990-05-11,27.63891
VIX Index,1990-05-14,28.1094
VIX Index,1990-05-15,27.24702
VIX Index,1990-05-16,24.794
VIX Index,1990-05-17,24.24708
VIX Index,1990-05-18,24.16256
VIX Index,1990-05-21,23.80928
VIX Index,1990-05-22,25.29712
VIX Index,1990-05-23,24.26331
VIX Index,1990-05-24,25.134
VIX Index,1990-05-25,24.68966
VIX Index,1990-05-29,26.43375
VIX Index,1990-05-30,24.78224
VIX Index,1990-05-31,24.89121
VIX Index,1990-06-01,24.54124
VIX Index,1990-06-04,26.49999
VIX Index,1990-06-05,27.21626
VIX Index,1990-06-06,24.88447
VIX Index,1990-06-07,24.28188
VIX Index,1990-06-08,25.45232
VIX Index,1990-06-11,23.53777
VIX Index,1990-06-12,23.8542
VIX Index,1990-06-13,24.90206
VIX Index,1990-06-14,24.9777
VIX Index,1990-06-15,22.8324
VIX Index,1990-06-18,25.08622
VIX Index,1990-06-19,21.43927
VIX Index,1990-06-20,21.59942
VIX Index,1990-06-21,20.83616
VIX Index,1990-06-22,27.27824
VIX Index,1990-06-25,24.06654
VIX Index,1990-06-26,22.90374
VIX Index,1990-06-27,22.528
VIX Index,1990-06-28,22.87367
VIX Index,1990-06-29,21.94025
VIX Index,1990-07-02,22.82904
VIX Index,1990-07-03,22.4654
VIX Index,1990-07-05,24.14482
VIX Index,1990-07-06,22.99862
VIX Index,1990-07-09,23.24903
VIX Index,1990-07-10,23.6254
VIX Index,1990-07-11,23.41038
VIX Index,1990-07-12,23.9693
VIX Index,1990-07-13,23.80637
VIX Index,1990-07-16,23.72638
VIX Index,1990-07-17,23.44062
VIX Index,1990-07-18,26.62632
VIX Index,1990-07-19,26.1696
VIX Index,1990-07-20,21.99923
VIX Index,1990-07-23,32.87968
VIX Index,1990-07-24,29.96125
VIX Index,1990-07-25,27.74106
VIX Index,1990-07-26,27.92233
VIX Index,1990-07-27,28.90272
VIX Index,1990-07-30,28.8834
VIX Index,1990-07-31,28.44995
VIX Index,1990-08-01,29.33302
VIX Index,1990-08-02,27.7133
VIX Index,1990-08-03,38.82774
VIX Index,1990-08-06,47.8393
VIX Index,1990-08-07,43.59025
VIX Index,1990-08-08,37.99488
VIX Index,1990-08-09,32.64602
VIX Index,1990-08-10,34.47925
VIX Index,1990-08-13,33.88671
VIX Index,1990-08-14,31.57908
