,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,QS1_Comdty_PX-LAST-CHF,QS1_Comdty_start,QS1_Comdty_weeklyReturn,QS1_Comdty_buy,QS1_Comdty_sell,XB1_Comdty_PX-LAST-CHF,XB1_Comdty_start,XB1_Comdty_weeklyReturn,XB1_Comdty_buy,XB1_Comdty_sell,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_weeklyReturn,HO1_Comdty_buy,HO1_Comdty_sell,NG1_Comdty_PX-LAST-CHF,NG1_Comdty_start,NG1_Comdty_weeklyReturn,NG1_Comdty_buy,NG1_Comdty_sell,LMAHDS03 LME_Comdty_PX-LAST-CHF,LMAHDS03 LME_Comdty_start,LMAHDS03 LME_Comdty_weeklyReturn,LMAHDS03 LME_Comdty_buy,LMAHDS03 LME_Comdty_sell,LMCADS03_Comdty_PX-LAST-CHF,LMCADS03_Comdty_start,LMCADS03_Comdty_weeklyReturn,LMCADS03_Comdty_buy,LMCADS03_Comdty_sell,LMNIDS03_Comdty_PX-LAST-CHF,LMNIDS03_Comdty_start,LMNIDS03_Comdty_weeklyReturn,LMNIDS03_Comdty_buy,LMNIDS03_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,SI1_Comdty_PX-LAST-CHF,SI1_Comdty_start,SI1_Comdty_weeklyReturn,SI1_Comdty_buy,SI1_Comdty_sell,LC1_Comdty_PX-LAST-CHF,LC1_Comdty_start,LC1_Comdty_weeklyReturn,LC1_Comdty_buy,LC1_Comdty_sell,KC1_Comdty_PX-LAST-CHF,KC1_Comdty_start,KC1_Comdty_weeklyReturn,KC1_Comdty_buy,KC1_Comdty_sell,C 1_Comdty_PX-LAST-CHF,C 1_Comdty_start,C 1_Comdty_weeklyReturn,C 1_Comdty_buy,C 1_Comdty_sell,CT1_Comdty_PX-LAST-CHF,CT1_Comdty_start,CT1_Comdty_weeklyReturn,CT1_Comdty_buy,CT1_Comdty_sell,S 1_Comdty_PX-LAST-CHF,S 1_Comdty_start,S 1_Comdty_weeklyReturn,S 1_Comdty_buy,S 1_Comdty_sell,SB1_Comdty_PX-LAST-CHF,SB1_Comdty_start,SB1_Comdty_weeklyReturn,SB1_Comdty_buy,SB1_Comdty_sell,W 1_Comdty_PX-LAST-CHF,W 1_Comdty_start,W 1_Comdty_weeklyReturn,W 1_Comdty_buy,W 1_Comdty_sell,considered_assets,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,152.25184,start,,22.601691932860334,,277.36898,start,,23.18861343022063,,,excluded,,,,1.76657,start,,21.144826794486157,,1584.08539,start,,13.476366812285923,,1906.0605,start,,-21.62105544764618,,2322.3735,start,,-18.360736454905783,,11986.005,start,,,,775.0168,start,,-28.778139550078212,,10.5964,start,,-22.073189083812043,,1.71408,start,,,,8.57313,start,,-9.166879463557773,,12.41446,start,,,,1.82104,start,,,,3.55615,start,,,,0.35182,start,,19.588501030146947,,64.44439,start,,,,"{'QS1_Comdty': 11.468031624427669, 'HO1_Comdty': 9.37387543114861, 'SB1_Comdty': 6.660920406497242, 'CL1_Comdty': 4.896743007277399, 'NG1_Comdty': 4.154878393894158, 'LMNIDS03_Comdty': 1.940904194529553, 'W 1_Comdty': 1.910758007721498, 'S 1_Comdty': 1.2422352642955166, 'CT1_Comdty': 1.1538578272674207, 'LC1_Comdty': 0.5524070484135426, 'C 1_Comdty': 0.15630933679696452, 'LMAHDS03 LME_Comdty': -0.11061391336580455, 'LMCADS03_Comdty': -1.6191577855272143, 'KC1_Comdty': -2.1619942362180993, 'GC1_Comdty': -2.524149348309515, 'SI1_Comdty': -3.5961684365355118}",,,
2003-02-22,Saturday,152.25184,,,,,277.36898,,,,,,excluded,,,,1.76657,,,,,1584.08539,,,,,1906.0605,,,,,2322.3735,,,,,11986.005,,,,,775.0168,,,,,10.5964,,,,,1.71408,,,,,8.57313,,,,,12.41446,,,,,1.82104,,,,,3.55615,,,,,0.35182,,,,,64.44439,,,,,,,,
2003-02-23,Sunday,152.25184,,,,,277.36898,,,,,,excluded,,,,1.76657,,,,,1584.08539,,,,,1906.0605,,,,,2322.3735,,,,,11986.005,,,,,775.0168,,,,,10.5964,,,,,1.71408,,,,,8.57313,,,,,12.41446,,,,,1.82104,,,,,3.55615,,,,,0.35182,,,,,64.44439,,,,,,,,
2003-02-24,Monday,155.80474,,,,,288.03124,,,,,,excluded,,,,1.82395,,,,,2186.81924,,,,,1922.7864,,,,,2347.8091,,,,,12098.889,,,,,783.65014,,,,,10.68951,,,,,1.72018,,,,,8.34983,,,,,12.33727,,,,,1.78694,,,,,3.53853,,,,,0.34253,,,,,62.95061,,,,,,,,
2003-02-25,Tuesday,153.37579,,,,,288.89065,,,,,,excluded,,,,1.77826,,,,,2282.67462,,,,,1925.6752,,,,,2323.2514,,,,,12089.562,,,,,771.65945,,,,,10.48061,,,,,1.69387,,,,,8.13593,,,,,12.35295,,,,,1.81289,,,,,3.54857,,,,,0.33527,,,,,62.496,,,,,,,,
2003-02-26,Wednesday,160.69516,,,,,285.17892,,,,,,excluded,,,,1.83335,,,,,2567.60948,,,,,1940.6464,,,,,2364.1464,,,,,12278.112,,,,,777.04479,,,,,10.5325,,,,,1.70465,,,,,8.05346,,,,,12.3661,,,,,1.82591,,,,,3.5747,,,,,0.34029,,,,,62.48347,,,,,,,,
2003-02-27,Thursday,159.25425,,,,,288.93896,,,,,,excluded,,,,1.84037,,,,,2611.93868,,,,,1951.8174,,,,,2364.2307,,,,,12072.957,,,,,763.01633,,,,,10.36538,,,,,1.68057,,,,,8.14204,,,,,12.34024,,,,,1.79717,,,,,3.60886,,,,,0.34373,,,,,60.79439,,,,,,,,
2003-02-28,Friday,155.93737,start,0.024206801047527572,21.989679630110764,22.601691932860334,292.57203,start,0.05481164476287132,22.57328661995044,23.18861343022063,,excluded,,,,1.99279,start,0.128056063444981,20.51359775990671,21.144826794486157,2813.39585,start,0.7760380013352689,10.70172668279626,13.476366812285923,1923.532,start,0.009166288268394355,,-21.62105544764618,2316.366,start,-0.0025867932096194533,,-18.360736454905783,11812.112,start,-0.014508003292172833,24.221709307235823,,768.36565,start,-0.008581942997880858,-32.622112887503704,-28.778139550078212,10.37225,start,-0.02115341059227661,-24.947952071020975,-22.073189083812043,1.66869,start,-0.02648067768132178,,,7.87678,start,-0.08122471022835308,-10.352896589145203,-9.166879463557773,12.33419,start,-0.006465847084770542,-17.709027275376627,,1.83518,start,0.0077647937442340866,,,3.54843,start,-0.0021708870548205078,,,0.34756,start,-0.012108464555738847,,19.588501030146947,60.55285,start,-0.06038601653301395,-14.368011176953491,,"{'NG1_Comdty': 24.142396672283024, 'QS1_Comdty': 12.680049476276949, 'HO1_Comdty': 12.466739431316308, 'CL1_Comdty': 8.486566224058866, 'LMNIDS03_Comdty': 5.122267828971973, 'LMCADS03_Comdty': 3.291827646045403, 'LMAHDS03 LME_Comdty': 2.340790264374324, 'SB1_Comdty': 1.647192078417844, 'S 1_Comdty': 1.3830226191192316, 'LC1_Comdty': -0.1790128385794682, 'CT1_Comdty': -0.32314436161009463, 'W 1_Comdty': -1.0763707378940381, 'C 1_Comdty': -2.1204719823005433, 'KC1_Comdty': -3.435683714284746, 'SI1_Comdty': -5.839037690297084, 'GC1_Comdty': -7.982014651061242}",0.16054613393794123,0.1474683007920864,0.013077833145854863
2003-03-01,Saturday,155.93737,,,,,292.57203,,,,,,excluded,,,,1.99279,,,,,2813.39585,,,,,1923.532,,,,,2316.366,,,,,11812.112,,,,,768.36565,,,,,10.37225,,,,,1.66869,,,,,7.87678,,,,,12.33419,,,,,1.83518,,,,,3.54843,,,,,0.34756,,,,,60.55285,,,,,,,,
2003-03-02,Sunday,155.93737,,,,,292.57203,,,,,,excluded,,,,1.99279,,,,,2813.39585,,,,,1923.532,,,,,2316.366,,,,,11812.112,,,,,768.36565,,,,,10.37225,,,,,1.66869,,,,,7.87678,,,,,12.33419,,,,,1.83518,,,,,3.54843,,,,,0.34756,,,,,60.55285,,,,,,,,
