,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,QS1_Comdty_PX-LAST-CHF,QS1_Comdty_start,QS1_Comdty_weeklyReturn,QS1_Comdty_buy,QS1_Comdty_sell,XB1_Comdty_PX-LAST-CHF,XB1_Comdty_start,XB1_Comdty_weeklyReturn,XB1_Comdty_buy,XB1_Comdty_sell,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_weeklyReturn,HO1_Comdty_buy,HO1_Comdty_sell,NG1_Comdty_PX-LAST-CHF,NG1_Comdty_start,NG1_Comdty_weeklyReturn,NG1_Comdty_buy,NG1_Comdty_sell,LMAHDS03 LME_Comdty_PX-LAST-CHF,LMAHDS03 LME_Comdty_start,LMAHDS03 LME_Comdty_weeklyReturn,LMAHDS03 LME_Comdty_buy,LMAHDS03 LME_Comdty_sell,LMCADS03_Comdty_PX-LAST-CHF,LMCADS03_Comdty_start,LMCADS03_Comdty_weeklyReturn,LMCADS03_Comdty_buy,LMCADS03_Comdty_sell,LMNIDS03_Comdty_PX-LAST-CHF,LMNIDS03_Comdty_start,LMNIDS03_Comdty_weeklyReturn,LMNIDS03_Comdty_buy,LMNIDS03_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,SI1_Comdty_PX-LAST-CHF,SI1_Comdty_start,SI1_Comdty_weeklyReturn,SI1_Comdty_buy,SI1_Comdty_sell,LC1_Comdty_PX-LAST-CHF,LC1_Comdty_start,LC1_Comdty_weeklyReturn,LC1_Comdty_buy,LC1_Comdty_sell,KC1_Comdty_PX-LAST-CHF,KC1_Comdty_start,KC1_Comdty_weeklyReturn,KC1_Comdty_buy,KC1_Comdty_sell,C 1_Comdty_PX-LAST-CHF,C 1_Comdty_start,C 1_Comdty_weeklyReturn,C 1_Comdty_buy,C 1_Comdty_sell,CT1_Comdty_PX-LAST-CHF,CT1_Comdty_start,CT1_Comdty_weeklyReturn,CT1_Comdty_buy,CT1_Comdty_sell,S 1_Comdty_PX-LAST-CHF,S 1_Comdty_start,S 1_Comdty_weeklyReturn,S 1_Comdty_buy,S 1_Comdty_sell,SB1_Comdty_PX-LAST-CHF,SB1_Comdty_start,SB1_Comdty_weeklyReturn,SB1_Comdty_buy,SB1_Comdty_sell,W 1_Comdty_PX-LAST-CHF,W 1_Comdty_start,W 1_Comdty_weeklyReturn,W 1_Comdty_buy,W 1_Comdty_sell,considered_assets,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,152.25184,start,,-21.265124027241633,,277.36898,start,,-21.94377864749143,,,excluded,,,,1.76657,start,,-20.32495117362107,,1584.08539,start,,-12.699896042354483,,1906.0605,start,,26.97690296865229,,2322.3735,start,,,,11986.005,start,,-23.766250109291384,,775.0168,start,,,,10.5964,start,,27.470784654192187,,1.71408,start,,,,8.57313,start,,10.950703688685783,,12.41446,start,,,,1.82104,start,,14.11459279207323,,3.55615,start,,20.487015896396514,,0.35182,start,,,,64.44439,start,,,,"{'KC1_Comdty': 34.55923768944925, 'SI1_Comdty': 25.22587709500936, 'CT1_Comdty': 19.315786350486025, 'S 1_Comdty': 15.610225988232335, 'LMAHDS03 LME_Comdty': 13.837168167453516, 'LMCADS03_Comdty': 13.554412604748588, 'C 1_Comdty': 11.556623032432972, 'SB1_Comdty': 7.852056774586008, 'W 1_Comdty': 2.9470795363316187, 'LC1_Comdty': -6.054688595944547, 'GC1_Comdty': -8.725108320776066, 'LMNIDS03_Comdty': -19.838349761085215, 'NG1_Comdty': -23.53205257424093, 'QS1_Comdty': -31.84676892557817, 'CL1_Comdty': -32.93702783286548, 'HO1_Comdty': -33.164227054564755}",,,
2003-02-22,Saturday,152.25184,,,,,277.36898,,,,,,excluded,,,,1.76657,,,,,1584.08539,,,,,1906.0605,,,,,2322.3735,,,,,11986.005,,,,,775.0168,,,,,10.5964,,,,,1.71408,,,,,8.57313,,,,,12.41446,,,,,1.82104,,,,,3.55615,,,,,0.35182,,,,,64.44439,,,,,,,,
2003-02-23,Sunday,152.25184,,,,,277.36898,,,,,,excluded,,,,1.76657,,,,,1584.08539,,,,,1906.0605,,,,,2322.3735,,,,,11986.005,,,,,775.0168,,,,,10.5964,,,,,1.71408,,,,,8.57313,,,,,12.41446,,,,,1.82104,,,,,3.55615,,,,,0.35182,,,,,64.44439,,,,,,,,
2003-02-24,Monday,155.80474,,,,,288.03124,,,,,,excluded,,,,1.82395,,,,,2186.81924,,,,,1922.7864,,,,,2347.8091,,,,,12098.889,,,,,783.65014,,,,,10.68951,,,,,1.72018,,,,,8.34983,,,,,12.33727,,,,,1.78694,,,,,3.53853,,,,,0.34253,,,,,62.95061,,,,,,,,
2003-02-25,Tuesday,153.37579,,,,,288.89065,,,,,,excluded,,,,1.77826,,,,,2282.67462,,,,,1925.6752,,,,,2323.2514,,,,,12089.562,,,,,771.65945,,,,,10.48061,,,,,1.69387,,,,,8.13593,,,,,12.35295,,,,,1.81289,,,,,3.54857,,,,,0.33527,,,,,62.496,,,,,,,,
2003-02-26,Wednesday,160.69516,,,,,285.17892,,,,,,excluded,,,,1.83335,,,,,2567.60948,,,,,1940.6464,,,,,2364.1464,,,,,12278.112,,,,,777.04479,,,,,10.5325,,,,,1.70465,,,,,8.05346,,,,,12.3661,,,,,1.82591,,,,,3.5747,,,,,0.34029,,,,,62.48347,,,,,,,,
2003-02-27,Thursday,159.25425,,,,,288.93896,,,,,,excluded,,,,1.84037,,,,,2611.93868,,,,,1951.8174,,,,,2364.2307,,,,,12072.957,,,,,763.01633,,,,,10.36538,,,,,1.68057,,,,,8.14204,,,,,12.34024,,,,,1.79717,,,,,3.60886,,,,,0.34373,,,,,60.79439,,,,,,,,
2003-02-28,Friday,155.93737,start,0.024206801047527572,-21.83154271570554,-21.265124027241633,292.57203,start,0.05481164476287132,-22.502396109785046,-21.94377864749143,,excluded,,,,1.99279,start,0.128056063444981,-20.778381347588038,-20.32495117362107,2813.39585,start,0.7760380013352689,-10.316460113385888,-12.699896042354483,1923.532,start,0.009166288268394355,,26.97690296865229,2316.366,start,-0.0025867932096194533,,,11812.112,start,-0.014508003292172833,-24.571219713535484,-23.766250109291384,768.36565,start,-0.008581942997880858,,,10.37225,start,-0.02115341059227661,30.07262512183701,27.470784654192187,1.66869,start,-0.02648067768132178,,,7.87678,start,-0.08122471022835308,11.961677884094215,10.950703688685783,12.33419,start,-0.006465847084770542,20.82655894284682,,1.83518,start,0.0077647937442340866,14.55815473779856,14.11459279207323,3.54843,start,-0.0021708870548205078,22.580983313423395,20.487015896396514,0.34756,start,-0.012108464555738847,,,60.55285,start,-0.06038601653301395,,,"{'KC1_Comdty': 36.537850548992424, 'SI1_Comdty': 26.827409437101352, 'S 1_Comdty': 13.527704878971656, 'CT1_Comdty': 13.398240664904781, 'C 1_Comdty': 12.048430491921902, 'LMAHDS03 LME_Comdty': 10.435163386561952, 'LMCADS03_Comdty': 9.405773393170826, 'SB1_Comdty': 8.883832641630443, 'W 1_Comdty': 6.02201093982384, 'LC1_Comdty': -5.315821104133562, 'GC1_Comdty': -7.125226335720611, 'LMNIDS03_Comdty': -21.13749675584273, 'NG1_Comdty': -23.196330400988497, 'CL1_Comdty': -34.09119835769419, 'QS1_Comdty': -34.75219650048961, 'HO1_Comdty': -37.51019799663638}",-0.1498923811819156,-0.011581685475801157,-0.13831069570611443
2003-03-01,Saturday,155.93737,,,,,292.57203,,,,,,excluded,,,,1.99279,,,,,2813.39585,,,,,1923.532,,,,,2316.366,,,,,11812.112,,,,,768.36565,,,,,10.37225,,,,,1.66869,,,,,7.87678,,,,,12.33419,,,,,1.83518,,,,,3.54843,,,,,0.34756,,,,,60.55285,,,,,,,,
2003-03-02,Sunday,155.93737,,,,,292.57203,,,,,,excluded,,,,1.99279,,,,,2813.39585,,,,,1923.532,,,,,2316.366,,,,,11812.112,,,,,768.36565,,,,,10.37225,,,,,1.66869,,,,,7.87678,,,,,12.33419,,,,,1.83518,,,,,3.54843,,,,,0.34756,,,,,60.55285,,,,,,,,
