,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,QS1_Comdty_PX-LAST-CHF,QS1_Comdty_start,QS1_Comdty_weeklyReturn,QS1_Comdty_buy,QS1_Comdty_sell,XB1_Comdty_PX-LAST-CHF,XB1_Comdty_start,XB1_Comdty_weeklyReturn,XB1_Comdty_buy,XB1_Comdty_sell,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_weeklyReturn,HO1_Comdty_buy,HO1_Comdty_sell,NG1_Comdty_PX-LAST-CHF,NG1_Comdty_start,NG1_Comdty_weeklyReturn,NG1_Comdty_buy,NG1_Comdty_sell,LMAHDS03 LME_Comdty_PX-LAST-CHF,LMAHDS03 LME_Comdty_start,LMAHDS03 LME_Comdty_weeklyReturn,LMAHDS03 LME_Comdty_buy,LMAHDS03 LME_Comdty_sell,LMCADS03_Comdty_PX-LAST-CHF,LMCADS03_Comdty_start,LMCADS03_Comdty_weeklyReturn,LMCADS03_Comdty_buy,LMCADS03_Comdty_sell,LMNIDS03_Comdty_PX-LAST-CHF,LMNIDS03_Comdty_start,LMNIDS03_Comdty_weeklyReturn,LMNIDS03_Comdty_buy,LMNIDS03_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,SI1_Comdty_PX-LAST-CHF,SI1_Comdty_start,SI1_Comdty_weeklyReturn,SI1_Comdty_buy,SI1_Comdty_sell,LC1_Comdty_PX-LAST-CHF,LC1_Comdty_start,LC1_Comdty_weeklyReturn,LC1_Comdty_buy,LC1_Comdty_sell,KC1_Comdty_PX-LAST-CHF,KC1_Comdty_start,KC1_Comdty_weeklyReturn,KC1_Comdty_buy,KC1_Comdty_sell,C 1_Comdty_PX-LAST-CHF,C 1_Comdty_start,C 1_Comdty_weeklyReturn,C 1_Comdty_buy,C 1_Comdty_sell,CT1_Comdty_PX-LAST-CHF,CT1_Comdty_start,CT1_Comdty_weeklyReturn,CT1_Comdty_buy,CT1_Comdty_sell,S 1_Comdty_PX-LAST-CHF,S 1_Comdty_start,S 1_Comdty_weeklyReturn,S 1_Comdty_buy,S 1_Comdty_sell,SB1_Comdty_PX-LAST-CHF,SB1_Comdty_start,SB1_Comdty_weeklyReturn,SB1_Comdty_buy,SB1_Comdty_sell,W 1_Comdty_PX-LAST-CHF,W 1_Comdty_start,W 1_Comdty_weeklyReturn,W 1_Comdty_buy,W 1_Comdty_sell,considered_assets,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,152.25184,start,,-20.32391262953649,,277.36898,start,,-20.851684677230168,,,excluded,,,,1.76657,start,,-19.013869121586275,,1584.08539,start,,,,1906.0605,start,,,,2322.3735,start,,,,11986.005,start,,-22.196145026625025,,775.0168,start,,,,10.5964,start,,30.713834811435863,,1.71408,start,,,,8.57313,start,,12.755294240039808,,12.41446,start,,21.77979139170536,,1.82104,start,,16.94687784089967,,3.55615,start,,,,0.35182,start,,-17.614388545022035,,64.44439,start,,17.804201715919294,,"{'C 1_Comdty': 80.3348194162105, 'KC1_Comdty': 69.9829278772748, 'CT1_Comdty': 63.95345960993347, 'W 1_Comdty': 62.516913081124294, 'SI1_Comdty': 44.28070610333625, 'S 1_Comdty': 26.158654152357997, 'GC1_Comdty': 17.00471382088224, 'LMAHDS03 LME_Comdty': 13.837168167453516, 'LMCADS03_Comdty': 13.554412604748588, 'LC1_Comdty': 12.261332016069982, 'NG1_Comdty': 11.93486891548484, 'SB1_Comdty': -15.880799463984758, 'LMNIDS03_Comdty': -19.838349761085215, 'QS1_Comdty': -33.04444158599131, 'CL1_Comdty': -42.73493118473792, 'HO1_Comdty': -48.10558700765014}",,,
2003-02-22,Saturday,152.25184,,,,,277.36898,,,,,,excluded,,,,1.76657,,,,,1584.08539,,,,,1906.0605,,,,,2322.3735,,,,,11986.005,,,,,775.0168,,,,,10.5964,,,,,1.71408,,,,,8.57313,,,,,12.41446,,,,,1.82104,,,,,3.55615,,,,,0.35182,,,,,64.44439,,,,,,,,
2003-02-23,Sunday,152.25184,,,,,277.36898,,,,,,excluded,,,,1.76657,,,,,1584.08539,,,,,1906.0605,,,,,2322.3735,,,,,11986.005,,,,,775.0168,,,,,10.5964,,,,,1.71408,,,,,8.57313,,,,,12.41446,,,,,1.82104,,,,,3.55615,,,,,0.35182,,,,,64.44439,,,,,,,,
2003-02-24,Monday,155.80474,,,,,288.03124,,,,,,excluded,,,,1.82395,,,,,2186.81924,,,,,1922.7864,,,,,2347.8091,,,,,12098.889,,,,,783.65014,,,,,10.68951,,,,,1.72018,,,,,8.34983,,,,,12.33727,,,,,1.78694,,,,,3.53853,,,,,0.34253,,,,,62.95061,,,,,,,,
2003-02-25,Tuesday,153.37579,,,,,288.89065,,,,,,excluded,,,,1.77826,,,,,2282.67462,,,,,1925.6752,,,,,2323.2514,,,,,12089.562,,,,,771.65945,,,,,10.48061,,,,,1.69387,,,,,8.13593,,,,,12.35295,,,,,1.81289,,,,,3.54857,,,,,0.33527,,,,,62.496,,,,,,,,
2003-02-26,Wednesday,160.69516,,,,,285.17892,,,,,,excluded,,,,1.83335,,,,,2567.60948,,,,,1940.6464,,,,,2364.1464,,,,,12278.112,,,,,777.04479,,,,,10.5325,,,,,1.70465,,,,,8.05346,,,,,12.3661,,,,,1.82591,,,,,3.5747,,,,,0.34029,,,,,62.48347,,,,,,,,
2003-02-27,Thursday,159.25425,,,,,288.93896,,,,,,excluded,,,,1.84037,,,,,2611.93868,,,,,1951.8174,,,,,2364.2307,,,,,12072.957,,,,,763.01633,,,,,10.36538,,,,,1.68057,,,,,8.14204,,,,,12.34024,,,,,1.79717,,,,,3.60886,,,,,0.34373,,,,,60.79439,,,,,,,,
2003-02-28,Friday,155.93737,start,0.024206801047527572,-20.213035636643635,-20.32391262953649,292.57203,start,0.05481164476287132,-20.749490422791165,-20.851684677230168,,excluded,,,,1.99279,start,0.128056063444981,-18.85621298406696,-19.013869121586275,2813.39585,start,0.7760380013352689,,,1923.532,start,0.009166288268394355,,,2316.366,start,-0.0025867932096194533,,,11812.112,start,-0.014508003292172833,-22.264729711531245,-22.196145026625025,768.36565,start,-0.008581942997880858,,,10.37225,start,-0.02115341059227661,30.746138817631135,30.713834811435863,1.66869,start,-0.02648067768132178,,,7.87678,start,-0.08122471022835308,12.759027065158682,12.755294240039808,12.33419,start,-0.006465847084770542,21.824805875204778,21.77979139170536,1.83518,start,0.0077647937442340866,16.96272846355874,16.94687784089967,3.54843,start,-0.0021708870548205078,,,0.34756,start,-0.012108464555738847,-17.91653124496699,-17.614388545022035,60.55285,start,-0.06038601653301395,17.707299778446664,17.804201715919294,"{'C 1_Comdty': 81.20864684397735, 'KC1_Comdty': 72.14563444940696, 'CT1_Comdty': 65.24351716703545, 'W 1_Comdty': 65.14404611166658, 'SI1_Comdty': 46.06370048037071, 'S 1_Comdty': 24.15041099352418, 'GC1_Comdty': 18.60772726303977, 'LC1_Comdty': 12.827192372507124, 'LMAHDS03 LME_Comdty': 10.435163386561952, 'LMCADS03_Comdty': 9.405773393170826, 'NG1_Comdty': -3.7191190209749414, 'SB1_Comdty': -15.358473016020158, 'LMNIDS03_Comdty': -21.13749675584273, 'QS1_Comdty': -36.17000413511685, 'CL1_Comdty': -45.566016657856245, 'HO1_Comdty': -52.668736490285646}",-0.06304536374808999,-0.027701080459625452,-0.035344283288464534
2003-03-01,Saturday,155.93737,,,,,292.57203,,,,,,excluded,,,,1.99279,,,,,2813.39585,,,,,1923.532,,,,,2316.366,,,,,11812.112,,,,,768.36565,,,,,10.37225,,,,,1.66869,,,,,7.87678,,,,,12.33419,,,,,1.83518,,,,,3.54843,,,,,0.34756,,,,,60.55285,,,,,,,,
2003-03-02,Sunday,155.93737,,,,,292.57203,,,,,,excluded,,,,1.99279,,,,,2813.39585,,,,,1923.532,,,,,2316.366,,,,,11812.112,,,,,768.36565,,,,,10.37225,,,,,1.66869,,,,,7.87678,,,,,12.33419,,,,,1.83518,,,,,3.54843,,,,,0.34756,,,,,60.55285,,,,,,,,
