,weekday,SM1_Index_PX-LAST-CHF,SM1_Index_start,SM1_Index_weeklyReturn,SM1_Index_buy,SM1_Index_sell,ES1_Index_PX-LAST-CHF,ES1_Index_start,ES1_Index_weeklyReturn,ES1_Index_buy,ES1_Index_sell,PT1_Index_PX-LAST-CHF,PT1_Index_start,PT1_Index_weeklyReturn,PT1_Index_buy,PT1_Index_sell,VG1_Index_PX-LAST-CHF,VG1_Index_start,VG1_Index_weeklyReturn,VG1_Index_buy,VG1_Index_sell,Z 1_Index_PX-LAST-CHF,Z 1_Index_start,Z 1_Index_weeklyReturn,Z 1_Index_buy,Z 1_Index_sell,GX1_Index_PX-LAST-CHF,GX1_Index_start,GX1_Index_weeklyReturn,GX1_Index_buy,GX1_Index_sell,ST1_Index_PX-LAST-CHF,ST1_Index_start,ST1_Index_weeklyReturn,ST1_Index_buy,ST1_Index_sell,CF1_Index_PX-LAST-CHF,CF1_Index_start,CF1_Index_weeklyReturn,CF1_Index_buy,CF1_Index_sell,OI1_Index_PX-LAST-CHF,OI1_Index_start,OI1_Index_weeklyReturn,OI1_Index_buy,OI1_Index_sell,QC1_Index_PX-LAST-CHF,QC1_Index_start,QC1_Index_weeklyReturn,QC1_Index_buy,QC1_Index_sell,ATT1_Index_PX-LAST-CHF,ATT1_Index_start,ATT1_Index_weeklyReturn,ATT1_Index_buy,ATT1_Index_sell,BE1_Index_PX-LAST-CHF,BE1_Index_start,BE1_Index_weeklyReturn,BE1_Index_buy,BE1_Index_sell,EO1_Index_PX-LAST-CHF,EO1_Index_start,EO1_Index_weeklyReturn,EO1_Index_buy,EO1_Index_sell,OT1_Index_PX-LAST-CHF,OT1_Index_start,OT1_Index_weeklyReturn,OT1_Index_buy,OT1_Index_sell,XP1_Index_PX-LAST-CHF,XP1_Index_start,XP1_Index_weeklyReturn,XP1_Index_buy,XP1_Index_sell,TP1_Index_PX-LAST-CHF,TP1_Index_start,TP1_Index_weeklyReturn,TP1_Index_buy,TP1_Index_sell,NI1_Index_PX-LAST-CHF,NI1_Index_start,NI1_Index_weeklyReturn,NI1_Index_buy,NI1_Index_sell,HI1_Index_PX-LAST-CHF,HI1_Index_start,HI1_Index_weeklyReturn,HI1_Index_buy,HI1_Index_sell,IH1_Index_PX-LAST-CHF,IH1_Index_start,IH1_Index_weeklyReturn,IH1_Index_buy,IH1_Index_sell,MES1_Index_PX-LAST-CHF,MES1_Index_start,MES1_Index_weeklyReturn,MES1_Index_buy,MES1_Index_sell,BZ1_Index_PX-LAST-CHF,BZ1_Index_start,BZ1_Index_weeklyReturn,BZ1_Index_buy,BZ1_Index_sell,considered_assets,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,2596.59,start,,,,1146.16194,start,,,,274.51584,start,,-20.0,,1924.47538,start,,20.0,,5808.49715,start,,,,5003.12963,start,,20.0,,,excluded,,,,2606.1287,start,,,,25.5799,start,,20.0,,,excluded,,,,,excluded,,,,1626.4608,start,,,,270.82991,start,,20.0,,953.85586,start,,,,1934.47076,start,,-20.0,,6.49607,start,,-20.0,,73.13022,start,,-20.0,,1079.89367,start,,,,2411.82156,start,,-20.0,,,excluded,,,,23677.55375,start,,20.0,,"{'BZ1_Index': 0.6605501924034338, 'GX1_Index': 0.4853555636720702, 'EO1_Index': 0.42636579072707664, 'VG1_Index': 0.38898209422332264, 'OI1_Index': 0.3878494581318404, 'ES1_Index': 0.3812645944932651, 'CF1_Index': 0.3579844981880802, 'Z 1_Index': 0.3577816924270775, 'BE1_Index': 0.3401964644038537, 'SM1_Index': 0.32077535730025813, 'HI1_Index': 0.28967692712776855, 'OT1_Index': 0.28752763326265485, 'IH1_Index': 0.27141477699995104, 'PT1_Index': 0.2608172184101063, 'XP1_Index': 0.2529517938802838, 'NI1_Index': 0.22998866667144482, 'TP1_Index': 0.21188659297031773}",,,
2003-02-22,Saturday,2596.59,,,,,1146.16194,,,,,274.51584,,,,,1924.47538,,,,,5808.49715,,,,,5003.12963,,,,,,excluded,,,,2606.1287,,,,,25.5799,,,,,,excluded,,,,,excluded,,,,1626.4608,,,,,270.82991,,,,,953.85586,,,,,1934.47076,,,,,6.49607,,,,,73.13022,,,,,1079.89367,,,,,2411.82156,,,,,,excluded,,,,23677.55375,,,,,,,,
2003-02-23,Sunday,2596.59,,,,,1146.16194,,,,,274.51584,,,,,1924.47538,,,,,5808.49715,,,,,5003.12963,,,,,,excluded,,,,2606.1287,,,,,25.5799,,,,,,excluded,,,,,excluded,,,,1626.4608,,,,,270.82991,,,,,953.85586,,,,,1934.47076,,,,,6.49607,,,,,73.13022,,,,,1079.89367,,,,,2411.82156,,,,,,excluded,,,,23677.55375,,,,,,,,
2003-02-24,Monday,2582.96,,,,,1124.05585,,,,,273.7344,,,,,1866.3621,,,,,5788.39589,,,,,4873.15572,,,,,,excluded,,,,2563.30635,,,,,25.23084,,,,,,excluded,,,,,excluded,,,,1578.13669,,,,,255.82705,,,,,966.8432,,,,,1982.99224,,,,,6.54429,,,,,74.10147,,,,,1079.46619,,,,,2416.35229,,,,,,excluded,,,,23682.15294,,,,,,,,
2003-02-25,Tuesday,2525.96,,,,,1129.16893,,,,,273.09371,,,,,1794.98863,,,,,5578.14191,,,,,4664.74808,,,,,,excluded,,,,2458.27071,,,,,24.61171,,,,,,excluded,,,,,excluded,,,,1526.14835,,,,,245.62377,,,,,935.84678,,,,,1934.35938,,,,,6.38486,,,,,72.20949,,,,,1060.6632,,,,,2373.39184,,,,,,excluded,,,,23267.1311,,,,,,,,
2003-02-26,Wednesday,2515.42,,,,,1115.42004,,,,,273.36722,,,,,1782.25142,,,,,5597.60493,,,,,4646.3374,,,,,,excluded,,,,2441.07607,,,,,24.45796,,,,,,excluded,,,,,excluded,,,,1496.11028,,,,,241.90581,,,,,932.2197,,,,,1969.63217,,,,,6.40089,,,,,72.51867,,,,,1062.09716,,,,,2365.93923,,,,,,excluded,,,,22952.2874,,,,,,,,
2003-02-27,Thursday,2517.28,,,,,1134.41915,,,,,277.68258,,,,,1807.57216,,,,,5576.27525,,,,,4710.24803,,,,,,excluded,,,,2490.03199,,,,,24.30326,,,,,,excluded,,,,,excluded,,,,1492.6986,,,,,246.66434,,,,,932.21243,,,,,1940.45886,,,,,6.41524,,,,,72.46298,,,,,1072.58517,,,,,2383.11064,,,,,,excluded,,,,23507.71588,,,,,,,,
2003-02-28,Friday,2555.7,start,-0.015747576629348618,,,1132.7731,start,-0.011681455763571984,,,276.70814,start,0.007986060112232463,-20.0,-20.0,1835.63841,start,-0.04616165575472317,20.0,20.0,5663.13035,start,-0.025026576797063552,,,4781.59534,start,-0.04427914253343072,20.0,20.0,,excluded,,,,2518.43992,start,-0.033647141064061956,,,24.90236,start,-0.02648720284285697,20.0,20.0,,excluded,,,,,excluded,,,,1531.04402,start,-0.058665281081474584,,,253.39926,start,-0.06436013658904952,20.0,20.0,920.87578,start,-0.03457553848859307,,,1948.11728,start,0.007054394556989846,-20.0,-20.0,6.31686,start,-0.027587449026873084,-20.0,-20.0,71.78749,start,-0.018360808978832403,-20.0,-20.0,1065.54634,start,-0.013285872858204484,,,2394.52412,start,-0.007171940199423304,-20.0,-20.0,,excluded,,,,23742.83675,start,0.002757168273770657,20.0,20.0,"{'BZ1_Index': 0.6792145642502952, 'GX1_Index': 0.5260742925314019, 'EO1_Index': 0.48373830433851234, 'OI1_Index': 0.43475098771573967, 'VG1_Index': 0.43467120097621365, 'BE1_Index': 0.4129508927868264, 'CF1_Index': 0.4021947544617684, 'ES1_Index': 0.395532705092973, 'Z 1_Index': 0.3814727406058009, 'SM1_Index': 0.35304730427809955, 'OT1_Index': 0.3112389258216061, 'HI1_Index': 0.28414743533796777, 'IH1_Index': 0.27257792461599756, 'NI1_Index': 0.2709902364395525, 'PT1_Index': 0.26893329465308186, 'TP1_Index': 0.2505175499675217, 'XP1_Index': 0.24338293348968054}",-0.02809024518207666,-0.03570619388925794,0.007615948707181297
2003-03-01,Saturday,2555.7,,,,,1132.7731,,,,,276.70814,,,,,1835.63841,,,,,5663.13035,,,,,4781.59534,,,,,,excluded,,,,2518.43992,,,,,24.90236,,,,,,excluded,,,,,excluded,,,,1531.04402,,,,,253.39926,,,,,920.87578,,,,,1948.11728,,,,,6.31686,,,,,71.78749,,,,,1065.54634,,,,,2394.52412,,,,,,excluded,,,,23742.83675,,,,,,,,
2003-03-02,Sunday,2555.7,,,,,1132.7731,,,,,276.70814,,,,,1835.63841,,,,,5663.13035,,,,,4781.59534,,,,,,excluded,,,,2518.43992,,,,,24.90236,,,,,,excluded,,,,,excluded,,,,1531.04402,,,,,253.39926,,,,,920.87578,,,,,1948.11728,,,,,6.31686,,,,,71.78749,,,,,1065.54634,,,,,2394.52412,,,,,,excluded,,,,23742.83675,,,,,,,,
